,address,latitude,longitude,nbed,nbath,ncar,price,type,historical_dates,postcode,year,month,suburb,weekly_rent
4765,"23 SUSSEX ROAD, CAULFIELD SOUTH",-37.896003,145.023677,2.0,1.0,1,$320,Rental_residential,November 2006,3162,2006,11,SOUTH,320
5425,"19 ALDER STREET, CAULFIELD SOUTH",-37.888217,145.018859,3.0,1.0,2,$380,Rental_residential,December 2006,3162,2006,12,SOUTH,380
6693,"4/42 NARONG ROAD, CAULFIELD",-37.86785889,145.02030945,2.0,1.0,1,$310,none,December 2006,3162,2006,12,CAULFIELD,310
9198,"1/12 WOODBINE GROVE, CHELSEA",-38.05466843,145.11959839,2.0,1.0,1,$180,Rental_residential,December 2006,3196,2006,12,CHELSEA,180
9199,"1/12 WOODBINE GROVE, CHELSEA",-38.05466843,145.11959839,2.0,1.0,1,$180_Week,Rental_residential,November 2006,3196,2006,11,CHELSEA,180
9218,"5 JACKSONS ROAD, CHELSEA",-38.043858,145.12312,2.0,1.0,1,$220,Unit/apmt,December 2006,3196,2006,12,CHELSEA,220
9385,"1/48 EMBANKMENT GROVE, CHELSEA",-38.04736328,145.12069702,2.0,1.0,2,$140,House,November 2006,3196,2006,11,CHELSEA,140
9573,"5/18 AVONDALE AVENUE, CHELSEA",-38.05137634,145.11312866,1.0,1.0,1,$135,Rental_residential,November 2006,3196,2006,11,CHELSEA,135
9678,"34 BAXTER AVENUE, CHELSEA",-38.045267,145.122249,3.0,1.0,2,$290,Rental_residential,November 2006,3196,2006,11,CHELSEA,290
9893,"3/488 NEPEAN HIGHWAY, CHELSEA",-38.05815887,145.11807251,2.0,1.0,1,$275,none,November 2006,3196,2006,11,CHELSEA,275
10439,"306A STATION STREET, CHELSEA",-38.049857,145.115467,3.0,2.0,1,$280_Week,House,November 2006,3196,2006,11,CHELSEA,280
351,"3/522 SOUTH ROAD, MOORABBIN",-37.935679,145.054866,3.0,2.0,1,$330,Rental_residential,November 2006,3189,2006,11,MOORABBIN,330
1098,"3/2-4 STATION STREET, MOOROOLBARK",-37.78566742,145.31225586,3.0,2.0,1,$240_Week,Unit/apmt,November 2006,3138,2006,11,MOOROOLBARK,240
2538,"3/4 MONTGOMERY STREET, MORDIALLOC",-38.006054,145.084171,2.0,1.0,1,$1018,Available Now,November 2006,3195,2006,11,MORDIALLOC,1018
7121,"165 KUNYUNG ROAD, MOUNT ELIZA",-38.19853,145.08341,4.0,2.0,0,$260,House,December 2006,3930,2006,12,ELIZA,260
155,"23 CHRIS COURT, HILLSIDE",-37.698987,144.754894,4.0,2.0,2,$250_Week,House,November 2006,3875,2006,11,HILLSIDE,250
156,"23 CHRIS COURT, HILLSIDE",-37.698987,144.754894,4.0,2.0,2,$250,House,November 2006,3875,2006,11,HILLSIDE,250
709,"1/174 DERRIMUT ROAD, HOPPERS CROSSING",-37.87083054,144.68455505,2.0,1.0,1,$195,Unit/apmt,November 2006,3029,2006,11,CROSSING,195
729,"2/2 PERKINS AVENUE, HOPPERS CROSSING",-37.869084,144.691815,2.0,1.0,2,$175_Week,Rental_residential,November 2006,3029,2006,11,CROSSING,175
912,"37 CASEY DRIVE, HOPPERS CROSSING",-37.849291,144.6762,3.0,2.0,2,$245_Week,House,November 2006,3029,2006,11,CROSSING,245
993,"12 GREVILLEA CRESCENT, HOPPERS CROSSING",-37.863723,144.717439,3.0,2.0,2,$260_Week,Rental_residential,November 2006,3029,2006,11,CROSSING,260
1101,"3 SANDLEFORD WAY, HOPPERS CROSSING",-37.848812,144.674317,4.0,2.0,2,$250,Rental_residential,November 2006,3029,2006,11,CROSSING,250
2181,"1 WATERSIDE CLOSE, HOPPERS CROSSING",-37.857091,144.713746,3.0,2.0,2,$230,House,December 2006,3029,2006,12,CROSSING,230
3342,"2/610 NEERIM ROAD, HUGHESDALE",-37.892269,145.082571,3.0,1.0,1,$415,Rental_residential,November 2006,3166,2006,11,HUGHESDALE,415
3399,"1/610 NEERIM ROAD, HUGHESDALE",-37.8918457,145.08255005,2.0,2.0,1,$395,Townhouse,November 2006,3166,2006,11,HUGHESDALE,395
6381,"2/353 UPPER HEIDELBERG ROAD, IVANHOE",-37.757111,145.054489,5.0,2.0,2,$280_-_$340,Available Now,November 2006,3079,2006,11,IVANHOE,340
7060,"2/16 SALISBURY AVENUE, IVANHOE",-37.77402496,145.03877258,3.0,2.0,2,$430,none,November 2006,3079,2006,11,IVANHOE,430
7567,"8/15 ASHBY GROVE, IVANHOE",-37.76699066,145.05148315,2.0,1.0,2,$275,Unit/apmt,November 2006,3079,2006,11,IVANHOE,275
2767,"18 PROUDFOOT STREET, MONT ALBERT",-37.820106,145.109862,3.0,2.0,1,$330,Rental_residential,December 2006,3127,2006,12,ALBERT,330
3253,"7 STREETON COURT, MONT ALBERT",-37.823091,145.112751,4.0,3.0,4,$725,none,December 2006,3127,2006,12,ALBERT,725
3953,"8B BOXTREE ROAD, MONTROSE",-37.81429,145.339061,1.0,1.0,1,$160_Week,House,November 2006,3765,2006,11,MONTROSE,160
4760,"6/61-63 LENNOX STREET, MOONEE PONDS",-37.765672,144.908865,3.0,2.0,2,$370,Townhouse,December 2006,3039,2006,12,PONDS,370
5064,"20 SUSSEX STREET, MOONEE PONDS",-37.763877,144.90963,2.0,1.0,1,$350,Rental_residential,November 2006,3039,2006,11,PONDS,350
5196,"18 ATHOL STREET, MOONEE PONDS",-37.769905,144.918246,2.0,1.0,0,$240_Week,House,November 2006,3039,2006,11,PONDS,240
5197,"18 ATHOL STREET, MOONEE PONDS",-37.769905,144.918246,2.0,1.0,0,$240,House,October 2006,3039,2006,10,PONDS,240
5287,"2/104 BENT STREET, MOONEE PONDS",-37.76305771,144.93603516,2.0,1.0,1,$195,Unit,November 2006,3039,2006,11,PONDS,195
1600,"7/1091 BURKE ROAD, HAWTHORN EAST",-37.81835175,145.05895996,2.0,1.0,1,$300,Rental_residential,November 2006,3123,2006,11,EAST,300
1881,"12/352 AUBURN ROAD, HAWTHORN EAST",-37.83197403,145.0430603,2.0,1.0,1,$270,none,December 2006,3123,2006,12,EAST,270
2426,"20/114 RIVERSDALE ROAD, HAWTHORN",-37.82920074,145.03660583,2.0,1.0,1,$280,Unit/apmt,November 2006,3122,2006,11,HAWTHORN,280
2740,"7/21 GLEN STREET, HAWTHORN",-37.831197,145.035214,2.0,1.0,1,$225,Unit/apmt,December 2006,3122,2006,12,HAWTHORN,225
2823,"13/166 POWER STREET, HAWTHORN",-37.82514572,145.02552795,1.0,1.0,1,$280,Unit/apmt,November 2006,3122,2006,11,HAWTHORN,280
2914,"21/23 PARK STREET, HAWTHORN",-37.81985474,145.03781128,1.0,1.0,0,$155,Studio,October 2006,3122,2006,10,HAWTHORN,155
2934,"18/19 PARK STREET, HAWTHORN",-37.81984329,145.03755188,1.0,1.0,1,$220,Rental_residential,November 2006,3122,2006,11,HAWTHORN,220
3192,"3/26 RIVERSDALE ROAD, HAWTHORN",-37.828107,145.028063,1.0,1.0,1,$250,none,December 2006,3122,2006,12,HAWTHORN,250
3280,"7/20 FORDHOLM ROAD, HAWTHORN",-37.831099,145.030567,2.0,1.0,1,$235,Unit/apmt,December 2006,3122,2006,12,HAWTHORN,235
3368,"6/250 RIVERSDALE ROAD, HAWTHORN",-37.830012,145.044414,2.0,1.0,1,$290,Unit/apmt,November 2006,3122,2006,11,HAWTHORN,290
3369,"6/250 RIVERSDALE ROAD, HAWTHORN",-37.830012,145.044414,2.0,1.0,1,$280,Unit/apmt,November 2006,3122,2006,11,HAWTHORN,280
3470,"9/42 CRESWICK STREET, HAWTHORN",-37.818549,145.016028,1.0,1.0,1,$220,Rental_residential,December 2006,3122,2006,12,HAWTHORN,220
3764,"3/3 HENRY STREET, HAWTHORN",-37.82001495,145.0430603,2.0,1.0,1,$260,none,November 2006,3122,2006,11,HAWTHORN,260
4211,"3 SCOTCH CIRCUIT, HAWTHORN",-37.835329,145.041419,3.0,2.0,1,$450,Townhouse,December 2006,3122,2006,12,HAWTHORN,450
4212,"3 SCOTCH CIRCUIT, HAWTHORN",-37.835329,145.041419,3.0,2.0,1,$450,Townhouse,November 2006,3122,2006,11,HAWTHORN,450
4222,"5/83 DENHAM STREET, HAWTHORN",-37.81930923,145.02348328,2.0,1.0,1,$240,Unit/apmt,November 2006,3122,2006,11,HAWTHORN,240
4694,"15/9 LISSON GROVE, HAWTHORN",-37.82613754,145.0269165,2.0,1.0,1,$250,none,November 2006,3122,2006,11,HAWTHORN,250
4913,"6/41 MORANG ROAD, HAWTHORN",-37.82371902,145.02410889,1.0,1.0,1,$250,Unit/apmt,November 2006,3122,2006,11,HAWTHORN,250
5000,"3/611 GLENFERRIE ROAD, HAWTHORN",-37.82363129,145.03495789,1.0,1.0,0,$100_Week,Unit/apmt,November 2006,3122,2006,11,HAWTHORN,100
5022,"6/70A WATTLE ROAD, HAWTHORN",-37.82525635,145.032547,2.0,1.0,1,$230,none,November 2006,3122,2006,11,HAWTHORN,230
5426,"16/64 AUBURN ROAD, HAWTHORN",-37.819934,145.045431,1.0,1.0,1,$200,none,December 2006,3122,2006,12,HAWTHORN,200
5566,"771 CLARKES ROAD, HAZELWOOD NORTH",-38.289143,146.516895,5.0,2.0,2,$350_Week,House,November 2006,3840,2006,11,NORTH,350
6707,"4/3 ORCHARD GROVE, HEATHMONT",-37.83435822,145.24267578,2.0,1.0,2,$210,Unit/apmt,October 2006,3135,2006,10,HEATHMONT,210
7122,"1 SHELLEY STREET, HEIDELBERG HEIGHTS",-37.743656,145.050636,4.0,1.0,1,$215,none,November 2006,3081,2006,11,HEIGHTS,215
7553,"53 SWANSTON STREET, HEIDELBERG HEIGHTS",-37.738147,145.050976,2.0,1.0,2,$215,none,December 2006,3081,2006,12,HEIGHTS,215
8337,"5/49 HAWDON STREET, HEIDELBERG",-37.75883484,145.06391907,1.0,1.0,1,$165,none,November 2006,3084,2006,11,HEIDELBERG,165
8478,"9/10 STRADBROKE AVENUE, HEIDELBERG",-37.75467682,145.06253052,2.0,1.0,1,$220,none,November 2006,3084,2006,11,HEIDELBERG,220
10081,"29 OUTLOOK WAY, HERNES OAK",-38.220326,146.300279,4.0,2.0,2,$290_Week,Acreage,November 2006,3825,2006,11,OAK,290
267,"17 WATTLETREE DRIVE, MOUNT HELEN",-37.6246334,143.8789023,4.0,2.0,2,$260_Week,none,November 2006,3350,2006,11,HELEN,260
274,"1/50 BROOK STREET, SUNBURY",-37.582175,144.733313,2.0,1.0,1,$155_Week,Available Now,November 2006,3429,2006,11,SUNBURY,155
1226,"10 HEATHERBRAE CRESCENT, SUNBURY",-37.564535,144.715975,3.0,2.0,2,$280_Week,Available Now,November 2006,3429,2006,11,SUNBURY,280
1393,"10/40-42 HARKER STREET, SUNBURY",-37.583914,144.727973,2.0,1.0,1,$180,Unit/apmt,December 2006,3429,2006,12,SUNBURY,180
1394,"10/40-42 HARKER STREET, SUNBURY",-37.583914,144.727973,2.0,1.0,1,$180_Week,Unit/apmt,November 2006,3429,2006,11,SUNBURY,180
1484,"37 ANGLERS ROAD, SUNDERLAND BAY",-38.507245,145.276957,3.0,2.0,2,$200_Week,House,November 2006,3922,2006,11,BAY,200
1488,"70 THE ESPLANADE, SUNDERLAND BAY",-38.507914,145.276821,3.0,1.0,2,$1000_Week,House,November 2006,3922,2006,11,BAY,1000
1760,"80 BACK BEACH ROAD, SUNSET STRIP",-38.497057,145.2648,2.0,1.0,0,$140_Week,House,November 2006,3922,2006,11,STRIP,140
1823,"30 BERMAGUI CRESCENT, SUNSET STRIP",-38.49422,145.266123,3.0,1.0,2,$700_Week,House,November 2006,3922,2006,11,STRIP,700
2202,"21 COMPTON PARADE, SUNSHINE NORTH",-37.769513,144.832115,3.0,1.0,3,$190,House,November 2006,3020,2006,11,NORTH,190
2555,"6 LEARMONTH CRESCENT, SUNSHINE WEST",-37.803263,144.828731,3.0,1.0,3,$180,House,December 2006,3020,2006,12,WEST,180
2653,"4/13 BARDSLEY STREET, SUNSHINE WEST",-37.790837,144.823247,2.0,1.0,0,$140,none,November 2006,3020,2006,11,WEST,140
4079,"67 FRASER STREET, SUNSHINE",-37.78532,144.8204,3.0,1.0,2,$185,House,November 2006,3020,2006,11,SUNSHINE,185
4606,"1 BEECH STREET, SURREY HILLS",-37.835865,145.107994,2.0,1.0,1,$220,House,December 2006,3127,2006,12,HILLS,220
4792,"1/56 UNION ROAD, SURREY HILLS",-37.83034515,145.09646606,3.0,2.0,2,$575_-_$625,Unit/apmt,October 2006,3127,2006,10,HILLS,625
5033,"2/969 RIVERSDALE ROAD, SURREY HILLS",-37.83544159,145.09757996,2.0,1.0,1,$290,none,December 2006,3127,2006,12,HILLS,290
5040,"19/20 FLORENCE ROAD, SURREY HILLS",-37.82896,145.102297,3.0,1.0,2,$250_-_$350,Unit/apmt,November 2006,3127,2006,11,HILLS,350
5410,"14 VERDUN STREET, SURREY HILLS",-37.833905,145.093705,5.0,4.0,2,$300,Rental_residential,November 2006,3127,2006,11,HILLS,300
5645,"2/9 MIDDLESEX ROAD, SURREY HILLS",-37.826488,145.090013,2.0,1.0,1,$280,none,December 2006,3127,2006,12,HILLS,280
5738,"2/6 BLACKBURN STREET, SURREY HILLS",-37.82286072,145.0995636,2.0,2.0,1,$375,none,November 2006,3127,2006,11,HILLS,375
6705,"1/9 GLOUCESTER COURT, SYDENHAM",-37.692139,144.76364,3.0,2.0,0,$215_Week,none,October 2006,3037,2006,10,SYDENHAM,215
6816,"3/15 BEAUMONT COURT, SYDENHAM",-37.691069,144.759964,2.0,1.0,1,$195_Week,none,November 2006,3037,2006,11,SYDENHAM,195
6817,"3/15 BEAUMONT COURT, SYDENHAM",-37.691069,144.759964,2.0,1.0,1,$195,none,November 2006,3037,2006,11,SYDENHAM,195
6832,"23 RUBEN DRIVE, SYDENHAM",-37.705984,144.759448,3.0,2.0,2,$260_Week,House,November 2006,3037,2006,11,SYDENHAM,260
7300,"3 BUNGARIM WYND, SYDENHAM",-37.707069,144.76208,4.0,2.0,2,$300_Week,none,November 2006,3037,2006,11,SYDENHAM,300
7301,"3 BUNGARIM WYND, SYDENHAM",-37.707069,144.76208,4.0,2.0,2,$300,none,November 2006,3037,2006,11,SYDENHAM,300
7302,"3 BUNGARIM WYND, SYDENHAM",-37.707069,144.76208,4.0,2.0,2,$300_Week,none,October 2006,3037,2006,10,SYDENHAM,300
7608,"5/70 COMMUNITY HUB, SYDENHAM",-37.70170975,144.75717163,3.0,2.0,1,$235,Unit/apmt,December 2006,3037,2006,12,SYDENHAM,235
265,"31 COWANS DRIVE, GREENDALE",-37.518222,144.306996,4.0,2.0,1,$200_Week,House,November 2006,3341,2006,11,GREENDALE,200
896,"32 CRANA GROVE, GREENSBOROUGH",-37.685665,145.108802,3.0,1.0,2,$260,House,December 2006,3088,2006,12,GREENSBOROUGH,260
907,"3/157 ST HELENA ROAD, GREENSBOROUGH",-37.70024872,145.12129211,3.0,2.0,2,$470,House,December 2006,3088,2006,12,GREENSBOROUGH,470
3862,"13 KING STREET, HAMPTON EAST",-37.933645,145.032238,3.0,1.0,3,$420,Rental_residential,December 2006,3188,2006,12,EAST,420
4219,"39 STRABANE WAY, HAMPTON PARK",-38.04078,145.259328,4.0,2.0,2,$250_Week,House,November 2006,3976,2006,11,PARK,250
4220,"39 STRABANE WAY, HAMPTON PARK",-38.04078,145.259328,4.0,2.0,2,$250,House,October 2006,3976,2006,10,PARK,250
4963,"30 STRONG DRIVE, HAMPTON PARK",-38.034328,145.272176,3.0,1.0,4,$190,House,November 2006,3976,2006,11,PARK,190
5229,"60 BATEMAN GROVE, HAMPTON PARK",-38.045683,145.255277,3.0,2.0,2,$230,House,December 2006,3976,2006,12,PARK,230
5339,"46 JUSTIN CIRCUIT, HAMPTON PARK",-38.025861,145.271247,3.0,1.0,2,$230,House,December 2006,3976,2006,12,PARK,230
5516,"1/64-66 LAURA DRIVE, HAMPTON PARK",-38.041868,145.279991,3.0,1.0,1,$210_Week,Unit/apmt,October 2006,3976,2006,10,PARK,210
5891,"2/62 BEACH ROAD, HAMPTON",-37.94073868,145.00028992,1.0,1.0,1,$260_Week,Rental_residential,November 2006,3188,2006,11,HAMPTON,260
6276,"6 IVY STREET, HAMPTON",-37.93205,145.018417,3.0,1.0,2,$550,Rental_residential,November 2006,3188,2006,11,HAMPTON,550
6803,"4/62 BEACH ROAD, HAMPTON",-37.94073868,145.00028992,1.0,1.0,1,$260,none,November 2006,3188,2006,11,HAMPTON,260
3660,"10 CHRISTOPHER CRESCENT, TULLAMARINE",-37.699635,144.877546,3.0,1.0,2,$210,House,December 2006,3043,2006,12,TULLAMARINE,210
3661,"10 CHRISTOPHER CRESCENT, TULLAMARINE",-37.699635,144.877546,3.0,1.0,2,$210_Week,House,November 2006,3043,2006,11,TULLAMARINE,210
3950,"1/6 SPRING ST, TULLAMARINE",-37.70474625,144.87860107,3.0,2.0,1,$250,House,November 2006,3043,2006,11,TULLAMARINE,250
4768,"10 JANUS STREET, TULLAMARINE",-37.698679,144.876042,3.0,1.0,4,$250,House,December 2006,3043,2006,12,TULLAMARINE,250
4786,"39/200 MELROSE DRIVE, TULLAMARINE",-37.69816589,144.88018799,2.0,1.0,1,$180,none,December 2006,3043,2006,12,TULLAMARINE,180
529,"2/1 KING STREET, BULLEEN",-37.7625885,145.08422852,3.0,2.0,2,$370,Townhouse,December 2006,3105,2006,12,BULLEEN,370
530,"2/1 KING STREET, BULLEEN",-37.7625885,145.08422852,3.0,2.0,2,$390,Townhouse,December 2006,3105,2006,12,BULLEEN,390
531,"2/1 KING STREET, BULLEEN",-37.7625885,145.08422852,3.0,2.0,2,$400,Townhouse,October 2006,3105,2006,10,BULLEEN,400
1002,"82 MILLICENT AVENUE, BULLEEN",-37.773785,145.097544,3.0,1.0,1,$260,Rental_residential,December 2006,3105,2006,12,BULLEEN,260
3651,"7/1A MAIN DRIVE, BUNDOORA",-37.71373367,145.04605103,3.0,2.0,1,$315_Week,Available Now,November 2006,3083,2006,11,BUNDOORA,315
3693,"7/1191 PLENTY ROAD, BUNDOORA",-37.70021,145.058057,1.0,1.0,1,$250_Week,Available Now,November 2006,3083,2006,11,BUNDOORA,250
3846,"292 LUMEAH ROAD, BUNINYONG",-37.644803,143.876357,4.0,2.0,2,$280,Available Now,October 2006,3357,2006,10,BUNINYONG,280
2425,"10 ISAACS STREET, LAVERTON",-37.8523,144.773116,2.0,1.0,2,$220,House,November 2006,3028,2006,11,LAVERTON,220
2773,"25 KAYE CRESCENT, LAVERTON",-37.852036,144.771045,3.0,2.0,2,$185_Week,House,November 2006,3028,2006,11,LAVERTON,185
2774,"25 KAYE CRESCENT, LAVERTON",-37.852036,144.771045,3.0,2.0,2,$185,House,November 2006,3028,2006,11,LAVERTON,185
3688,"3320 MIDLAND HIGHWAY, LETHBRIDGE",-37.924588,144.113884,3.0,1.0,0,$180_Week,House,November 2006,3332,2006,11,LETHBRIDGE,180
3720,"21 NOYES ROAD, LETHBRIDGE",-37.965373,144.129922,2.0,1.0,1,$170_Week,none,November 2006,3332,2006,11,LETHBRIDGE,170
3765,"72 SUTHERLAND STREET, LETHBRIDGE",-37.971512,144.140276,3.0,1.0,2,$220_Week,House,November 2006,3332,2006,11,LETHBRIDGE,220
4575,"1523 TULLEY ROAD, LIMA",-36.775484,145.983874,4.0,1.0,2,$280_Week,House,November 2006,3673,2006,11,LIMA,280
5458,"27 DERWENT DRIVE, LONG GULLY",-36.750283,144.256686,3.0,1.0,2,$180,House,November 2006,3550,2006,11,GULLY,180
2227,"1/269 NEPEAN HIGHWAY, SEAFORD",-38.1228981,145.12481689,2.0,1.0,1,$180,Unit/apmt,December 2006,3198,2006,12,SEAFORD,180
2416,"29 KANANOOK AVENUE, SEAFORD",-38.115601,145.128913,3.0,2.0,4,$250_Week,none,November 2006,3198,2006,11,SEAFORD,250
4220,"108 STATION ROAD, SEDDON",-37.806359,144.885463,2.0,1.0,1,$250,House,November 2006,3011,2006,11,SEDDON,250
4235,"9/181 GEELONG ROAD, SEDDON",-37.80261612,144.88616943,2.0,1.0,1,$145,none,November 2006,3011,2006,11,SEDDON,145
4508,"181 BUCKLEY STREET, SEDDON",-37.802957,144.889219,3.0,2.0,0,$290,Rental_residential,December 2006,3011,2006,12,SEDDON,290
5068,"20 JOYCE ROAD, SEVILLE EAST",-37.777061,145.490524,3.0,2.0,4,$250_Week,none,November 2006,3139,2006,11,EAST,250
5175,"5 VALLEY ROAD, SEVILLE",-37.771655,145.460035,3.0,2.0,1,$230_Week,House,November 2006,3139,2006,11,SEVILLE,230
6366,"2 DAINTON STREET, SHEPPARTON",-36.395985,145.404499,3.0,1.0,1,$250_Week,House,November 2006,3630,2006,11,SHEPPARTON,250
6367,"2 DAINTON STREET, SHEPPARTON",-36.395985,145.404499,3.0,1.0,1,$250,House,November 2006,3630,2006,11,SHEPPARTON,250
6681,"21 ROMNEY CRESCENT, SHEPPARTON",-36.352713,145.414799,3.0,1.0,1,$245_Week,House,November 2006,3630,2006,11,SHEPPARTON,245
981,"100 BRANIFFS ROAD, JEERALANG",-38.351072,146.409419,3.0,2.0,2,$290_Week,House,November 2006,3840,2006,11,JEERALANG,290
983,"25 BRANIFFS ROAD, JEERALANG",-38.344868,146.409023,1.0,1.0,1,$70_Week,Townhouse,November 2006,3840,2006,11,JEERALANG,70
3040,"305 ELTHAM-YARRA GLEN ROAD, KANGAROO GROUND",-37.68985,145.215905,2.0,1.0,1,$240_Week,none,November 2006,3097,2006,11,GROUND,240
3806,"2/10 STOCKWELL CRESCENT, KEILOR DOWNS",-37.71340561,144.79414368,3.0,1.0,1,$185_Week,none,November 2006,3038,2006,11,DOWNS,185
3807,"2/10 STOCKWELL CRESCENT, KEILOR DOWNS",-37.71340561,144.79414368,3.0,1.0,1,$185,none,November 2006,3038,2006,11,DOWNS,185
4876,"1 AVILA PLACE, KEILOR LODGE",-37.700397,144.806967,4.0,2.0,2,$350_Week,Rental_residential,November 2006,3038,2006,11,LODGE,350
4877,"1 AVILA PLACE, KEILOR LODGE",-37.700397,144.806967,4.0,2.0,2,$350,Rental_residential,November 2006,3038,2006,11,LODGE,350
755,"11 EVENGLOW COURT, SMITHS BEACH",-38.498618,145.257989,3.0,2.0,2,$1050_Week,House,November 2006,3922,2006,11,BEACH,1050
284,"18 OCEAN DRIVE, PORT FAIRY",-38.391483,142.225219,1.0,1.0,0,$1050_Week,House,November 2006,3284,2006,11,FAIRY,1050
285,"18 OCEAN DRIVE, PORT FAIRY",-38.391483,142.225219,1.0,1.0,0,$2800_Week,House,November 2006,3284,2006,11,FAIRY,2800
522,"C203/166 ROUSE STREET, PORT MELBOURNE",-37.841211,144.938255,1.0,1.0,1,$400,none,November 2006,3207,2006,11,MELBOURNE,400
804,"14 SWALLOW STREET, PORT MELBOURNE",-37.83881,144.932766,1.0,1.0,1,$380,House,November 2006,3207,2006,11,MELBOURNE,380
930,"1.06/91 DOW STREET, PORT MELBOURNE",-37.840548,144.942207,1.0,1.0,1,$320,none,November 2006,3207,2006,11,MELBOURNE,320
1618,"903/115 BEACH STREET, PORT MELBOURNE",-37.840225,144.930452,2.0,2.0,1,$585,Unit/apmt,December 2006,3207,2006,12,MELBOURNE,585
1632,"208/65 BEACH STREET, PORT MELBOURNE",-37.84211,144.936383,2.0,2.0,1,$385,Unit/apmt,December 2006,3207,2006,12,MELBOURNE,385
1685,"D404/52 NOTT STREET, PORT MELBOURNE",-37.84087372,144.9387207,1.0,1.0,1,$400,Unit/apmt,November 2006,3207,2006,11,MELBOURNE,400
2520,"72 BRIDGE STREET, PORT MELBOURNE",-37.837428,144.945248,2.0,1.0,0,$400,Unit/apmt,December 2006,3207,2006,12,MELBOURNE,400
2836,"407/55 BAY STREET, PORT MELBOURNE",-37.834478,144.945988,1.0,1.0,0,$350,none,December 2006,3207,2006,12,MELBOURNE,350
2978,"14 INGLES STREET, PORT MELBOURNE",-37.835369,144.948677,2.0,1.0,0,$360,House,December 2006,3207,2006,12,MELBOURNE,360
3262,"1/3 LIARDET STREET, PORT MELBOURNE",-37.839268,144.943386,2.0,1.0,1,$445,none,December 2006,3207,2006,12,MELBOURNE,445
3350,"30 THE ESPLANADE, PORTARLINGTON",-38.112944,144.665582,2.0,1.0,0,$700_Week,House,November 2006,3223,2006,11,PORTARLINGTON,700
3361,"31 HARDING STREET, PORTARLINGTON",-38.11807,144.651053,3.0,1.0,1,$890_Week,House,November 2006,3223,2006,11,PORTARLINGTON,890
3378,"43 SIMSON STREET, PORTARLINGTON",-38.117628,144.667214,2.0,1.0,1,$600_Week,House,November 2006,3223,2006,11,PORTARLINGTON,600
3456,"380 TOWER ROAD, PORTARLINGTON",-38.127301,144.672072,1.0,1.0,2,$1065_Week,Rental_residential,November 2006,3223,2006,11,PORTARLINGTON,1065
3586,"31 HIGH STREET, PORTARLINGTON",-38.118722,144.649001,3.0,2.0,2,$800_Week,House,November 2006,3223,2006,11,PORTARLINGTON,800
4681,"155 MUST STREET, PORTLAND",-38.359308,141.596485,3.0,1.0,1,$240,House,October 2006,3305,2006,10,PORTLAND,240
5271,"73 PERTH STREET, PRAHRAN",-37.846803,144.987715,3.0,1.0,2,$440,none,October 2006,3181,2006,10,PRAHRAN,440
5737,"14 MOSS STREET, PRAHRAN",-37.848264,144.988335,3.0,1.0,1,$380,Available Now,December 2006,3181,2006,12,PRAHRAN,380
6302,"2A CHOMLEY STREET, PRAHRAN",-37.858758,145.005508,2.0,2.0,2,$450_Week,House,November 2006,3181,2006,11,PRAHRAN,450
6522,"102/11 HILLINGDON PLACE, PRAHRAN",-37.8510704,144.9944458,2.0,1.0,1,$345,Available Now,November 2006,3181,2006,11,PRAHRAN,345
6538,"78 ABERDEEN ROAD, PRAHRAN",-37.85296,145.005846,1.0,1.0,0,$340,Available Now,October 2006,3181,2006,10,PRAHRAN,340
6888,"20 BIDEY STREET, PRAHRAN",-37.856332,145.004869,3.0,1.0,0,$550,House,December 2006,3181,2006,12,PRAHRAN,550
7216,"36/108 GREVILLE STREET, PRAHRAN",-37.848784,144.98759,2.0,1.0,1,$1651,Unit/apmt,October 2006,3181,2006,10,PRAHRAN,1651
7275,"13/22 CHOMLEY STREET, PRAHRAN",-37.857929,145.005535,1.0,1.0,1,$250,Unit/apmt,December 2006,3181,2006,12,PRAHRAN,250
7652,"13 BOWEN STREET, PRAHRAN",-37.854916,145.003736,2.0,1.0,0,$400,none,November 2006,3181,2006,11,PRAHRAN,400
7978,"37 LEWISHAM ROAD, PRAHRAN",-37.855252,144.999113,3.0,2.0,0,$375,Available Now,November 2006,3181,2006,11,PRAHRAN,375
8822,"6/608 BELL STREET, PRESTON",-37.74353027,144.98997498,2.0,1.0,1,$180,none,October 2006,3072,2006,10,PRESTON,180
10521,"2/5 COOMA STREET, PRESTON",-37.741697,145.006128,1.0,1.0,1,$145,Unit/apmt,December 2006,3072,2006,12,PRESTON,145
10953,"18/11-13 COOMA STREET, PRESTON",-37.74135208,145.006073,1.0,1.0,0,$135,House,November 2006,3072,2006,11,PRESTON,135
820,"2/3 LOWER PLENTY ROAD, ROSANNA",-37.746395,145.05888,2.0,1.0,1,$240_Week,Unit/apmt,November 2006,3084,2006,11,ROSANNA,240
4673,"73 RAVENHILL BOULEVARD, ROXBURGH PARK",-37.634417,144.917974,3.0,2.0,2,$260_Week,none,November 2006,3064,2006,11,PARK,260
4674,"73 RAVENHILL BOULEVARD, ROXBURGH PARK",-37.634417,144.917974,3.0,2.0,2,$250_Week,none,November 2006,3064,2006,11,PARK,250
4675,"73 RAVENHILL BOULEVARD, ROXBURGH PARK",-37.634417,144.917974,3.0,2.0,2,$260,none,November 2006,3064,2006,11,PARK,260
