,address,latitude,longitude,nbed,nbath,ncar,price,type,historical_dates,postcode,year,month,suburb,weekly_rent
9407,"7/558 MORELAND ROAD, BRUNSWICK WEST",-37.754319,144.954044,1.0,1.0,1,$160,Rental_residential,November 2006,3055,2006,11,WEST,160
10758,"14 ASHMORE STREET, BRUNSWICK",-37.763478,144.971348,2.0,1.0,0,$280,House,November 2006,3056,2006,11,BRUNSWICK,280
10791,"3/13 LUSCOMBE STREET, BRUNSWICK",-37.77632141,144.96832275,1.0,1.0,1,$180,Unit/apmt,December 2006,3056,2006,12,BRUNSWICK,180
10964,"53 DUNSTAN AVENUE, BRUNSWICK",-37.757826,144.973387,2.0,1.0,0,$260,Rental_residential,November 2006,3056,2006,11,BRUNSWICK,260
38,"13 THE CREST, ATTWOOD",-37.6734,144.888719,4.0,2.0,2,$290,none,October 2006,3049,2006,10,ATTWOOD,290
1155,"58 MACEY AVENUE, AVONDALE HEIGHTS",-37.763524,144.863893,3.0,1.0,1,$210,Rental_residential,December 2006,3034,2006,12,HEIGHTS,210
1247,"473 BELGRAVE-GEMBROOK ROAD, AVONSLEIGH",-37.924614,145.47316,3.0,2.0,1,$205_Week,none,November 2006,3782,2006,11,AVONSLEIGH,205
2960,"9/21 CHUSAN STREET, BALACLAVA",-37.86719,144.99903,1.0,1.0,1,$160,Rental_residential,December 2006,3183,2006,12,BALACLAVA,160
4506,"3/15 AQUILA COURT, BALLARAT NORTH",-37.54381,143.86977,1.0,1.0,1,$120_Week,Unit/apmt,October 2006,3350,2006,10,NORTH,120
5612,"210 NEILL STREET, BALLARAT",-37.55631,143.860517,3.0,1.0,1,$220,none,October 2006,3350,2006,10,BALLARAT,220
6479,"300 STAUGHTON VALE ROAD, BALLIANG",-37.86424065,144.27925515,4.0,2.0,4,$270_Week,House,November 2006,3340,2006,11,BALLIANG,270
7118,"5 LEXTON STREET, BALWYN NORTH",-37.800577,145.067599,2.0,1.0,1,$280,House,November 2006,3104,2006,11,NORTH,280
7673,"4/178 DONCASTER ROAD, BALWYN NORTH",-37.79467392,145.08302307,3.0,1.0,1,$220,none,October 2006,3104,2006,10,NORTH,220
8135,"10/3 BOSTON ROAD, BALWYN",-37.81676102,145.0771637,2.0,1.0,1,$255,none,December 2006,3103,2006,12,BALWYN,255
8768,"1/1 PARRING ROAD, BALWYN",-37.81316757,145.09060669,2.0,2.0,1,$395,Available Now,December 2006,3103,2006,12,BALWYN,395
9422,"2/8 BEVAN STREET, BALWYN",-37.812674,145.074864,2.0,1.0,1,$250,Rental_residential,December 2006,3103,2006,12,BALWYN,250
958,"3/1 ALFRED PLACE, WILLIAMSTOWN",-37.8587265,144.89981079,2.0,1.0,2,$330,Unit/apmt,November 2006,3016,2006,11,WILLIAMSTOWN,330
1266,"3/88 VICTORIA STREET, WILLIAMSTOWN",-37.86087418,144.88912964,2.0,1.0,1,$230,none,December 2006,3016,2006,12,WILLIAMSTOWN,230
1267,"3/88 VICTORIA STREET, WILLIAMSTOWN",-37.86087418,144.88912964,2.0,1.0,1,$230,none,November 2006,3016,2006,11,WILLIAMSTOWN,230
1406,"23 CASPIAN TERRACE, WILLIAMSTOWN",-37.858435,144.874358,5.0,3.0,2,$570,House,December 2006,3016,2006,12,WILLIAMSTOWN,570
1610,"27 JAMES STREET, WILLIAMSTOWN",-37.857491,144.900065,3.0,1.0,1,$300_Week,House,November 2006,3016,2006,11,WILLIAMSTOWN,300
1611,"27 JAMES STREET, WILLIAMSTOWN",-37.857491,144.900065,3.0,1.0,1,$270,House,October 2006,3016,2006,10,WILLIAMSTOWN,270
1817,"12/14 STEVEDORE STREET, WILLIAMSTOWN",-37.857257,144.901216,1.0,1.0,1,$170_Week,Unit/apmt,November 2006,3016,2006,11,WILLIAMSTOWN,170
1908,"158B CECIL STREET, WILLIAMSTOWN",-37.860876,144.899932,3.0,1.0,1,$360,House,December 2006,3016,2006,12,WILLIAMSTOWN,360
2541,"3/81 PASCO STREET, WILLIAMSTOWN",-37.86319733,144.89515686,2.0,1.0,1,$350,none,December 2006,3016,2006,12,WILLIAMSTOWN,350
2542,"3/81 PASCO STREET, WILLIAMSTOWN",-37.86319733,144.89515686,2.0,1.0,1,$320,none,December 2006,3016,2006,12,WILLIAMSTOWN,320
2933,"31 RAILWAY CRESCENT, WILLIAMSTOWN",-37.866242,144.899589,2.0,1.0,0,$290,none,December 2006,3016,2006,12,WILLIAMSTOWN,290
2934,"31 RAILWAY CRESCENT, WILLIAMSTOWN",-37.866242,144.899589,2.0,1.0,0,$300,none,November 2006,3016,2006,11,WILLIAMSTOWN,300
3292,"2 MACLEAN STREET, WILLIAMSTOWN",-37.858546,144.89958,3.0,1.0,1,$300,House,December 2006,3016,2006,12,WILLIAMSTOWN,300
3293,"2 MACLEAN STREET, WILLIAMSTOWN",-37.858546,144.89958,3.0,1.0,1,$300_Week,House,November 2006,3016,2006,11,WILLIAMSTOWN,300
3434,"152 CECIL STREET, WILLIAMSTOWN",-37.861602,144.900153,2.0,1.0,0,$380,Rental_residential,December 2006,3016,2006,12,WILLIAMSTOWN,380
4389,"21/K5 HIGH STREET, WINDSOR",-37.85472,144.99214,1.0,1.0,1,$160,Unit/apmt,October 2006,3181,2006,10,WINDSOR,160
4482,"23/174 PEEL STREET, WINDSOR",-37.85627747,144.99160767,1.0,1.0,1,$300,Unit/apmt,December 2006,3181,2006,12,WINDSOR,300
4872,"1/30 AWBURN STREET, WODONGA",-36.127941,146.87982,2.0,1.0,1,$145,Unit/apmt,November 2006,3690,2006,11,WODONGA,145
5940,"2/2 BOWMAN COURT, WODONGA",-36.12877655,146.86358643,2.0,1.0,1,$210,Rental_residential,November 2006,3690,2006,11,WODONGA,210
6520,"4/6 SKIPTON COURT, WODONGA",-36.12986,146.907663,1.0,1.0,1,$150,Rental_residential,November 2006,3690,2006,11,WODONGA,150
645,"2/25 CHURCHILL STREET, DONCASTER EAST",-37.787203,145.160692,2.0,1.0,1,$220,none,December 2006,3109,2006,12,EAST,220
882,"4/21 DEHNERT STREET, DONCASTER EAST",-37.7854805,145.14837646,2.0,1.0,1,$220,Unit/apmt,December 2006,3109,2006,12,EAST,220
