,address,latitude,longitude,nbed,nbath,ncar,price,type,historical_dates,postcode,year,month,suburb,weekly_rent,residence_type
56,"99 MAIN ROAD, CHEWTON",-37.0793433,144.2524547,2.0,1.0,1,$220_pw,House,April 2009,3451,2009,4,CHEWTON,220,House
70,"12 FRYERS ROAD, CHEWTON",-37.082726,144.256496,3.0,1.0,1,$230_pw,House,June 2009,3451,2009,6,CHEWTON,230,House
115,"6 BAKER STREET, CHEWTON",-37.081637,144.26061,2.0,1.0,0,$200_pw,House,April 2009,3451,2009,4,CHEWTON,200,House
141,"197 MAIN ROAD, CHEWTON",-37.0803515,144.2618795,1.0,1.0,0,$195_per_week,House,May 2009,3451,2009,5,CHEWTON,195,House
163,"17 WEST STREET, CHILDERS",-25.234541,152.275665,3.0,1.0,2,$240_pw,House,January 2009,3824,2009,1,CHILDERS,240,House
164,"25 WEST STREET, CHILDERS",-25.234406,152.274918,2.0,1.0,0,$240_pw,House,January 2009,3824,2009,1,CHILDERS,240,House
166,"7 ERNEST STREET, CHILDERS",-25.234804,152.281555,3.0,1.0,1,$280_pw,House,January 2009,3824,2009,1,CHILDERS,280,House
202,"2/20 NICKLESS STREET, CHILTERN",-36.154038,146.602977,2.0,1.0,2,$180_pw,Rental_residential,June 2009,3683,2009,6,CHILTERN,180,Other
432,"25 CLUBPOINT DRIVE, CHIRNSIDE PARK",-37.7526153,145.3270934,3.0,2.0,1,$365_pw,House,October 2009,3116,2009,10,PARK,365,House
433,"25 CLUBPOINT DRIVE, CHIRNSIDE PARK",-37.7526153,145.3270934,3.0,2.0,1,$355_pw,House,October 2009,3116,2009,10,PARK,355,House
434,"25 CLUBPOINT DRIVE, CHIRNSIDE PARK",-37.7526153,145.3270934,3.0,2.0,1,$365_pw,House,September 2009,3116,2009,9,PARK,365,House
467,"5 ALLY TERRACE, CHIRNSIDE PARK",-37.756717,145.294892,4.0,2.0,2,$450_pw,House,November 2009,3116,2009,11,PARK,450,House
468,"5 ALLY TERRACE, CHIRNSIDE PARK",-37.756717,145.294892,4.0,2.0,2,$450_pw,House,April 2009,3116,2009,4,PARK,450,House
