,address,latitude,longitude,nbed,nbath,ncar,price,type,historical_dates,postcode,year,month,suburb,weekly_rent,residence_type
41,"208 MAIN ROAD, CHEWTON",-37.080111,144.261809,3.0,1.0,2,$300_pw,House,November 2013,3451,2013,11,CHEWTON,300,House
87,"171 MAIN ROAD, CHEWTON",-37.081326,144.259245,3.0,1.0,8,$330_pw,House,September 2013,3451,2013,9,CHEWTON,330,House
126,"173 MAIN ROAD, CHEWTON",-37.080952,144.259378,2.0,1.0,0,$270_pw,House,October 2013,3451,2013,10,CHEWTON,270,House
127,"173 MAIN ROAD, CHEWTON",-37.080952,144.259378,2.0,1.0,0,$270_pw,House,September 2013,3451,2013,9,CHEWTON,270,House
137,"4 GEORGE STREET, CHEWTON",-37.082086,144.256513,3.0,1.0,2,$350_pw,House,April 2013,3451,2013,4,CHEWTON,350,House
249,"2/56 ALBERT ROAD, CHILTERN",-36.14908,146.604709,2.0,1.0,1,$185_pw,House,October 2013,3683,2013,10,CHILTERN,185,House
281,"8 SKERRY STREET, CHILTERN",-36.151158,146.598197,3.0,2.0,2,$280_Weekly,House,July 2013,3683,2013,7,CHILTERN,280,House
316,"4 GLENDALE DRIVE, CHIRNSIDE PARK",-37.751383,145.312411,4.0,2.0,2,$350_per_week,Rental_residential,February 2013,3116,2013,2,PARK,350,Other
334,"12-14 CAMPUS GATE, CHIRNSIDE PARK",-37.755523,145.332948,5.0,2.0,2,$390_pw,House,August 2013,3116,2013,8,PARK,390,House
335,"12-14 CAMPUS GATE, CHIRNSIDE PARK",-37.755523,145.332948,5.0,2.0,2,$390_per_week,House,June 2013,3116,2013,6,PARK,390,House
411,"66 ROSEMAN ROAD, CHIRNSIDE PARK",-37.746928,145.33598,3.0,1.0,1,$320_pw,House,December 2013,3116,2013,12,PARK,320,House
412,"66 ROSEMAN ROAD, CHIRNSIDE PARK",-37.746928,145.33598,3.0,1.0,1,$320_pw,House,April 2013,3116,2013,4,PARK,320,House
438,"5 EDWARD ROAD, CHIRNSIDE PARK",-37.75641,145.316065,3.0,1.0,1,$295,House,March 2013,3116,2013,3,PARK,295,House
447,"26 JOANNE AVENUE, CHIRNSIDE PARK",-37.755106,145.306849,3.0,2.0,3,$420_pw,House,December 2013,3116,2013,12,PARK,420,House
519,"23826 BASS HIGHWAY, CHRISTMAS HILLS",-37.653666,145.3050781,3.0,2.0,0,$260,House,August 2013,3775,2013,8,HILLS,260,House
570,"5 NICHOLLS ROAD, CHUM CREEK",-37.6389688,145.4977567,3.0,1.0,2,$340_pw,none,August 2013,3777,2013,8,CREEK,340,Other
577,"8 GUNDAROO DRIVE, CHURCHILL",-38.320903,146.422926,3.0,1.0,1,$190_pw,House,March 2013,3842,2013,3,CHURCHILL,190,House
622,"15 CURRINGA COURT, CHURCHILL",-38.319109,146.420642,4.0,2.0,2,$300_per_week,none,December 2013,3842,2013,12,CHURCHILL,300,Other
678,"13 GUNDAROO PLACE, CHURCHILL",-38.320975,146.423926,3.0,1.0,0,$210_p.w.,House,March 2013,3842,2013,3,CHURCHILL,210,House
687,"5 AMAROO DRIVE, CHURCHILL",-38.323465,146.422057,3.0,1.0,1,$150_pw,none,March 2013,3842,2013,3,CHURCHILL,150,Other
705,"38 COOLABAH DRIVE, CHURCHILL",-38.303151,146.416263,3.0,1.0,1,$195_per_week,House,January 2013,3842,2013,1,CHURCHILL,195,House
718,"48 MCDONALD WAY, CHURCHILL",-38.312359,146.412762,3.0,1.0,1,$195_pw,Rental_residential,January 2013,3842,2013,1,CHURCHILL,195,Other
748,"6320 MIDLAND HIGHWAY, CLARENDON",-37.695823,143.975766,5.0,2.0,2,$300_per_week,House,July 2013,3352,2013,7,CLARENDON,300,House
750,"108 COURTS ROAD, CLARENDON",-37.718594,143.995601,3.0,2.0,6,$320_per_week,House,February 2013,3352,2013,2,CLARENDON,320,House
811,"UNIT 1/19 ELDER STREET, CLARINDA",-37.928967,145.103913,2.0,1.0,1,$290_Weekly,Unit,March 2013,3169,2013,3,CLARINDA,290,Apartment
904,"38 CRAWFORD ROAD, CLARINDA",-37.931652,145.101336,4.0,1.0,3,$370,House,June 2013,3169,2013,6,CLARINDA,370,House
905,"38 CRAWFORD ROAD, CLARINDA",-37.931652,145.101336,4.0,1.0,3,$370,House,May 2013,3169,2013,5,CLARINDA,370,House
964,"4/29 THE PARADE, CLARINDA",-37.929939,145.103692,2.0,1.0,1,$280_Weekly,Rental_residential,February 2013,3169,2013,2,CLARINDA,280,Other
973,"7 BODLEY STREET, CLARINDA",-37.944388,145.113306,3.0,1.0,1,$380,House,November 2013,3169,2013,11,CLARINDA,380,House
1067,"54 GLENBROOK AVENUE, CLAYTON NORTH",-37.910982,145.123839,4.0,1.5,2,$430_Weekly,House,September 2013,3168,2013,9,NORTH,430,House
1077,"2/64 WELLINGTON ROAD, CLAYTON NORTH",-37.91636,145.136891,2.0,1.0,1,$280_Weekly,none,April 2013,3168,2013,4,NORTH,280,Other
1079,"59 MARSHALL AVENUE, CLAYTON NORTH",-37.91192,145.126379,3.0,1.0,0,$370_Weekly,none,February 2013,3168,2013,2,NORTH,370,Other
1080,"59 MARSHALL AVENUE, CLAYTON NORTH",-37.91192,145.126379,3.0,1.0,0,$370_Weekly,none,March 2013,3168,2013,3,NORTH,370,Other
1631,"3/31 SPRINGS ROAD, CLAYTON SOUTH",-37.930285,145.109556,2.0,1.0,1,$310_per_week,none,March 2013,3169,2013,3,SOUTH,310,Other
1632,"3/31 SPRINGS ROAD, CLAYTON SOUTH",-37.930285,145.109556,2.0,1.0,1,$310_per_week,none,January 2013,3169,2013,1,SOUTH,310,Other
1674,"10 EVERGREEN BOULEVARD, CLAYTON SOUTH",-37.93957,145.137404,3.0,2.0,2,$460,House,January 2013,3169,2013,1,SOUTH,460,House
1698,"A202/59 AUTUMN TERRACE, CLAYTON SOUTH",-37.9391661,145.1385972,1.0,1.0,1,$320_pw,Rental_residential,August 2013,3169,2013,8,SOUTH,320,Other
1703,"5/5 BURNS AVENUE, CLAYTON SOUTH",-37.9368135,145.1345036,2.0,1.0,1,$305_p.w.,Available Now,September 2013,3169,2013,9,SOUTH,305,Other
1773,"UNIT 2/32 TENNYSON AVENUE, CLAYTON SOUTH",-37.936636,145.129962,2.0,1.0,1,$310_Weekly,Unit,November 2013,3169,2013,11,SOUTH,310,Apartment
1774,"UNIT 2/32 TENNYSON AVENUE, CLAYTON SOUTH",-37.936636,145.129962,2.0,1.0,1,$310_Weekly,Unit,October 2013,3169,2013,10,SOUTH,310,Apartment
1786,"1/60 OAKES AVENUE, CLAYTON SOUTH",-37.93713,145.136159,3.0,2.0,2,$290_pw,Townhouse,August 2013,3169,2013,8,SOUTH,290,House
1864,"4/10 PANORAMA STREET, CLAYTON",-37.918065,145.130143,3.0,1.0,1,$380_pw,Townhouse,February 2013,3168,2013,2,CLAYTON,380,House
1869,"6/58 KANOOKA GROVE, CLAYTON",-37.92192,145.125966,2.0,1.0,1,$355_p.w.,Townhouse,September 2013,3168,2013,9,CLAYTON,355,House
1940,"30/2 GREENFIELD DRIVE, CLAYTON",-37.923181,145.128623,2.0,1.0,1,$380,Unit,October 2013,3168,2013,10,CLAYTON,380,Apartment
1954,"1/34 WELLINGTON ROAD, CLAYTON",-37.915779,145.133915,1.0,1.0,1,$255,Unit,September 2013,3168,2013,9,CLAYTON,255,Apartment
2012,"UNIT 3/10 DENNIS STREET, CLAYTON",-37.9181978,145.1365816,2.0,1.0,1,$300_Weekly,Unit,August 2013,3168,2013,8,CLAYTON,300,Apartment
2013,"UNIT 3/10 DENNIS STREET, CLAYTON",-37.9181978,145.1365816,2.0,1.0,1,$300_Weekly,Unit,July 2013,3168,2013,7,CLAYTON,300,Apartment
2068,"1/14 BETTINA STREET, CLAYTON",-37.91898,145.136706,2.0,1.0,1,$320_per_week,Unit,March 2013,3168,2013,3,CLAYTON,320,Apartment
2141,"UNIT 1/5-7 THOMAS STREET, CLAYTON",-37.926088,145.12026,2.0,1.0,1,$330_Weekly,Unit,December 2013,3168,2013,12,CLAYTON,330,Apartment
2142,"UNIT 1/5-7 THOMAS STREET, CLAYTON",-37.926088,145.12026,2.0,1.0,1,$330_Weekly,Unit,November 2013,3168,2013,11,CLAYTON,330,Apartment
2143,"UNIT 1/5-7 THOMAS STREET, CLAYTON",-37.926088,145.12026,2.0,1.0,1,$340_Weekly,Unit,November 2013,3168,2013,11,CLAYTON,340,Apartment
2182,"1/31 GLENBROOK AVENUE, CLAYTON",-37.909275,145.123752,3.0,1.0,2,$350_per_week,House,April 2013,3168,2013,4,CLAYTON,350,House
2281,"6/13-15 ARNOTT STREET, CLAYTON",-37.917233,145.134413,3.0,1.0,1,$420_pw,Townhouse,July 2013,3168,2013,7,CLAYTON,420,House
2349,"182 CLAYTON ROAD, CLAYTON",-37.915531,145.121942,5.0,2.0,1,$395,House,August 2013,3168,2013,8,CLAYTON,395,House
2363,"3/17 FRANCIS STREET, CLAYTON",-37.924666,145.123304,2.0,1.0,1,$350_p.w.,Unit,August 2013,3168,2013,8,CLAYTON,350,Apartment
2414,"16 WELLINGTON ROAD, CLAYTON",-37.915481,145.130845,1.0,2.0,0,$550_pw,House,February 2013,3168,2013,2,CLAYTON,550,House
2525,"35 RENVER ROAD, CLAYTON",-37.919951,145.142791,3.0,1.0,1,$365_per_week,House,January 2013,3168,2013,1,CLAYTON,365,House
2583,"25 STOCKDALE AVENUE, CLAYTON",-37.90903,145.125797,3.0,1.0,2,$330_Weekly,House,April 2013,3168,2013,4,CLAYTON,330,House
2629,"UNIT 3/11 YARRAM CRESCENT, CLAYTON",-37.926088,145.115029,2.0,1.0,1,$325_Weekly,Townhouse,December 2013,3168,2013,12,CLAYTON,325,House
2630,"UNIT 3/11 YARRAM CRESCENT, CLAYTON",-37.926088,145.115029,2.0,1.0,1,$325_pw,Townhouse,April 2013,3168,2013,4,CLAYTON,325,House
2690,"126 MORIAH STREET, CLAYTON",-37.927922,145.129585,4.0,2.0,2,$550,House,April 2013,3168,2013,4,CLAYTON,550,House
2691,"126 MORIAH STREET, CLAYTON",-37.927922,145.129585,4.0,2.0,2,$574,House,April 2013,3168,2013,4,CLAYTON,574,House
2729,"1/5 BROWNS ROAD, CLAYTON",-37.917169,145.128252,6.0,3.0,0,$150_per_week,none,January 2013,3168,2013,1,CLAYTON,150,Other
2751,"126 MORIAH ST, CLAYTON",-37.927922,145.129585,4.0,2.0,2,$595_Weekly,House,March 2013,3168,2013,3,CLAYTON,595,House
2873,"9/34 WELLINGTON ROAD, CLAYTON",-37.915995,145.133951,1.0,1.0,1,$215,none,January 2013,3168,2013,1,CLAYTON,215,Other
2885,"13/9-11 BROWNS ROAD, CLAYTON",-37.918418,145.127927,2.0,1.0,1,$260_pw,House,January 2013,3168,2013,1,CLAYTON,260,House
2902,"9 SHADY MEWS, CLAYTON",-37.922424,145.12782,2.0,1.0,2,$370_p.w.,Rental_residential,April 2013,3168,2013,4,CLAYTON,370,Other
2910,"24 PRINCE CHARLES STREET, CLAYTON",-37.923408,145.114968,4.0,1.0,1,$410_pw,House,March 2013,3168,2013,3,CLAYTON,410,House
2911,"24 PRINCE CHARLES STREET, CLAYTON",-37.923408,145.114968,4.0,1.0,1,$425_pw,House,February 2013,3168,2013,2,CLAYTON,425,House
2951,"42 STOCKDALE AVENUE, CLAYTON",-37.910502,145.126035,4.0,2.0,1,$300_Weekly,House,June 2013,3168,2013,6,CLAYTON,300,House
2993,"4 / 63 CARINISH ROAD, CLAYTON",-37.920334,145.115395,2.0,1.0,1,$330_Weekly,Unit,February 2013,3168,2013,2,CLAYTON,330,Apartment
3010,"1/31 GLENBROOK AVE, CLAYTON",-37.909189,145.123384,3.0,1.0,2,$350_per_week,House,June 2013,3168,2013,6,CLAYTON,350,House
3023,"10/10 ARNOTT STREET, CLAYTON",-37.9169379,145.1348441,2.0,1.0,1,$341_pw,Rental_residential,August 2013,3168,2013,8,CLAYTON,341,Other
3024,"10/10 ARNOTT STREET, CLAYTON",-37.9169379,145.1348441,2.0,1.0,1,$340_pw,Rental_residential,July 2013,3168,2013,7,CLAYTON,340,Other
3030,"220/1457 NORTH ROAD, CLAYTON",-37.913578,145.124129,1.0,1.0,0,$230_per_week,Rental_residential,December 2013,3168,2013,12,CLAYTON,230,Other
3144,"23 MCBEAN STREET, CLAYTON",-37.923718,145.111716,2.0,1.0,2,$380_per_week,Townhouse,March 2013,3168,2013,3,CLAYTON,380,House
3162,"1/1440 NORTH ROAD, CLAYTON",-37.913904,145.118858,3.0,1.0,1,$481_pw,Townhouse,July 2013,3168,2013,7,CLAYTON,481,House
3163,"1/1440 NORTH ROAD, CLAYTON",-37.913904,145.118858,3.0,1.0,1,$481_pw,Townhouse,June 2013,3168,2013,6,CLAYTON,481,House
3274,"59 MARSHALL AVENUE, CLAYTON",-37.91192,145.126379,4.0,1.0,4,$395_Weekly,House,April 2013,3168,2013,4,CLAYTON,395,House
3275,"59 MARSHALL AVENUE, CLAYTON",-37.91192,145.126379,4.0,1.0,4,$395_Weekly,House,January 2013,3168,2013,1,CLAYTON,395,House
3286,"9 BURTON AVENUE, CLAYTON",-37.926327,145.115883,4.0,3.0,1,$340_pw,Townhouse,August 2013,3168,2013,8,CLAYTON,340,House
3287,"9 BURTON AVENUE, CLAYTON",-37.926327,145.115883,4.0,3.0,1,$340_Weekly,Townhouse,May 2013,3168,2013,5,CLAYTON,340,House
3288,"9 BURTON AVENUE, CLAYTON",-37.926327,145.115883,4.0,3.0,1,$350_p.w.,Townhouse,April 2013,3168,2013,4,CLAYTON,350,House
3557,"31 BEDDOE AVENUE, CLAYTON",-37.90991,145.12789,3.0,1.0,4,$325_Weekly,House,July 2013,3168,2013,7,CLAYTON,325,House
3558,"31 BEDDOE AVENUE, CLAYTON",-37.90991,145.12789,3.0,1.0,4,$370_Weekly,House,April 2013,3168,2013,4,CLAYTON,370,House
3716,"2/14 PRINCE CHARLES STREET, CLAYTON",-37.922618,145.114988,3.0,2.0,2,$490_per_week,Townhouse,November 2013,3168,2013,11,CLAYTON,490,House
3717,"2/14 PRINCE CHARLES STREET, CLAYTON",-37.922618,145.114988,3.0,2.0,2,$490_per_week,Townhouse,October 2013,3168,2013,10,CLAYTON,490,House
3753,"2/184 CLAYTON ROAD, CLAYTON",-37.915695,145.122032,4.0,2.0,2,$550_Weekly,House,September 2013,3168,2013,9,CLAYTON,550,House
3779,"2/43 PANORAMA STREET, CLAYTON",-37.922076,145.128874,4.0,2.0,1,$515_Weekly,Townhouse,April 2013,3168,2013,4,CLAYTON,515,House
3780,"2/43 PANORAMA STREET, CLAYTON",-37.922076,145.128874,4.0,2.0,1,$515_Weekly,Townhouse,February 2013,3168,2013,2,CLAYTON,515,House
3781,"2/43 PANORAMA STREET, CLAYTON",-37.922076,145.128874,4.0,2.0,1,$515_Weekly,Townhouse,January 2013,3168,2013,1,CLAYTON,515,House
3829,"23 BAYVIEW AVENUE, CLAYTON",-37.906772,145.126106,4.0,2.0,1,$560_Weekly,House,December 2013,3168,2013,12,CLAYTON,560,House
3830,"23 BAYVIEW AVENUE, CLAYTON",-37.906772,145.126106,4.0,2.0,1,$560_Weekly,House,February 2013,3168,2013,2,CLAYTON,560,House
3840,"1/17 BEDDOE AVENUE, CLAYTON",-37.90863,145.128127,3.0,2.0,1,$510_Weekly,Townhouse,December 2013,3168,2013,12,CLAYTON,510,House
3875,"1/12 MADELEINE ROAD, CLAYTON",-37.915266,145.120158,3.0,1.0,1,$435_per_week,Available Now,June 2013,3168,2013,6,CLAYTON,435,Other
3876,"1/12 MADELEINE ROAD, CLAYTON",-37.915266,145.120158,3.0,1.0,1,$435_per_week,Available Now,March 2013,3168,2013,3,CLAYTON,435,Other
3915,"10 VICTOR ROAD, CLEMATIS",-37.929733,145.419864,5.0,2.0,0,$410_per_week,none,May 2013,3782,2013,5,CLEMATIS,410,Other
3944,"6 VICTOR ROAD, CLEMATIS",-37.929987,145.420214,2.0,1.0,1,$300_Weekly,none,August 2013,3782,2013,8,CLEMATIS,300,Other
3959,"13 PARADISE AVENUE, CLEMATIS",-37.934453,145.420268,4.0,2.0,0,$340_per_week,House,December 2013,3782,2013,12,CLEMATIS,340,House
3986,"260A BELLBIRD ROAD, CLIFTON CREEK",-37.721096,147.703205,3.0,1.0,0,$255_Weekly,House,May 2013,3875,2013,5,CREEK,255,House
3995,"6/21 WALKER STREET, CLIFTON HILL",-37.788514,145.001566,3.0,1.0,1,$490_pw,none,January 2013,3068,2013,1,HILL,490,Other
4004,"2/262 ALEXANDRA PARADE EAST, CLIFTON HILL",-37.7949421,144.9976199,1.0,1.0,1,$340_per_week,none,July 2013,3068,2013,7,HILL,340,Other
4005,"2/262 ALEXANDRA PARADE EAST, CLIFTON HILL",-37.7949421,144.9976199,1.0,1.0,1,$380_per_week,none,May 2013,3068,2013,5,HILL,380,Other
4011,"29 FENWICK STREET, CLIFTON HILL",-37.789226,144.999862,2.0,1.0,0,$460_per_week,none,August 2013,3068,2013,8,HILL,460,Other
4179,"650 SMITH STREET, CLIFTON HILL",-37.79212,144.985634,3.0,2.0,1,$760_per_week,Rental_residential,May 2013,3068,2013,5,HILL,760,Other
4180,"650 SMITH STREET, CLIFTON HILL",-37.79212,144.985634,3.0,2.0,1,$795_per_week,Rental_residential,April 2013,3068,2013,4,HILL,795,Other
4181,"650 SMITH STREET, CLIFTON HILL",-37.79212,144.985634,3.0,2.0,1,$890_per_week,Rental_residential,March 2013,3068,2013,3,HILL,890,Other
4182,"650 SMITH STREET, CLIFTON HILL",-37.79212,144.985634,3.0,2.0,1,$890_per_week,Rental_residential,February 2013,3068,2013,2,HILL,890,Other
4194,"18/14 THE ESPLANADE, CLIFTON HILL",-37.788057,145.005844,1.0,1.0,1,$280_pw,Rental_residential,December 2013,3068,2013,12,HILL,280,Other
4195,"18/14 THE ESPLANADE, CLIFTON HILL",-37.788057,145.005844,1.0,1.0,1,$280_pw,Rental_residential,November 2013,3068,2013,11,HILL,280,Other
4207,"205 SPENSLEY STREET, CLIFTON HILL",-37.786573,145.004419,2.0,1.0,1,$490_pw,House,August 2013,3068,2013,8,HILL,490,House
4218,"5/200 NOONE STREET, CLIFTON HILL",-37.793351,144.98911,2.0,2.0,1,$600_pw,none,March 2013,3068,2013,3,HILL,600,Other
4241,"18 OGRADY STREET, CLIFTON HILL",-37.787047,144.998269,2.0,2.0,1,$570,Rental_residential,June 2013,3068,2013,6,HILL,570,Other
4278,"30A COUNCIL STREET, CLIFTON HILL",-37.792295,144.986832,4.0,2.0,0,$950_pw,House,January 2013,3068,2013,1,HILL,950,House
4287,"11 DALLY STREET, CLIFTON HILL",-37.792519,144.999611,2.0,1.0,0,$500_per_week,none,May 2013,3068,2013,5,HILL,500,Other
4288,"11 DALLY STREET, CLIFTON HILL",-37.792519,144.999611,2.0,1.0,0,$500_per_week,none,April 2013,3068,2013,4,HILL,500,Other
4310,"4/37 YAMBLA STREET, CLIFTON HILL",-37.7914456,145.0009828,2.0,1.0,2,$350_per_week,Rental_residential,December 2013,3068,2013,12,HILL,350,Other
4311,"4/37 YAMBLA STREET, CLIFTON HILL",-37.7914456,145.0009828,2.0,1.0,2,$380_per_week,Rental_residential,November 2013,3068,2013,11,HILL,380,Other
4315,"53 DWYER STREET, CLIFTON HILL",-37.785982,145.001994,2.0,1.0,0,$545_pw,none,February 2013,3068,2013,2,HILL,545,Other
4375,"10/9 SOUTH TERRACE, CLIFTON HILL",-37.79235,144.99226,1.0,1.0,1,$300_p.w.,Flat,November 2013,3068,2013,11,HILL,300,Apartment
4386,"7/2 ANDERSON STREET, CLIFTON HILL",-37.793144,144.993094,2.0,1.0,1,$300_pw,Flat,February 2013,3068,2013,2,HILL,300,Apartment
4443,"171 RAMSDEN STREET, CLIFTON HILL",-37.7914025,145.0020013,3.0,1.0,1,$550_pw,House,June 2013,3068,2013,6,HILL,550,House
4455,"16 COUNCIL STREET, CLIFTON HILL",-37.792331,144.986235,2.0,2.0,0,$595_Weekly,none,September 2013,3068,2013,9,HILL,595,Other
4456,"16 COUNCIL STREET, CLIFTON HILL",-37.792331,144.986235,2.0,2.0,0,$560_pw,none,August 2013,3068,2013,8,HILL,560,Other
4498,"22 GROOM STREET, CLIFTON HILL",-37.793529,144.997952,2.0,2.0,1,$420_per_week,Rental_residential,November 2013,3068,2013,11,HILL,420,Other
4534,"8/10 SOUTH TERRACE, CLIFTON HILL",-37.792577,144.992383,2.0,1.0,1,$430_pw,Townhouse,March 2013,3068,2013,3,HILL,430,House
4571,"10 ANDERSON ST, CLIFTON HILL",-37.792765,144.993104,2.0,1.0,1,$500_p.w.,Rental_residential,November 2013,3068,2013,11,HILL,500,Other
