,address,latitude,longitude,nbed,nbath,ncar,historical_prices,type,historical_dates
0,"1007/118 FRANKLIN STREET, MELBOURNE",-37.8081920,144.9589530,1,2,none,$520 per week,none,July 2014
0,"1007/118 FRANKLIN STREET, MELBOURNE",-37.8081920,144.9589530,1,2,none,$520 per week,none,August 2013
0,"1007/118 FRANKLIN STREET, MELBOURNE",-37.8081920,144.9589530,1,2,none,$520 per week,none,July 2013
0,"1007/118 FRANKLIN STREET, MELBOURNE",-37.8081920,144.9589530,1,2,none,$530 pw,none,January 2012
0,"702/594 ST KILDA ROAD, MELBOURNE",-37.8496800,144.9798990,1,1,1,$380 per week,none,August 2022
0,"702/594 ST KILDA ROAD, MELBOURNE",-37.8496800,144.9798990,1,1,1,$380 per week,none,September 2022
0,"702/594 ST KILDA ROAD, MELBOURNE",-37.8496800,144.9798990,1,1,1,$410 per week,none,October 2018
0,"702/594 ST KILDA ROAD, MELBOURNE",-37.8496800,144.9798990,1,1,1,$380 per week,none,August 2017
0,"702/594 ST KILDA ROAD, MELBOURNE",-37.8496800,144.9798990,1,1,1,$380 per week,none,March 2017
0,"702/594 ST KILDA ROAD, MELBOURNE",-37.8496800,144.9798990,1,1,1,$360 per week,none,August 2014
0,"702/594 ST KILDA ROAD, MELBOURNE",-37.8496800,144.9798990,1,1,1,$360 per week,none,July 2013
0,"702/594 ST KILDA ROAD, MELBOURNE",-37.8496800,144.9798990,1,1,1,$400 per week,none,June 2013
0,"702/594 ST KILDA ROAD, MELBOURNE",-37.8496800,144.9798990,1,1,1,$400 per week,none,May 2013
0,"702/594 ST KILDA ROAD, MELBOURNE",-37.8496800,144.9798990,1,1,1,$400 Weekly,none,April 2012
0,"702/594 ST KILDA ROAD, MELBOURNE",-37.8496800,144.9798990,1,1,1,$400,none,April 2012
0,"702/594 ST KILDA ROAD, MELBOURNE",-37.8496800,144.9798990,1,1,1,$410 p.w.,none,March 2012
0,"702/594 ST KILDA ROAD, MELBOURNE",-37.8496800,144.9798990,1,1,1,$410 pw,none,March 2012
