,Year,Postcode,Offence Count
268,2013,3329,4
269,2013,3330,12
270,2013,3331,98
271,2013,3332,15
272,2013,3333,59
273,2013,3334,11
274,2013,3335,197
275,2013,3336,165
276,2013,3337,3205
277,2013,3338,1435
278,2013,3340,1308
279,2013,3341,39
280,2013,3342,205
281,2013,3345,27
282,2013,3350,5901
283,2013,3351,209
284,2013,3352,425
285,2013,3355,1413
286,2013,3356,1500
287,2013,3357,134
288,2013,3358,43
289,2013,3360,18
290,2013,3361,14
291,2013,3363,164
292,2013,3364,60
293,2013,3370,65
294,2013,3371,38
295,2013,3373,144
296,2013,3374,36
297,2013,3375,9
298,2013,3377,1072
299,2013,3378,4
300,2013,3379,18
301,2013,3380,620
302,2013,3381,60
303,2013,3384,17
304,2013,3385,12
305,2013,3387,5
306,2013,3388,25
307,2013,3390,27
308,2013,3391,28
309,2013,3392,13
310,2013,3393,242
311,2013,3395,19
312,2013,3396,24
313,2013,3400,2533
314,2013,3401,122
315,2013,3407,14
316,2013,3409,35
317,2013,3412,17
318,2013,3413,2
319,2013,3414,66
320,2013,3415,3
321,2013,3418,86
322,2013,3419,48
323,2013,3420,10
324,2013,3423,51
325,2013,3424,56
326,2013,3427,136
327,2013,3428,54
328,2013,3429,1756
329,2013,3430,20
330,2013,3431,104
331,2013,3432,3
332,2013,3433,8
333,2013,3434,154
334,2013,3435,91
335,2013,3437,252
336,2013,3438,76
337,2013,3440,53
338,2013,3441,19
339,2013,3442,232
340,2013,3444,586
341,2013,3446,37
342,2013,3447,11
343,2013,3448,37
344,2013,3450,524
345,2013,3451,121
346,2013,3453,36
347,2013,3458,69
348,2013,3460,223
349,2013,3461,80
350,2013,3462,39
351,2013,3463,89
352,2013,3464,39
353,2013,3465,837
354,2013,3467,51
355,2013,3468,7
356,2013,3469,19
357,2013,3472,73
358,2013,3475,36
359,2013,3477,15
360,2013,3478,199
361,2013,3480,48
362,2013,3482,23
363,2013,3483,38
364,2013,3485,2
365,2013,3487,1
366,2013,3488,1
367,2013,3489,10
368,2013,3490,75
369,2013,3491,3
370,2013,3494,39
371,2013,3496,446
372,2013,3498,237
373,2013,3500,4156
374,2013,3501,61
375,2013,3505,317
376,2013,3507,1
377,2013,3509,15
378,2013,3512,11
379,2013,3515,39
380,2013,3516,56
381,2013,3517,94
382,2013,3518,114
383,2013,3520,15
384,2013,3521,36
385,2013,3522,31
386,2013,3523,161
387,2013,3525,85
388,2013,3527,41
389,2013,3529,3
390,2013,3531,3
391,2013,3533,43
392,2013,3537,20
393,2013,3540,39
394,2013,3542,1
395,2013,3544,10
396,2013,3546,25
397,2013,3549,335
398,2013,3550,4668
399,2013,3551,678
400,2013,3555,1288
401,2013,3556,838
402,2013,3557,162
403,2013,3558,78
404,2013,3559,24
405,2013,3561,251
406,2013,3562,10
407,2013,3563,23
408,2013,3564,1592
409,2013,3565,7
410,2013,3566,20
411,2013,3567,43
412,2013,3568,71
413,2013,3570,26
414,2013,3571,9
415,2013,3572,2
416,2013,3573,23
417,2013,3575,16
