,Unnamed: 0,address,latitude,longitude,nbed,nbath,ncar,price,historical_dates,suburb,weekly_rent
0,0,"3803/483 SWANSTON STREET, MELBOURNE",-37.807094,144.962386,3,2,0,$1500,2022-09-01,MELBOURNE,1500
1,0,"3803/483 SWANSTON STREET, MELBOURNE",-37.807094,144.962386,3,2,0,$1500,2022-09-01,MELBOURNE,1500
2,0,"3803/483 SWANSTON STREET, MELBOURNE",-37.807094,144.962386,3,2,0,$800_per_week,2022-03-01,MELBOURNE,800
3,0,"3803/483 SWANSTON STREET, MELBOURNE",-37.807094,144.962386,3,2,0,$750_Weekly,2022-01-01,MELBOURNE,750
4,0,"3803/483 SWANSTON STREET, MELBOURNE",-37.807094,144.962386,3,2,0,$750_Weekly,2020-06-01,MELBOURNE,750
5,0,"3811/639 LONSDALE STREET, MELBOURNE",-37.8148691,144.9532844,2,2,1,$1000,2022-09-01,MELBOURNE,1000
6,0,"3811/639 LONSDALE STREET, MELBOURNE",-37.8148691,144.9532844,2,2,1,$1000,2022-09-01,MELBOURNE,1000
7,0,"3811/639 LONSDALE STREET, MELBOURNE",-37.8148691,144.9532844,2,2,1,$700,2022-05-01,MELBOURNE,700
8,0,"3811/639 LONSDALE STREET, MELBOURNE",-37.8148691,144.9532844,2,2,1,$550_per_week,2022-03-01,MELBOURNE,550
9,0,"3811/639 LONSDALE STREET, MELBOURNE",-37.8148691,144.9532844,2,2,1,$500_Weekly,2022-01-01,MELBOURNE,500
10,0,"3811/639 LONSDALE STREET, MELBOURNE",-37.8148691,144.9532844,2,2,1,$550_Weekly,2020-09-01,MELBOURNE,550
11,0,"3811/639 LONSDALE STREET, MELBOURNE",-37.8148691,144.9532844,2,2,1,$500_per_week,2020-09-01,MELBOURNE,500
12,0,"500 FLINDERS STREET, MELBOURNE",-37.820019,144.957827,1,1,0,$220_per_week,2022-09-01,MELBOURNE,220
13,0,"500 FLINDERS STREET, MELBOURNE",-37.820019,144.957827,1,1,0,$220_per_week,2022-08-01,MELBOURNE,220
14,0,"500 FLINDERS STREET, MELBOURNE",-37.820019,144.957827,1,1,0,$299,2022-05-01,MELBOURNE,299
15,0,"500 FLINDERS STREET, MELBOURNE",-37.820019,144.957827,1,1,0,$270_per_week,2020-09-01,MELBOURNE,270
16,0,"500 FLINDERS STREET, MELBOURNE",-37.820019,144.957827,1,1,0,$299_per_week,2020-08-01,MELBOURNE,299
17,0,"500 FLINDERS STREET, MELBOURNE",-37.820019,144.957827,1,1,0,$399_per_week,2018-11-01,MELBOURNE,399
18,0,"500 FLINDERS STREET, MELBOURNE",-37.820019,144.957827,1,1,0,$399,2018-11-01,MELBOURNE,399
19,0,"500 FLINDERS STREET, MELBOURNE",-37.820019,144.957827,1,1,0,$350_-_$450_per_week,2018-10-01,MELBOURNE,450
20,0,"500 FLINDERS STREET, MELBOURNE",-37.820019,144.957827,1,1,0,$450,2017-09-01,MELBOURNE,450
21,0,"500 FLINDERS STREET, MELBOURNE",-37.820019,144.957827,1,1,0,$290_per_week,2016-05-01,MELBOURNE,290
22,0,"500 FLINDERS STREET, MELBOURNE",-37.820019,144.957827,1,1,0,$290_pw,2016-05-01,MELBOURNE,290
23,0,"500 FLINDERS STREET, MELBOURNE",-37.820019,144.957827,1,1,0,$290,2016-05-01,MELBOURNE,290
24,0,"500 FLINDERS STREET, MELBOURNE",-37.820019,144.957827,1,1,0,$330_pw,2013-03-01,MELBOURNE,330
25,0,"500 FLINDERS STREET, MELBOURNE",-37.820019,144.957827,1,1,0,$330_pw,2012-10-01,MELBOURNE,330
26,0,"500 FLINDERS STREET, MELBOURNE",-37.820019,144.957827,1,1,0,$330_pw,2012-01-01,MELBOURNE,330
27,0,"500 FLINDERS STREET, MELBOURNE",-37.820019,144.957827,1,1,0,$290_pw,2011-07-01,MELBOURNE,290
28,0,"500 FLINDERS STREET, MELBOURNE",-37.820019,144.957827,1,1,0,$330_pw,2011-07-01,MELBOURNE,330
29,0,"500 FLINDERS STREET, MELBOURNE",-37.820019,144.957827,1,1,0,$330_pw,2011-05-01,MELBOURNE,330
31,0,"500 FLINDERS STREET, MELBOURNE",-37.820019,144.957827,1,1,0,$230_pw,2010-03-01,MELBOURNE,230
32,0,"500 FLINDERS STREET, MELBOURNE",-37.820019,144.957827,1,1,0,$190_per_week,2009-10-01,MELBOURNE,190
35,0,"321/9 COMMERCIAL ROAD, MELBOURNE",-37.845884,144.980121,2,2,2,$570_per_week,2022-09-01,MELBOURNE,570
36,0,"321/9 COMMERCIAL ROAD, MELBOURNE",-37.845884,144.980121,2,2,2,$570_p.w.,2022-08-01,MELBOURNE,570
38,0,"321/9 COMMERCIAL ROAD, MELBOURNE",-37.845884,144.980121,2,2,2,$500,2021-07-01,MELBOURNE,500
39,0,"321/9 COMMERCIAL ROAD, MELBOURNE",-37.845884,144.980121,2,2,2,$500_per_week,2021-07-01,MELBOURNE,500
40,0,"321/9 COMMERCIAL ROAD, MELBOURNE",-37.845884,144.980121,2,2,2,$500_p.w.,2021-07-01,MELBOURNE,500
41,0,"321/9 COMMERCIAL ROAD, MELBOURNE",-37.845884,144.980121,2,2,2,$590_per_week,2019-12-01,MELBOURNE,590
42,0,"321/9 COMMERCIAL ROAD, MELBOURNE",-37.845884,144.980121,2,2,2,$590_p.w.,2019-11-01,MELBOURNE,590
43,0,"321/9 COMMERCIAL ROAD, MELBOURNE",-37.845884,144.980121,2,2,2,$590,2019-11-01,MELBOURNE,590
44,0,"321/9 COMMERCIAL ROAD, MELBOURNE",-37.845884,144.980121,2,2,2,$600_per_week,2019-10-01,MELBOURNE,600
45,0,"321/9 COMMERCIAL ROAD, MELBOURNE",-37.845884,144.980121,2,2,2,$600,2019-02-01,MELBOURNE,600
46,0,"321/9 COMMERCIAL ROAD, MELBOURNE",-37.845884,144.980121,2,2,2,$600_p.w.,2019-02-01,MELBOURNE,600
47,0,"321/9 COMMERCIAL ROAD, MELBOURNE",-37.845884,144.980121,2,2,2,$580,2016-01-01,MELBOURNE,580
48,0,"2105/39 LONSDALE STREET, MELBOURNE",-37.8097503,144.9711289,2,1,0,$510,2022-09-01,MELBOURNE,510
49,0,"2105/39 LONSDALE STREET, MELBOURNE",-37.8097503,144.9711289,2,1,0,$510,2022-09-01,MELBOURNE,510
50,0,"2105/39 LONSDALE STREET, MELBOURNE",-37.8097503,144.9711289,2,1,0,$510,2020-08-01,MELBOURNE,510
51,0,"2105/39 LONSDALE STREET, MELBOURNE",-37.8097503,144.9711289,2,1,0,$520_Week,2019-02-01,MELBOURNE,520
52,0,"2105/39 LONSDALE STREET, MELBOURNE",-37.8097503,144.9711289,2,1,0,$500_per_week,2017-02-01,MELBOURNE,500
53,0,"2105/39 LONSDALE STREET, MELBOURNE",-37.8097503,144.9711289,2,1,0,$480_per_week,2016-02-01,MELBOURNE,480
54,0,"2105/39 LONSDALE STREET, MELBOURNE",-37.8097503,144.9711289,2,1,0,$480_pw,2016-02-01,MELBOURNE,480
55,0,"2105/39 LONSDALE STREET, MELBOURNE",-37.8097503,144.9711289,2,1,0,$450_per_week,2013-03-01,MELBOURNE,450
56,0,"2105/39 LONSDALE STREET, MELBOURNE",-37.8097503,144.9711289,2,1,0,$450_pw,2013-03-01,MELBOURNE,450
