,year,gdp(USD Millioins),saving_rate(% of GDP)
0,1970,36910,13.9651799202556
1,1971,40379,13.867941466918
2,1972,44556,14.9224378398989
3,1973,49831,15.8031603007917
4,1974,60374,12.3013033657421
5,1975,71277,10.8003406215143
6,1976,83377,9.91209110935617
7,1977,96236,7.45047290996632
8,1978,105094,9.40575305794308
9,1979,118789,10.3420618771073
10,1980,134654,10.2827898431861
11,1981,152410,8.79676210940387
12,1982,175917,5.16991149508394
13,1983,189481,7.63779085542135
14,1984,213766,8.55938899130893
15,1985,235414,6.45726735042997
16,1986,260714,5.34585042379691
17,1987,286222,7.96242244543827
18,1988,324449,9.03176737426829
19,1989,368145,7.68744021415383
20,1990,404569,3.73452977003273
21,1991,415233,0.993804669889562
22,1992,423222,2.84612510073883
23,1993,444218,4.34681045309011
24,1994,466618,3.60457630436581
25,1995,495509,4.33663238977292
26,1996,528636,5.73314133574948
27,1997,556257,5.29615754311004
28,1998,588842,4.1623451501311
29,1999,620924,4.84115686043384
30,2000,661722,3.90863339397071
31,2001,706385,5.17047191623907
32,2002,755579,4.61140671144285
33,2003,802510,5.41304964703293
34,2004,863395,4.60518132921763
35,2005,924589,5.28586709613836
36,2006,998436,4.98628736497674
37,2007,1087683,5.67107622157907
38,2008,1178577,7.64438288000965
39,2009,1260468,5.2341083986129
40,2010,1302858,7.2654027299566
41,2011,1417898,8.50864512963027
42,2012,1499804,7.57106948857564
43,2013,1536454,6.86139277208826
44,2014,1598553,4.91138838114917
45,2015,1623207,2.49749056549142
46,2016,1657744,4.16446410362221
47,2017,1759314,4.18303086471334
48,2018,1842946,5.2381324284719
49,2019,1946228,6.42597732506893
50,2020,1980866,8.46619029419306
