,bedrooms,bathrooms,carspaces,building_area,street_address,latitude,longitude,price,distance_to_city,postcode,weekly_rent
0,2.0,2.0,1.0,,1407/601 Little Lonsdale Street Melbourne VIC 3000,-37.8137564,144.9537143,$750_per_week,1.2481,3000,750
1,2.0,2.0,,,4507/318 Russell Street Melbourne VIC 3000,-37.8091709,144.966801,$650_per_week,0.9915,3000,650
3,2.0,2.0,,,5101/464 Collins Street Melbourne VIC 3000,-37.8175602,144.9585916,$650,0.725,3000,650
4,2.0,2.0,1.0,,300/668 Bourke Street Melbourne VIC 3000,-37.8166152,144.95427890000002,$550.00,1.1139,3000,550
5,2.0,2.0,,,1605/318 Queen Street Melbourne VIC 3000,-37.811266700000004,144.9592612,$630_Per_Week,1.0078,3000,630
6,2.0,2.0,1.0,,3902/220 Spencer Street Melbourne VIC 3000,-37.8157157,144.9529559,$650_per_week,1.2464,3000,650
7,2.0,2.0,,,5206/318 Russell Melbourne VIC 3000,-37.8091709,144.966801,$750_per_week,0.9915,3000,750
8,2.0,2.0,1.0,,3716/228 La Trobe Street Melbourne VIC 3000,-37.809751399999996,144.9626141,$800_per_week,0.9976,3000,800
9,2.0,2.0,,55.0,2913/350 William Street Melbourne VIC 3000,-37.8112344,144.9564823,$500_per_week,1.1854,3000,500
10,2.0,2.0,,,1211/260 Spencer Street Melbourne VIC 3000,-37.814564000000004,144.95228559999998,$700,1.3358,3000,700
11,2.0,2.0,1.0,,3208/120 A'Beckett Street Melbourne VIC 3000,-37.8093086,144.9597389,$650/week,1.1574,3000,650
12,2.0,2.0,,,1704/318 Queen Street Melbourne VIC 3000,-37.811266700000004,144.9592612,$775/week,1.0078,3000,775
13,2.0,2.0,,,3610/500 Elizabeth Street Melbourne VIC 3000,-37.807244299999994,144.9602814,$580_per_week,1.3357,3000,580
14,2.0,2.0,,,2402/155 Franklin Street Melbourne VIC 3000,-37.808825899999995,144.95954880000002,$750_**SPACIOUS_APARTMENT**,1.2118,3000,750
15,3.0,3.0,2.0,,5401/464 Collins Street Melbourne VIC 3000,-37.8175602,144.9585916,$2500_Per_Week,0.725,3000,2500
16,3.0,2.0,,,625/118 Franklin Street Melbourne VIC 3000,-37.8082052,144.9589035,$530,1.3005,3000,530
17,3.0,2.0,,,3601/8 Sutherland Street Melbourne VIC 3000,-37.811288399999995,144.9610605,$720_per_week,0.9093,3000,720
18,2.0,2.0,,,1411/120 A Beckett St Melbourne VIC 3000,-37.8093086,144.9597389,$680,1.1574,3000,680
19,2.0,2.0,,,1610/199 William Street Melbourne VIC 3000,-37.8145042,144.9576035,$600_per_week,0.9021,3000,600
20,2.0,2.0,,,3705/462 Elizabeth Street Melbourne VIC 3000,-37.807859,144.960611,$725_per_week,1.2614,3000,725
21,2.0,2.0,,,2009/639 Little Lonsdale Street Melbourne VIC 3000,-37.8141942,144.95216619999997,$650,1.3584,3000,650
22,2.0,2.0,,,2803/318 Russell Street Melbourne VIC 3000,-37.8091709,144.966801,$720_per_week,0.9915,3000,720
23,2.0,2.0,,,907/270 King Street Melbourne VIC 3000,-37.813751,144.95503169999998,$500_per_week,1.1423,3000,500
24,2.0,2.0,,,2401/8 Franklin Street Melbourne VIC 3000,-37.8074591,144.96195590000002,$670_per_week,1.2568,3000,670
25,3.0,2.0,1.0,,3113/639 Lonsdale Street Melbourne VIC 3000,-37.8150689,144.9534096,$950.00,1.2251,3000,950
26,2.0,2.0,2.0,,55/1 Albert Road Melbourne VIC 3000,-37.833957,144.972793,$950_Per_Week,1.8442,3000,950
27,2.0,2.0,1.0,,1003/270 King Street Melbourne VIC 3000,-37.813751,144.95503169999998,$560.00_per_week,1.1423,3000,560
