,SA2,SA2 NAME,2012,2013,2014,2015,2016,2017,2018,2019
121,206041122,Melbourne,54737.61090882069,54175.859807540204,57011.35810768752,53182.795124593715,53291.893608767336,51260.691671858774,51527.60299812138,52475.51644470605
122,206041123,North Melbourne,56228.1827968565,57668.64050448197,59378.142064042826,60656.16802640022,62713.46838529873,62116.5169999222,65142.05238658194,66722.52372788369
123,206041124,Parkville,63963.501626310084,69002.34709260588,66053.07247340426,67371.13711954816,69758.85621685327,67230.49862107004,66764.93724489796,72420.34882571075
124,206041125,South Yarra - West,102854.73864203694,106726.69960474309,127604.53190973065,122898.80753539717,125078.54464910236,125363.18665254237,135941.31821690468,134432.25930278105
125,206041126,Southbank,71516.08734491315,73231.71668795231,74154.16983349658,73998.47777876342,75284.98455821635,72914.71090758951,73634.22343381026,75070.91505641292
127,206051128,Albert Park,105549.86176257877,107914.69111538852,112261.46104928458,111337.82013499382,115049.00134009763,115980.68635826593,117352.24889043599,120411.92623020968
128,206051129,Elwood,77845.29715229054,78250.7032454361,81065.28355256651,82346.62130121396,85843.25049532975,86143.05897976006,88875.61806699616,92170.60121310882
129,206051130,Port Melbourne,87823.70466266709,93018.6804983422,95573.2629314466,97221.12972024744,97666.83187273766,101555.04192701259,107131.9194168679,107726.5728530363
130,206051131,Port Melbourne Industrial,86036.29166666667,95756.40909090909,83268.49523809523,132566.0280373832,224340.24060150376,116156.53813559322,87256.27272727272,70347.64098360656
131,206051132,South Melbourne,88105.81086292784,87449.13719879519,87265.78492085532,89607.41005878511,93442.8290809685,91650.7351692345,94718.42842359435,94237.48028593768
132,206051133,St Kilda,65741.96547741273,66452.88512777038,69259.88787807184,70021.7812588043,72672.20099704174,70774.03388707705,75744.86671325879,77754.56166918245
133,206051134,St Kilda East,59556.63613306019,60990.11128077877,62108.080469404864,64847.11446769791,66049.4373567959,66864.84023618004,71331.57895173329,73537.30397773777
134,206061135,Armadale,95767.87164128016,99630.9279811098,106694.82398129592,109684.3492012264,113428.64634146342,112884.48797409805,107487.75197195442,111628.92299971322
135,206061136,Prahran - Windsor,69781.19902828388,72231.34485919014,72738.69651935862,76454.7446571683,73899.39821832204,78362.35056014937,83931.950029982,88528.00191419142
136,206061137,South Yarra - East,82858.08343845738,83613.33606904137,90397.98583412472,92141.24501042598,93429.56971825937,86908.76103963277,92512.9230530369,94747.70390855457
137,206061138,Toorak,148361.85729320144,146405.7833957553,161878.3728008089,164155.73566060126,168104.03357870324,175695.92729793978,177644.80048780487,188905.9526362824
138,206071139,Abbotsford,63043.15007656968,65937.74446337308,63883.66601857853,65878.39576923077,69588.38382222223,72001.95726630007,75383.87342755086,78180.84974958263
139,206071140,Carlton North - Princes Hill,71064.87790805881,73098.04939846884,76703.41200570004,80014.5901187812,79371.97001234785,80741.0691960555,82746.62430396331,88806.85022026431
140,206071141,Collingwood,61109.00679916318,62027.973738414,64475.0251727542,64144.0028908161,67309.72169996084,69726.11284661284,73036.3469387755,77705.36645768025
141,206071142,Fitzroy,66487.26501706484,70404.77779599869,72296.41902604756,72607.29290262463,76424.56012901245,80755.11698808848,83189.17238458281,86036.45861733204
142,206071143,Fitzroy North,71647.43462068966,73041.48556323709,76501.9404917604,78387.97226092464,80634.15376820773,83788.25368383827,87613.76347480416,93199.61631865638
143,206071144,Richmond (Vicnp),71717.52742448331,73467.47147979139,77061.59197202213,78976.57025778573,81316.71355599214,83132.37229835372,85192.62959316117,87698.80674698795
144,206071145,Yarra - North,76471.38408037095,79709.6835654596,80797.38008166164,83428.66445877636,85216.97260034904,87735.61137754258,94560.06138356609,99558.33828461907
145,207011146,Ashburton (Vicnp),72097.82434301522,76335.57995010207,81789.9892665474,83773.59612068966,87827.5719200172,92036.1005165734,93355.08717207189,96228.69092395749
146,207011147,Balwyn,81028.17605139014,82777.26732574396,87150.26504097541,87289.27736088101,86645.97818599311,85025.61406133133,86736.0966139124,88497.12414042707
147,207011148,Balwyn North,69736.88136003877,71710.77257766717,72755.70434096291,75665.61011673152,76076.62823984526,79273.87998772252,79364.1021729424,82641.49829780936
148,207011149,Camberwell,87149.62656911822,90295.49050125887,94918.43439082515,97213.1323518694,96747.61383612135,96292.48034502262,97237.17099194603,101490.84435556168
149,207011150,Glen Iris - East,84498.74122299382,87597.04054831289,90923.05685298622,92363.59531456641,95525.74574379012,97747.77947481243,98876.94760360992,102153.45685850282
150,207011151,Hawthorn,95183.80019405881,96672.92910068284,99132.27573322054,98937.71437313026,102143.6495239329,97905.48068877705,99464.66488122962,104363.84595360675
151,207011152,Hawthorn East,85026.31393670183,89435.46891163201,90165.48294104944,92283.45971613441,94955.869828356,94680.49061507364,94262.58771115649,96460.91254036599
152,207011153,Kew,97256.3294988761,100949.9541254555,103845.23714120593,103504.55898580373,106035.07639350202,108681.87638508281,108907.31017355227,112542.47551915766
153,207011154,Kew East,74386.08131578947,76519.63800671314,82586.2006637733,83705.61320990743,84909.7465336901,87262.67311827956,89125.2569047619,92804.69850187266
154,207011155,Surrey Hills (West) - Canterbury,98718.32255253219,96629.21793764988,105272.23315518229,105526.6398988006,111065.49367205543,110484.47787934187,115344.15227006047,112088.4336665766
155,207021156,Bulleen,55098.69794814697,57460.16452074392,58040.05566785881,61455.833307751345,62589.23222104787,62168.675096697414,63983.12256552936,65889.20313849697
156,207021157,Doncaster,51571.68193339743,52618.571391906924,53499.367647058825,55545.03247238602,57894.88347713894,57534.00138739016,59360.695037549696,59387.35421788298
157,207021159,Templestowe,69905.04064352244,71110.7880114177,72672.46595724644,73443.09132633945,73685.73766963033,74004.57140178153,75928.14612676056,80019.2588418545
158,207021160,Templestowe Lower,53977.37769690668,56290.766338174275,57906.37586560657,59467.368968542425,61035.183173319856,62193.413724267,62627.42643635918,65251.924115913556
159,207021424,Doncaster East (North),54486.22999222999,56065.28448275862,57346.986006940555,57142.48332786706,58439.262638447195,58857.73115980759,59890.59575129534,60507.57647177827
160,207021425,Doncaster East (South),48800.21788097887,50623.030406326696,51525.58921274857,52553.54942284729,54297.49929963071,54677.99737762238,55093.978457094716,56764.615884811894
161,207031161,Blackburn,58672.48799062683,60949.132736824824,62465.63021211388,63710.58132387707,65381.65608999224,66107.19756336015,68473.69495847297,71175.59043157297
162,207031162,Blackburn South,53310.022094641616,56287.33467954346,57535.33855526545,59151.832436069984,60599.770733379024,60482.5629678922,61703.98929787579,64623.0716218367
163,207031163,Box Hill,52534.51846473029,54283.449359239356,55332.27841543931,55951.32054901197,56501.707448342146,53861.43963765662,53975.209245742095,55498.47619047619
164,207031164,Box Hill North,56240.03817914831,57688.38063783672,59763.00985872548,61082.123107769425,62142.58168168168,62894.409515554275,64452.66929791976,66472.52544048903
165,207031165,Burwood,50544.12596970816,52698.138694009715,53421.45632956153,53726.21986417657,53644.80857477809,53303.31583909491,53469.74159941306,54444.98324022346
166,207031166,Burwood East,46744.74925477819,49249.62892416226,49256.45572019297,50617.77997967479,51930.53879015721,51965.809720614976,53465.07706976005,54272.18087649402
167,207031167,Surrey Hills (East) - Mont Albert,75736.62370801033,78736.2255183413,82192.9889293057,83759.6251552795,84283.60428305401,86365.95051423462,87698.83835135926,90542.43364620939
168,208011168,Beaumaris,77676.10761311946,80358.25504305768,84378.98479396402,87198.6292838438,89192.9438929169,90673.59737972036,92061.70179420666,95079.7386044502
169,208011169,Brighton (Vicnp),116748.87526059763,118591.84956425508,126030.72304411569,126938.56158433812,128527.20937757757,128677.65920568614,136482.12193477195,137863.81615701717
170,208011170,Brighton East,80893.60742734122,82818.15319509098,85995.13479394888,90497.30468431771,92593.48379582743,95729.69613699721,100389.9847246546,102102.38521325172
171,208011171,Cheltenham - Highett (West),60771.4765294018,63763.09438088829,66158.45662396627,67765.37103577566,70477.7279975929,72158.61657883492,75767.02147111789,78867.27399838666
172,208011172,Hampton,81481.46113884078,84516.91968706675,88631.64819159335,91059.7381197863,94257.99437528815,95771.52200467038,100880.34909155054,103086.85589330562
173,208011173,Sandringham - Black Rock,84670.61128493951,87245.13355148789,90710.70663597237,91971.52685397553,93301.64120997106,96801.03826086957,100966.01775834375,103257.66379082666
174,208021174,Bentleigh - McKinnon,61828.38830897704,66382.63358415842,68627.10268661393,69345.94438965178,70898.50318997222,72884.07608617336,74072.74292209135,77351.97009370639
175,208021176,Carnegie,56431.06527018822,59516.85403944339,61256.34644493129,62798.24744652149,64244.36997647059,65090.278425655975,66872.87681412835,68782.80025115111
176,208021177,Caulfield - North,79252.26389556302,81707.75184603299,86392.23364270921,89897.60950459538,90900.2311296581,93254.40729181444,92597.8355771202,96525.09814486427
177,208021178,Caulfield - South,69808.48278177458,71422.60082885937,74686.98770226537,75944.98775035766,79821.73009316224,80621.72329306947,82784.46234557455,85610.18004282656
178,208021179,Elsternwick,75791.20383763837,77546.4046963328,83299.09024807528,84113.3311303869,85427.712034953,89584.93728132694,90345.89800806859,91653.37339901477
179,208021180,Hughesdale,55469.123222748814,56836.549119673386,59027.12607520275,61188.22800287701,63361.188074475605,64894.14081632653,66808.26634275618,68105.68108695652
180,208021181,Murrumbeena,59056.12760849492,61584.76863468635,62635.97235684796,64523.711392850855,66210.94354838709,67877.88350653704,69958.38575619296,71875.68349576609
181,208021182,Ormond - Glen Huntly,57069.848284086394,58519.286383144754,60835.74611068605,63521.60178212851,65292.060096735186,66701.86257275211,68149.86627579208,73355.46793685357
