,Suburb_Name,Growth_Rate
167,Lysterfield,0.061455778066835734
168,Alphington - Fairfield,0.061406207622708764
169,Hillside,0.06055339148380508
170,Yarrawonga,0.06049242531712219
171,Coburg - East,0.06038911412453981
172,Warrnambool - South,0.06028071262100113
173,Sunbury,0.06027838463563763
174,Hadfield,0.06026859907158801
175,Murrumbeena,0.05996452298184459
176,Lalor - West,0.05987632103667741
177,Blackburn South,0.05987539039304638
178,Moe - Newborough,0.05976867189798106
179,Oak Park,0.05930877226032529
180,Abbotsford,0.05906595999662012
181,Lilydale - Coldstream,0.0590570083388615
182,Hoppers Crossing - North,0.05824153922377615
183,Newcomb - Moolap,0.057639461268719994
184,Kew - South,0.05762605069723303
185,Langwarrin,0.0572930953440043
186,Ascot Vale,0.05676235904393634
187,Pascoe Vale,0.056731896245865734
188,Parkville,0.0565692194447012
189,Pearcedale - Tooradin,0.05641508568332441
190,Maribyrnong,0.05632762841641885
191,Coburg North,0.05599559804924139
192,Manor Lakes - Quandong,0.05572547385331803
193,Ballarat,0.05561985199979273
194,Surrey Hills (East) - Mont Albert,0.05535635986908481
195,Noble Park - East,0.05501180830771755
196,Fitzroy,0.05487058762122667
197,Gordon (Vic.),0.05480254896843485
198,Endeavour Hills - South,0.05479871166403523
199,Moonee Ponds,0.05414880128599907
200,Caroline Springs,0.053683617709002915
201,Gladstone Park - Westmeadows,0.052951547223214754
202,Leongatha,0.052939102626245384
203,Bacchus Marsh,0.05286223141006684
204,Mitcham (Vic.),0.052613454839758135
205,Irymple,0.05206280832807282
206,Thornbury,0.05194773414181736
207,Truganina - South West,0.051795833323570184
208,Malvern - Glen Iris,0.05179477527837502
209,Somerville,0.05147115918317315
210,Hughesdale,0.05128652012424626
211,Bayswater,0.050973693715905974
212,Research - North Warrandyte,0.050960192155914706
213,Maffra,0.05082425441420833
214,Berwick - South East,0.0507863091502493
215,Doncaster,0.05078382275006017
216,Yea,0.05030623834449131
217,Ringwood,0.05028147957721313
218,Toorak,0.0500333534739133
219,Taylors Lakes,0.049511326912199755
220,Yarraville,0.04945952623812031
221,Epping (Vic.) - West,0.049106304834073626
222,Rowville - Central,0.04906610372464291
223,The Basin,0.048599196439618526
224,Pakenham - South West,0.04849156332654577
225,Rowville - North,0.048468869245705926
226,Seaford (Vic.),0.04819852681919605
227,Ballarat East - Warrenheip,0.048134349571352444
228,Dromana,0.04775692127598633
229,Tullamarine,0.047602814018175274
230,Balwyn,0.04759982197342636
231,Warrnambool - North,0.04758322778806294
232,Taylors Hill,0.047489176570607465
233,Bentleigh - McKinnon,0.04741399898081865
234,Ferntree Gully (South) - Upper Ferntree Gully,0.04732043419750057
235,Point Cook - North East,0.047015965031597856
236,Richmond - North,0.04661506487779801
237,Clifton Hill - Alphington,0.04661036040382533
238,Newport,0.046523180170707
239,Myrtleford,0.04651928468892449
240,Cranbourne East - South,0.046238852207036704
241,Kinglake,0.04606319688194342
242,Glenroy - East,0.04587776828973071
243,Sunbury - West,0.0457502117084847
244,Lara,0.04574957336776704
245,Melbourne CBD - North,0.04547050332127138
246,Clayton (North) - Notting Hill,0.04503334724912306
247,Carlton North - Princes Hill,0.044954508830671855
248,Port Melbourne,0.044763666452719356
249,Pascoe Vale South,0.044596194410250325
250,Altona,0.044400246055136275
251,Foster,0.04437053255178613
252,Hastings - Somers,0.04431320973906935
253,Surrey Hills (West) - Canterbury,0.04407512980042403
254,Springvale,0.043645754268268354
255,Blackburn,0.04344931490767916
256,Collingwood,0.04342492910650076
257,Northcote - East,0.04334723598418937
258,Viewbank - Yallambie,0.043289952129601045
259,Coburg - West,0.043212507809534964
260,Chelsea - Bonbeach,0.04319858821709505
261,Otway,0.0430820353766203
262,Drouin,0.042228694615544134
263,Melton West,0.0422131825723248
264,Nagambie,0.04205555407840929
265,Melbourne CBD - East,0.04192443273632043
266,Forest Hill,0.04192102545782289
267,Rowville - South,0.04191422063893199
268,West Melbourne - Residential,0.041660368965739346
269,Point Cook - South,0.0416226774565997
270,Bayswater North,0.04147596722463566
271,Roxburgh Park (South) - Somerton,0.041400123136531644
272,Mickleham - Yuroke,0.04133870087043446
273,Ferntree Gully - North,0.04116536470848085
274,Oakleigh - Huntingdale,0.041114208263668225
275,Montrose,0.041082382062404096
276,Lakes Entrance,0.040888289052517436
277,Greenvale - Bulla,0.040823155729962556
278,Barwon Heads - Armstrong Creek,0.0408229648876774
279,Altona North,0.04075874894130081
280,Leopold,0.04075492679500564
281,Lockington - Gunbower,0.040711914828348066
282,Warragul,0.040562433824309255
283,Burnside Heights,0.04055616818673191
284,Golden Plains - North,0.04053134151146006
285,Emerald - Cockatoo,0.04043530355204506
286,Thomastown,0.04028979437595562
287,Wangaratta,0.040266456812320855
288,Gisborne,0.04018910710572782
289,Paynesville,0.04000580264574112
290,Point Nepean,0.0400013670664525
291,Wodonga,0.03988020495629644
292,Yallourn North - Glengarry,0.039696009057371896
293,Charlemont,0.03952945115733575
294,Yarra Valley,0.03941674506279334
295,Benalla,0.03939903379201556
296,Templestowe Lower,0.039069948095208515
297,Phillip Island,0.03886685986490879
298,Mount Evelyn,0.0386644884005688
299,Mill Park - North,0.03863845404471576
300,Macedon,0.038356404044577054
301,Ringwood East,0.03812271586206412
302,Castlemaine Surrounds,0.0380619218156486
303,Highton,0.03803921890315509
304,Chiltern - Indigo Valley,0.03795081766427853
305,Canadian - Mount Clear,0.03789881299160204
306,Mount Waverley - South,0.037800543100006134
307,Trafalgar (Vic.),0.036811314934219096
308,Beaconsfield - Officer,0.03679406172446144
309,Richmond (South) - Cremorne,0.03678339765416318
310,Heidelberg - Rosanna,0.03651044670461864
311,Churchill,0.036313373406995225
312,Monbulk - Silvan,0.03584533485055792
313,Clyde North - South,0.03579591670953758
314,Templestowe,0.03542779251032831
315,Rosebud - McCrae,0.03542725877826692
316,Brunswick - North,0.03501835259466029
317,Glenroy - West,0.034995626929693636
318,Mornington - East,0.034772731353202864
319,Croydon - East,0.03476989715083492
320,Kew - West,0.0346668694461081
321,Burnside,0.03462921800097655
322,Ballarat North - Invermay,0.03440312648252662
323,Wangaratta Surrounds,0.034326604368532
324,Cairnlea,0.03420188515959063
325,Glen Waverley - East,0.03416544039848764
326,Berwick - South West,0.03415237155953378
327,Mulgrave,0.03407597019630123
328,South Morang - South,0.03402253620464517
329,Camberwell,0.03393055337511892
330,White Hills - Ascot,0.03363743307155139
331,Doncaster East - North,0.03324726290938928
332,Geelong West - Hamlyn Heights,0.03308761343865526
333,Wandin - Seville,0.03306381979408096
334,Endeavour Hills - North,0.03304518576161909
335,Berwick - North,0.03272355873945441
