,postcode,sa2_2021,sa2_2016,year,gdp(USD Millioins),saving_rate(% of GDP),income_per_person,population_density,crime_cases
0,3012,213031351,213031351,2023,3567759,13.581000000005588,66761.47053112183,2248.0,2267
1,3664,204011058,204011058,2023,3567759,13.581000000005588,59608.41694991756,347.0,141
2,3124,207011149,207011149,2023,3567759,13.581000000005588,106445.95785711844,3319.0,1121
3,3269,217031475,217031475,2023,3567759,13.581000000005588,55798.3907204899,399.0,98
4,3048,210051247,210051247,2023,3567759,13.581000000005588,51605.487481227145,3878.0,1989
5,3820,205011079,205011079,2023,3567759,13.581000000005588,64622.568414139096,470.0,1579
6,3821,205011079,205011079,2023,3567759,13.581000000005588,64622.568414139096,470.0,181
7,3822,205011079,205011079,2023,3567759,13.581000000005588,64622.568414139096,470.0,113
8,3061,210051243,210051243,2023,3567759,13.581000000005588,51874.1690073139,1346.0,1495
9,3825,205041095,205041095,2023,3567759,13.581000000005588,63937.09940217668,603.0,3503
10,3550,202011018,202011018,2023,3567759,13.581000000005588,64667.05162033578,1374.0,5673
11,3551,202011025,202011025,2023,3567759,13.581000000005588,62385.7933515748,510.0,1087
12,3953,205031090,205031090,2023,3567759,13.581000000005588,59948.67745038029,427.0,529
13,3663,204011058,204011058,2023,3567759,13.581000000005588,59608.41694991756,347.0,79
14,3335,213041359,213041359,2023,3567759,13.581000000005588,59651.52378151799,460.0,501
15,3053,206041117,206041117,2023,3567759,13.581000000005588,68173.7734804852,9020.0,2106
16,3145,208041195,208041195,2023,3567759,13.581000000005588,104574.73218636122,3219.0,2351
17,3181,206061136,206061136,2023,3567759,13.581000000005588,88534.6106629381,6977.0,3599
18,3051,206071517,206071144,2023,3567759,13.581000000005588,91083.585918135,4253.0,1722
19,3218,203021040,203021040,2023,3567759,13.581000000005588,68940.74278600514,1004.0,1313
20,3058,210031236,210031236,2023,3567759,13.581000000005588,66470.18967281561,1875.0,3533
21,3122,207011520,207011151,2023,3567759,13.581000000005588,111832.8477019742,4071.0,1503
22,3121,206071517,206071144,2023,3567759,13.581000000005588,91083.585918135,4253.0,4739
23,3128,207031163,207031163,2023,3567759,13.581000000005588,66527.23767162953,3121.0,1846
24,3073,209021526,209021208,2023,3567759,13.581000000005588,62763.5051851389,2815.0,4482
25,3205,206051512,206051132,2023,3567759,13.581000000005588,102218.9403508366,6157.0,2369
26,3188,208011172,208011172,2023,3567759,13.581000000005588,104680.37355493754,3490.0,1191
27,3193,208011168,208011168,2023,3567759,13.581000000005588,98676.12533973625,2675.0,596
28,3196,208031186,208031186,2023,3567759,13.581000000005588,69933.5007848693,2905.0,1563
29,3555,202011022,202011022,2023,3567759,13.581000000005588,58164.71396678593,858.0,1729
30,3018,213021341,213021341,2023,3567759,13.581000000005588,74084.10919164261,1170.0,954
31,3074,209041223,209041223,2023,3567759,13.581000000005588,55795.46562931454,2007.0,2499
32,3934,214021382,214021382,2023,3567759,13.581000000005588,74666.27561650006,930.0,534
33,3167,212051326,212051326,2023,3567759,13.581000000005588,67962.66185978614,2498.0,577
34,3146,207011150,207011150,2023,3567759,13.581000000005588,105262.67234581849,3322.0,984
35,3199,214011371,214011371,2023,3567759,13.581000000005588,61006.42461068649,2358.0,8349
36,3185,206051134,206051134,2023,3567759,13.581000000005588,76903.27728710463,7322.0,896
37,3166,212051326,212051326,2023,3567759,13.581000000005588,67962.66185978614,2498.0,2000
38,3677,204021066,204021066,2023,3567759,13.581000000005588,60682.545557089616,685.0,2257
39,3162,208021178,208021178,2023,3567759,13.581000000005588,88212.3427721574,4091.0,879
40,3204,208021174,208021174,2023,3567759,13.581000000005588,82192.55963498168,3955.0,1463
41,3166,208021180,208021180,2023,3567759,13.581000000005588,73606.32270880742,4094.0,2000
42,3163,208021176,208021176,2023,3567759,13.581000000005588,74456.00789052341,4940.0,1606
43,3167,212041309,212041309,2023,3567759,13.581000000005588,62414.69829258183,2369.0,577
44,3690,204031492,204031074,2023,3567759,13.581000000005588,63209.12236515945,885.0,3158
45,3616,216031419,216031419,2023,3567759,13.581000000005588,56002.89707779838,383.0,342
46,3142,206061138,206061138,2023,3567759,13.581000000005588,180614.4472810789,3619.0,882
47,3305,217011420,217011420,2023,3567759,13.581000000005588,58758.340981681366,411.0,1331
48,3078,206021110,206021110,2023,3567759,13.581000000005588,85223.4590103724,3396.0,851
49,3163,208021182,208021182,2023,3567759,13.581000000005588,75560.40753156599,4710.0,1606
50,3011,213031350,213031350,2023,3567759,13.581000000005588,79076.65204853751,5610.0,3137
51,3740,204031069,204031069,2023,3567759,13.581000000005588,54641.92780484259,413.0,94
52,3194,208031190,208031190,2023,3567759,13.581000000005588,75886.50219879998,3185.0,956
53,3060,210031237,210031237,2023,3567759,13.581000000005588,57976.55409840774,3027.0,1077
54,3191,208011173,208011173,2023,3567759,13.581000000005588,105127.77386459382,2925.0,637
55,3137,211051277,211051277,2023,3567759,13.581000000005588,62952.07987514976,1510.0,787
56,3183,206051134,206051134,2023,3567759,13.581000000005588,76903.27728710463,7322.0,1398
57,3195,208031193,208031193,2023,3567759,13.581000000005588,77947.87887296127,2846.0,2319
58,3163,208021181,208021181,2023,3567759,13.581000000005588,76897.81709522661,4030.0,1606
59,3193,208011173,208011173,2023,3567759,13.581000000005588,105127.77386459382,2925.0,596
60,3039,206031116,206031116,2023,3567759,13.581000000005588,87156.56366432039,3675.0,1512
61,3185,208021179,208021179,2023,3567759,13.581000000005588,96657.88941022848,4321.0,896
62,3038,213011332,213011332,2023,3567759,13.581000000005588,62300.01863266062,2306.0,2095
63,3220,203021046,203021046,2023,3567759,13.581000000005588,87947.77239190927,2145.0,4104
64,3182,206051513,206051133,2023,3567759,13.581000000005588,82589.56136977719,7812.0,4769
65,3940,214021384,214021384,2023,3567759,13.581000000005588,55644.66479031555,1251.0,465
66,3013,213031352,213031352,2023,3567759,13.581000000005588,83491.65539060533,2983.0,902
67,3044,210031538,210031239,2023,3567759,13.581000000005588,70163.58455145312,3756.0,1544
68,3161,208021177,208021177,2023,3567759,13.581000000005588,100279.6454998767,3690.0,736
69,3730,216021414,216021414,2023,3567759,13.581000000005588,58149.14017638611,490.0,503
70,3143,206061135,206061135,2023,3567759,13.581000000005588,118574.6175176534,4619.0,601
71,3046,210031535,210031438,2023,3567759,13.581000000005588,59726.45451136492,2573.0,2766
72,3012,213031350,213031350,2023,3567759,13.581000000005588,79076.65204853751,5610.0,2267
73,3184,206051129,206051129,2023,3567759,13.581000000005588,95491.19900697656,6295.0,991
74,3015,213021344,213021344,2023,3567759,13.581000000005588,84459.41056790529,2351.0,1172
75,3046,210031440,210031440,2023,3567759,13.581000000005588,62138.12309970567,2269.0,2766
