year,sa2_2021,gdp,saving_rate,income_per_person,population_density,crime_cases,residence_type,nbed,nbath,ncar,min_distance_to_cbd,min_distance_to_park,min_distance_to_prim,min_distance_to_second,min_distance_to_train,min_distance_to_hosp,min_distance_to_poli,min_distance_to_shop
2025,0,4155244,15.148999999990338,71852.30686878599,699.0,7802,0,0,0,1,120.0036349214286,1.98301623993784,1.1788421815221817,114.77016000000002,90.08590999999996,140.56888000000077,74.35608,13.6492
2025,0,4155244,15.148999999990338,71852.30686878599,699.0,7802,0,1,0,1,121.38860025000002,1.2909378652939651,1.0658485320512818,114.77016000000002,90.08590999999996,140.56888000000077,74.35608,13.6492
2025,0,4155244,15.148999999990338,71852.30686878599,699.0,7802,0,1,0,2,121.17870863888895,1.4488308388888886,1.595169888888889,114.77016000000002,90.08590999999996,140.56888000000086,74.35608,13.6492
2025,0,4155244,15.148999999990338,71852.30686878599,699.0,7802,1,1,2,1,121.37415305555548,1.3222009365079366,0.4423395761904763,114.77016000000002,75.34775928466732,140.56888000000092,74.35608,13.6492
2025,0,4155244,15.148999999990338,71852.30686878599,699.0,7802,1,3,0,1,123.18357870610863,1.3683981002626564,0.841958050215445,114.77016000000002,78.37699682799419,140.56888000000092,74.35608,13.6492
2025,0,4155244,15.148999999990338,71852.30686878599,699.0,7802,1,3,0,2,122.51379652222221,1.4150945124603065,0.4197454025132275,114.77016000000002,78.42809112499995,140.56888000000103,74.35608,13.6492
2025,0,4155244,15.148999999990338,71852.30686878599,699.0,7802,1,3,0,3,121.45301232222216,1.5859851997964998,1.2139464718253967,114.77016000000002,78.43144262499996,140.56888000000092,74.35608,13.6492
2025,0,4155244,15.148999999990338,71852.30686878599,699.0,7802,1,3,2,0,125.72967752525255,1.112425483952159,1.3363024210227272,114.77016000000002,63.61707440079363,140.56888000000092,74.35608,13.6492
2025,0,4155244,15.148999999990338,71852.30686878599,699.0,7802,1,3,2,1,122.66580369191918,1.310200605523181,0.8146440099116163,114.77016000000002,63.72239553480038,140.56888000000103,74.35608,13.6492
2025,0,4155244,15.148999999990338,71852.30686878599,699.0,7802,1,3,2,2,124.43319848787239,1.4994634161853388,1.2460338763060237,114.77016000000002,63.73918816626984,140.56888000000112,74.35608,13.6492
2025,0,4155244,15.148999999990338,71852.30686878599,699.0,7802,1,3,2,4,123.82453391460012,1.5086419259259258,0.8118087103817372,114.77016000000002,63.56681182738094,140.56888000000103,74.35608,13.6492
2025,0,4155244,15.148999999990338,71852.30686878599,699.0,7802,1,5,0,1,124.70072429629633,1.0444134443587603,0.823078662949523,114.77016000000002,78.42375433333328,140.56888000000092,74.35608,13.6492
2025,0,4155244,15.148999999990338,71852.30686878599,699.0,7802,1,5,0,2,124.38674355555558,1.2955855128263414,0.6699933433006534,114.77016000000002,78.49248753333329,140.56888000000103,74.35608,13.6492
2025,0,4155244,15.148999999990338,71852.30686878599,699.0,7802,1,5,2,0,125.9408584134876,0.6689865555555554,1.2685702361410962,114.77016000000002,63.786956993650776,140.56888000000092,74.35608,13.6492
2025,0,4155244,15.148999999990338,71852.30686878599,699.0,7802,1,5,2,2,125.09188303826346,1.2258904992459052,1.3249213579402952,114.77016000000002,63.87330637619047,140.56888000000112,74.35608,13.6492
2025,0,4155244,15.148999999990338,71852.30686878599,699.0,7802,1,5,2,3,125.36956275524771,1.2360814045898205,1.2730010735234267,114.77016000000002,63.72564633333332,140.56888000000103,74.35608,13.6492
2025,0,4155244,15.148999999990338,71852.30686878599,699.0,7802,1,5,2,4,124.6539644481789,1.2372230694444444,0.7947772723496179,114.77016000000002,63.732566888888876,140.56888000000103,74.35608,13.6492
2025,0,4155244,15.148999999990338,71852.30686878599,699.0,7802,1,5,2,8,122.21249561111112,1.4288756805555556,0.7098426960784313,114.77016000000002,63.811899888888874,140.56888000000103,74.35608,13.6492
2025,0,4155244,15.148999999990338,71852.30686878599,699.0,7802,1,5,4,2,123.28991007407406,1.1925709862849774,0.5347833664488016,114.77016000000002,63.763215777777766,140.5688800000011,74.35608,13.6492
2025,0,4155244,15.148999999990338,71852.30686878599,699.0,7802,1,6,2,0,123.23490863029353,0.7612377666666663,1.1211948349673202,114.77016000000002,63.734633038095225,140.56888000000092,74.35608,13.6492
2025,0,4155244,15.148999999990338,71852.30686878599,699.0,7802,1,6,2,2,122.89785816595628,1.3396074035714287,0.9004042960784311,114.77016000000002,63.82098242063491,140.56888000000112,74.35608,13.6492
2025,0,4155244,15.148999999990338,71852.30686878599,699.0,7802,1,6,2,6,123.69120705555561,1.4452205416666668,1.1459766960784308,114.77016000000002,63.811899888888874,140.56888000000103,74.35608,13.6492
2025,1,4155244,15.148999999990338,83433.93357283901,1446.0,8992,0,0,0,0,116.2306087777778,0.9526077222222222,1.0286397111111112,1.1584973333333335,16.635239743589754,24.252780255555493,1.63563,13.6492
2025,1,4155244,15.148999999990338,83433.93357283901,1446.0,8992,0,0,0,1,115.82322380555557,1.2118525095238095,1.0823007500000001,1.218575077777778,16.316762861111126,24.438114010678145,2.04892,13.6492
2025,1,4155244,15.148999999990338,83433.93357283901,1446.0,8992,0,1,0,0,117.10263455684824,0.9692388912698413,1.1394821666666664,1.231569571717172,16.736820510683767,24.747251911111043,2.38171,13.6492
2025,1,4155244,15.148999999990338,83433.93357283901,1446.0,8992,0,1,0,1,117.51361114617764,1.1976230245662718,1.3410032977055741,1.3230605690931392,16.02014317254451,24.789679937120685,2.243172857142857,13.6492
