,postcode,sa2_2021,sa2_2016,year,gdp(USD Millioins),saving_rate(% of GDP),income_per_person,population_density,crime_cases
0,3012,213031351,213031351,2025,4155244,15.148999999990338,69807.77579942578,2317.0,2291
1,3664,204011058,204011058,2025,4155244,15.148999999990338,62654.72221822152,416.0,165
2,3124,207011149,207011149,2025,4155244,15.148999999990338,109492.2631254224,3388.0,1145
3,3269,217031475,217031475,2025,4155244,15.148999999990338,58844.69598879386,468.0,122
4,3048,210051247,210051247,2025,4155244,15.148999999990338,54651.7927495311,3947.0,2013
5,3820,205011079,205011079,2025,4155244,15.148999999990338,67668.87368244305,539.0,1603
6,3821,205011079,205011079,2025,4155244,15.148999999990338,67668.87368244305,539.0,205
7,3822,205011079,205011079,2025,4155244,15.148999999990338,67668.87368244305,539.0,137
8,3061,210051243,210051243,2025,4155244,15.148999999990338,54920.47427561786,1415.0,1519
9,3825,205041095,205041095,2025,4155244,15.148999999990338,66983.40467048064,672.0,3526
10,3550,202011018,202011018,2025,4155244,15.148999999990338,67713.35688863974,1443.0,5697
11,3551,202011025,202011025,2025,4155244,15.148999999990338,65432.09861987876,579.0,1111
12,3953,205031090,205031090,2025,4155244,15.148999999990338,62994.982718684245,496.0,553
13,3663,204011058,204011058,2025,4155244,15.148999999990338,62654.72221822152,416.0,103
14,3335,213041359,213041359,2025,4155244,15.148999999990338,62697.82904982194,528.0,525
15,3053,206041117,206041117,2025,4155244,15.148999999990338,71220.07874878915,9089.0,2130
16,3145,208041195,208041195,2025,4155244,15.148999999990338,107621.03745466516,3288.0,2375
17,3181,206061136,206061136,2025,4155244,15.148999999990338,91580.91593124204,7046.0,3622
18,3051,206071517,206071144,2025,4155244,15.148999999990338,94129.89118643897,4322.0,1746
19,3218,203021040,203021040,2025,4155244,15.148999999990338,71987.0480543091,1073.0,1337
20,3058,210031236,210031236,2025,4155244,15.148999999990338,69516.49494111957,1944.0,3557
21,3122,207011520,207011151,2025,4155244,15.148999999990338,114879.15297027816,4139.0,1527
22,3121,206071517,206071144,2025,4155244,15.148999999990338,94129.89118643897,4322.0,4762
23,3128,207031163,207031163,2025,4155244,15.148999999990338,69573.54293993348,3190.0,1870
24,3073,209021526,209021208,2025,4155244,15.148999999990338,65809.81045344286,2884.0,4506
