,postcode,sa2_2021,sa2_2016,year,gdp(USD Millioins),saving_rate(% of GDP),income_per_person,population_density,crime_cases
252,3030,213051467,213051467,2024,3850385,14.351000000009662,61739.513848284725,2918.0,6507
253,3282,217041478,217041478,2024,3850385,14.351000000009662,61575.61427719891,467.0,148
254,3802,212021453,212021453,2024,3850385,14.351000000009662,65410.42266843887,1285.0,1367
255,3076,209041431,209041431,2024,3850385,14.351000000009662,62045.77573659783,1995.0,3378
256,3178,211011256,211011256,2024,3850385,14.351000000009662,69440.81924285414,2358.0,1797
257,3029,213051361,213051361,2024,3850385,14.351000000009662,65433.99197591515,2227.0,6060
258,3300,217011421,217011421,2024,3850385,14.351000000009662,60504.31479733251,510.0,1082
259,3660,204011059,204011059,2024,3850385,14.351000000009662,59583.17448489601,529.0,1441
260,3752,209041436,209041436,2024,3850385,14.351000000009662,66548.12253263034,1855.0,1284
261,3777,211051276,211051276,2024,3850385,14.351000000009662,64074.04765850026,504.0,537
262,3351,201011006,201011006,2024,3850385,14.351000000009662,61864.60508056264,620.0,389
263,3207,206051130,206051130,2024,3850385,14.351000000009662,112639.90337842144,5858.0,2031
264,3217,203021485,203021041,2024,3850385,14.351000000009662,64487.752529068384,612.0,444
265,3130,207031161,207031161,2024,3850385,14.351000000009662,77599.88224479277,2898.0,1312
266,3228,203031053,203031053,2024,3850385,14.351000000009662,76144.94100824231,556.0,752
267,3500,215021469,215021469,2024,3850385,14.351000000009662,60429.02309411159,1150.0,5112
268,3064,210051544,210051249,2024,3850385,14.351000000009662,58916.69354136754,1468.0,5365
269,3927,214021379,214021379,2024,3850385,14.351000000009662,64447.81676828163,583.0,146
270,3904,205021084,205021084,2024,3850385,14.351000000009662,56521.23390569119,471.0,121
271,3160,211051274,211051274,2024,3850385,14.351000000009662,72333.64635231579,599.0,574
272,3226,203031490,203031050,2024,3850385,14.351000000009662,72658.86857037991,644.0,526
273,3698,204031069,204031069,2024,3850385,14.351000000009662,56165.0804389948,448.0,87
274,3085,209011203,209011203,2024,3850385,14.351000000009662,73334.18085112795,2297.0,785
275,3065,206071142,206071142,2024,3850385,14.351000000009662,90529.50913684444,7730.0,2720
276,3810,212011549,212011291,2024,3850385,14.351000000009662,63938.83351734607,1012.0,3906
277,3357,201011005,201011005,2024,3850385,14.351000000009662,71031.01152339717,602.0,208
278,3844,205041493,205041097,2024,3850385,14.351000000009662,74868.00285132043,562.0,4440
279,3381,215011392,215011392,2024,3850385,14.351000000009662,59226.36935530976,431.0,134
280,3621,216011407,216011407,2024,3850385,14.351000000009662,56398.226246251725,469.0,230
281,3380,215011392,215011392,2024,3850385,14.351000000009662,59226.36935530976,431.0,906
282,3810,212011552,212011292,2024,3850385,14.351000000009662,63674.46207991242,1189.0,3906
283,3023,213041360,213041360,2024,3850385,14.351000000009662,70350.94926233403,2795.0,4281
284,3028,213021345,213021345,2024,3850385,14.351000000009662,68866.95207118988,3730.0,1930
285,3156,211011448,211011448,2024,3850385,14.351000000009662,66307.88899514033,2118.0,2197
286,3073,209021524,209021208,2024,3850385,14.351000000009662,64286.65781929111,2750.0,4494
287,3029,213051586,213051366,2024,3850385,14.351000000009662,64881.08932667458,562.0,6060
288,3608,204011058,204011058,2024,3850385,14.351000000009662,61131.56958406977,382.0,269
289,3042,210011230,210011230,2024,3850385,14.351000000009662,77889.15829445701,2826.0,1586
290,3766,211051282,211051282,2024,3850385,14.351000000009662,73834.79830425931,591.0,115
291,3806,212021554,212021294,2024,3850385,14.351000000009662,70951.24144999217,2064.0,2404
292,3825,205041098,205041098,2024,3850385,14.351000000009662,73902.76980416663,442.0,3514
293,3020,213011338,213011338,2024,3850385,14.351000000009662,58260.49180850759,1832.0,6255
294,3803,212021297,212021297,2024,3850385,14.351000000009662,59944.32655300992,1728.0,1162
295,3950,205031089,205031089,2024,3850385,14.351000000009662,58134.47986852657,479.0,434
296,3047,210051242,210051242,2024,3850385,14.351000000009662,51800.46203638939,1890.0,4403
297,3352,201011008,201011008,2024,3850385,14.351000000009662,59112.0133695486,620.0,781
298,3125,212051319,212051319,2024,3850385,14.351000000009662,71784.63774728123,3050.0,969
299,3136,211031450,211031450,2024,3850385,14.351000000009662,65488.03911898472,2210.0,2583
300,3805,212031457,212031457,2024,3850385,14.351000000009662,69823.61102128495,2337.0,4178
301,3068,206071143,206071143,2024,3850385,14.351000000009662,92640.02549695782,5349.0,1722
302,3995,205031093,205031093,2024,3850385,14.351000000009662,57582.56222527614,482.0,1111
303,3102,207011154,207011154,2024,3850385,14.351000000009662,96031.6088324678,2082.0,306
304,3350,201011481,201011003,2024,3850385,14.351000000009662,67501.65013815043,940.0,6997
305,3178,211011257,211011257,2024,3850385,14.351000000009662,72328.79473975021,2310.0,1797
306,3757,209041225,209041225,2024,3850385,14.351000000009662,69711.9071920435,463.0,561
307,3073,213021344,213021344,2024,3850385,14.351000000009662,85982.5632020575,2385.0,4494
308,3106,207021159,207021159,2024,3850385,14.351000000009662,86886.84255405469,1528.0,546
309,3178,211011258,211011258,2024,3850385,14.351000000009662,72769.71119975066,1639.0,1797
310,3451,201011483,201011004,2024,3850385,14.351000000009662,59452.27988395095,915.0,224
311,3862,205051101,205051101,2024,3850385,14.351000000009662,63980.80524428608,453.0,221
312,3200,214011372,214011372,2024,3850385,14.351000000009662,58476.9801178826,1936.0,1022
313,3172,212041313,212041313,2024,3850385,14.351000000009662,69985.02092166571,1909.0,1201
314,3201,214011370,214011370,2024,3850385,14.351000000009662,63839.431075281,1419.0,1808
315,3215,203021040,203021040,2024,3850385,14.351000000009662,70463.89542015735,1038.0,1862
316,3016,213021346,213021346,2024,3850385,14.351000000009662,97237.51600508392,2560.0,1314
317,3350,201011482,201011003,2024,3850385,14.351000000009662,67501.65013815043,650.0,6997
318,3140,211051278,211051278,2024,3850385,14.351000000009662,68717.56066423887,605.0,1747
319,3105,207021156,207021156,2024,3850385,14.351000000009662,73820.41362029081,2137.0,502
320,3550,202011021,202011021,2024,3850385,14.351000000009662,64924.04566422803,1155.0,5685
321,3041,210011231,210011231,2024,3850385,14.351000000009662,83666.17073019315,2758.0,894
322,3156,211011447,211011447,2024,3850385,14.351000000009662,65337.05706505384,2417.0,2197
323,3629,216031415,216031415,2024,3850385,14.351000000009662,57628.775460803416,654.0,1250
324,3139,211051286,211051286,2024,3850385,14.351000000009662,60710.17961619189,439.0,599
325,3350,201011483,201011004,2024,3850385,14.351000000009662,59452.27988395095,915.0,6997
326,3912,212031308,212031308,2024,3850385,14.351000000009662,67239.4779707836,542.0,835
327,3131,211041269,211041269,2024,3850385,14.351000000009662,66609.20218528993,3009.0,1348
328,3046,210031536,210031438,2024,3850385,14.351000000009662,61249.60714551713,3352.0,2778
329,3214,203021486,203021038,2024,3850385,14.351000000009662,58024.30786908558,718.0,4586
330,3165,208021427,208021427,2024,3850385,14.351000000009662,75143.53874079278,3245.0,1099
331,3173,212041565,212041314,2024,3850385,14.351000000009662,64025.90898792865,2838.0,1673
332,3037,213011339,213011339,2024,3850385,14.351000000009662,63362.17958045984,3438.0,2226
333,3714,204011054,204011054,2024,3850385,14.351000000009662,55811.322072181385,466.0,246
334,3076,209041432,209041432,2024,3850385,14.351000000009662,59016.43643024983,981.0,3378
335,3135,211031267,211031267,2024,3850385,14.351000000009662,70144.02109788684,2548.0,1128
336,3083,209041217,209041217,2024,3850385,14.351000000009662,60531.06298119808,3013.0,2571
337,3174,212041565,212041314,2024,3850385,14.351000000009662,64025.90898792865,2838.0,3186
338,3280,217041480,217041480,2024,3850385,14.351000000009662,64957.14911632426,554.0,3230
339,3350,201011005,201011005,2024,3850385,14.351000000009662,71031.01152339717,602.0,6997
340,3315,217011423,217011423,2024,3850385,14.351000000009662,58966.03668356594,453.0,141
341,3854,205041098,205041098,2024,3850385,14.351000000009662,73902.76980416663,442.0,123
342,3109,207021424,207021424,2024,3850385,14.351000000009662,71526.2796257846,2921.0,1015
343,3079,209011200,209011200,2024,3850385,14.351000000009662,94246.1279038028,2743.0,971
344,3030,213051468,213051468,2024,3850385,14.351000000009662,69394.01204946311,545.0,6507
345,3040,210011230,210011230,2024,3850385,14.351000000009662,77889.15829445701,2826.0,1607
346,3305,217011422,217011422,2024,3850385,14.351000000009662,66105.46048733639,624.0,1342
347,3075,209041529,209041219,2024,3850385,14.351000000009662,57254.70802529948,3563.0,1534
