,address,latitude,longitude,nbed,nbath,ncar,price,type,historical_dates,postcode,year,month,suburb,weekly_rent,SA2_CODE
574,"26 JOANNE AVENUE, CHIRNSIDE PARK",-37.755106,145.306849,3.0,2.0,3,$420_per_week,House,December 2014,3116,2014,12,PARK,420,212041565
575,"26 JOANNE AVENUE, CHIRNSIDE PARK",-37.755106,145.306849,3.0,2.0,3,$420_pw,House,November 2014,3116,2014,11,PARK,420,211051275
576,"26 JOANNE AVENUE, CHIRNSIDE PARK",-37.755106,145.306849,3.0,2.0,3,$420_per_week,House,January 2014,3116,2014,1,PARK,420,207021156
698,"66 MCKINNON TERRACE, CHRISTMAS HILLS",-37.652024,145.338288,1.0,1.0,1,$285_per_week,House,June 2014,3775,2014,6,HILLS,285,211051281
739,"8 MALBAR STREET, CHUM CREEK",-37.638589,145.496762,3.0,1.0,2,$380_Weekly,House,March 2014,3777,2014,3,CREEK,380,214011370
740,"8 MALBAR STREET, CHUM CREEK",-37.638589,145.496762,3.0,1.0,2,$380_per_week,House,February 2014,3777,2014,2,CREEK,380,210031535
805,"15 CURRINGA COURT, CHURCHILL",-38.319109,146.420642,4.0,2.0,2,$300_pw,none,January 2014,3842,2014,1,CHURCHILL,300,215011386
818,"12 IKARA WAY, CHURCHILL",-38.32109,146.426509,4.0,4.0,2,$400_per_week,House,January 2014,3842,2014,1,CHURCHILL,400,209011202
819,"12 IKARA WAY, CHURCHILL",-38.32109,146.426509,4.0,4.0,2,$400_pw,House,January 2014,3842,2014,1,CHURCHILL,400,211051286
920,"48 MCDONALD WAY, CHURCHILL",-38.312359,146.412762,3.0,1.0,1,$190_pw,Rental_residential,May 2014,3842,2014,5,CHURCHILL,190,214011374
921,"48 MCDONALD WAY, CHURCHILL",-38.312359,146.412762,3.0,1.0,1,$190_pw,Rental_residential,March 2014,3842,2014,3,CHURCHILL,190,209011198
927,"15 MIMOSA CRESCENT, CHURCHILL",-38.303715,146.418558,3.0,1.0,2,$200,none,April 2014,3842,2014,4,CHURCHILL,200,205041094
928,"15 MIMOSA CRESCENT, CHURCHILL",-38.303715,146.418558,3.0,1.0,2,$200_per_week,none,April 2014,3842,2014,4,CHURCHILL,200,205051103
929,"15 MIMOSA CRESCENT, CHURCHILL",-38.303715,146.418558,3.0,1.0,2,$200_pw,none,April 2014,3842,2014,4,CHURCHILL,200,213051362
930,"15 MIMOSA CRESCENT, CHURCHILL",-38.303715,146.418558,3.0,1.0,2,$210_per_week,none,March 2014,3842,2014,3,CHURCHILL,210,201031015
982,"31 DAVANZO AVENUE, CLARINDA",-37.944702,145.105229,3.0,1.0,2,$400,none,May 2014,3169,2014,5,CLARINDA,400,216011406
1034,"UNIT 1/19 ELDER STREET, CLARINDA",-37.928967,145.103913,2.0,1.0,1,$290_Weekly,Unit,March 2014,3169,2014,3,CLARINDA,290,207021425
1088,"3/69 SCHNEIDER CRESCENT, CLARINDA",-37.938692,145.101428,2.0,1.0,2,$400_per_week,Townhouse,February 2014,3169,2014,2,CLARINDA,400,210021232
1089,"3/69 SCHNEIDER CRESCENT, CLARINDA",-37.938692,145.101428,2.0,1.0,2,$400_pw,Townhouse,February 2014,3169,2014,2,CLARINDA,400,210021232
1090,"3/69 SCHNEIDER CRESCENT, CLARINDA",-37.938692,145.101428,2.0,1.0,2,$400,Townhouse,February 2014,3169,2014,2,CLARINDA,400,213051361
1133,"34 JACOBS DRIVE, CLARINDA",-37.944424,145.107486,3.0,1.0,2,$400,House,September 2014,3169,2014,9,CLARINDA,400,217031476
1152,"3/7 MACK CRESCENT, CLARINDA",-37.943918,145.11252,2.0,1.0,1,$330_pw,Unit/apmt,November 2014,3169,2014,11,CLARINDA,330,214011374
1153,"3/7 MACK CRESCENT, CLARINDA",-37.943918,145.11252,2.0,1.0,1,$330_Weekly,Unit/apmt,November 2014,3169,2014,11,CLARINDA,330,206051130
1154,"3/7 MACK CRESCENT, CLARINDA",-37.943918,145.11252,2.0,1.0,1,$330,Unit/apmt,November 2014,3169,2014,11,CLARINDA,330,212041309
1168,"20 CRAWFORD ROAD, CLARINDA",-37.929396,145.101594,2.0,1.0,1,$340_Weekly,House,December 2014,3169,2014,12,CLARINDA,340,212031300
1237,"1/45 BUNNEY RD, CLARINDA",-37.93339,145.100827,3.0,1.0,0,$360_per_week,House,June 2014,3169,2014,6,CLARINDA,360,213041462
1250,"7 BODLEY STREET, CLARINDA",-37.944388,145.113306,3.0,1.0,1,$390,House,July 2014,3169,2014,7,CLARINDA,390,214011370
1346,"9/1452 NORTH ROAD, CLAYTON NORTH",-37.914272,145.120685,2.0,1.0,1,$375_Weekly,Unit/apmt,August 2014,3168,2014,8,NORTH,375,209031213
1354,"1/21 BETTINA STREET, CLAYTON NORTH",-37.918739,145.138267,4.0,2.0,2,$560_Weekly,Unit/apmt,March 2014,3168,2014,3,NORTH,560,206041121
1355,"2/29 GLENBROOK AVENUE, CLAYTON NORTH",-37.908932,145.123434,4.0,3.0,1,$570_Weekly,House,January 2014,3168,2014,1,NORTH,570,214011375
1520,"1 GAYLE COURT, CLAYTON SOUTH",-37.957438,145.133572,3.0,1.0,2,$320_per_week,Rental_residential,November 2014,3169,2014,11,SOUTH,320,210031535
1521,"1 GAYLE COURT, CLAYTON SOUTH",-37.957438,145.133572,3.0,1.0,2,$320_pw,Rental_residential,November 2014,3169,2014,11,SOUTH,320,210031535
1522,"1 GAYLE COURT, CLAYTON SOUTH",-37.957438,145.133572,3.0,1.0,2,$320,Rental_residential,November 2014,3169,2014,11,SOUTH,320,212041310
1523,"1 GAYLE COURT, CLAYTON SOUTH",-37.957438,145.133572,3.0,1.0,2,$320_per_week,Rental_residential,September 2014,3169,2014,9,SOUTH,320,212051326
1569,"2 / 17 TENNYSON AVENUE, CLAYTON SOUTH",-37.934178,145.129704,2.0,1.0,1,$400_Weekly,Unit,December 2014,3169,2014,12,SOUTH,400,207011152
1579,"3 GLENN COURT, CLAYTON SOUTH",-37.955304,145.136471,3.0,1.0,2,$365,House,August 2014,3169,2014,8,SOUTH,365,214021385
1662,"51 GLENCANNON CRESCENT, CLAYTON SOUTH",-37.936405,145.116593,3.0,1.0,1,$350_Weekly,House,September 2014,3169,2014,9,SOUTH,350,205021084
1732,"2/19 BURNS AVENUE, CLAYTON SOUTH",-37.938025,145.133904,2.0,1.0,1,$290_pw,Unit/apmt,September 2014,3169,2014,9,SOUTH,290,206021112
1733,"2/19 BURNS AVENUE, CLAYTON SOUTH",-37.938025,145.133904,2.0,1.0,1,$290,Unit/apmt,March 2014,3169,2014,3,SOUTH,290,206021112
1745,"6/31-33 FIRST STREET, CLAYTON SOUTH",-37.932937,145.135112,2.0,1.0,1,$260,Unit/apmt,February 2014,3169,2014,2,SOUTH,260,206051130
1763,"22 FAIRBANK ROAD, CLAYTON SOUTH",-37.943047,145.136729,2.0,1.0,1,$300_Weekly,Unit/apmt,February 2014,3169,2014,2,SOUTH,300,211041270
1775,"UNIT 6/21 ROSEBANK AVENUE, CLAYTON SOUTH",-37.938946,145.13002,2.0,1.0,1,$300_Weekly,Unit/apmt,March 2014,3169,2014,3,SOUTH,300,212041310
1815,"19 TADSTAN COURT, CLAYTON SOUTH",-37.957528,145.132955,3.0,1.0,2,$330_per_week,House,February 2014,3169,2014,2,SOUTH,330,209021523
1816,"19 TADSTAN COURT, CLAYTON SOUTH",-37.957528,145.132955,3.0,1.0,2,$330_pw,House,February 2014,3169,2014,2,SOUTH,330,206051130
1817,"19 TADSTAN COURT, CLAYTON SOUTH",-37.957528,145.132955,3.0,1.0,2,$330,House,February 2014,3169,2014,2,SOUTH,330,209021523
1847,"3/25 BURNS AVENUE, CLAYTON SOUTH",-37.938542,145.133615,2.0,1.0,1,$295_p.w.,Unit/apmt,July 2014,3169,2014,7,SOUTH,295,205041494
1848,"3/25 BURNS AVENUE, CLAYTON SOUTH",-37.938542,145.133615,2.0,1.0,1,$295_Weekly,Unit/apmt,July 2014,3169,2014,7,SOUTH,295,205041494
1849,"3/25 BURNS AVENUE, CLAYTON SOUTH",-37.938542,145.133615,2.0,1.0,1,$295,Unit/apmt,July 2014,3169,2014,7,SOUTH,295,205041494
1862,"UNIT 2/37 BEVAN AVENUE, CLAYTON SOUTH",-37.935868,145.128147,2.0,1.0,1,$310_Weekly,Unit/apmt,March 2014,3169,2014,3,SOUTH,310,211051284
1921,"5/551 CLAYTON ROAD, CLAYTON SOUTH",-37.941828,145.115289,2.0,1.0,1,$290_-_$1260_Weekly,Unit/apmt,December 2014,3169,2014,12,SOUTH,1260,212021456
