,address,latitude,longitude,nbed,nbath,ncar,price,type,historical_dates,postcode,year,month,suburb,weekly_rent,SA2_CODE
24,"1/85 MAIN ROAD, CHEWTON",-37.088043,144.204874,1.0,1.0,1,$200_pw,House,July 2016,3451,2016,7,CHEWTON,200,204031075
32,"UNIT 2/85 MAIN ROAD, CHEWTON",-37.088043,144.204874,1.0,1.0,0,$200_per_week,House,October 2016,3451,2016,10,CHEWTON,200,206041505
49,"28 ARCHERS ROAD, CHEWTON",-37.0933124,144.258522,3.0,1.0,2,$400,House,December 2016,3451,2016,12,CHEWTON,400,208031191
70,"49 ADELAIDE STREET, CHEWTON",-37.086142,144.253413,3.0,2.0,2,$350_pw,House,February 2016,3451,2016,2,CHEWTON,350,201031014
78,"14 PITMAN STREET, CHEWTON",-37.083013,144.266589,4.0,1.0,1,$335_pw,House,February 2016,3451,2016,2,CHEWTON,335,206031115
108,"101 MAIN ROAD, CHEWTON",-37.079631,144.252468,3.0,1.0,0,$270,House,June 2016,3451,2016,6,CHEWTON,270,214021383
124,"16 STEELE STREET, CHEWTON",-37.0797293,144.248306,3.0,2.0,2,$330_pw,House,October 2016,3451,2016,10,CHEWTON,330,205031093
130,"195 MAIN ROAD, CHEWTON",-37.0803456,144.2619809,3.0,1.0,2,$330_pw,House,March 2016,3451,2016,3,CHEWTON,330,217031475
138,"114 GOLDEN POINT ROAD, CHEWTON",-37.071999,144.2744735,3.0,1.0,2,$250_pw,House,February 2016,3451,2016,2,CHEWTON,250,205011076
140,"114 FRYERS ROAD, CHEWTON",-37.094488,144.2554,2.0,1.0,3,$260_pw,House,May 2016,3451,2016,5,CHEWTON,260,209041223
141,"114 FRYERS ROAD, CHEWTON",-37.094488,144.2554,2.0,1.0,3,$260_pw,House,February 2016,3451,2016,2,CHEWTON,260,209041223
144,"6 BAKER STREET, CHEWTON",-37.081637,144.26061,2.0,1.0,0,$260_per_week,House,December 2016,3451,2016,12,CHEWTON,260,204031075
145,"6 BAKER STREET, CHEWTON",-37.081637,144.26061,2.0,1.0,0,$260_per_week,House,August 2016,3451,2016,8,CHEWTON,260,205051102
149,"3A EUREKA STREET, CHEWTON",-37.077977,144.246961,3.0,1.0,0,$270_pw,House,December 2016,3451,2016,12,CHEWTON,270,209041223
152,"57 ARCHERS ROAD, CHEWTON",-37.094426,144.259118,3.0,1.0,2,$400_per_week,House,November 2016,3451,2016,11,CHEWTON,400,204031070
154,"LOT/31 HOOPERS ROAD, CHEWTON",-37.0967347,144.2657472,2.0,1.0,2,$350_pw,House,June 2016,3451,2016,6,CHEWTON,350,217041477
156,"173 MAIN ROAD, CHEWTON",-37.080952,144.259378,2.0,1.0,0,$270_per_week,House,May 2016,3451,2016,5,CHEWTON,270,212031300
164,"732A PYRENEES HIGHWAY, CHEWTON",-37.08367,144.272154,2.0,1.0,1,$205_pw,House,April 2016,3451,2016,4,CHEWTON,205,202021031
166,"4 GEORGE STREET, CHEWTON",-37.082086,144.256513,3.0,1.0,2,$360_pw,House,April 2016,3451,2016,4,CHEWTON,360,206071139
170,"278 GOLDEN POINT ROAD, CHEWTON",-37.059297,144.274696,2.0,1.0,0,$375_pw,House,April 2016,3451,2016,4,CHEWTON,375,212041317
171,"197 MAIN ROAD, CHEWTON",-37.0803515,144.2618795,1.0,1.0,0,$250_pw,House,March 2016,3451,2016,3,CHEWTON,250,206041504
172,"197 MAIN ROAD, CHEWTON",-37.0803515,144.2618795,1.0,1.0,0,$290_pw,House,February 2016,3451,2016,2,CHEWTON,290,206041504
174,"7 MANCHESTER STREET, CHEWTON",-37.0775879,144.2506022,5.0,2.0,2,$400_pw,House,February 2016,3451,2016,2,CHEWTON,400,202021027
260,"1 HIGH STREET, CHILTERN",-36.1505744,146.5991617,3.0,2.0,2,$240,House,October 2016,3683,2016,10,CHILTERN,240,205051104
261,"1 HIGH STREET, CHILTERN",-36.1505744,146.5991617,3.0,2.0,2,$260_pw,House,August 2016,3683,2016,8,CHILTERN,260,202011020
262,"1 HIGH STREET, CHILTERN",-36.1505744,146.5991617,3.0,2.0,2,$260_pw,House,July 2016,3683,2016,7,CHILTERN,260,204031070
275,"10B CONNESS STREET, CHILTERN",-36.151004,146.605192,2.0,1.0,1,$235_per_week,House,August 2016,3683,2016,8,CHILTERN,235,212031308
301,"2/56 ALBERT ROAD, CHILTERN",-36.14908,146.604709,2.0,1.0,1,$185_pw,House,October 2016,3683,2016,10,CHILTERN,185,211051282
302,"2/56 ALBERT ROAD, CHILTERN",-36.14908,146.604709,2.0,1.0,1,$190_pw,House,October 2016,3683,2016,10,CHILTERN,190,202011019
318,"65 MAIN STREET, CHILTERN",-36.149418,146.609623,3.0,2.0,2,$300,House,October 2016,3683,2016,10,CHILTERN,300,212031300
363,"7 SCOTT STREET, CHILTERN",-36.153794,146.592627,2.0,1.0,4,$200_per_week,none,August 2016,3683,2016,8,CHILTERN,200,209041223
368,"5 PARK STREET, CHILTERN",-36.149064,146.608326,3.0,1.0,2,$280,House,August 2016,3683,2016,8,CHILTERN,280,214011376
369,"5 PARK STREET, CHILTERN",-36.149064,146.608326,3.0,1.0,2,$280_p.w.,House,July 2016,3683,2016,7,CHILTERN,280,212031300
