,Unnamed: 0,Unnamed: 0.2,Unnamed: 0.1,address,latitude,longitude,nbed,nbath,ncar,price,type,historical_dates,postcode,year,month,suburb,weekly_rent,residence_type,SA2_CODE
0,0,0,0,"49 ADELAIDE STREET, CHEWTON",-37.086142,144.253413,3.0,2.0,2,$350_pw,House,January 2012,3451,2012,1,CHEWTON,350,House,202021027
1,1,1,1,"16 STEELE STREET, CHEWTON",-37.0797293,144.248306,3.0,2.0,2,$330_pw,House,July 2012,3451,2012,7,CHEWTON,330,House,202021027
2,2,2,2,"114 FRYERS ROAD, CHEWTON",-37.094488,144.2554,2.0,1.0,3,$235_pw,House,January 2012,3451,2012,1,CHEWTON,235,House,202021027
3,3,3,3,"173 MAIN ROAD, CHEWTON",-37.080952,144.259378,2.0,1.0,0,$270_pw,House,August 2012,3451,2012,8,CHEWTON,270,House,202021027
4,4,4,4,"173 MAIN ROAD, CHEWTON",-37.080952,144.259378,2.0,1.0,0,$270_pw,House,April 2012,3451,2012,4,CHEWTON,270,House,202021027
5,5,5,5,"17 PARK STREET, CHILTERN",-36.148025,146.608721,3.0,2.0,0,$190,Rental_residential,May 2012,3683,2012,5,CHILTERN,190,Other,204031070
6,6,6,6,"17 PARK STREET, CHILTERN",-36.148025,146.608721,3.0,2.0,0,$190,Rental_residential,April 2012,3683,2012,4,CHILTERN,190,Other,204031070
7,7,7,7,"2/20 NICKLESS STREET, CHILTERN",-36.154038,146.602977,2.0,1.0,2,$185_pw,Rental_residential,March 2012,3683,2012,3,CHILTERN,185,Other,204031070
8,8,8,8,"3 MARTINS LANE, CHILTERN",-36.1514034,146.6082599,2.0,1.0,1,$210,Townhouse,February 2012,3683,2012,2,CHILTERN,210,House,204031070
9,9,9,9,"2/56 ALBERT ROAD, CHILTERN",-36.14908,146.604709,2.0,1.0,1,$175_pw,House,June 2012,3683,2012,6,CHILTERN,175,House,204031070
10,10,10,10,"27 SWITCHBACK ROAD, CHIRNSIDE PARK",-37.745383,145.332843,3.0,1.0,1,$370_per_week,House,October 2012,3116,2012,10,PARK,370,House,211051275
11,11,11,11,"66 ROSEMAN ROAD, CHIRNSIDE PARK",-37.746928,145.33598,3.0,1.0,1,$300_pw,House,May 2012,3116,2012,5,PARK,300,House,211051275
12,12,12,12,"66 ROSEMAN ROAD, CHIRNSIDE PARK",-37.746928,145.33598,3.0,1.0,1,$300_pw,House,April 2012,3116,2012,4,PARK,300,House,211051275
13,13,13,13,"53 VICTORIA ROAD, CHIRNSIDE PARK",-37.755744,145.335116,3.0,1.0,1,$295_per_week,none,July 2012,3116,2012,7,PARK,295,Other,211051275
14,14,14,14,"25 CLUBPOINT DRIVE, CHIRNSIDE PARK",-37.7526153,145.3270934,3.0,2.0,1,$350_pw,House,February 2012,3116,2012,2,PARK,350,House,211051275
15,15,15,15,"55 CHIRNSIDE DRIVE, CHIRNSIDE PARK",-37.754336,145.320414,4.0,2.0,2,$400_pw,House,June 2012,3116,2012,6,PARK,400,House,211051275
