,Unnamed: 0,address,latitude,longitude,nbed,nbath,ncar,price,type,historical_dates,postcode,year,month,suburb,weekly_rent,residence_type,SA2_CODE
0,0,"14 PITMAN STREET, CHEWTON",-37.083013,144.266589,4.0,1.0,1,$260_pw,House,March 2008,3451,2008,3,CHEWTON,260,House,202021027
1,1,"52 FRYERS ROAD, CHEWTON",-37.087738,144.257555,3.0,1.0,2,$350_pw,House,April 2008,3451,2008,4,CHEWTON,350,House,202021027
2,2,"52 FRYERS ROAD, CHEWTON",-37.087738,144.257555,3.0,1.0,2,$340,House,March 2008,3451,2008,3,CHEWTON,340,House,202021027
3,3,"6 BAKER STREET, CHEWTON",-37.081637,144.26061,2.0,1.0,0,$200_pw,House,July 2008,3451,2008,7,CHEWTON,200,House,202021027
5,5,"17 HINKLER STREET, CHILDERS",-38.2970543,146.1086067,3.0,1.0,1,$250_pw,House,September 2008,3824,2008,9,CHILDERS,250,House,205011078
13,13,"717 CHILTERN VALLEY ROAD, CHILTERN VALLEY",-36.141879,146.546172,3.0,2.0,0,$300_pw,House,November 2008,3683,2008,11,VALLEY,300,House,204031070
14,14,"2/20 NICKLESS STREET, CHILTERN",-36.154038,146.602977,2.0,1.0,2,$180,Rental_residential,April 2008,3683,2008,4,CHILTERN,180,Other,204031070
15,15,"12 PARK STREET, CHILTERN",-36.148489,146.609016,3.0,1.0,0,$185_pw,House,November 2008,3683,2008,11,CHILTERN,185,House,204031070
16,16,"5 PARK STREET, CHILTERN",-36.149064,146.608326,3.0,1.0,2,$220_pw,House,November 2008,3683,2008,11,CHILTERN,220,House,204031070
17,17,"5 EDWARD ROAD, CHIRNSIDE PARK",-37.75641,145.316065,3.0,1.0,1,$260,House,May 2008,3116,2008,5,PARK,260,House,211051275
18,18,"5 ALLY TERRACE, CHIRNSIDE PARK",-37.756717,145.294892,4.0,2.0,2,$410_pw,House,January 2008,3116,2008,1,PARK,410,House,211051275
19,19,"19 CHUM CREEK ROAD, CHUM CREEK",-37.646878,145.49704,3.0,2.0,2,$320_per_week,House,May 2008,3777,2008,5,CREEK,320,House,211051276
20,20,"19 CHUM CREEK ROAD, CHUM CREEK",-37.646878,145.49704,3.0,2.0,2,$320_per_week,House,April 2008,3777,2008,4,CREEK,320,House,211051276
21,21,"48 MCDONALD WAY, CHURCHILL",-38.312359,146.412762,3.0,1.0,1,$160,Rental_residential,February 2008,3842,2008,2,CHURCHILL,160,Other,205041094
22,22,"28 NUGENT COURT, CLARENDON",-37.713035,143.979763,5.0,3.0,4,$450_pw,Rental_residential,March 2008,3352,2008,3,CLARENDON,450,Other,201021012
23,23,"20 CRAWFORD ROAD, CLARINDA",-37.929396,145.101594,2.0,1.0,1,$240_pw,House,March 2008,3169,2008,3,CLARINDA,240,House,212041309
24,24,"8/31-33 FIRST STREET, CLAYTON SOUTH",-37.933051,145.134866,2.0,1.0,1,$175,none,April 2008,3169,2008,4,SOUTH,175,Other,212041310
25,25,"3/31 SPRINGS ROAD, CLAYTON SOUTH",-37.930285,145.109556,2.0,1.0,1,$250,none,July 2008,3169,2008,7,SOUTH,250,Other,212041310
26,26,"10 EVERGREEN BOULEVARD, CLAYTON SOUTH",-37.93957,145.137404,3.0,2.0,2,$470,House,September 2008,3169,2008,9,SOUTH,470,House,212041310
27,27,"10 EVERGREEN BOULEVARD, CLAYTON SOUTH",-37.93957,145.137404,3.0,2.0,2,$470,House,August 2008,3169,2008,8,SOUTH,470,House,212041310
28,28,"1 MELOSA AVENUE, CLAYTON SOUTH",-37.937284,145.114101,3.0,1.0,2,$250,House,April 2008,3169,2008,4,SOUTH,250,House,212041310
29,29,"1/6 ATLANTIC STREET, CLAYTON",-37.918015,145.128456,1.0,1.0,1,$370,House,February 2008,3168,2008,2,CLAYTON,370,House,212051568
30,30,"35 RENVER ROAD, CLAYTON",-37.919951,145.142791,3.0,1.0,1,$300,House,October 2008,3168,2008,10,CLAYTON,300,House,212051567
31,31,"35 RENVER ROAD, CLAYTON",-37.919951,145.142791,3.0,1.0,1,$300,House,September 2008,3168,2008,9,CLAYTON,300,House,212051567
32,32,"2/14 ATLANTIC STREET, CLAYTON",-37.918107,145.129229,2.0,1.0,2,$260,Rental_residential,February 2008,3168,2008,2,CLAYTON,260,Other,212051568
33,33,"42 STOCKDALE AVENUE, CLAYTON",-37.910502,145.126035,4.0,2.0,1,$140_p.w.,House,September 2008,3168,2008,9,CLAYTON,140,House,212051567
34,34,"2B HOURIGAN AVENUE, CLAYTON",-37.917265,145.121913,3.0,2.0,2,$400_Weekly,Townhouse,December 2008,3168,2008,12,CLAYTON,400,House,212051568
35,35,"105 KANOOKA GROVE, CLAYTON",-37.926131,145.125044,3.0,1.0,1,$350_Weekly,House,November 2008,3168,2008,11,CLAYTON,350,House,212051568
36,36,"16 BRUSHBOX COURT, CLAYTON",-37.92314,145.129478,2.0,1.0,2,$380_per_week,Townhouse,September 2008,3168,2008,9,CLAYTON,380,House,212051568
37,37,"3 ALBERT ROAD, CLEMATIS",-37.929421,145.421,2.0,1.0,0,$240,House,July 2008,3782,2008,7,CLEMATIS,240,House,212011289
38,38,"3 ALBERT ROAD, CLEMATIS",-37.929421,145.421,2.0,1.0,0,$240_per_week,House,April 2008,3782,2008,4,CLEMATIS,240,House,212011289
39,39,"2/1980 WELLINGTON ROAD, CLEMATIS",-37.933762,145.412077,3.0,2.0,2,$270_per_week,House,June 2008,3782,2008,6,CLEMATIS,270,House,212011289
40,40,"2/1980 WELLINGTON ROAD, CLEMATIS",-37.933762,145.412077,3.0,2.0,2,$270,House,May 2008,3782,2008,5,CLEMATIS,270,House,212011289
41,41,"120 BELLBIRD ROAD, CLIFTON CREEK",-37.728296,147.691371,4.0,1.0,3,$265_Weekly,House,September 2008,3875,2008,9,CREEK,265,House,205021082
42,42,"6/32 THE ESPLANADE, CLIFTON HILL",-37.787185,145.005992,2.0,1.0,1,$300,Rental_residential,July 2008,3068,2008,7,HILL,300,Other,206071145
43,43,"8/32 DWYER STREET, CLIFTON HILL",-37.787239,145.002994,1.0,1.0,1,$250_pw,none,August 2008,3068,2008,8,HILL,250,Other,206071145
44,44,"137 RAMSDEN STREET, CLIFTON HILL",-37.791122,145.000617,4.0,2.0,2,$350_pw,Rental_residential,August 2008,3068,2008,8,HILL,350,Other,206071145
45,45,"18/14 THE ESPLANADE, CLIFTON HILL",-37.788057,145.005844,1.0,1.0,1,$210_pw,Rental_residential,April 2008,3068,2008,4,HILL,210,Other,206071145
