,Unnamed: 0,address,latitude,longitude,nbed,nbath,ncar,price,type,historical_dates,postcode,year,month,suburb,weekly_rent,residence_type,SA2_CODE
0,0,"175 MAIN ROAD, CHEWTON",-37.080913,144.259581,1.0,1.0,1,$160_pw,House,December 2007,3451,2007,12,CHEWTON,160,House,202021027
1,1,"173 MAIN ROAD, CHEWTON",-37.080952,144.259378,2.0,1.0,0,$195_pw,House,October 2007,3451,2007,10,CHEWTON,195,House,202021027
2,2,"3/1 OXFORD STREET, CHILTERN",-36.150694,146.606488,2.0,1.0,1,$110_pw,none,November 2007,3683,2007,11,CHILTERN,110,Other,204031070
3,3,"5 PARK STREET, CHILTERN",-36.149064,146.608326,3.0,1.0,2,$250_pw,House,November 2007,3683,2007,11,CHILTERN,250,House,204031070
4,4,"4 GLENDALE DRIVE, CHIRNSIDE PARK",-37.751383,145.312411,4.0,2.0,2,$290_pw,Rental_residential,October 2007,3116,2007,10,PARK,290,Other,211051275
5,5,"4 GLENDALE DRIVE, CHIRNSIDE PARK",-37.751383,145.312411,4.0,2.0,2,$290,Rental_residential,August 2007,3116,2007,8,PARK,290,Other,211051275
6,6,"13 HUNTINGDALE DRIVE, CHIRNSIDE PARK",-37.755373,145.323258,3.0,2.0,1,$275_pw,House,August 2007,3116,2007,8,PARK,275,House,211051275
7,7,"72 COUNTRY CLUB DRIVE, CHIRNSIDE PARK",-37.752459,145.324645,3.0,2.0,1,$250,House,January 2007,3116,2007,1,PARK,250,House,211051275
8,8,"5 ALLY TERRACE, CHIRNSIDE PARK",-37.756717,145.294892,4.0,2.0,2,$425_pw,House,November 2007,3116,2007,11,PARK,425,House,211051275
9,9,"5 ALLY TERRACE, CHIRNSIDE PARK",-37.756717,145.294892,4.0,2.0,2,$425_pw,House,October 2007,3116,2007,10,PARK,425,House,211051275
10,10,"27 ACACIA WAY, CHURCHILL",-38.301581,146.415178,3.0,1.0,0,$125,House,January 2007,3842,2007,1,CHURCHILL,125,House,205041094
11,11,"13 GUNDAROO PLACE, CHURCHILL",-38.320975,146.423926,3.0,1.0,0,$120,House,August 2007,3842,2007,8,CHURCHILL,120,House,205041094
12,12,"1 ELDER ST, CLARINDA",-37.927113,145.104236,3.0,1.0,1,$220,House,January 2007,3169,2007,1,CLARINDA,220,House,212041309
13,13,"4/34 OAKES AVENUE, CLAYTON SOUTH",-37.935811,145.132469,2.0,1.0,0,$200_pw,none,April 2007,3169,2007,4,SOUTH,200,Other,212041310
14,14,"1 GAYLE COURT, CLAYTON SOUTH",-37.957438,145.133572,3.0,1.0,2,$220,Rental_residential,November 2007,3169,2007,11,SOUTH,220,Other,212041310
15,15,"19 TADSTAN COURT, CLAYTON SOUTH",-37.957528,145.132955,3.0,1.0,2,$280,House,September 2007,3169,2007,9,SOUTH,280,House,212041310
16,16,"19 TADSTAN COURT, CLAYTON SOUTH",-37.957528,145.132955,3.0,1.0,2,$290,House,June 2007,3169,2007,6,SOUTH,290,House,212041310
17,17,"19 TADSTAN COURT, CLAYTON SOUTH",-37.957528,145.132955,3.0,1.0,2,$280,House,May 2007,3169,2007,5,SOUTH,280,House,212041310
18,18,"1 MELOSA AVENUE, CLAYTON SOUTH",-37.937284,145.114101,3.0,1.0,2,$250,House,July 2007,3169,2007,7,SOUTH,250,House,212041310
19,19,"1 MELOSA AVENUE, CLAYTON SOUTH",-37.937284,145.114101,3.0,1.0,2,$250,House,May 2007,3169,2007,5,SOUTH,250,House,212041310
20,20,"1/34 WELLINGTON ROAD, CLAYTON",-37.915779,145.133915,1.0,1.0,1,$230,Unit,February 2007,3168,2007,2,CLAYTON,230,Apartment,212051567
21,21,"3/14-16 WRIGHT STREET, CLAYTON",-37.921946,145.12376,4.0,2.0,1,$350_p.w.,Townhouse,November 2007,3168,2007,11,CLAYTON,350,House,212051568
22,22,"10/2 MONASH GREEN DRIVE, CLAYTON",-37.918788,145.127626,2.0,1.0,1,$340,Unit,August 2007,3168,2007,8,CLAYTON,340,Apartment,212051568
23,23,"1/31 GLENBROOK AVENUE, CLAYTON",-37.909275,145.123752,3.0,1.0,2,$280,House,February 2007,3168,2007,2,CLAYTON,280,House,212051567
24,24,"10 SHADY MEWS, CLAYTON",-37.922472,145.127818,3.0,1.0,1,$300,Townhouse,January 2007,3168,2007,1,CLAYTON,300,House,212051568
25,25,"16 WELLINGTON ROAD, CLAYTON",-37.915481,145.130845,1.0,2.0,0,$411,House,March 2007,3168,2007,3,CLAYTON,411,House,212051567
26,26,"35 RENVER ROAD, CLAYTON",-37.919951,145.142791,3.0,1.0,1,$295_per_week,House,February 2007,3168,2007,2,CLAYTON,295,House,212051567
27,27,"3/21 FRANCIS STREET, CLAYTON",-37.924041,145.121709,2.0,1.0,1,$250_p.w.,none,November 2007,3168,2007,11,CLAYTON,250,Other,212051568
28,28,"4 / 63 CARINISH ROAD, CLAYTON",-37.920334,145.115395,2.0,1.0,1,$250,Unit,January 2007,3168,2007,1,CLAYTON,250,Apartment,212051568
29,29,"9 BURTON AVENUE, CLAYTON",-37.926327,145.115883,4.0,3.0,1,$300,Townhouse,December 2007,3168,2007,12,CLAYTON,300,House,212051568
30,30,"16 THOMAS STREET, CLAYTON",-37.927189,145.120776,3.0,1.0,4,$280,House,January 2007,3168,2007,1,CLAYTON,280,House,212051568
31,31,"10 VICTOR ROAD, CLEMATIS",-37.929733,145.419864,5.0,2.0,0,$350_pw,none,August 2007,3782,2007,8,CLEMATIS,350,Other,212011289
32,32,"2/1980 WELLINGTON ROAD, CLEMATIS",-37.933762,145.412077,3.0,2.0,2,$250_p.w.,House,April 2007,3782,2007,4,CLEMATIS,250,House,212011289
33,33,"2 ALBERT ROAD, CLEMATIS",-37.929236,145.421288,3.0,1.0,0,$220,House,February 2007,3782,2007,2,CLEMATIS,220,House,212011289
34,34,"29 FENWICK STREET, CLIFTON HILL",-37.789226,144.999862,2.0,1.0,0,$380_pw,none,December 2007,3068,2007,12,HILL,380,Other,206071145
35,35,"25 HEIDELBERG ROAD, CLIFTON HILL",-37.787143,144.996092,4.0,2.0,1,$395_pw,House,August 2007,3068,2007,8,HILL,395,House,206071145
36,36,"8/32 DWYER STREET, CLIFTON HILL",-37.787239,145.002994,1.0,1.0,1,$240_pw,none,August 2007,3068,2007,8,HILL,240,Other,206071145
37,37,"137 RAMSDEN STREET, CLIFTON HILL",-37.791122,145.000617,4.0,2.0,2,$325_pw,Rental_residential,August 2007,3068,2007,8,HILL,325,Other,206071145
38,38,"6/2 GROOM STREET, CLIFTON HILL",-37.794845,144.997723,3.0,2.0,2,$440_pw,Rental_residential,June 2007,3068,2007,6,HILL,440,Other,206071145
39,39,"169 ROSENEATH STREET, CLIFTON HILL",-37.793091,145.000806,2.0,1.0,0,$390_pw,House,October 2007,3068,2007,10,HILL,390,House,206071145
40,40,"47 CLIFFORD PLACE, CLIFTON HILL",-37.791779,145.001407,2.0,1.0,1,$355_pw,Townhouse,December 2007,3068,2007,12,HILL,355,House,206071145
41,41,"2/57 CAROLINE STREET, CLIFTON HILL",-37.790209,145.00096,1.0,1.0,1,$180_pw,Rental_residential,April 2007,3068,2007,4,HILL,180,Other,206071145
42,42,"5/200 NOONE STREET, CLIFTON HILL",-37.793351,144.98911,2.0,2.0,1,$500_pw,none,February 2007,3068,2007,2,HILL,500,Other,206071145
43,43,"135 RAMSDEN STREET, CLIFTON HILL",-37.791121,145.000549,2.0,1.0,0,$420_pw,Rental_residential,September 2007,3068,2007,9,HILL,420,Other,206071145
44,44,"15A COUNCIL STREET, CLIFTON HILL",-37.792726,144.986822,2.0,2.0,1,$450,Townhouse,January 2007,3068,2007,1,HILL,450,House,206071145
45,45,"104 NOONE STREET, CLIFTON HILL",-37.79363,144.994951,4.0,2.0,0,$270,House,August 2007,3068,2007,8,HILL,270,House,206071145
46,46,"10/9 SOUTH TERRACE, CLIFTON HILL",-37.79235,144.99226,1.0,1.0,1,$220,Flat,October 2007,3068,2007,10,HILL,220,Apartment,206071145
47,47,"7/57 CAROLINE STREET, CLIFTON HILL",-37.789892,144.998232,2.0,1.0,1,$280_pw,Rental_residential,August 2007,3068,2007,8,HILL,280,Other,206071145
48,48,"4/15 ANDERSON STREET, CLIFTON HILL",-37.792677,144.99261,2.0,1.0,1,$250_pw,Rental_residential,September 2007,3068,2007,9,HILL,250,Other,206071145
49,49,"3/28 EDMUND STREET, CLIFTON HILL",-37.787333,145.004462,2.0,2.0,1,$340_pw,Rental_residential,May 2007,3068,2007,5,HILL,340,Other,206071145
50,50,"15 COUNCIL STREET, CLIFTON HILL",-37.792726,144.986822,3.0,2.0,2,$550,House,January 2007,3068,2007,1,HILL,550,House,206071145
51,51,"22 GROOM STREET, CLIFTON HILL",-37.793529,144.997952,2.0,2.0,1,$320_pw,Rental_residential,February 2007,3068,2007,2,HILL,320,Other,206071145
52,52,"11/56 JOHN STREET, CLIFTON HILL",-37.789298,144.995897,2.0,2.0,1,$330_pw,none,May 2007,3068,2007,5,HILL,330,Other,206071145
53,53,"11/56 JOHN STREET, CLIFTON HILL",-37.789298,144.995897,2.0,2.0,1,$330,none,April 2007,3068,2007,4,HILL,330,Other,206071145
54,54,"11/56 JOHN STREET, CLIFTON HILL",-37.789298,144.995897,2.0,2.0,1,$330_pw,none,March 2007,3068,2007,3,HILL,330,Other,206071145
55,55,"8 RUTLAND STREET, CLIFTON HILL",-37.794571,144.99622,2.0,1.0,0,$300,none,January 2007,3068,2007,1,HILL,300,Other,206071145
56,56,"9 SPENSLEY STREET, CLIFTON HILL",-37.788833,144.996153,2.0,1.0,1,$450_pw,Townhouse,December 2007,3068,2007,12,HILL,450,House,206071145
57,57,"9 SPENSLEY STREET, CLIFTON HILL",-37.788833,144.996153,2.0,1.0,1,$450,Townhouse,November 2007,3068,2007,11,HILL,450,House,206071145
58,58,"6/4 CLIFTON STREET, CLIFTON HILL",-37.787595,145.005288,1.0,1.0,1,$200_pw,Rental_residential,November 2007,3068,2007,11,HILL,200,Other,206071145
59,59,"6/4 CLIFTON STREET, CLIFTON HILL",-37.787595,145.005288,1.0,1.0,1,$200,Rental_residential,October 2007,3068,2007,10,HILL,200,Other,206071145
60,60,"5/56 JOHN STREET, CLIFTON HILL",-37.78723145,144.99583435,1.0,1.0,1,$250,none,January 2007,3068,2007,1,HILL,250,Other,206071145
61,61,"2/14-16 RAMSDEN STREET, CLIFTON HILL",-37.790195,144.995884,3.0,2.0,2,$380_pw,Rental_residential,February 2007,3068,2007,2,HILL,380,Other,206071145
62,62,"18/57 CAROLINE STREET, CLIFTON HILL",-37.79021072,145.0009613,1.0,1.0,1,$170_pw,Rental_residential,February 2007,3068,2007,2,HILL,170,Other,206071145
