,year,month,address,latitude,longitude,postcode,sa2_2021,sa2_2016,residence_type,nbed,nbath,ncar,min_distance_to_cbd,min_distance_to_park,min_distance_to_prim,min_distance_to_second,min_distance_to_train,min_distance_to_hosp,min_distance_to_poli,min_distance_to_shop,weekly_rent
0,2014,3,"- BROWN STREET, JAMIESON",-37.3032062,146.1394703,3723,204011057,204011057,House,3.0,1.0,0,243.36261,5.207319999999999,0.30609,36.82688,50.959230000000005,36.74123,0.1798799999999999,,180.0
1,2014,7,"- CHANGUE ROAD, MERRIJIG",-37.1113791,146.3544572,3723,204011057,204011057,House,2.0,1.0,1,234.17019,8.887709999999998,10.195709999999998,1.94679,41.76681,27.54881,28.24516,,350.0
2,2014,8,"- CHANRO COURT, BONNIE DOON",-37.0276764,145.8794388,3720,204011057,204011057,House,4.0,2.0,1,187.25883,14.68874,3.1030100000000003,21.02612,3.56917,20.42362,19.74437,,315.0
3,2014,9,"- CHANRO COURT, BONNIE DOON",-37.0276764,145.8794388,3720,204011057,204011057,House,4.0,2.0,1,187.25883,14.68874,3.1030100000000003,21.02612,3.56917,20.42362,19.74437,,315.0
4,2014,5,"- CHRISTENSEN ST, SAWMILL SETTLEMENT",-37.1079503,146.3599912,3723,204011057,204011057,House,3.0,2.0,0,234.61766,8.07639,10.64318,0.67763,42.21428,27.99628,28.69263,,380.0
5,2014,6,"- CHRISTENSEN ST, SAWMILL SETTLEMENT",-37.1079503,146.3599912,3723,204011057,204011057,House,3.0,2.0,0,234.61766,8.07639,10.64318,0.67763,42.21428,27.99628,28.69263,,380.0
6,2014,12,"- DAWN CRESCENT, BONNIE DOON",-37.0384123,145.8752647,3720,204011057,204011057,House,2.0,1.0,0,187.02556,16.70756,2.86975,23.04494,3.3359,22.44244,21.76318,,270.0
7,2014,3,"- LOCHIEL ROAD, BARWITE",-36.981537,146.2068313,3722,204011057,204011057,House,4.0,3.0,0,223.6503,30.681240000000003,18.09295,18.47189,31.24692,18.40452,17.725270000000002,,300.0
8,2014,10,"- LOCKHART ROAD, BONNIE DOON",-37.0265488,145.8603715,3720,204011057,204011057,House,3.0,2.0,2,184.95056,16.19992,0.79475,22.5373,1.2609,21.9348,21.25554,,375.0
9,2014,4,"- MAIN STREET, MAINDAMPLE",-37.0271382,145.9353463,3722,204011057,204011057,House,1.0,1.0,1,192.30931,9.23523,8.15349,15.57261,0.49149,14.97011,14.29085,,180.0
10,2014,12,"- MAIN STREET, MAINDAMPLE",-37.0271382,145.9353463,3722,204011057,204011057,House,1.0,1.0,1,192.30931,9.23523,8.15349,15.57261,0.49149,14.97011,14.29085,,270.0
11,2014,10,"- MCKEES LANE, MAINDAMPLE",-37.0313019,146.1365456,3722,204011057,204011057,House,2.0,1.0,3,213.18791,20.21884,7.63055,8.0095,20.78452,7.94213,7.262869999999999,,325.0
12,2014,4,"- MIDLAND HIGHWAY, BARJARG",-36.9228818,146.0016116,3723,204011057,204011057,House,2.0,1.0,0,206.52392,19.92362,19.55182,3.20527,14.12054,19.50139,18.82213,,160.0
13,2014,9,"- OLD TOLMIE ROAD, TOLMIE",-36.9799348,146.1953645,3723,204011057,204011057,House,4.0,1.0,0,221.49448,28.52542,15.93713,16.31607,29.0911,16.2487,15.569450000000002,,250.0
