,year,month,address,latitude,longitude,postcode,sa2_2021,sa2_2016,residence_type,nbed,nbath,ncar,min_distance_to_cbd,min_distance_to_park,min_distance_to_prim,min_distance_to_second,min_distance_to_train,min_distance_to_hosp,min_distance_to_poli,min_distance_to_shop,weekly_rent
14858,2020,9,"49 VICTORIA ROAD NORTH, MALVERN",-37.869314,145.037686,3144,208041194,208041194,House,3.0,1.0,1,12.69683,0.94022,0.46899,2.16318,1.10974,,2.52165,,515.0
14859,2020,2,"49 WEBSTER STREET, BALLARAT",-37.55714,143.850803,3350,201011002,201011002,House,3.0,1.0,2,115.41518,1.07052,1.04952,0.24614,5.36332,0.48086,1.55444,,470.0
14860,2020,4,"49 WEBSTER STREET, WYCHEPROOF",-36.07611001,143.22018001,3527,215031400,215031400,House,5.0,1.0,1,275.6165,1.18925,0.83992,1.31595,1.1955,1.28561,0.89403,,200.0
14861,2020,5,"49 WEBSTER STREET, WYCHEPROOF",-36.07611001,143.22018001,3527,215031400,215031400,House,5.0,1.0,1,275.6165,1.18925,0.83992,1.31595,1.1955,1.28561,0.89403,,200.0
14862,2020,10,"49 WESTBANK TERRACE, RICHMOND",-37.822257,145.013095,3121,206071517,206071144,House,3.0,2.0,0,5.5138,1.37498,1.7346199999999998,0.66207,1.47469,,,,810.0
14863,2020,6,"49 WILLS STREET, BENDIGO",-36.7636653002,144.2798383002,3550,202011018,202011018,Apartment,1.0,1.0,1,150.86328,1.2867,1.1183599999999998,1.03087,1.4834,2.9355900000000004,1.62481,1.19934,418.0
14864,2020,7,"49 WILLSLIE CRESCENT, BERWICK",-38.055021,145.341216,3806,212021553,212021294,House,3.0,2.0,3,47.38179,1.00971,1.5113,1.42213,,,,,450.0
14865,2020,9,"49 WILLSLIE CRESCENT, BERWICK",-38.055021,145.341216,3806,212021553,212021294,House,3.0,2.0,3,47.38179,1.00971,1.5113,1.42213,,,,,450.0
14866,2020,7,"491 BRUNSWICK ROAD, BRUNSWICK WEST",-37.774528,144.941475,3055,206011107,206011107,House,3.0,2.0,1,5.88162,0.82013,0.91413,2.25199,,,,,900.0
14867,2020,9,"491 BRUNSWICK ROAD, BRUNSWICK WEST",-37.774528,144.941475,3055,206011107,206011107,House,3.0,2.0,1,5.88162,0.82013,0.91413,2.25199,,,,,900.0
14868,2020,11,"491 BRUNSWICK ROAD, BRUNSWICK WEST",-37.774528,144.941475,3055,206011107,206011107,House,3.0,2.0,1,5.88162,0.82013,0.91413,2.25199,,,,,900.0
14869,2020,11,"492 BELLARINE HIGHWAY, MOOLAP",-38.182913,144.436575,3221,203021045,203021045,House,4.0,1.0,1,87.52428,2.79564,2.37264,4.26192,,,,,370.0
