facility,latitude,longitude,year,facility_type
ST JOSEPHS SCHOOL,-37.8580699933462,145.031159993009,2017,<class 'type'>,primary_school
ST JOSEPHS SCHOOL,-37.8004599939207,144.986389977062,2017,<class 'type'>,primary_school
ST JOSEPHS SCHOOL,-37.7921700038314,145.616809966797,2017,<class 'type'>,primary_school
ST JOSEPHS SCHOOL,-37.7622900027166,144.942979995732,2017,<class 'type'>,primary_school
ST JOSEPHS SCHOOL,-37.6053900217525,141.694730099182,2017,<class 'type'>,primary_school
ST JOSEPHS SCHOOL,-36.3647599825177,144.701179997017,2017,<class 'type'>,primary_school
ST JOSEPHS SCHOOL,-36.0864600337498,145.443609980833,2017,<class 'type'>,primary_school
ST DOMINICS SCHOOL,-37.6850600019222,144.923709970419,2017,<class 'type'>,primary_school
ST FRANCIS OF THE FIELDS SCHOOL,-36.8044699967085,144.36128996252,2017,<class 'type'>,primary_school
ST FRANCIS XAVIER SCHOOL,-37.5616099987014,143.902990011822,2017,<class 'type'>,primary_school
ST ITAS SCHOOL,-38.132440000482,145.861999958344,2017,<class 'type'>,primary_school
ST JAMES SCHOOL,-38.07302999948,145.573189980617,2017,<class 'type'>,primary_school
ST JAMES THE APOSTLE SCHOOL,-37.8572899919971,144.687489987901,2017,<class 'type'>,primary_school
ST JOHN THE BAPTIST SCHOOL,-37.88737999479,145.295169987891,2017,<class 'type'>,primary_school
ST JOHN THE BAPTISTS SCHOOL,-38.1974599980337,145.48526997692,2017,<class 'type'>,primary_school
ST BRENDANS PRIMARY SCHOOL,-37.5911699979262,143.96602997992,2017,<class 'type'>,primary_school
ST JOSEPHS SCHOOL,-37.5957400008017,145.090599966314,2017,<class 'type'>,primary_school
OUR LADY OF THE ASSUMPTION SCHOOL,-37.9655099879721,145.059709984278,2017,<class 'type'>,primary_school
OUR LADY OF THE IMMACULATE CONCEPTION SCHOOL,-37.7894499995755,144.835559963432,2017,<class 'type'>,primary_school
ST JOSEPHS SCHOOL,-38.3724899851049,142.486139969587,2017,<class 'type'>,primary_school
ST JOSEPHS SCHOOL,-36.360069982716,146.682809991197,2017,<class 'type'>,primary_school
ST JOSEPHS SCHOOL,-36.2717699919313,143.351049989847,2017,<class 'type'>,primary_school
SACRED HEART SCHOOL,-37.9018299934505,145.08691998652,2017,<class 'type'>,primary_school
SACRED HEART SCHOOL,-37.7974899976728,145.272789984732,2017,<class 'type'>,primary_school
SACRED HEART SCHOOL,-37.7448100017654,145.003769998097,2017,<class 'type'>,primary_school
SACRED HEART SCHOOL,-34.1873300325466,142.152240013868,2017,<class 'type'>,primary_school
ST AGNES SCHOOL,-37.9460999919363,145.031819958271,2017,<class 'type'>,primary_school
ST ALOYSIUS SCHOOL,-37.5781099966329,143.837669996465,2017,<class 'type'>,primary_school
ST ANNES SCHOOL,-37.568389999221,144.717459959506,2017,<class 'type'>,primary_school
ST ANTHONYS SCHOOL,-37.9717099937862,145.172429980926,2017,<class 'type'>,primary_school
ST AUGUSTINES PRIMARY SCHOOL,-37.7106300050669,144.820519984515,2017,<class 'type'>,primary_school
OUR LADY OF THE ROSARY,-37.2505100011781,144.462119985638,2017,<class 'type'>,primary_school
ST BEDES SCHOOL,-37.7935199926766,145.070899988158,2017,<class 'type'>,primary_school
ST BERNADETTES SCHOOL,-37.7630600009608,145.034129968854,2017,<class 'type'>,primary_school
ST CARLO BORROMEO SCHOOL,-37.6536400013381,144.888639971864,2017,<class 'type'>,primary_school
OUR LADYS SCHOOL,-37.5985999999064,144.931369992422,2017,<class 'type'>,primary_school
ST CATHERINES SCHOOL,-37.6656000002366,145.003239981786,2017,<class 'type'>,primary_school
OUR LADYS SCHOOL,-36.3721899878231,146.321139978732,2017,<class 'type'>,primary_school
ST CHARLES BORROMEO SCHOOL,-37.7674799852669,145.154309993556,2017,<class 'type'>,primary_school
QUEEN OF PEACE PRIMARY SCHOOL,-37.875149994135,144.791699971831,2017,<class 'type'>,primary_school
PRESHIL -THE MARGARET LYTTLE MEMORIAL SCHOOL,-37.8163299875338,145.052220001908,2017,<class 'type'>,primary_school
SACRED HEART SCHOOL,-38.2394399998111,146.404319977939,2017,<class 'type'>,primary_school
