facility,latitude,longitude,year,facility_type
TORQUAY COAST PRIMARY SCHOOL,-38.3030700646395,144.340319982479,2018,<class 'type'>,primary_school
BRIDGEWOOD PRIMARY SCHOOL,-38.0719499966429,145.419659958575,2018,<class 'type'>,primary_school
SOUTH MELBOURNE PRIMARY SCHOOL,-37.8292799958668,144.9537399916,2018,<class 'type'>,primary_school
