bedrooms,bathrooms,carspaces,building_area,street_address,latitude,longitude,price
2.0,2.0,1.0,,2802/160 Spencer Street Melbourne VIC 3000,-37.8172652,144.953648,$800 per week
3.0,2.0,1.0,,6/410 Queen Street Melbourne VIC 3000,-37.8090899,144.9582169,$695 per week
2.0,2.0,,,3510/500 Elizabeth Street Melbourne VIC 3000,-37.8072443,144.9602814,$580 per week
2.0,2.0,1.0,,7910/228 La Trobe Street Melbourne VIC 3000,-37.8097514,144.9626141,$950 per week
2.0,2.0,1.0,,2910/118-134 ABeckett Street Melbourne VIC 3000,-37.809359,144.959739,$650.00
2.0,2.0,1.0,,4407/618 Lonsdale Street Melbourne VIC 3000,-37.8142509,144.9539845,$620.00
2.0,2.0,,,1506/155 Franklin Street Melbourne VIC 3000,-37.8088259,144.9595488,$620 per week
2.0,2.0,,,2203/568 Collins Street Melbourne VIC 3000,-37.8183759,144.9554361,$550
3.0,2.0,,,1602/270 King Street Melbourne VIC 3000,-37.813751,144.9550317,$980 per week
2.0,2.0,1.0,,403/95 Berkeley Street Melbourne VIC 3000,-37.8033781,144.9587815,$650 per week
2.0,2.0,1.0,,3202/618 Lonsdale Street Melbourne VIC 3000,-37.8142509,144.9539845,$630.00
2.0,2.0,,,1406/462 Elizabeth Street Melbourne VIC 3000,-37.807859,144.960611,$680/week
2.0,2.0,,,1503/296 Little Lonsdale Street Melbourne VIC 3000,-37.8114904,144.9606243,$680
2.0,2.0,1.0,,4402/618 Lonsdale Street Melbourne VIC 3000,-37.8142509,144.9539845,$670.00
3.0,2.0,,,53/33 Latrobe Street Melbourne VIC 3000,-37.8079055,144.9703589,$700.00
2.0,2.0,1.0,,925/555 Flinders Street Melbourne VIC 3000,-37.8209711,144.9564827,$500.00 per week
2.0,2.0,1.0,,4701/38 Rose Lane Melbourne VIC 3000,-37.8148884,144.9542283,$650.00
2.0,2.0,,,2810/560 Lonsdale Street Melbourne VIC 3000,-37.8140313,144.9556025,$670.00
2.0,2.0,,,5612/370 Queen Street Melbourne VIC 3000,-37.8101314,144.9587648,$800/w Unfurnished
2.0,2.0,1.0,,2.01/15 Collins Street Melbourne VIC 3000,-37.8137378,144.9733348,$695pw
3.0,2.0,2.0,,1702/668 Bourke Street Melbourne VIC 3000,-37.8166152,144.9542789,$725.00
2.0,2.0,1.0,,5605/560 Lonsdale Street Melbourne VIC 3000,-37.8140313,144.9556025,$800.00
2.0,2.0,1.0,,3507/200 Spencer Street Melbourne VIC 3000,-37.816228,144.9532465,$640.00
2.0,2.0,,,3502/318 Russell Street Melbourne VIC 3000,-37.8091709,144.966801,$800 per week
2.0,2.0,1.0,,2313/220 Spencer Street Melbourne VIC 3000,-37.8157157,144.9529559,$675 per week
2.0,2.0,1.0,,305/594 St Kilda Road Melbourne VIC 3000,-37.8496926,144.9796418,$630 per week
2.0,2.0,,,4706/500 Elizabeth Street Melbourne VIC 3000,-37.8072443,144.9602814,$590 per week
2.0,2.0,,,1502/155 Franklin Street Melbourne VIC 3000,-37.8088259,144.9595488,$620 per week
2.0,2.0,1.0,,2605/560 Lonsdale Street Melbourne VIC 3000,-37.8140313,144.9556025,$770.00
2.0,2.0,,,4406/38 Rose Lane Melbourne VIC 3000,-37.8148884,144.9542283,$670 Fully Furnished pw
2.0,2.0,1.0,,3508/80 A'Beckett Street Melbourne VIC 3000,-37.8089991,144.9610792,$620 per week
2.0,2.0,1.0,,804/95 Berkeley Street Melbourne VIC 3000,-37.8033781,144.9587815,$670.00
2.0,2.0,1.0,,2802/618 Lonsdale Street Melbourne VIC 3000,-37.8142509,144.9539845,$610.00
3.0,3.0,3.0,,251/350 St Kilda Road Melbourne VIC 3000,-37.831142,144.9708545,$2800 Per Week
2.0,2.0,2.0,,1010/7 Katherine Place Melbourne VIC 3000,-37.8201858,144.9564628,$680.00
3.0,2.0,1.0,,2607R/33 Rose Lane Melbourne VIC 3000,-37.8150137,144.9538694,$950 per week
2.0,2.0,1.0,,1407/8 Sutherland Melbourne VIC 3000,-37.8113164,144.9609854,$620
2.0,2.0,,,3412/639 Lonsdale Street Melbourne VIC 3000,-37.8150689,144.9534096,$680
2.0,2.0,1.0,,5106/560 Lonsdale Street Melbourne VIC 3000,-37.8140313,144.9556025,$790.00
2.0,2.0,,,603/8 Exploration Lane Melbourne VIC 3000,-37.8091129,144.9684545,$530 per week
3.0,2.0,2.0,,2610/265 Exhibition Street Melbourne VIC 3000,-37.8095971,144.9692227,"$1,000.00 per week"
3.0,2.0,,,260 Spencer St Melbourne VIC 3000,-37.814564,144.9522856,"$1,000"
2.0,2.0,2.0,,1201/54 A'beckett Street Melbourne VIC 3000,-37.8088568,144.9616448,$750
2.0,2.0,1.0,,3203/35 Spring Street Melbourne VIC 3000,-37.8141725,144.9740049,$1100 per week
3.0,2.0,1.0,,5310/500 Elizabeth Street Melbourne VIC 3000,-37.8072443,144.9602814,$950
2.0,2.0,1.0,,402/33 Rose Lane Melbourne VIC 3000,-37.8150137,144.9538694,$600
3.0,2.0,1.0,,72/99 Spring Street Melbourne VIC 3000,-37.812531,144.973326,UNDER APPLICATION
