BRIDGEWOOD PRIMARY SCHOOL,2536824.4424111126,2380956.696285382
HAMILTON NORTH PRIMARY SCHOOL,2235162.3417720012,2415204.3612923576
HORSHAM NORTH PRIMARY SCHOOL,2250051.2902602633,2529955.144326957
HORSHAM PRIMARY SCHOOL,2251285.132603441,2528418.3959206846
HORSHAM WEST PRIMARY SCHOOL,2248132.309660321,2527624.0144219827
IRREWARRA PRIMARY SCHOOL,2380798.2101116236,2354825.217849139
HARROW PRIMARY SCHOOL,2197649.6731685125,2476823.751095362
Wollert Primary School,2502308.692015259,2432262.221362209
Strathtulloh Primary School,2463775.767090041,2420397.108611878
Deanside Primary School,2473371.1519888006,2419936.940360332
Clyde Creek Primary School,2528973.55639785,2375400.862879699
LORQUON PRIMARY SCHOOL,2208288.877143867,2588375.1415796243
JOHN HENRY PRIMARY SCHOOL,2538804.9521828853,2380390.5022863867
HARVEST HOME PRIMARY SCHOOL,2500199.494686155,2430968.523480259
WILANDRA RISE PRIMARY SCHOOL,2528049.0280887913,2376885.9163382463
NEWBURY PRIMARY SCHOOL,2492010.314973201,2436634.595686162
MORWELL CENTRAL PRIMARY SCHOOL,2623251.75242907,2362396.9308873964
BARTON PRIMARY SCHOOL,2520961.64718693,2376235.149371486
SWAN MARSH PRIMARY SCHOOL,2358313.7790446477,2346453.1464255583
BURRUM PRIMARY SCHOOL,2297091.012963757,2547439.7014909536
BUNDARRA PRIMARY SCHOOL,2202209.433223154,2343481.9264760315
CRESWICK NORTH PRIMARY SCHOOL,2401815.8021523166,2454060.855324529
CROWLANDS PRIMARY SCHOOL,2331881.0616588877,2481454.503601322
CASTERTON PRIMARY SCHOOL,2182602.585454042,2428918.329436656
MERRIVALE PRIMARY SCHOOL,2277715.143302026,2344091.2067613704
SOUTH MELBOURNE PRIMARY SCHOOL,2495927.66220197,2407971.785107294
Echuca Twin Rivers Primary School,2475226.5934674474,2595663.443998525
BURNSIDE PRIMARY SCHOOL,2478222.468899978,2417225.16346097
AITKEN HILL PRIMARY SCHOOL,2491661.2491019764,2433225.0234296806
ST MELS SCHOOL,2536840.4495602637,2567330.3791491836
ST PATRICKS SCHOOL,2303240.969703795,2491127.701587543
ALLANSFORD AND DISTRICT PRIMARY SCHOOL,2289465.8354283283,2343479.6535670906
BADGER CREEK PRIMARY SCHOOL,2547033.634781548,2424260.116373228
BALNARRING PRIMARY SCHOOL,2510733.626038192,2347198.630500689
CAMBRIDGE PRIMARY SCHOOL,2471465.8466637176,2403694.3875145763
CHRIST CHURCH GRAMMAR SCHOOL,2498744.8285749233,2406899.424502114
CLAIRVAUX CATHOLIC SCHOOL,2440850.832096624,2368221.458834107
COURTENAY GARDENS PRIMARY SCHOOL,2524869.595258146,2380093.9627955537
CROYDON PRIMARY SCHOOL,2524776.827311893,2411943.9114461355
DINJERRA PRIMARY SCHOOL,2487327.726179675,2412135.202910262
EMMAUS CATHOLIC PRIMARY SCHOOL,2400380.7567619677,2431432.4170826264
FRESHWATER CREEK STEINER SCHOOL,2436959.5371635,2359556.1889256565
GLEN WAVERLEY SOUTH PRIMARY SCHOOL,2514741.7445182097,2400459.121435783
GOOD SHEPHERD LUTHERAN PRIMARY SCHOOL,2523661.5826392495,2413111.381408073
GREAT RYRIE PRIMARY SCHOOL,2520920.4206972676,2408554.8778739283
PENINSULA MONTESSORI CENTRE,2512894.3162332545,2373998.1359150726
Newcombe Primary School,2446974.7096682135,2370523.882590104
WARBURTON PRIMARY SCHOOL,2561831.2423744905,2415899.061617068
HAMPTON PARK PRIMARY SCHOOL,2522202.9574326007,2385619.2786814487
SPENSLEY STREET PRIMARY SCHOOL,2500341.7517370763,2412688.6045749625
MOE PRIMARY SCHOOL,2609223.5592477857,2367248.6511452906
CORAL PARK PRIMARY SCHOOL,2524082.7736971164,2384122.248286688
CORIO PRIMARY SCHOOL,2444548.975774681,2380792.767722425
CORIO WEST PRIMARY SCHOOL,2443135.16925855,2380815.454143446
FYANS PARK PRIMARY SCHOOL,2440997.6608035415,2371743.6954475213
KANGAROO FLAT PRIMARY SCHOOL,2431646.609253253,2523283.870418703
KANGAROO GROUND PRIMARY SCHOOL,2518931.2461176566,2423216.2878426313
KARINGAL HEIGHTS PRIMARY SCHOOL,2514623.805526354,2373307.058820164
KATANDRA WEST PRIMARY SCHOOL,2550408.938136607,2585791.0405566264
BAYNTON PRIMARY SCHOOL,2468131.4620595803,2484390.817374382
BAYSWATER NORTH PRIMARY SCHOOL,2526023.993823016,2407985.643147764
BAYSWATER PRIMARY SCHOOL,2522827.5772680384,2406384.5130371703
BAYSWATER WEST PRIMARY SCHOOL,2522270.504022092,2405746.7147794003
BEACONSFIELD PRIMARY SCHOOL,2532620.8990931115,2383562.7019335805
BEACONSFIELD UPPER PRIMARY SCHOOL,2536431.4990022574,2389455.4182026424
ANTWERP PRIMARY SCHOOL,2232922.620544652,2573885.11834684
APPIN SOUTH PRIMARY SCHOOL,2397981.447439799,2618690.0246351995
BOINKA PRIMARY SCHOOL,2190731.666470308,2694201.2898949534
RAGLAN PRIMARY SCHOOL,2353651.2309274063,2458398.589011688
RAINBOW PRIMARY SCHOOL,2228753.293463034,2618189.1839735266
RED CLIFFS PRIMARY SCHOOL,2240714.430563936,2794518.3466243558
MINYIP PRIMARY SCHOOL,2283499.6660678512,2556869.094984591
BESSIEBELLE PRIMARY SCHOOL,2233598.566775401,2367521.067413427
BEVERFORD PRIMARY SCHOOL,2361497.9761973517,2695020.7861405555
MURTOA PRIMARY SCHOOL,2273619.5609397064,2539541.55784622
POOLAIJELO PRIMARY SCHOOL,2153956.431099548,2469378.755933661
PORTLAND NORTH PRIMARY SCHOOL,2200273.610706585,2348368.0355915073
PORTLAND SOUTH PRIMARY SCHOOL,2203808.596098696,2343203.548299324
