,address,latitude,longitude,nbed,nbath,ncar,price,type,historical_dates,postcode,suburb,weekly_rent,year,month
32,"1/85 MAIN ROAD, CHEWTON",-37.088043,144.204874,1,1,1,$195_pw,House,2014-10-01,3451,CHEWTON,195,2014,10
51,"36 ALBERT STREET, CHEWTON",-37.09302785,144.25946865,3,1,1,$320_pw,House,2014-08-01,3451,CHEWTON,320,2014,8
99,"14 PITMAN STREET, CHEWTON",-37.083013,144.266589,4,1,1,$345_pw,House,2014-01-01,3451,CHEWTON,345,2014,1
127,"52 FRYERS ROAD, CHEWTON",-37.087738,144.257555,3,1,2,$420_pw,House,2014-02-01,3451,CHEWTON,420,2014,2
179,"114 FRYERS ROAD, CHEWTON",-37.094488,144.2554,2,1,3,$260_pw,House,2014-09-01,3451,CHEWTON,260,2014,9
193,"57 ARCHERS ROAD, CHEWTON",-37.094426,144.259118,3,1,2,$395_per_week,House,2014-05-01,3451,CHEWTON,395,2014,5
199,"173 MAIN ROAD, CHEWTON",-37.080952,144.259378,2,1,0,$270_pw,House,2014-10-01,3451,CHEWTON,270,2014,10
208,"732A PYRENEES HIGHWAY, CHEWTON",-37.08367,144.272154,2,1,1,$205_pw,House,2014-07-01,3451,CHEWTON,205,2014,7
299,"1/20 NICKLESS STREET, CHILTERN",-36.154388,146.603242,2,1,1,$200_Weekly,House,2014-01-01,3683,CHILTERN,200,2014,1
322,"2/20 NICKLESS STREET, CHILTERN",-36.154038,146.602977,2,1,2,$190_pw,Rental_residential,2014-03-01,3683,CHILTERN,190,2014,3
430,"65 MAIN STREET, CHILTERN",-36.149418,146.609623,3,2,2,$290_Weekly,House,2014-01-01,3683,CHILTERN,290,2014,1
478,"2/6 SKERRY STREET, CHILTERN",-36.151343,146.598303,2,1,2,$185_pw,Townhouse,2014-08-01,3683,CHILTERN,185,2014,8
479,"2/6 SKERRY STREET, CHILTERN",-36.151343,146.598303,2,1,2,$185_pw,Townhouse,2014-01-01,3683,CHILTERN,185,2014,1
486,"7 SCOTT STREET, CHILTERN",-36.153794,146.592627,2,1,4,$200_p.w.,none,2014-05-01,3683,CHILTERN,200,2014,5
