,address,latitude,longitude,nbed,nbath,ncar,price,type,historical_dates,postcode,suburb,weekly_rent
0,"813/1 ACACIA PLACE, ABBOTSFORD",-37.8113252,145.0137568,2,2,2,$750_p.w.,Unit/apmt,2022-09-01,3067,ABBOTSFORD,750
1,"813/1 ACACIA PLACE, ABBOTSFORD",-37.8113252,145.0137568,2,2,2,$750_p.w.,Unit/apmt,2022-09-01,3067,ABBOTSFORD,750
2,"813/1 ACACIA PLACE, ABBOTSFORD",-37.8113252,145.0137568,2,2,2,$700_per_week,Unit/apmt,2022-09-01,3067,ABBOTSFORD,700
3,"813/1 ACACIA PLACE, ABBOTSFORD",-37.8113252,145.0137568,2,2,2,$750,Unit/apmt,2022-09-01,3067,ABBOTSFORD,750
4,"Y125/125 TURNER STREET, ABBOTSFORD",-37.7990606,145.0003803,2,2,1,$470_p.w.,Unit/apmt,2022-09-01,3067,ABBOTSFORD,470
5,"Y125/125 TURNER STREET, ABBOTSFORD",-37.7990606,145.0003803,2,2,1,$470_p.w.,Unit/apmt,2022-09-01,3067,ABBOTSFORD,470
6,"Y125/125 TURNER STREET, ABBOTSFORD",-37.7990606,145.0003803,2,2,1,$470_per_week,Unit/apmt,2022-09-01,3067,ABBOTSFORD,470
7,"Y125/125 TURNER STREET, ABBOTSFORD",-37.7990606,145.0003803,2,2,1,$470,Unit/apmt,2022-09-01,3067,ABBOTSFORD,470
8,"Y125/125 TURNER STREET, ABBOTSFORD",-37.7990606,145.0003803,2,2,1,$470_per_week,Unit/apmt,2021-11-01,3067,ABBOTSFORD,470
9,"Y125/125 TURNER STREET, ABBOTSFORD",-37.7990606,145.0003803,2,2,1,$470_p.w.,Unit/apmt,2021-10-01,3067,ABBOTSFORD,470
10,"Y125/125 TURNER STREET, ABBOTSFORD",-37.7990606,145.0003803,2,2,1,$470_per_week,Unit/apmt,2021-10-01,3067,ABBOTSFORD,470
11,"Y125/125 TURNER STREET, ABBOTSFORD",-37.7990606,145.0003803,2,2,1,$470,Unit/apmt,2021-10-01,3067,ABBOTSFORD,470
12,"Y125/125 TURNER STREET, ABBOTSFORD",-37.7990606,145.0003803,2,2,1,$540_per_week,Unit/apmt,2017-06-01,3067,ABBOTSFORD,540
13,"Y125/125 TURNER STREET, ABBOTSFORD",-37.7990606,145.0003803,2,2,1,$570_per_week,Unit/apmt,2017-05-01,3067,ABBOTSFORD,570
14,"Y125/125 TURNER STREET, ABBOTSFORD",-37.7990606,145.0003803,2,2,1,$550_per_week,Unit/apmt,2016-05-01,3067,ABBOTSFORD,550
15,"915/627 VICTORIA STREET, ABBOTSFORD",-37.81119001,145.00966001,2,1,2,$600_per_week,Rental_residential,2022-09-01,3067,ABBOTSFORD,600
16,"915/627 VICTORIA STREET, ABBOTSFORD",-37.81119001,145.00966001,2,1,2,$600_per_week,Rental_residential,2022-09-01,3067,ABBOTSFORD,600
