,address,latitude,longitude,nbed,nbath,ncar,price,type,historical_dates,postcode,suburb,weekly_rent,year,month
114,"12 FRYERS ROAD, CHEWTON",-37.082726,144.256496,3,1,1,$260_pw,House,2011-07-01,3451,CHEWTON,260,2011,7
155,"16 STEELE STREET, CHEWTON",-37.0797293,144.248306,3,2,2,$345_pw,House,2011-05-01,3451,CHEWTON,345,2011,5
156,"16 STEELE STREET, CHEWTON",-37.0797293,144.248306,3,2,2,$360_pw,House,2011-04-01,3451,CHEWTON,360,2011,4
204,"173 MAIN ROAD, CHEWTON",-37.080952,144.259378,2,1,0,$270_pw,House,2011-08-01,3451,CHEWTON,270,2011,8
250,"13 OLD WOODGATE ROAD, CHILDERS",-25.236463,152.27804,3,1,2,$250_pw,House,2011-09-01,3824,CHILDERS,250,2011,9
251,"13 OLD WOODGATE ROAD, CHILDERS",-25.236463,152.27804,3,1,2,$250_pw,House,2011-09-01,3824,CHILDERS,250,2011,9
252,"2/2 CHURCHILL STREET, CHILDERS",-25.2382891,152.287347,2,1,1,$195_pw,Unit/apmt,2011-09-01,3824,CHILDERS,195,2011,9
253,"2/2 CHURCHILL STREET, CHILDERS",-25.2382891,152.287347,2,1,1,$195_pw,Unit/apmt,2011-09-01,3824,CHILDERS,195,2011,9
254,"9 PIZZEY STREET, CHILDERS",-25.233695,152.276337,3,1,1,$235_pw,none,2011-06-01,3824,CHILDERS,235,2011,6
255,"9 PIZZEY STREET, CHILDERS",-25.233695,152.276337,3,1,1,$235_pw,none,2011-06-01,3824,CHILDERS,235,2011,6
383,"78 MAIN STREET, CHILTERN",-36.147301,146.611603,2,1,2,$180,House,2011-07-01,3683,CHILTERN,180,2011,7
384,"78 MAIN STREET, CHILTERN",-36.147301,146.611603,2,1,2,$180_pw,House,2011-07-01,3683,CHILTERN,180,2011,7
407,"2/56 ALBERT ROAD, CHILTERN",-36.14908,146.604709,2,1,1,$160_pw,House,2011-07-01,3683,CHILTERN,160,2011,7
493,"5 PARK STREET, CHILTERN",-36.149064,146.608326,3,1,2,$230,House,2011-11-01,3683,CHILTERN,230,2011,11
525,"4 GLENDALE DRIVE, CHIRNSIDE PARK",-37.751383,145.312411,4,2,2,$350_per_week,Rental_residential,2011-06-01,3116,PARK,350,2011,6
526,"4 GLENDALE DRIVE, CHIRNSIDE PARK",-37.751383,145.312411,4,2,2,$350,Rental_residential,2011-06-01,3116,PARK,350,2011,6
595,"1/31 COUNTRY CLUB DRIVE, CHIRNSIDE PARK",-37.756332,145.325246,3,1,1,$320_pw,House,2011-07-01,3116,PARK,320,2011,7
596,"1/31 COUNTRY CLUB DRIVE, CHIRNSIDE PARK",-37.756332,145.325246,3,1,1,$320_pw,House,2011-05-01,3116,PARK,320,2011,5
645,"5 YARRARIDGE DRIVE, CHIRNSIDE PARK",-37.757684,145.305604,3,1,2,$350_pw,House,2011-12-01,3116,PARK,350,2011,12
646,"5 YARRARIDGE DRIVE, CHIRNSIDE PARK",-37.757684,145.305604,3,1,2,$350_per_week,House,2011-12-01,3116,PARK,350,2011,12
681,"66 ROSEMAN ROAD, CHIRNSIDE PARK",-37.746928,145.33598,3,1,1,$300_pw,House,2011-11-01,3116,PARK,300,2011,11
682,"66 ROSEMAN ROAD, CHIRNSIDE PARK",-37.746928,145.33598,3,1,1,$300_pw,House,2011-08-01,3116,PARK,300,2011,8
722,"5 EDWARD ROAD, CHIRNSIDE PARK",-37.75641,145.316065,3,1,1,$295,House,2011-02-01,3116,PARK,295,2011,2
855,"56 MUIR ROAD, CHRISTMAS HILLS",-37.657453,145.338221,2,1,0,$340_per_week,Rental_residential,2011-11-01,3775,HILLS,340,2011,11
958,"8 GUNDAROO DRIVE, CHURCHILL",-38.320903,146.422926,3,1,1,$175_pw,House,2011-11-01,3842,CHURCHILL,175,2011,11
959,"8 GUNDAROO DRIVE, CHURCHILL",-38.320903,146.422926,3,1,1,$190_pw,House,2011-11-01,3842,CHURCHILL,190,2011,11
960,"8 GUNDAROO DRIVE, CHURCHILL",-38.320903,146.422926,3,1,1,$190_pw,House,2011-10-01,3842,CHURCHILL,190,2011,10
961,"8 GUNDAROO DRIVE, CHURCHILL",-38.320903,146.422926,3,1,1,$190_pw,House,2011-03-01,3842,CHURCHILL,190,2011,3
1109,"17 AUCHTERLONIE CRESCENT, CHURCHILL",-38.316505,146.414675,3,2,1,$260_per_week,House,2011-12-01,3842,CHURCHILL,260,2011,12
1147,"5 AMAROO DRIVE, CHURCHILL",-38.323465,146.422057,3,1,1,$150_pw,none,2011-09-01,3842,CHURCHILL,150,2011,9
1148,"5 AMAROO DRIVE, CHURCHILL",-38.323465,146.422057,3,1,1,$200_pw,none,2011-04-01,3842,CHURCHILL,200,2011,4
1264,"31 DAVANZO AVENUE, CLARINDA",-37.944702,145.105229,3,1,2,$380,none,2011-03-01,3169,CLARINDA,380,2011,3
1290,"4 CASEY COURT, CLARINDA",-37.942898,145.109007,3,1,2,$360_per_week,House,2011-08-01,3169,CLARINDA,360,2011,8
1644,"554 HEATHS LANE, CLARKEFIELD",-37.460714,144.804313,3,1,2,$250_pw,House,2011-01-01,3430,CLARKEFIELD,250,2011,1
1652,"445 LANCEFIELD ROAD, CLARKEFIELD",-37.4830729,144.7528893,2,1,0,$450_pw,Acreage,2011-07-01,3430,CLARKEFIELD,450,2011,7
1653,"445 LANCEFIELD ROAD, CLARKEFIELD",-37.4830729,144.7528893,2,1,0,$450_pw,Acreage,2011-07-01,3430,CLARKEFIELD,450,2011,7
1654,"1556 LANCEFIELD ROAD - GARDENERS COTTAGE ., CLARKEFIELD",-37.4394236,144.6643482,3,1,1,$220_per_week,House,2011-06-01,3430,CLARKEFIELD,220,2011,6
1655,"1556 LANCEFIELD ROAD - GARDENERS COTTAGE ., CLARKEFIELD",-37.4394236,144.6643482,3,1,1,$220_per_week,House,2011-06-01,3430,CLARKEFIELD,220,2011,6
1656,"116 HEATHS LANE, CLARKEFIELD",-37.462611,144.727919,3,1,0,$230_per_week,House,2011-01-01,3430,CLARKEFIELD,230,2011,1
1657,"116 HEATHS LANE, CLARKEFIELD",-37.462611,144.727919,3,1,0,$230_per_week,House,2011-01-01,3430,CLARKEFIELD,230,2011,1
1766,"2/64 WELLINGTON ROAD, CLAYTON NORTH",-37.91636,145.136891,2,1,1,$270_Weekly,none,2011-12-01,3168,NORTH,270,2011,12
1771,"650 BLACKBURN ROAD, CLAYTON NORTH",-37.9037544,145.1426657,3,1,2,$310_per_week,none,2011-09-01,3168,NORTH,310,2011,9
1822,"3/17 OAKES AVENUE, CLAYTON SOUTH",-37.935187,145.130118,2,1,1,$199_p.w.,Unit/apmt,2011-09-01,3169,SOUTH,199,2011,9
1923,"2/38 OAKES AVENUE, CLAYTON SOUTH",-37.93599,145.132932,2,1,1,$300_p.w.,Unit/apmt,2011-03-01,3169,SOUTH,300,2011,3
1924,"2/38 OAKES AVENUE, CLAYTON SOUTH",-37.93599,145.132932,2,1,1,$260,Unit/apmt,2011-03-01,3169,SOUTH,260,2011,3
1925,"2/38 OAKES AVENUE, CLAYTON SOUTH",-37.93599,145.132932,2,1,1,$300_Weekly,Unit/apmt,2011-03-01,3169,SOUTH,300,2011,3
1926,"2/38 OAKES AVENUE, CLAYTON SOUTH",-37.93599,145.132932,2,1,1,$300,Unit/apmt,2011-03-01,3169,SOUTH,300,2011,3
1991,"12 BOTANIC DRIVE, CLAYTON SOUTH",-37.939354,145.13641,3,2,2,$450,none,2011-02-01,3169,SOUTH,450,2011,2
2377,"UNIT 1/33 BROWNING AVENUE, CLAYTON SOUTH",-37.938957,145.132493,3,1,1,$340_Weekly,Unit/apmt,2011-05-01,3169,SOUTH,340,2011,5
2491,"3/44 OAKES AVENUE, CLAYTON SOUTH",-37.935969,145.133936,2,1,1,$250,House,2011-09-01,3169,SOUTH,250,2011,9
2492,"3/44 OAKES AVENUE, CLAYTON SOUTH",-37.935969,145.133936,2,1,1,$250_Weekly,House,2011-09-01,3169,SOUTH,250,2011,9
2493,"3/44 OAKES AVENUE, CLAYTON SOUTH",-37.935969,145.133936,2,1,1,$270_p.w.,House,2011-07-01,3169,SOUTH,270,2011,7
2649,"4/15 OAKES AVENUE, CLAYTON SOUTH",-37.935135,145.129653,3,2,1,$350,House,2011-04-01,3169,SOUTH,350,2011,4
2650,"4/15 OAKES AVENUE, CLAYTON SOUTH",-37.935135,145.129653,3,2,1,$350_p.w.,House,2011-04-01,3169,SOUTH,350,2011,4
2651,"4/15 OAKES AVENUE, CLAYTON SOUTH",-37.935135,145.129653,3,2,1,$350_Weekly,House,2011-04-01,3169,SOUTH,350,2011,4
2652,"4/15 OAKES AVENUE, CLAYTON SOUTH",-37.935135,145.129653,3,2,1,$360_Weekly,House,2011-04-01,3169,SOUTH,360,2011,4
2653,"4/15 OAKES AVENUE, CLAYTON SOUTH",-37.935135,145.129653,3,2,1,$360_p.w.,House,2011-04-01,3169,SOUTH,360,2011,4
2654,"4/15 OAKES AVENUE, CLAYTON SOUTH",-37.935135,145.129653,3,2,1,$360,House,2011-04-01,3169,SOUTH,360,2011,4
2655,"4/15 OAKES AVENUE, CLAYTON SOUTH",-37.935135,145.129653,3,2,1,$360_p.w.,House,2011-03-01,3169,SOUTH,360,2011,3
2730,"5/5 BURNS AVENUE, CLAYTON SOUTH",-37.9368135,145.1345036,2,1,1,$290_p.w.,Available Now,2011-05-01,3169,SOUTH,290,2011,5
2731,"5/5 BURNS AVENUE, CLAYTON SOUTH",-37.9368135,145.1345036,2,1,1,$290,Available Now,2011-05-01,3169,SOUTH,290,2011,5
2732,"5/5 BURNS AVENUE, CLAYTON SOUTH",-37.9368135,145.1345036,2,1,1,$290_Weekly,Available Now,2011-05-01,3169,SOUTH,290,2011,5
2771,"UNIT 11/38 WORDSWORTH AVENUE, CLAYTON SOUTH",-37.939192,145.132069,2,1,1,$290_Weekly,Unit,2011-06-01,3169,SOUTH,290,2011,6
2912,"13 BROWNS ROAD, CLAYTON",-37.920978,145.127558,3,1,2,$420,House,2011-08-01,3168,CLAYTON,420,2011,8
2913,"13 BROWNS ROAD, CLAYTON",-37.920978,145.127558,3,1,2,$420_Weekly,House,2011-08-01,3168,CLAYTON,420,2011,8
2914,"13 BROWNS ROAD, CLAYTON",-37.920978,145.127558,3,1,2,$420_per_week,House,2011-08-01,3168,CLAYTON,420,2011,8
3119,"30/2 GREENFIELD DRIVE, CLAYTON",-37.923181,145.128623,2,1,1,$390,Unit,2011-08-01,3168,CLAYTON,390,2011,8
3311,"33 ALICE STREET, CLAYTON",-37.917622,145.115287,4,2,1,$400_per_week,House,2011-12-01,3168,CLAYTON,400,2011,12
3394,"2/10 RENVER ROAD, CLAYTON",-37.918093,145.14382,3,2,1,$450,Unit,2011-06-01,3168,CLAYTON,450,2011,6
3395,"2/10 RENVER ROAD, CLAYTON",-37.918093,145.14382,3,2,1,$450_pw,Unit,2011-06-01,3168,CLAYTON,450,2011,6
3436,"1/31 GLENBROOK AVENUE, CLAYTON",-37.909275,145.123752,3,1,2,$300,House,2011-11-01,3168,CLAYTON,300,2011,11
3437,"1/31 GLENBROOK AVENUE, CLAYTON",-37.909275,145.123752,3,1,2,$300_per_week,House,2011-10-01,3168,CLAYTON,300,2011,10
3438,"1/31 GLENBROOK AVENUE, CLAYTON",-37.909275,145.123752,3,1,2,$300,House,2011-10-01,3168,CLAYTON,300,2011,10
3498,"3/6 OLIVE STREET, CLAYTON",-37.930011,145.119843,2,1,2,$350_Weekly,Unit,2011-11-01,3168,CLAYTON,350,2011,11
3559,"7/86 WELLINGTON ROAD, CLAYTON",-37.916778,145.138939,3,1,1,$400,Townhouse,2011-02-01,3168,CLAYTON,400,2011,2
3611,"1/2 WRIGHT STREET, CLAYTON",-37.921926,145.122381,2,1,1,$290,Unit,2011-10-01,3168,CLAYTON,290,2011,10
3649,"1/83 KIONGA STREET, CLAYTON",-37.929193,145.129986,5,2,1,$520,Townhouse,2011-03-01,3168,CLAYTON,520,2011,3
3650,"1/83 KIONGA STREET, CLAYTON",-37.929193,145.129986,5,2,1,$500_p.w.,Townhouse,2011-03-01,3168,CLAYTON,500,2011,3
3651,"1/83 KIONGA STREET, CLAYTON",-37.929193,145.129986,5,2,1,$500,Townhouse,2011-03-01,3168,CLAYTON,500,2011,3
3705,"3/17 FRANCIS STREET, CLAYTON",-37.924666,145.123304,2,1,1,$340_per_week,Unit,2011-04-01,3168,CLAYTON,340,2011,4
3706,"3/17 FRANCIS STREET, CLAYTON",-37.924666,145.123304,2,1,1,$340,Unit,2011-04-01,3168,CLAYTON,340,2011,4
3773,"16 WELLINGTON ROAD, CLAYTON",-37.915481,145.130845,1,2,0,$550,House,2011-03-01,3168,CLAYTON,550,2011,3
3774,"16 WELLINGTON ROAD, CLAYTON",-37.915481,145.130845,1,2,0,$550_p.w.,House,2011-03-01,3168,CLAYTON,550,2011,3
3775,"16 WELLINGTON ROAD, CLAYTON",-37.915481,145.130845,1,2,0,$550_Weekly,House,2011-03-01,3168,CLAYTON,550,2011,3
3939,"21 BRUSHBOX COURT, CLAYTON",-37.925488,145.119662,2,1,1,$399,House,2011-10-01,3168,CLAYTON,399,2011,10
3972,"UNIT 1/16 BETTINA STREET, CLAYTON",-37.919161,145.136797,2,1,1,$325_Weekly,Unit,2011-09-01,3168,CLAYTON,325,2011,9
4348,"4/22 WRIGHT STREET, CLAYTON",-37.922062,145.124729,2,1,1,$290,House,2011-10-01,3168,CLAYTON,290,2011,10
4428,"1/56 PANORAMA STREET, CLAYTON",-37.921779,145.129744,1,1,1,$350_per_week,Available Now,2011-03-01,3168,CLAYTON,350,2011,3
4467,"9/34 WELLINGTON ROAD, CLAYTON",-37.915995,145.133951,1,1,1,$240,none,2011-12-01,3168,CLAYTON,240,2011,12
4634,"27 THOMAS STREET, CLAYTON",-37.927453,145.120348,3,1,3,$340,none,2011-03-01,3168,CLAYTON,340,2011,3
4635,"27 THOMAS STREET, CLAYTON",-37.927453,145.120348,3,1,3,$340_per_week,none,2011-03-01,3168,CLAYTON,340,2011,3
4636,"27 THOMAS STREET, CLAYTON",-37.927453,145.120348,3,1,3,$340_per_week,none,2011-02-01,3168,CLAYTON,340,2011,2
4908,"23 MCBEAN STREET, CLAYTON",-37.923718,145.111716,2,1,2,$350_per_week,Townhouse,2011-01-01,3168,CLAYTON,350,2011,1
4909,"23 MCBEAN STREET, CLAYTON",-37.923718,145.111716,2,1,2,$350,Townhouse,2011-01-01,3168,CLAYTON,350,2011,1
4977,"1/70 EDINBURGH STREET, CLAYTON",-37.916705,145.117864,3,1,2,$370,House,2011-11-01,3168,CLAYTON,370,2011,11
4978,"1/70 EDINBURGH STREET, CLAYTON",-37.916705,145.117864,3,1,2,$370,House,2011-10-01,3168,CLAYTON,370,2011,10
4998,"18 COLIN ROAD, CLAYTON",-37.914961,145.112843,4,2,1,$490_Weekly,Rental_residential,2011-11-01,3168,CLAYTON,490,2011,11
4999,"18 COLIN ROAD, CLAYTON",-37.914961,145.112843,4,2,1,$490,Rental_residential,2011-11-01,3168,CLAYTON,490,2011,11
5000,"18 COLIN ROAD, CLAYTON",-37.914961,145.112843,4,2,1,$490,Rental_residential,2011-10-01,3168,CLAYTON,490,2011,10
5001,"18 COLIN ROAD, CLAYTON",-37.914961,145.112843,4,2,1,$590_per_week,Rental_residential,2011-08-01,3168,CLAYTON,590,2011,8
