,address,latitude,longitude,nbed,nbath,ncar,price,type,historical_dates,postcode,suburb,weekly_rent,year,month
93,"99 MAIN ROAD, CHEWTON",-37.0793433,144.2524547,2,1,1,$220_pw,House,2009-04-01,3451,CHEWTON,220,2009,4
116,"12 FRYERS ROAD, CHEWTON",-37.082726,144.256496,3,1,1,$230_pw,House,2009-06-01,3451,CHEWTON,230,2009,6
184,"6 BAKER STREET, CHEWTON",-37.081637,144.26061,2,1,0,$200_pw,House,2009-04-01,3451,CHEWTON,200,2009,4
219,"197 MAIN ROAD, CHEWTON",-37.0803515,144.2618795,1,1,0,$195_per_week,House,2009-05-01,3451,CHEWTON,195,2009,5
259,"17 WEST STREET, CHILDERS",-25.234541,152.275665,3,1,2,$240_pw,House,2009-01-01,3824,CHILDERS,240,2009,1
260,"17 WEST STREET, CHILDERS",-25.234541,152.275665,3,1,2,$240_pw,House,2009-01-01,3824,CHILDERS,240,2009,1
261,"25 WEST STREET, CHILDERS",-25.234406,152.274918,2,1,0,$240_pw,House,2009-01-01,3824,CHILDERS,240,2009,1
262,"25 WEST STREET, CHILDERS",-25.234406,152.274918,2,1,0,$240_pw,House,2009-01-01,3824,CHILDERS,240,2009,1
264,"7 ERNEST STREET, CHILDERS",-25.234804,152.281555,3,1,1,$280_pw,House,2009-01-01,3824,CHILDERS,280,2009,1
324,"2/20 NICKLESS STREET, CHILTERN",-36.154038,146.602977,2,1,2,$180_pw,Rental_residential,2009-06-01,3683,CHILTERN,180,2009,6
711,"25 CLUBPOINT DRIVE, CHIRNSIDE PARK",-37.7526153,145.3270934,3,2,1,$365_pw,House,2009-10-01,3116,PARK,365,2009,10
712,"25 CLUBPOINT DRIVE, CHIRNSIDE PARK",-37.7526153,145.3270934,3,2,1,$355_pw,House,2009-10-01,3116,PARK,355,2009,10
713,"25 CLUBPOINT DRIVE, CHIRNSIDE PARK",-37.7526153,145.3270934,3,2,1,$365_pw,House,2009-09-01,3116,PARK,365,2009,9
764,"5 ALLY TERRACE, CHIRNSIDE PARK",-37.756717,145.294892,4,2,2,$450_pw,House,2009-11-01,3116,PARK,450,2009,11
765,"5 ALLY TERRACE, CHIRNSIDE PARK",-37.756717,145.294892,4,2,2,$450_pw,House,2009-04-01,3116,PARK,450,2009,4
766,"5 ALLY TERRACE, CHIRNSIDE PARK",-37.756717,145.294892,4,2,2,$450_pw,House,2009-03-01,3116,PARK,450,2009,3
890,"23 WESTERING ROAD, CHRISTMAS HILLS",-37.673706,145.275099,5,2,7,$1000_p.w.,House,2009-03-01,3775,HILLS,1000,2009,3
891,"23 WESTERING ROAD, CHRISTMAS HILLS",-37.673706,145.275099,5,2,7,$800_Weekly,House,2009-03-01,3775,HILLS,800,2009,3
892,"23 WESTERING ROAD, CHRISTMAS HILLS",-37.673706,145.275099,5,2,7,$800_pw,House,2009-03-01,3775,HILLS,800,2009,3
900,"9 ARTHURS ROAD, CHUM CREEK",-37.611197,145.49368,2,1,7,$280_per_week,House,2009-01-01,3777,CREEK,280,2009,1
949,"19 CHUM CREEK ROAD, CHUM CREEK",-37.646878,145.49704,3,2,2,$320_per_week,House,2009-02-01,3777,CREEK,320,2009,2
1227,"28 NUGENT COURT, CLARENDON",-37.713035,143.979763,5,3,4,$460_pw,Rental_residential,2009-08-01,3352,CLARENDON,460,2009,8
1291,"4 CASEY COURT, CLARINDA",-37.942898,145.109007,3,1,2,$320,House,2009-12-01,3169,CLARINDA,320,2009,12
1462,"3/7 MACK CRESCENT, CLARINDA",-37.943918,145.11252,2,1,1,$320_pw,Unit/apmt,2009-04-01,3169,CLARINDA,320,2009,4
1483,"20 CRAWFORD ROAD, CLARINDA",-37.929396,145.101594,2,1,1,$290_Weekly,House,2009-11-01,3169,CLARINDA,290,2009,11
1882,"1/31 BEVAN AVENUE, CLAYTON SOUTH",-37.934415,145.128568,3,1,1,$300_pw,House,2009-12-01,3169,SOUTH,300,2009,12
1883,"1/31 BEVAN AVENUE, CLAYTON SOUTH",-37.934415,145.128568,3,1,1,$250_pw,House,2009-09-01,3169,SOUTH,250,2009,9
2176,"3/13 ROSEBANK AVENUE, CLAYTON SOUTH",-37.938914,145.128681,3,2,1,$480,Unit/apmt,2009-02-01,3169,SOUTH,480,2009,2
