,address,latitude,longitude,nbed,nbath,ncar,price,type,historical_dates,postcode,suburb,weekly_rent,year,month
68,"208 MAIN ROAD, CHEWTON",-37.080111,144.261809,3,1,2,$300_pw,House,2013-11-01,3451,CHEWTON,300,2013,11
143,"171 MAIN ROAD, CHEWTON",-37.081326,144.259245,3,1,8,$330_pw,House,2013-09-01,3451,CHEWTON,330,2013,9
200,"173 MAIN ROAD, CHEWTON",-37.080952,144.259378,2,1,0,$270_pw,House,2013-10-01,3451,CHEWTON,270,2013,10
201,"173 MAIN ROAD, CHEWTON",-37.080952,144.259378,2,1,0,$270_pw,House,2013-09-01,3451,CHEWTON,270,2013,9
213,"4 GEORGE STREET, CHEWTON",-37.082086,144.256513,3,1,2,$350_pw,House,2013-04-01,3451,CHEWTON,350,2013,4
405,"2/56 ALBERT ROAD, CHILTERN",-36.14908,146.604709,2,1,1,$185_pw,House,2013-10-01,3683,CHILTERN,185,2013,10
467,"8 SKERRY STREET, CHILTERN",-36.151158,146.598197,3,2,2,$280_Weekly,House,2013-07-01,3683,CHILTERN,280,2013,7
523,"4 GLENDALE DRIVE, CHIRNSIDE PARK",-37.751383,145.312411,4,2,2,$350_per_week,Rental_residential,2013-02-01,3116,PARK,350,2013,2
524,"4 GLENDALE DRIVE, CHIRNSIDE PARK",-37.751383,145.312411,4,2,2,$350_pw,Rental_residential,2013-02-01,3116,PARK,350,2013,2
553,"12-14 CAMPUS GATE, CHIRNSIDE PARK",-37.755523,145.332948,5,2,2,$390_pw,House,2013-08-01,3116,PARK,390,2013,8
554,"12-14 CAMPUS GATE, CHIRNSIDE PARK",-37.755523,145.332948,5,2,2,$390_per_week,House,2013-06-01,3116,PARK,390,2013,6
555,"12-14 CAMPUS GATE, CHIRNSIDE PARK",-37.755523,145.332948,5,2,2,$390_pw,House,2013-06-01,3116,PARK,390,2013,6
556,"12-14 CAMPUS GATE, CHIRNSIDE PARK",-37.755523,145.332948,5,2,2,$390,House,2013-06-01,3116,PARK,390,2013,6
676,"66 ROSEMAN ROAD, CHIRNSIDE PARK",-37.746928,145.33598,3,1,1,$320_pw,House,2013-12-01,3116,PARK,320,2013,12
677,"66 ROSEMAN ROAD, CHIRNSIDE PARK",-37.746928,145.33598,3,1,1,$320_pw,House,2013-04-01,3116,PARK,320,2013,4
721,"5 EDWARD ROAD, CHIRNSIDE PARK",-37.75641,145.316065,3,1,1,$295,House,2013-03-01,3116,PARK,295,2013,3
733,"26 JOANNE AVENUE, CHIRNSIDE PARK",-37.755106,145.306849,3,2,3,$420_pw,House,2013-12-01,3116,PARK,420,2013,12
857,"23826 BASS HIGHWAY, CHRISTMAS HILLS",-37.653666,145.3050781,3,2,0,$260,House,2013-08-01,3775,HILLS,260,2013,8
945,"5 NICHOLLS ROAD, CHUM CREEK",-37.6389688,145.4977567,3,1,2,$340_pw,none,2013-08-01,3777,CREEK,340,2013,8
957,"8 GUNDAROO DRIVE, CHURCHILL",-38.320903,146.422926,3,1,1,$190_pw,House,2013-03-01,3842,CHURCHILL,190,2013,3
1030,"15 CURRINGA COURT, CHURCHILL",-38.319109,146.420642,4,2,2,$300_per_week,none,2013-12-01,3842,CHURCHILL,300,2013,12
1130,"13 GUNDAROO PLACE, CHURCHILL",-38.320975,146.423926,3,1,0,$210_p.w.,House,2013-03-01,3842,CHURCHILL,210,2013,3
1146,"5 AMAROO DRIVE, CHURCHILL",-38.323465,146.422057,3,1,1,$150_pw,none,2013-03-01,3842,CHURCHILL,150,2013,3
1171,"38 COOLABAH DRIVE, CHURCHILL",-38.303151,146.416263,3,1,1,$195_per_week,House,2013-01-01,3842,CHURCHILL,195,2013,1
