,STATION,STATUS,STOPID_MTR,STID_VLINE,PREMIUM,METRO,VLINE,INTERSTATE,STOP_ZONE,COMMENTS,geometry,postcode,suburb
250,Albury,Active,,20287,No,No,Yes,Yes,Reg,V/Line Terminus,POINT (146.92425980284736 -36.08552896822631),2640,Albury
251,Alphington,Active,19931,,No,Yes,No,No,1,,POINT (145.03125692868264 -37.778382841858566),3078,Alphington
252,Altona,Active,19926,,No,Yes,No,No,"1, 2",,POINT (144.82920395416875 -37.86708382862495),3018,Altona
253,Anstey,Active,19967,,No,Yes,No,No,1,,POINT (144.96068294277745 -37.761241836919055),3056,Brunswick
254,Ararat,Active,,20288,No,No,Yes,Yes,Reg,V/Line Terminus,POINT (142.9368953407245 -37.28217170408823),3377,Ararat
255,Ardeer,Active,,20020,No,No,Yes,No,"Reg, 2",,POINT (144.8012659680869 -37.78292982621127),3020,Sunshine West
256,Armadale,Active,19945,,No,Yes,No,No,1,,POINT (145.019379922237 -37.85642184152765),3143,Armadale
257,Ascot Vale,Active,20039,,No,Yes,No,No,1,,POINT (144.92188994796834 -37.77540783435897),3032,Ascot Vale
258,Ashburton,Active,19848,,Yes,Yes,No,No,1,,POINT (145.08142191086813 -37.86175484582358),3147,Ashburton
259,Aspendale,Active,19862,,No,Yes,No,No,2,,POINT (145.1020128891241 -38.02703184826394),3195,Aspendale
260,Auburn,Active,19903,,No,Yes,No,No,1,,POINT (145.04562292139065 -37.822397843117976),3123,Hawthorn East
261,Avenel,Active,,20289,No,No,Yes,No,"Reg, 8, 9",,POINT (145.22950499067196 -36.89368684998349),3664,Avenel
262,Bacchus Marsh,Active,,20290,No,No,Yes,No,"Reg, 2, 3",,POINT (144.4364690414832 -37.687581801202704),3340,Maddingley
263,Bairnsdale,Active,,20291,No,No,Yes,No,Reg,V/Line Terminus,POINT (147.62772447572036 -37.828744034109434),3875,Bairnsdale
264,Balaclava,Active,19956,,Yes,Yes,No,No,1,,POINT (144.99348692528957 -37.86972683983561),3183,Balaclava
265,Ballan,Active,,20292,No,No,Yes,No,"Reg, 4, 5",,POINT (144.22592808661125 -37.60418278684276),3342,Ballan
266,Ballarat,Active,,20293,No,No,Yes,No,"Reg, 8",V/Line Interchange,POINT (143.8599601545556 -37.55873776293401),3350,Ballarat Central
267,Batman,Active,19964,,No,Yes,No,No,"1, 2",,POINT (144.96275294543176 -37.733445836887896),3058,Coburg North
268,Baxter,Active,19834,,No,Yes,No,No,2,,POINT (145.16052886036684 -38.19421685333416),3911,Baxter
269,Bayswater,Active,19870,,Yes,Yes,No,No,2,,POINT (145.26827288060758 -37.841849858633736),3153,Bayswater
270,Beaconsfield,Active,19882,,No,Yes,No,No,2,,POINT (145.36605084030694 -38.050914866753764),3807,Beaconsfield
271,Beaufort,Active,,20294,No,No,Yes,No,"Reg, 12, 1",,POINT (143.38235225006684 -37.427585732119425),3373,Beaufort
272,Belgrave,Active,19844,,Yes,Yes,No,No,2,Metro Terminus,POINT (145.3551858580436 -37.90908886511564),3160,Belgrave
273,Bell,Active,20013,,Yes,Yes,No,No,1,,POINT (145.00018693763676 -37.745554839524445),3072,Preston
274,Benalla,Active,,20295,No,No,Yes,Yes,Reg,V/Line Interchange,POINT (145.98372290366848 -36.544710901253424),3672,Benalla
275,Bendigo,Active,,20296,No,No,Yes,No,"Reg, 13",V/Line Interchange,POINT (144.28251816262548 -36.76603078529169),3550,Quarry Hill
276,Bentleigh,Active,19939,,Yes,Yes,No,No,"1, 2",,POINT (145.03689991248436 -37.917779843109685),3204,Bentleigh
277,Berwick,Active,19883,22251,Yes,Yes,Yes,No,"Reg, 2",,POINT (145.3449788452478 -38.03966786520997),3806,Berwick
278,Birregurra,Active,,20297,No,No,Yes,No,"Reg, 10",,POINT (143.782459089992 -38.32874976271898),3242,Birregurra
279,Bittern,Active,19830,,No,Yes,No,No,2,,POINT (145.17809884135224 -38.33714885542716),3918,Bittern
280,Blackburn,Active,19898,,Yes,Yes,No,No,2,,POINT (145.1502029034869 -37.82014485030985),3130,Blackburn
281,Bonbeach,Active,19859,,No,Yes,No,No,2,,POINT (145.11975088206307 -38.06291284970857),3196,Bonbeach
282,Boronia,Active,19869,,Yes,Yes,No,No,2,,POINT (145.2843028758353 -37.85981785986148),3155,Boronia
283,Box Hill,Active,20042,,Yes,Yes,No,No,2,,POINT (145.12180590851105 -37.81926084834329),3128,Box Hill
284,Brighton Beach,Active,19950,,Yes,Yes,No,No,"1, 2",,POINT (144.98919891987393 -37.92624183989165),3186,Brighton
285,Broadford,Active,,20298,No,No,Yes,No,"Reg, 4, 5",,POINT (145.04283798841587 -37.20752483908392),3658,Broadford
286,Broadmeadows,Active,20030,22254,Yes,Yes,Yes,Yes,"Reg, 2",,POINT (144.91937595835222 -37.683349833615836),3047,Broadmeadows
287,Brunswick,Active,19968,,No,Yes,No,No,1,,POINT (144.95956394224615 -37.76793083688405),3056,Brunswick
288,Bunyip,Active,,20299,No,No,Yes,No,"Reg, 4, 5",,POINT (145.72054077291324 -38.09898489212547),3815,Bunyip
289,Burnley,Active,19906,,Yes,Yes,No,No,1,,POINT (145.00762592741958 -37.827617840543304),3121,Burnley
290,Burwood,Active,19849,,No,Yes,No,No,1,,POINT (145.0803739121909 -37.85133784568694),3146,Glen Iris
291,Camberwell,Active,19853,,Yes,Yes,No,No,1,Metro Interchange,POINT (145.0586879186639 -37.82659484404178),3124,Camberwell
292,Camperdown,Active,,20300,No,No,Yes,No,Reg,,POINT (143.15064321255468 -38.228550722802154),3260,Camperdown
293,Canterbury,Active,19893,,No,Yes,No,No,"1, 2",,POINT (145.0807749150376 -37.82468984554928),3126,Canterbury
294,Carnegie,Active,19920,,No,Yes,No,No,1,,POINT (145.05858191216177 -37.88622384440395),3163,Carnegie
295,Carrum,Active,19858,,Yes,Yes,No,No,2,,POINT (145.12302841290347 -38.077272100023286),3197,Carrum
296,Castlemaine,Active,,20301,No,No,Yes,No,"Reg, 10, 9",,POINT (144.21375014410754 -37.062958782669256),3450,Castlemaine
297,Caulfield,Active,19943,22248,Yes,Yes,Yes,No,"Reg, 1",Metro Interchange,POINT (145.04275191585174 -37.87766984326326),3145,Caulfield East
298,Chatham,Active,19894,,No,Yes,No,No,"1, 2",,POINT (145.08892891366887 -37.824262846108006),3127,Surrey Hills
299,Chelsea,Active,19860,,No,Yes,No,No,2,,POINT (145.11623688384057 -38.05238184940119),3196,Chelsea
300,Cheltenham,Active,19866,,Yes,Yes,No,No,2,,POINT (145.0547779039829 -37.966930844641645),3192,Cheltenham
301,Chiltern,Active,,20302,No,No,Yes,No,Reg,,POINT (146.61175584513992 -36.15562894504441),3683,Chiltern
302,Clarkefield,Active,,20303,No,No,Yes,No,"Reg, 2",,POINT (144.74439000993655 -37.48308682050366),3430,Clarkefield
303,Clayton,Active,19915,22249,Yes,Yes,Yes,No,"Reg, 2",,POINT (145.12086489708904 -37.924767848932106),3168,Clayton
304,Clifton Hill,Active,19974,,Yes,Yes,No,No,1,Metro Interchange,POINT (144.99550093381282 -37.788210839468306),3068,Clifton Hill
305,Clunes,Active,,44952,No,No,Yes,No,"Reg, 11, 1",,POINT (143.7820511935918 -37.3027377563863),3370,Clunes
306,Coburg,Active,19965,,Yes,Yes,No,No,1,,POINT (144.96329574437254 -37.74235308698033),3058,Coburg
307,Colac,Active,,20304,No,No,Yes,No,"Reg, 11, 1",,POINT (143.58716512332677 -38.3433317504804),3250,Colac
308,Collingwood,Active,19976,,No,Yes,No,No,1,,POINT (144.99374893234202 -37.80452983944955),3067,Abbotsford
309,Corio,Active,,20305,No,No,Yes,No,"Reg, 3, 4",,POINT (144.37966201089938 -38.07266879982313),3214,Corio
310,Craigieburn,Active,40221,20029,Yes,Yes,Yes,No,"Reg, 2",Metro Terminus,POINT (144.9430179629725 -37.60270383472648),3064,Craigieburn
311,Cranbourne,Active,19886,,Yes,Yes,No,No,2,Metro Terminus,POINT (145.28001284997043 -38.09916386104319),3977,Cranbourne
312,Creswick,Active,,44951,No,No,Yes,No,"Reg, 9",,POINT (143.88816016319302 -37.42448376390221),3363,Creswick
313,Crib Point,Active,19828,,No,Yes,No,No,2,,POINT (145.20397683355725 -38.36592585739682),3919,Crib Point
314,Croxton,Active,20015,,No,Yes,No,No,1,,POINT (144.9971049361838 -37.76384083942686),3070,Northcote
315,Croydon,Active,19878,,Yes,Yes,No,No,2,,POINT (145.27988988369506 -37.79574085915616),3136,Croydon
