,STATION,STATUS,STOPID_MTR,STID_VLINE,PREMIUM,METRO,VLINE,INTERSTATE,STOP_ZONE,COMMENTS,geometry,postcode,suburb
86,Macaulay,Active,19972,,No,Yes,No,No,1,,POINT (144.9361189434255 -37.79456283544821),3051,North Melbourne
87,Macedon,Active,,20325,No,No,Yes,No,"Reg, 3, 4",,POINT (144.5612190476571 -37.42348980784777),3440,Macedon
88,Macleod,Active,19983,,Yes,Yes,No,No,2,,POINT (145.06911292780615 -37.726277844135716),3085,Macleod
89,Malmsbury,Active,,20326,No,No,Yes,No,"Reg, 7, 8",,POINT (144.37569810361973 -37.18990779408625),3446,Malmsbury
90,Malvern,Active,19944,,No,Yes,No,No,1,,POINT (145.02929991944075 -37.86623684226898),3144,Malvern
91,Marshall,Active,,20327,No,No,Yes,No,"Reg, 4",,POINT (144.3549390019392 -38.19871679896511),3216,Marshall
92,Maryborough,Active,,44953,No,No,Yes,No,"Reg, 14",V/Line Terminus,POINT (143.7422652252119 -37.05191075229772),3465,Maryborough
93,Mckinnon,Active,19940,,No,Yes,No,No,"1, 2",,POINT (145.0382289130273 -37.91069984315714),3204,McKinnon
94,Melbourne Central,Active,19842,,Yes,Yes,No,No,1,City Loop,POINT (144.96372793700246 -37.809595837427096),3000,Melbourne
95,Melton,Active,,19980,No,No,Yes,No,"Reg, 2",,POINT (144.5725050162552 -37.703272810341446),3338,Melton South
96,Mentone,Active,19865,,Yes,Yes,No,No,2,,POINT (145.06524590050597 -37.981961845454215),3194,Mentone
97,Merinda Park,Active,19887,,No,Yes,No,No,2,,POINT (145.2634968551108 -38.078996859768836),3977,Cranbourne North
98,Merlynston,Active,19963,,No,Yes,No,No,"1, 2",,POINT (144.9613179470367 -37.720923836712),3058,Coburg North
99,Merri,Active,20017,,No,Yes,No,No,1,,POINT (144.99300193538227 -37.77775983923232),3070,Northcote
100,Middle Brighton,Active,19951,,No,Yes,No,No,"1, 2",,POINT (144.99630491984865 -37.915121840309475),3186,Brighton
101,Middle Footscray,Active,20024,,No,Yes,No,No,1,,POINT (144.89131595034445 -37.8024928324443),3011,Footscray
102,Mitcham,Active,19900,,Yes,Yes,No,No,2,,POINT (145.1931608962675 -37.81803085326961),3132,Mitcham
103,Moe,Active,,20328,No,No,Yes,No,"Reg, 10, 9",,POINT (146.26068466949056 -38.17679393180043),3825,Moe
104,Mont Albert,Active,19896,,No,Yes,No,No,"1, 2",,POINT (145.10556591129972 -37.81952884722494),3127,Mont Albert
105,Montmorency,Active,19986,,No,Yes,No,No,2,,POINT (145.12151291994843 -37.715263847676944),3094,Montmorency
106,Moonee Ponds,Active,20038,,No,Yes,No,No,1,,POINT (144.91920794947288 -37.76579983411649),3039,Moonee Ponds
107,Moorabbin,Active,19937,,Yes,Yes,No,No,2,,POINT (145.03668891065797 -37.93480684320048),3189,Moorabbin
108,Mooroolbark,Active,19877,,Yes,Yes,No,No,2,,POINT (145.31284187920883 -37.784722861384836),3138,Mooroolbark
109,Mooroopna,Active,,20329,No,No,Yes,No,"Reg, 14",,POINT (145.3575940224826 -36.399113855742335),3629,Mooroopna
110,Mordialloc,Active,19863,,Yes,Yes,No,No,2,,POINT (145.08755989391167 -38.006494847141376),3195,Mordialloc
111,Moreland,Active,19966,,No,Yes,No,No,1,,POINT (144.96184314335008 -37.75410636995399),3058,Coburg
112,Morradoo,Active,19829,,No,Yes,No,No,2,,POINT (145.18950483746133 -38.35391885631998),3919,Crib Point
113,Morwell,Active,,20330,No,No,Yes,No,"Reg, 11",,POINT (146.39674463858654 -38.23674094223183),3840,Morwell
114,Mount Waverley,Active,19875,,Yes,Yes,No,No,2,,POINT (145.12841890121592 -37.875260849146905),3149,Mount Waverley
115,Murchison East,Active,,20331,No,No,Yes,No,"Reg, 11, 1",,POINT (145.2408720189542 -36.6122208489777),3610,Murchison East
116,Murrumbeena,Active,19919,,No,Yes,No,No,1,,POINT (145.06759091014703 -37.890305845048715),3163,Murrumbeena
117,Nagambie,Active,,20332,No,No,Yes,No,"Reg, 10, 9",,POINT (145.16055501384068 -36.785077844517126),3608,Nagambie
118,Nar Nar Goon,Active,,20333,No,No,Yes,No,"Reg, 3, 4",,POINT (145.5715528009341 -38.08157188141664),3812,Nar Nar Goon
119,Narre Warren,Active,19884,,Yes,Yes,No,No,2,,POINT (145.30361185381935 -38.02762786224656),3805,Narre Warren
120,Watergardens,Active,20000,22244,Yes,Yes,Yes,No,"Reg, 2",,POINT (144.77386598165452 -37.700703823848244),3038,Taylors Lakes
121,Newmarket,Active,20040,,No,Yes,No,No,1,,POINT (144.92889194551054 -37.786891834907664),3031,Flemington
122,Newport,Active,19994,22245,Yes,Yes,No,No,"Reg, 1",Metro Interchange,POINT (144.8835265893491 -37.842710640163396),3015,Newport
123,Nhill,Active,,20616,No,No,No,Yes,,Interstate (Overland),POINT (141.6538486424171 -36.332076624653155),3418,Nhill
124,Noble Park,Active,19890,,Yes,Yes,No,No,2,,POINT (145.1762168828368 -37.966536853016166),3174,Noble Park
125,North Brighton,Active,19952,,No,Yes,No,No,"1, 2",,POINT (145.00260091986692 -37.90490284067758),3186,Brighton
126,North Geelong,Active,,20334,No,No,Yes,No,"Reg, 3, 4",,POINT (144.35236301044876 -38.122477798329015),3215,North Geelong
127,Terang,Active,,20349,No,No,Yes,No,Reg,,POINT (142.91126525446813 -38.23618370838596),3264,Terang
128,North Melbourne,Active,19973,22239,Yes,Yes,Yes,No,"Reg, 1",Metro Interchange,POINT (144.9418369411149 -37.80672183591394),3003,West Melbourne
129,North Richmond,Active,19977,,No,Yes,No,No,1,,POINT (144.9925619319462 -37.810062839402555),3121,Richmond
130,North Shore,Active,,20335,No,No,Yes,Yes,"Reg, 3, 4",,POINT (144.36571801075334 -38.097299799054674),3214,North Shore
131,North Williamstown,Active,19993,,No,Yes,No,No,1,,POINT (144.88874794492838 -37.856687832605196),3015,Newport
132,Northcote,Active,20016,,No,Yes,No,No,1,,POINT (144.99528793584545 -37.769851839339786),3070,Northcote
133,Nunawading,Active,19899,,Yes,Yes,No,No,2,,POINT (145.17420189927185 -37.82061385197264),3131,Nunawading
134,Oak Park,Active,20033,,No,Yes,No,No,"1, 2",,POINT (144.92154095423257 -37.71803383397898),3046,Oak Park
135,Oakleigh,Active,19917,,Yes,Yes,No,No,"1, 2",,POINT (145.08833522243688 -37.90033792953853),3166,Oakleigh
136,Officer,Active,19881,,No,Yes,No,No,2,,POINT (145.41099883074332 -38.06612986999867),3809,Officer
137,Ormond,Active,19941,,No,Yes,No,No,"1, 2",,POINT (145.03953691357677 -37.90359384320299),3204,Ormond
138,Pakenham,Active,19880,22252,Yes,Yes,Yes,No,"Reg, 2",Metro Terminus,POINT (145.48651681591735 -38.08053487540022),3810,Pakenham
139,Parkdale,Active,19864,,No,Yes,No,No,2,,POINT (145.07630189735633 -37.99305684628337),3195,Parkdale
140,Parliament,Active,19843,,Yes,Yes,No,No,1,City Loop,POINT (144.97341393506886 -37.811915838103744),3002,East Melbourne
141,Cobblebank,Active,,48804,No,No,Yes,No,"Reg, 2",,POINT (144.60399800981847 -37.71251881250274),3338,Cobblebank
142,Pascoe Vale,Active,20034,,No,Yes,No,No,"1, 2",,POINT (144.9282009517062 -37.73074183451207),3044,Pascoe Vale
143,Patterson,Active,19938,,No,Yes,No,No,2,,POINT (145.0354859119216 -37.925175843058355),3204,Bentleigh
144,Prahran,Active,19958,,No,Yes,No,No,1,,POINT (144.98982292810277 -37.84974983946102),3181,Prahran
145,Preston,Active,20012,,Yes,Yes,No,No,"1, 2",,POINT (145.0005219383209 -37.73872283950494),3072,Preston
146,Keilor Plains,Active,20001,,No,Yes,No,No,2,,POINT (144.79381597510505 -37.729588825376396),3021,St Albans
147,Pyramid,Active,,20336,No,No,Yes,No,Reg,,POINT (144.11311726173972 -36.052967769703905),3575,Pyramid Hill
148,Regent,Active,20011,,No,Yes,No,No,"1, 2",,POINT (145.00273793903784 -37.728589839593745),3073,Reservoir
149,Reservoir,Active,20010,,Yes,Yes,No,No,"1, 2",,POINT (145.006924939572 -37.71700083980855),3073,Reservoir
150,Richmond,Active,19908,22247,Yes,Yes,Yes,No,"Reg, 1",Metro Interchange,POINT (144.98957993095317 -37.82394983928449),3121,Richmond
151,Riddells Creek,Active,,20337,No,No,Yes,No,"Reg, 2, 3",,POINT (144.68026302287126 -37.46491381607398),3431,Riddells Creek
152,Ringwood,Active,19902,,Yes,Yes,No,No,2,Metro Interchange,POINT (145.22882189031202 -37.81595585573035),3134,Ringwood
153,Ringwood East,Active,19879,,No,Yes,No,No,2,,POINT (145.24969588713185 -37.81198185715603),3135,Ringwood East
154,Ripponlea,Active,19955,,No,Yes,No,No,1,,POINT (144.9952319243121 -37.8759098399934),3185,Ripponlea
155,Riversdale,Active,19852,,No,Yes,No,No,1,,POINT (145.06961991620645 -37.83171084482521),3124,Camberwell
156,Rochester,Active,,20338,No,No,Yes,No,Reg,,POINT (144.698999134723 -36.36138281034923),3561,Rochester
157,Rockbank,Active,,19981,No,No,Yes,No,"Reg, 2",,POINT (144.65060299998143 -37.72907981572653),3335,Rockbank
158,Rosanna,Active,19936,,No,Yes,No,No,2,,POINT (145.06617525950782 -37.74284635203666),3084,Rosanna
159,Rosedale,Active,,20339,No,No,Yes,No,"Reg, 14",,POINT (146.7866595802195 -38.15654397098144),3847,Rosedale
160,Royal Park,Active,19970,,No,Yes,No,No,1,,POINT (144.95187394214395 -37.78116983644087),3052,Parkville
161,Rushall,Active,20019,,No,Yes,No,No,1,,POINT (144.99241893489537 -37.78316983922597),3068,Fitzroy North
162,Ruthven,Active,20009,,No,Yes,No,No,2,,POINT (145.00936394009761 -37.7082758399215),3073,Reservoir
163,Sale,Active,,20341,No,No,Yes,No,Reg,,POINT (147.0574015399416 -38.101453991308624),3850,Sale
164,Sandown Park,Active,19891,,No,Yes,No,No,2,,POINT (145.1630058862289 -37.95668085204097),3171,Springvale
165,Sandringham,Active,19948,,Yes,Yes,No,No,2,Metro Terminus,POINT (145.00459391456775 -37.950243841094455),3191,Sandringham
166,Seaford,Active,19857,,No,Yes,No,No,2,,POINT (145.1282388759982 -38.10434485054974),3198,Seaford
167,Seaholme,Active,19927,,No,Yes,No,No,1,,POINT (144.84096395204065 -37.86782982942723),3018,Seaholme
168,Seddon,Active,19997,,No,Yes,No,No,1,,POINT (144.8955169488945 -37.809155832771495),3011,Seddon
169,Seymour,Active,,20342,No,No,Yes,Yes,"Reg, 6, 7",V/Line Interchange,POINT (145.13809699194852 -37.02462584448692),3660,Seymour
170,Shepparton,Active,,20343,No,No,Yes,No,Reg,V/Line Terminus,POINT (145.40495601626947 -36.384530858963934),3630,Shepparton
171,Roxburgh Park,Active,40220,,No,Yes,No,No,2,,POINT (144.93557396044963 -37.63799183443828),3062,Somerton
172,Somerville,Active,19833,,No,Yes,No,No,2,,POINT (145.1763588541046 -38.22548285462183),3912,Somerville
173,South Geelong,Active,,20344,No,No,Yes,No,"Reg, 4",,POINT (144.35912800545287 -38.15848679899508),3220,South Geelong
174,South Kensington,Active,20026,,No,Yes,No,No,1,,POINT (144.92532594475554 -37.79957683474315),3003,West Melbourne
175,South Yarra,Active,19959,,Yes,Yes,No,No,1,Metro Interchange,POINT (144.99230292892653 -37.83822483955944),3141,South Yarra
176,Southern Cross,Active,22180,20043,Yes,Yes,Yes,Yes,"Reg, 1",City Loop,POINT (144.952198938055 -37.818340836693565),3008,Docklands
177,Spotswood,Active,19995,,No,Yes,No,No,1,,POINT (144.88594794823388 -37.83063783225339),3015,Spotswood
178,Springhurst,Active,,20345,No,No,Yes,No,Reg,,POINT (146.47070886447827 -36.18608693470287),3682,Springhurst
179,Springvale,Active,19913,,Yes,Yes,No,No,2,,POINT (145.15351288869076 -37.94936685133926),3171,Springvale
180,St Albans,Active,20002,22242,Yes,Yes,No,No,"Reg, 2",,POINT (144.79964497248486 -37.74459582586391),3021,St Albans
181,Stony Point,Active,19827,,No,Yes,No,No,2,Metro Terminus,POINT (145.2216108295279 -38.37403085867014),3919,Crib Point
182,Stratford,Active,,20346,No,No,Yes,No,Reg,,POINT (147.0813425521239 -37.968749992321925),3862,Stratford
183,Strathmore,Active,20035,,No,Yes,No,No,1,,POINT (144.92732595046948 -37.7435798345321),3040,Essendon
184,Sunbury,Active,15351,19998,Yes,Yes,Yes,No,"Reg, 2",Metro Terminus,POINT (144.72781600255715 -37.57934381998656),3429,Sunbury
185,Sunshine,Active,20021,22241,Yes,Yes,Yes,No,"Reg, 1, 2",Metro Interchange,POINT (144.83232996216643 -37.787837828346255),3020,Sunshine
186,Surrey Hills,Active,19895,,Yes,Yes,No,No,"1, 2",,POINT (145.0988339119725 -37.82405384678903),3127,Surrey Hills
187,Swan Hill,Active,,20347,No,No,Yes,No,Reg,V/Line Terminus,POINT (143.5624754185572 -35.34146973006144),3585,Swan Hill
188,Syndal,Active,19874,,No,Yes,No,No,2,,POINT (145.14946389744688 -37.87626085060672),3150,Glen Waverley
189,Tallarook,Active,,20348,No,No,Yes,No,"Reg, 5, 6",,POINT (145.10296899061032 -37.09225784249211),3659,Tallarook
190,Tecoma,Active,19845,,No,Yes,No,No,2,,POINT (145.34316586023118 -37.90821286426957),3160,Tecoma
191,Thomastown,Active,20007,,Yes,Yes,No,No,2,,POINT (145.01429994228343 -37.68028284008574),3074,Thomastown
192,Thornbury,Active,20014,,No,Yes,No,No,1,,POINT (144.99858193688476 -37.75503483947338),3071,Thornbury
193,Toorak,Active,19946,,No,Yes,No,No,1,,POINT (145.0137989238167 -37.85083384111036),3143,Armadale
194,Tooronga,Active,19911,,No,Yes,No,No,1,,POINT (145.0417399191214 -37.849356843018406),3144,Malvern
195,Tottenham,Active,20022,,No,Yes,No,No,1,,POINT (144.8629539556203 -37.799241830495575),3012,West Footscray
196,Trafalgar,Active,,20350,No,No,Yes,No,"Reg, 8, 9",,POINT (146.1557656842531 -38.20716692428217),3824,Trafalgar
197,Traralgon,Active,,20351,No,No,Yes,No,"Reg, 12, 1",,POINT (146.53889261830952 -38.198637952586765),3844,Traralgon
198,Tyabb,Active,19832,,No,Yes,No,No,2,,POINT (145.18623484854956 -38.25973885551617),3913,Tyabb
199,Tynong,Active,,20352,No,No,Yes,No,"Reg, 3, 4",,POINT (145.62817979066176 -38.084882885455684),3813,Tynong
