,sec_school,longitude,latitude,postcode,suburb
0,RICHMOND HIGH SCHOOL - GLEADELL STREET CAMPUS,145.00268998739,-37.817399997142,3121,RICHMOND
1,HAWKESDALE P12 COLLEGE,142.318199972333,-38.106509999796,3287,HAWKESDALE
2,HORSHAM SECONDARY COLLEGE,142.18409996788,-36.7116599715732,3400,HORSHAM
3,IRYMPLE TECHNICAL SCHOOL,142.164700066266,-34.2323300255489,3498,IRYMPLE
4,Port Melbourne Secondary College,144.931810002113,-37.8320199973867,3207,PORT MELBOURNE
5,Greenvale Secondary College,144.890579967893,-37.650260001449,3059,GREENVALE
6,Wurun Senior Campus,144.983599975389,-37.7926999966816,3068,FITZROY NORTH
7,Clyde Secondary College,145.338119981484,-38.1287099992802,3978,CLYDE
8,MIDLANDS SECONDARY COLLEGE SENIOR CAMPUS,143.892649983338,-37.5345699958725,3350,NERRINA
9,ST PAULS TRARALGON CAMPUS,146.518219987735,-38.1834899999477,3844,TRARALGON
10,SPRINGSIDE WEST SECONDARY COLLEGE,144.727869988017,-37.7156900018379,3335,PLUMPTON
11,PRESTON HIGH SCHOOL,145.006399985981,-37.7416900019263,3072,PRESTON
12,WARRAGUL HIGH SCHOOL,145.922369974778,-38.1670699990524,3820,WARRAGUL
13,ST ALBANS SECONDARY COLLEGE - STRATHBOGIE CAMP,145.809980006621,-36.8217499975002,3669,CREEK JUNCTION
14,BENTON JUNIOR COLLEGE,145.061119972147,-38.2459299977954,3931,MORNINGTON
15,BETHEL CHRISTIAN COLLEGE,145.234539998361,-36.4399400214338,3616,TATURA
16,WILLIAM RUTHVEN SECONDARY COLLEGE,145.002770001497,-37.6966700013977,3073,RESERVOIR
17,CORIO SECONDARY COLLEGE,144.352639967749,-38.0812399960948,3214,CORIO
18,KARINGAL HIGH SCHOOL,145.146809986748,-38.1403999970547,3199,FRANKSTON
19,ALTONA NORTH HIGH SCHOOL,144.846669980383,-37.8369300016234,3025,ALTONA NORTH
20,BAYSIDE SECONDARY COLLEGE WILLIAMSTOWN CAMPUS,144.886389987192,-37.8580400004533,3016,WILLIAMSTOWN
21,MORTLAKE SECONDARY COLLEGE,142.810980007668,-38.0862399884911,3272,MORTLAKE
22,MURRAYVILLE HIGH SCHOOL,141.178200030436,-35.2656799334094,3512,MURRAYVILLE
23,MILDURA TECHNICAL SCHOOL,142.147990017832,-34.1957300323617,3500,MILDURA
24,MANSFIELD SECONDARY COLLEGE,146.088570002023,-37.0626800041914,3722,MANSFIELD
25,MANSFIELD HIGH SCHOOL,146.088570002023,-37.0626800041914,3722,MANSFIELD
26,MERRILANDS COLLEGE (P-12),145.002770001497,-37.6966700013977,3073,RESERVOIR
27,SWAN HILL SECONDARY COLLEGE,143.55285006267,-35.3352299804199,3585,SWAN HILL
28,SWAN HILL COLLEGE,143.55285006267,-35.3352299804199,3585,SWAN HILL
29,BALMORAL K-12 COMMUNITY COLLEGE,141.827379991723,-37.2405400078338,3407,BALMORAL
30,BAYSIDE CHRISTIAN COLLEGE,145.163029964659,-38.1786199964115,3911,LANGWARRIN SOUTH
31,BETH RIVKAH LADIES COLLEGE,145.00083998906,-37.8692699933366,3183,ST KILDA EAST
32,CAMBERWELL GRAMMAR SCHOOL,145.066409995472,-37.8160799885077,3126,CANTERBURY
33,CHRISTIAN COLLEGE BELLARINE,144.573559967291,-38.1710099962946,3222,DRYSDALE
34,COVENANT COLLEGE,144.317999993169,-38.0971799989137,3215,BELL POST HILL
35,CREEK STREET CHRISTIAN COLLEGE,144.27158000051,-36.7655200015724,3550,BENDIGO
36,CHRIST THE KING ANGLICAN COLLEGE,145.660059943222,-35.9242700429946,3644,COBRAM
37,MARIBYRNONG HIGH SCHOOL,144.888239983361,-37.7795200010927,3032,MARIBYRNONG
38,BOX FOREST SECONDARY COLLEGE OAK PARK CAMPUS,144.925699996917,-37.7142900022395,3046,OAK PARK
39,OAK PARK SECONDARY COLLEGE,144.925699996917,-37.7142900022395,3046,OAK PARK
40,OAKLEIGH HIGH SCHOOL,145.116529954248,-37.9028999944979,3166,OAKLEIGH EAST
41,OAKLEIGH SECONDARY COLLEGE,145.0754199631,-37.9056799946827,3166,HUGHESDALE
42,OAKLEIGH TECHNICAL SCHOOL,145.0754199631,-37.9056799946827,3166,HUGHESDALE
43,Oberon High School,144.365359994699,-38.230810023848,3217,ARMSTRONG CREEK
44,WINDSOR TECHNICAL SCHOOL,144.995979994265,-37.8567899969264,3181,WINDSOR
45,WODONGA HIGH SCHOOL,146.881050030162,-36.1256099631965,3690,WODONGA
46,MITCHELL SECONDARY COLLEGE,146.890700015054,-36.1303999399625,3690,WODONGA
47,WODONGA MIDDLE YEARS COLLEGE HUON CAMPUS,146.890700015054,-36.1303999399625,3690,WODONGA
48,WODONGA WEST COLLEGE,146.879590094319,-36.1176299620332,3690,WODONGA
49,WODONGA WEST HIGH SCHOOL,146.879590094319,-36.1176299620332,3690,WODONGA
50,Holy Eucharist Primary School,145.069449971498,-37.8841499931387,3163,CARNEGIE
51,De La Salle College - Holy Eucharist Campus,145.069449971498,-37.8841499931387,3163,CARNEGIE
52,KANIVA COLLEGE,141.244850033676,-36.382709975984,3419,KANIVA
53,KERANG CHRISTIAN COLLEGE,143.913420022501,-35.7304099987698,3579,KERANG
54,LAKESIDE LUTHERAN COLLEGE,145.455929996026,-38.0649099981493,3810,PAKENHAM
55,LIGHTHOUSE CHRISTIAN COLLEGE,145.14350998372,-38.0011899989684,3173,KEYSBOROUGH
56,LIGHTHOUSE CHRISTIAN COLLEGE CRANBOURNE,145.307299956625,-38.1399999971974,3977,DEVON MEADOWS
57,MELTON CHRISTIAN COLLEGE,144.56029000469,-37.700259996508,3338,BROOKFIELD
58,MILDURA CHRISTIAN COLLEGE,142.145330055005,-34.2474100205524,3498,IRYMPLE
59,MT HIRA COLLEGE,145.175479977722,-38.0139799942585,3173,KEYSBOROUGH
60,MURTOA COLLEGE,142.475750023518,-36.6234799817726,3390,MURTOA
61,NORTHSIDE CHRISTIAN COLLEGE,145.054679955708,-37.6950000009491,3083,BUNDOORA
62,OLIVET CHRISTIAN COLLEGE,144.205429990926,-37.0884800012871,3451,CAMPBELLS CREEK
63,PRESBYTERIAN LADIES COLLEGE,145.107010004869,-37.8485499865047,3125,BURWOOD
64,RIVER CITY CHRISTIAN COLLEGE,144.73176997856,-36.1448000041611,3564,ECHUCA
65,ST ANDREWS CHRISTIAN COLLEGE,145.244639981171,-37.8738499961888,3152,WANTIRNA SOUTH
66,ST THOMAS AQUINAS COLLEGE,145.623689991637,-38.0832100011264,3813,TYNONG
67,TRINITY LUTHERAN COLLEGE,142.128790021297,-34.2015900293154,3500,MILDURA
68,GILSON COLLEGE,144.763159980952,-37.7245900032735,3037,TAYLORS HILL
69,KINGSWOOD COLLEGE,145.118629996582,-37.8327599892081,3128,BOX HILL SOUTH
70,OXLEY CHRISTIAN COLLEGE,145.304319983098,-37.7629199986549,3116,CHIRNSIDE PARK
71,SCOTCH COLLEGE,145.03228998845,-37.8339099922741,3122,HAWTHORN
72,THE PENINSULA SCHOOL,145.090699972218,-38.1981599975382,3930,MOUNT ELIZA
73,YESHIVAH COLLEGE,145.000349990272,-37.8681099942958,3183,ST KILDA EAST
74,DARUL ULUM COLLEGE OF VICTORIA,144.971699985947,-37.705170002324,3060,FAWKNER
75,DONVALE CHRISTIAN COLLEGE,145.193460001059,-37.7740199920172,3111,DONVALE
76,BRIGHTON GRAMMAR SCHOOL,144.993529996771,-37.9110999910947,3186,BRIGHTON
77,GOOD NEWS LUTHERAN COLLEGE,144.666609983758,-37.8552299965816,3029,TARNEIT
78,GEELONG BAPTIST COLLEGE,144.330289984169,-38.0671199965373,3213,LOVELY BANKS
79,WODONGA MIDDLE YEARS COLLEGE - FLYING FRUIT FLY CIRCUS SCHOOL,146.862119988031,-36.1271600057667,3690,WEST WODONGA
80,YUILLE PARK P-8 COMMUNITY COLLEGE - GREVILLEA CAMPUS,143.820090018563,-37.5277699982018,3355,WENDOUREE
81,ISIK COLLEGE - SHEPPARTON CAMPUS,145.491730006228,-36.3641699949311,3630,SHEPPARTON
82,CARRANBALLAC P-9 COLLEGE - JAMIESON WAY CAMPUS,144.745609983714,-37.8951399991448,3030,POINT COOK
83,OVERNEWTON ANGLICAN COMMUNITY COLLEGE - KEILOR MAIN CAMPUS,144.823189983492,-37.7065400042225,3036,KEILOR
84,FLINDERS CHRISTIAN COMMUNITY COLLEGE - TRARALGON CAMPUS,146.551169977927,-38.2089499985694,3844,TRARALGON
85,SOUTH COAST CHRISTIAN COLLEGE,145.960879983655,-38.4702199977059,3953,LEONGATHA
86,FLINDERS CHRISTIAN COMMUNITY COLLEGE - MAIN CAMPUS,145.167989979504,-38.2620999962675,3913,TYABB
87,BEACONHILLS COLLEGE - VALLEY CAMPUS,145.467329996374,-38.0618899969332,3810,PAKENHAM
88,MARANATHA CHRISTIAN SCHOOL - CASEY SENIOR CAMPUS,145.278039988596,-37.9709099941138,3802,ENDEAVOUR HILLS
89,AL-TAQWA COLLEGE - MAIN CAMPUS,144.722029974383,-37.8526399962926,3029,TRUGANINA
90,MOUNT SCOPUS MEMORIAL COLLEGE - MAIN CAMPUS,145.117780003146,-37.847199987239,3125,BURWOOD
91,METHODIST LADIES COLLEGE - MAIN CAMPUS,145.03850002155,-37.8139399875766,3101,KEW
92,AUSTRALIAN INTERNATIONAL ACADEMY OF EDUCATION - SENIOR CAMPUS,144.958669995887,-37.7265400035662,3058,COBURG NORTH
93,GEELONG LUTHERAN COLLEGE,144.337069967743,-38.2304500199827,3217,ARMSTRONG CREEK
94,HEATHDALE CHRISTIAN COLLEGE,144.681339986403,-37.8813099987322,3030,WERRIBEE
