,park,longitude,latitude,postcode,suburb
0,EDYTHE MCCALLUM RESERVE,144.960769971768,-37.8348999953819,3205,SOUTH MELBOURNE
1,BLUEBELL HILL RESERVE,145.106499990065,-37.8293199883503,3127,SURREY HILLS
2,HARRISON PARK,145.460859949309,-35.9994701113972,3640,KATUNGA
3,HARROW RECREATION RESERVE,141.598549979375,-37.145069987685,3317,HARROW
4,IRREWILLIPE RECREATION RESERVE,143.442119961432,-38.411009987836,3249,IRREWILLIPE
5,BOROUGH DEPOT RESERVE ,143.834089990907,-37.5997599985387,3356,SEBASTOPOL
6,Freshbrook Avenue Park,144.717139979323,-37.814449995727,3029,TRUGANINA
7,Lough Way Park,144.596849974569,-37.8772599960442,3024,MANOR LAKES
8,Raffles Walk Park,144.595719973728,-37.9057999941448,3030,WERRIBEE
9,Durrell Road Park,144.712409980769,-37.8273199954882,3029,TRUGANINA
10,Gathering Grove Park,144.687249973306,-37.8164599957285,3029,TARNEIT
11,Stanmore Crescent Park,144.590819991451,-37.8506399964768,3024,WYNDHAM VALE
12,Matheson Avenue Park,144.620459974101,-37.871159997586,3024,WYNDHAM VALE
13,Clifton Circuit Park,144.655339980818,-37.8543199968196,3029,TARNEIT
14,Congo Drive Park,144.645949982247,-37.8562599962018,3029,TARNEIT
15,Tributary Street Park,144.649669974302,-37.8496699974106,3029,TARNEIT
16,Townley Boulevard Park,144.605389982126,-37.9143799958443,3030,WERRIBEE
17,Lynne Fleming Pavilion,145.141059963337,-37.9813499956765,3172,DINGLEY VILLAGE
18,MAYFIELD PARK,145.101829974018,-37.991959992035,3195,MORDIALLOC
19,Maranoa Gardens,145.090519976002,-37.8095599891265,3103,BALWYN
20,Maranoa Botanic Gardens,145.090519976002,-37.8095599891265,3103,BALWYN
21,Jenny Elford Park,146.868060011236,-36.1257600042092,3690,WODONGA
22,Haeusler Park,146.833950016255,-36.1212099715876,3690,WEST WODONGA
23,Whitla Park,146.853039918565,-36.135200029129,3690,WEST WODONGA
24,Mulholland Drive Park,144.649219971261,-37.8320399952714,3029,TARNEIT
25,Millbrook Drive Park,144.596889988585,-37.8488399968713,3024,WYNDHAM VALE
26,Barrabool Boulevard Park,144.593589974214,-37.8953399929379,3024,MAMBOURIN
27,Universal Road Park,144.67196995937,-37.8220199957362,3029,TARNEIT
28,Jernigan Road Park,144.650799971686,-37.8348499953948,3029,TARNEIT
29,Horton Drive Park,144.627779981906,-37.9172799973609,3030,WERRIBEE
30,Parkwood Terrace Park,144.74965997248,-37.9093599965059,3030,POINT COOK
31,Beehive Drive Park ,144.751219984092,-37.8638999993304,3027,WILLIAMS LANDING
32,WAYNE LANDRY OVAL,145.145160006214,-38.1929299972638,3199,FRANKSTON SOUTH
33,BRADVALE RECREATION RESERVE,143.394240021391,-37.7918799990996,3361,BRADVALE
34,BRADVALE RECREATION RESERVE,143.394240021391,-37.7918799990996,3361,BRADVALE
35,DERRINALLUM RECREATION RESERVE,143.227930013161,-37.9493599918253,3325,DERRINALLUM
36,BOOKAAR SCHOOL WETLAND RESERVE,143.10578003218,-38.1399499975372,3260,BOOKAAR
37,BOOKAAR SCHOOL WETLAND RESERVE,143.10578003218,-38.1399499975372,3260,BOOKAAR
38,DES LEONARD OVAL,144.252869971654,-37.2961599986865,3461,GLENLYON
39,MOONAH PARK,144.189099929877,-38.4119302633956,3230,ANGLESEA
40,BRANKO PALAVESTRA PARK,146.889109985424,-36.1380499448914,3690,WODONGA
41,MCLEAN PARK,146.897249995642,-36.1421199315379,3690,WODONGA
42,VERONICA EGAN PARK,146.871109983014,-36.1493799705956,3690,WODONGA
43,JIM COSTELLOE PARK,146.873250098505,-36.1161999715414,3690,WODONGA
44,COMMUNITY GROW AND PLAY GARDENS,144.825119985103,-38.3713299974465,3941,RYE
45,MAIDSTONE PARK,144.875650023577,-37.788490001292,3012,MAIDSTONE
46,DAVID COOPER PARK,145.225649973565,-37.8729899968643,3152,WANTIRNA SOUTH
47,BAYVIEW PARK,145.328969977323,-38.0013499988544,3805,NARRE WARREN
48,SCOTT PARK,145.260109967733,-38.04279999631,3976,HAMPTON PARK
49,EDITHVALE PUBLIC GOLF COURSE,145.122579981538,-38.035999995738,3196,EDITHVALE
50,NAPTHINE RESERVE,143.986869970135,-38.2366700502298,3241,WINCHELSEA
51,BARWON RIVER RESERVE,143.989429975364,-38.2397300504132,3241,WINCHELSEA
52,MATHISON RESERVE,143.992359993349,-38.244520051631,3241,WINCHELSEA
53,GUYE RESERVE,143.993379994272,-38.2435100516905,3241,WINCHELSEA
54,CWA PARK,143.989749980099,-38.241740050446,3241,WINCHELSEA
55,PLATYPUS RESERVE,143.989069977362,-38.2403700503939,3241,WINCHELSEA
56,HESSE STREET RESERVE,143.986079982758,-38.2416700502093,3241,WINCHELSEA
57,WINCHELSEA CRICKET GROUND,143.985899983745,-38.2421000502004,3241,WINCHELSEA
58,BENNETT RESERVE,143.988889966841,-38.236050049356,3241,WINCHELSEA
59,THOMAS OVAL,145.005659981229,-37.8324999994391,3141,SOUTH YARRA
60,CRAIGIEBURN ANZAC PARK,144.913129981648,-37.5885300016001,3064,CRAIGIEBURN
61,MCCORMACK PARK,146.26975999829,-37.1007200057126,3723,MERRIJIG
62,JENSEN PARK,144.901580005974,-37.7894399980623,3032,MARIBYRNONG
63,JOHNSON RESERVE,144.874910015319,-37.7920700012639,3012,WEST FOOTSCRAY
64,MARTIN RESERVE,144.876780006786,-37.794000001403,3012,WEST FOOTSCRAY
65,YARRAVILLE OVAL,144.88326999133,-37.815560000978,3013,YARRAVILLE
66,VIN HEFFERNAN PARK,145.051069970847,-37.7453700010143,3081,HEIDELBERG HEIGHTS
67,GOSCHS PADDOCK,144.986969977213,-37.8257299961171,3004,MELBOURNE
68,POWLETT RESERVE,144.987369988699,-37.8114299950558,3002,EAST MELBOURNE
69,ROYAL PARK,144.953969959148,-37.7869999966204,3052,PARKVILLE
70,STURT STREET RESERVE,144.964849974613,-37.8297999956292,3006,SOUTHBANK
71,TAHARA BRIDGE RESERVE PICNIC AREA,141.664590146246,-37.6656800344674,3315,TAHARA BRIDGE
72,COLLEGE CRESCENT RESERVE,144.958869979664,-37.7928499979914,3052,PARKVILLE
73,ERROL STREET RESERVE,144.950579960521,-37.7982099964583,3051,NORTH MELBOURNE
74,VICTORIA MARKET RESERVE,144.957899978056,-37.8092099970266,3004,MELBOURNE
75,CURZON STREET RESERVE,144.949199959719,-37.7985899963665,3051,NORTH MELBOURNE
76,HAWKE AND CURZONE STREET RESERVE,144.947709974169,-37.8060399963109,3003,WEST MELBOURNE
77,STOCK ROUTE RESERVE,144.925099966886,-37.7895000006654,3031,KENSINGTON
78,LEVESON STREET RESERVE,144.951639966081,-37.8005699965454,3051,NORTH MELBOURNE
79,LIDDY STREET RESERVE,144.925609964746,-37.7899800007032,3031,KENSINGTON
80,PEPPERCORN PARK,144.922659963984,-37.7925100015177,3031,KENSINGTON
81,CLUNIES ROSS RESERVE,144.957469972339,-37.788859996871,3052,PARKVILLE
82,WILDLIFE SANCTUARY,144.914489983375,-37.8019900000196,3003,WEST MELBOURNE
83,WOMENS PEACE GARDEN,144.923979965904,-37.7911300015992,3031,KENSINGTON
84,EXIBITION STREET RESERVE,144.968589978385,-37.8075099977468,3000,MELBOURNE
85,GILIOT RESERVE,144.972559979455,-37.809729997032,3002,EAST MELBOURNE
