,pri_school,longitude,latitude,postcode,suburb
0,BRIDGEWOOD PRIMARY SCHOOL,145.419659958575,-38.0719499966429,3809,OFFICER
1,HAMILTON NORTH PRIMARY SCHOOL,141.995150061847,-37.726460011153,3300,HAMILTON
2,HORSHAM NORTH PRIMARY SCHOOL,142.20223001611,-36.6969299765122,3400,HORSHAM
3,HORSHAM PRIMARY SCHOOL,142.215530010619,-36.711099974358,3400,HORSHAM
4,HORSHAM WEST PRIMARY SCHOOL,142.17998995007,-36.7174199673756,3400,HORSHAM
5,IRREWARRA PRIMARY SCHOOL,143.637369949723,-38.3003999923743,3249,IRREWARRA
6,HARROW PRIMARY SCHOOL,141.59486998373,-37.1601299875773,3317,HARROW
7,Wollert Primary School,145.026149957817,-37.6104199984635,3750,WOLLERT
8,Strathtulloh Primary School,144.589119976962,-37.7166299975339,3338,MELTON SOUTH
9,Deanside Primary School,144.697939971626,-37.7210999998565,3335,DEANSIDE
10,Clyde Creek Primary School,145.330409988556,-38.1222799977018,3978,CLYDE
11,LORQUON PRIMARY SCHOOL,141.757370076675,-36.1587399772387,3418,NHILL
12,JOHN HENRY PRIMARY SCHOOL,145.442259970058,-38.0769699982622,3810,PAKENHAM
13,HARVEST HOME PRIMARY SCHOOL,145.00225997267,-37.6220800008985,3076,EPPING
14,WILANDRA RISE PRIMARY SCHOOL,145.319809998907,-38.1089299968791,3978,CLYDE NORTH
15,NEWBURY PRIMARY SCHOOL,144.909549981151,-37.5709900012468,3064,CRAIGIEBURN
16,MORWELL CENTRAL PRIMARY SCHOOL,146.407639986286,-38.2316699990095,3840,MORWELL
17,BARTON PRIMARY SCHOOL,145.239019976392,-38.1149799982888,3977,CRANBOURNE WEST
18,SWAN MARSH PRIMARY SCHOOL,143.378759977608,-38.3726299916765,3249,SWAN MARSH
19,BURRUM PRIMARY SCHOOL,142.733200019863,-36.5506799943942,3388,BANYENA
20,BUNDARRA PRIMARY SCHOOL,141.592450006329,-38.3622499927162,3305,PORTLAND
21,CRESWICK NORTH PRIMARY SCHOOL,143.890819989307,-37.4088399979752,3363,CRESWICK
22,CROWLANDS PRIMARY SCHOOL,143.107089992801,-37.1520699885491,3377,CROWLANDS
23,CASTERTON PRIMARY SCHOOL,141.405200075528,-37.5865500279337,3311,CASTERTON
24,MERRIVALE PRIMARY SCHOOL,142.456149977456,-38.3780199833955,3280,WARRNAMBOOL
25,SOUTH MELBOURNE PRIMARY SCHOOL,144.9537399916,-37.8292799958668,3006,SOUTHBANK
26,Echuca Twin Rivers Primary School,144.724749992451,-36.1375100066415,3564,ECHUCA
27,BURNSIDE PRIMARY SCHOOL,144.752889980477,-37.745660002711,3023,BURNSIDE
28,AITKEN HILL PRIMARY SCHOOL,144.905559970534,-37.6017100021665,3064,CRAIGIEBURN
29,ST MELS SCHOOL,145.410679971479,-36.3924699874167,3630,SHEPPARTON
30,ST PATRICKS SCHOOL,142.787260006129,-37.0593499707778,3380,STAWELL
31,ALLANSFORD AND DISTRICT PRIMARY SCHOOL,142.590389937564,-38.3862799882743,3277,ALLANSFORD
32,BADGER CREEK PRIMARY SCHOOL,145.533239953665,-37.6813399952193,3777,BADGER CREEK
33,BALNARRING PRIMARY SCHOOL,145.122819970725,-38.3767199968475,3926,BALNARRING
