sa2_name_2016,sa2_maincode_2016,erp_2013,erp_2014,erp_2015,erp_2016,erp_2017,erp_2018,erp_2019,erp_2020,erp_2021
Gordon (Vic.),201021012,5582,5631,5692,5761,5824,5899,5999,6075,6114
Avoca,201031013,3337,3322,3317,3323,3330,3352,3364,3370,3409
Beaufort,201031014,4047,4172,4317,4454,4485,4450,4547,4615,4637
Golden Plains - North,201031015,4284,4363,4444,4540,4635,4742,4862,4938,5008
