,address,sa2_2021,min_distance_to_train,min_distance_to_hosp,min_distance_to_poli,min_distance_to_shop,population_density,crime_cases,weekly_rent,total_liveability_score
4675,"3/6 COMYN STREET, MURTOA",215011394,0.6588894073728419,0.2761315912272515,0.5415305646290247,,0.8775664955669622,0.9592860475968269,0.9979001399906673,0.5612925804946337
5486,"4 MARKET STREET, MINYIP",215011394,0.6612225851609893,0.27379841343910405,0.5012832477834811,,0.8775664955669622,0.9839010732617826,0.9945170321978535,0.5566378908072795
1224,"12 ALBERT STREET, TRENTHAM",201021011,0.6466402239850677,0.2749650023331778,0.5080494633691087,,0.7905972935137657,0.9136724218385441,0.4400956602893141,0.5437937470835278
1465,"13 BREEN STREET, MINYIP",215011394,0.6165422305179654,0.2851143257116192,0.5351143257116192,,0.8775664955669622,0.9839010732617826,0.9808096126924871,0.5421955202986467
5361,"39 MICHIE STREET, ELMORE",202031032,0.6390573961735885,0.25571628558096127,0.5260149323378441,,0.966693887074195,0.9082477834811012,0.8271698553429772,0.5411280914605693
6246,"5 DARLING STREET, HEYWOOD",217011420,0.6382407839477369,0.2762482501166589,0.520648623425105,,0.7799813345776948,0.8758749416705554,0.8553429771348576,0.5384624358376109
4808,"30 WALKER STREET, DONALD",215031400,0.6527064862342511,0.18840410639290714,0.49078394773681755,,0.906439570695287,0.9301213252449837,0.9808096126924871,0.5363625758282782
5909,"42 BRIDGE STREET, KORUMBURRA",205031089,0.6418572095193654,0.28488100793280446,0.5324311712552496,,0.7667988800746617,0.8040713952403173,0.9207302846476901,0.5363100793280449
5535,"4 WARRANOOKE STREET, WILLAURA",215011387,0.6005599626691553,0.2676154923005133,0.5423471768548763,,0.9952753149790013,0.9735184321045264,0.9772515165655623,0.5328628091460569
3672,"23 HALL STREET, CRESWICK",201021010,0.6342743817078862,0.2732151189920672,0.5089827344843677,,0.8460102659822678,0.8575011665888941,0.8271698553429772,0.5320053663089128
3863,"25 HINDMARSH STREET, DIMBOOLA",215011390,0.6397573495100327,0.2130191320578628,0.4902006532897807,,0.8689920671955202,0.9164722351843211,0.9902589827344843,0.5308679421371909
5864,"41 MIDDLETON, TUNGAMAH",216021412,0.6496150256649557,,0.5398973401773215,,0.9978418105459635,0.9797013532431171,0.9042230517965469,0.5307571161922539
1034,"11 MILL STREET, JEPARIT",215011390,0.6222585160989267,0.24650023331777882,0.5093327111525898,,0.8689920671955202,0.9263882407839478,0.9968502099860009,0.5302846476901539
4413,"3.07 / 18-34 STATION STREET, SANDRINGHAM",208011173,0.6558562762482502,0.16192253849743352,0.5452636490900606,,0.2784064395706953,0.7688987400839944,0.5876691553896407,0.53006299580028
3293,"20 ELDON STREET, BRIDGEWATER",202031033,0.6525898273448437,0.09356042930471302,0.508749416705553,,0.8705669622025198,0.9231217918805413,0.8804246383574429,0.5297130191320579
4192,"29 MARKET STREET, MINYIP",215011394,0.5913439104059729,0.26866542230517965,0.5428138124125058,,0.8775664955669622,0.9839010732617826,0.9958586094260382,0.5294913672421839
1466,"13 BREEN STREET, MURTOA",215011394,0.5956602893140457,0.28803079794680353,0.5312645823611759,,0.8775664955669622,0.9592860475968269,0.9808096126924871,0.5288147456836211
121,"1 TATURA ROAD, RUSHWORTH",216011410,0.6315912272515166,0.2826644890340644,0.4780681287914139,,0.9692020531964536,0.8874825011665889,0.9737517498833411,0.5284239384041065
3433,"20A RAILWAY PLACE, GOORNONG",202031032,0.6622725151656557,0.05937937470835278,0.5057162855809613,,0.966693887074195,0.8587260849276714,0.9808096126924871,0.5240900606626225
8100,"84 STEIGLITZ STREET, BALLAN",201021009,0.6130424638357442,0.28278114792347175,0.5242650489967335,,0.9240550629958003,0.8384274381707886,0.6455902939804014,0.5234951003266448
6721,"56 CLARKE STREET, ELMHURST",201031013,0.6399906672888475,,0.5262482501166589,,0.9941670555296314,0.9711269248716752,0.9629608026131591,0.5223576761549231
419,"1/35 STATION STREET, LAKE BOGA",215031405,0.6559729351376575,0.0034997666822211854,0.49848343443770415,,0.8949486700886607,0.9325711619225385,0.9988334111059263,0.5212902473168456
7735,"77 GRANT STREET, INGLEWOOD",202031033,0.5887774148390107,0.2865142323845077,0.5436304246383574,,0.8705669622025198,0.894715352309846,0.9924171721885208,0.5212377508166122
138,"1-3 STATION STREET, WILLAURA",215011387,0.580727951469902,0.2611992533831078,0.5348810079328045,,0.9952753149790013,0.9735184321045264,0.9871091927204853,0.5208119458702754
