,address,latitude_ori,longitude_ori,year,month,nbed,nbath,ncar,postcode,SA2_CODE,residence_type,dist_to_cbd_KM,min_distance_to_park,min_distance_to_prim,min_distance_to_second,min_distance_to_train,min_distance_to_hosp,min_distance_to_poli,min_distance_to_shop,weekly_rent,SA2_CODE_2016
0,"- BROWN STREET, JAMIESON",-37.3032062,146.1394703,2014,3,3.0,1.0,0,3723,204011057,House,243.36261,5.207319999999999,0.30609,36.82688,50.959230000000005,36.74123,0.1798799999999999,,180.0,204011057
1,"- CHANGUE ROAD, MERRIJIG",-37.1113791,146.3544572,2014,7,2.0,1.0,1,3723,204011057,House,234.17019,8.887709999999998,10.195709999999998,1.94679,41.76681,27.54881,28.24516,,350.0,204011057
2,"- CHANRO COURT, BONNIE DOON",-37.0276764,145.8794388,2014,8,4.0,2.0,1,3720,204011057,House,187.25883,14.68874,3.1030100000000003,21.02612,3.56917,20.42362,19.74437,,315.0,204011057
3,"- CHANRO COURT, BONNIE DOON",-37.0276764,145.8794388,2014,9,4.0,2.0,1,3720,204011057,House,187.25883,14.68874,3.1030100000000003,21.02612,3.56917,20.42362,19.74437,,315.0,204011057
4,"- CHRISTENSEN ST, SAWMILL SETTLEMENT",-37.1079503,146.3599912,2014,5,3.0,2.0,0,3723,204011057,House,234.61766,8.07639,10.64318,0.67763,42.21428,27.99628,28.69263,,380.0,204011057
5,"- CHRISTENSEN ST, SAWMILL SETTLEMENT",-37.1079503,146.3599912,2014,6,3.0,2.0,0,3723,204011057,House,234.61766,8.07639,10.64318,0.67763,42.21428,27.99628,28.69263,,380.0,204011057
6,"- DAWN CRESCENT, BONNIE DOON",-37.0384123,145.8752647,2014,12,2.0,1.0,0,3720,204011057,House,187.02556,16.70756,2.86975,23.04494,3.3359,22.44244,21.76318,,270.0,204011057
7,"- LOCHIEL ROAD, BARWITE",-36.981537,146.2068313,2014,3,4.0,3.0,0,3722,204011057,House,223.6503,30.681240000000003,18.09295,18.47189,31.24692,18.40452,17.725270000000002,,300.0,204011057
8,"- LOCKHART ROAD, BONNIE DOON",-37.0265488,145.8603715,2014,10,3.0,2.0,2,3720,204011057,House,184.95056,16.19992,0.79475,22.5373,1.2609,21.9348,21.25554,,375.0,204011057
9,"- MAIN STREET, MAINDAMPLE",-37.0271382,145.9353463,2014,4,1.0,1.0,1,3722,204011057,House,192.30931,9.23523,8.15349,15.57261,0.49149,14.97011,14.29085,,180.0,204011057
10,"- MAIN STREET, MAINDAMPLE",-37.0271382,145.9353463,2014,12,1.0,1.0,1,3722,204011057,House,192.30931,9.23523,8.15349,15.57261,0.49149,14.97011,14.29085,,270.0,204011057
11,"- MCKEES LANE, MAINDAMPLE",-37.0313019,146.1365456,2014,10,2.0,1.0,3,3722,204011057,House,213.18791,20.21884,7.63055,8.0095,20.78452,7.94213,7.262869999999999,,325.0,204011057
12,"- MIDLAND HIGHWAY, BARJARG",-36.9228818,146.0016116,2014,4,2.0,1.0,0,3723,204011057,House,206.52392,19.92362,19.55182,3.20527,14.12054,19.50139,18.82213,,160.0,204011057
13,"- OLD TOLMIE ROAD, TOLMIE",-36.9799348,146.1953645,2014,9,4.0,1.0,0,3723,204011057,House,221.49448,28.52542,15.93713,16.31607,29.0911,16.2487,15.569450000000002,,250.0,204011057
14,"- PHILIP STREET, BONNIE DOON",-37.0255754,145.8542835,2014,4,2.0,1.0,2,3720,204011057,House,184.57533,16.79855,0.1861999999999999,23.13593,1.07697,22.53343,21.85417,,200.0,204011057
15,"- ROSELLA ST, SAWMILL SETTLEMENT",-37.1106217,146.3652965,2014,10,3.0,1.0,0,3723,204011057,House,235.62686,7.8901,11.65238,0.49134,43.22348,29.00548,29.70183,,230.0,204011057
16,"- SUMMIT VIEW COURT, MERRIJIG",-37.1100719,146.3506437,2014,7,2.0,2.0,2,3723,204011057,House,233.9848,9.09502,10.01031,2.15409,41.581410000000005,27.36341,28.05976,,450.0,204011057
17,"- SUMMIT VIEW COURT, SAWMILL SETTLEMENT",-37.1100719,146.3506437,2014,5,2.0,2.0,2,3723,204011057,House,233.9848,9.09502,10.01031,2.15409,41.581410000000005,27.36341,28.05976,,450.0,204011057
18,"- VILLAGE WAY, MACS COVE",-37.2058538,146.1479776,2014,5,2.0,1.0,1,3723,204011057,House,225.95392,21.79929,17.19069,19.41818,33.55054,19.33254,17.42296,,180.0,204011057
19,". 'WILLOW COTTAGE' TARCOMBE ROAD, AVENEL",-36.9496976,145.3090184,2014,7,3.0,1.0,1,3664,204011058,House,127.42434,19.690240000000003,10.40304,,11.91423,,30.18259,,220.0,204011058
20,"0 LANCASTER DRIVE, MANGALORE",-36.9416056,145.1618939,2014,2,3.0,1.0,1,3663,204011058,House,114.83575,1.1967,9.27035,,2.69865,,19.42107,,250.0,204011058
21,"00 REID DRIVE, KILMANY",-38.1054162,146.9118343,2014,6,3.0,1.0,0,3851,205051102,House,199.33825,0.26799,5.55206,,0.04142,,12.68739,,320.0,205051102
22,"005/903 DANDENONG ROAD, MALVERN EAST",-37.876178,145.046128,2014,11,1.0,1.0,0,3145,208041195,Apartment,13.86135,0.9325,0.9188,2.494,2.208,,,3.96501,265.0,208041195
23,"01/17 MACQUARIE STREET, PRAHRAN",-37.85054,144.992182,2014,11,1.0,1.0,0,3181,206061136,Apartment,6.76544,,0.87658,0.25182,0.65365,,1.34207,,240.0,206061136
24,"07/17 MACQUARIE STREET, PRAHRAN",-37.85054,144.992182,2014,11,1.0,1.0,0,3181,206061136,Apartment,6.76544,,0.87658,0.25182,0.65365,,1.34207,,250.0,206061136
25,"1 / 130 FERNTREE GULLY ROAD, OAKLEIGH EAST",-37.898475,145.117219,2014,3,3.0,1.0,2,3166,212051326,House,22.17563,4.41734,1.07723,0.97035,3.49935,2.7983,3.26352,,450.0,212051326
26,"1 / 160 COMMERCIAL ROAD, KOROIT",-38.2915596,142.3632037,2014,4,2.0,2.0,1,3282,217041478,House,273.66991,0.94785,0.48899,25.75066,7.694949999999999,1.15885,0.42051,,240.0,217041478
27,"1 / 19 LANGTREE AVENUE, WANGARATTA",-36.352885,146.301282,2014,6,2.0,1.0,1,3677,204021066,Apartment,240.59394,1.39637,0.6166,1.76606,2.6510700000000003,1.6600899999999998,1.95956,,180.0,204021066
28,"1 / 19 LANGTREE AVENUE, WANGARATTA",-36.352885,146.301282,2014,7,2.0,1.0,1,3677,204021066,Apartment,240.59394,1.39637,0.6166,1.76606,2.6510700000000003,1.6600899999999998,1.95956,,180.0,204021066
29,"1 / 19 LANGTREE AVENUE, WANGARATTA",-36.352885,146.301282,2014,8,2.0,1.0,1,3677,204021066,Apartment,240.59394,1.39637,0.6166,1.76606,2.6510700000000003,1.6600899999999998,1.95956,,180.0,204021066
30,"1 / 191 ARTHUR STREET, FAIRFIELD",-37.773386,145.020451,2014,5,2.0,1.0,1,3078,206021110,Apartment,9.02868,1.11137,0.57113,,1.0250899999999998,,,,340.0,206021110
31,"1 / 193 GRANGE RD, GLEN HUNTLY",-37.895261,145.045196,2014,9,3.0,2.0,1,3163,208021182,House,16.069290000000002,1.50593,2.3454,,0.86302,,0.86964,,470.0,208021182
32,"1 / 209 JASPER ROAD, BENTLEIGH",-37.915577,145.04199,2014,11,3.0,2.0,2,3204,208021174,House,17.878790000000002,,0.8044,1.14372,0.83304,,0.98926,,580.0,208021174
33,"1 / 22A FERNHILL ROAD NORTH, SANDRINGHAM",-37.951567,145.007408,2014,2,2.0,1.0,1,3191,208011173,Apartment,18.12344,1.49836,0.14402,1.27377,0.67059,1.61028,0.76485,,380.0,208011173
34,"1 / 23 EMBANKMENT GROVE, CHELSEA",-38.048004,145.117609,2014,3,2.0,1.0,1,3196,208031186,Apartment,47.47045,2.18995,1.27242,2.97672,0.83874,,0.5916699999999999,,270.0,208031186
35,"1 / 253 DANDENONG ROAD, PRAHRAN",-37.8588593,145.0011499,2014,9,2.0,1.0,1,3181,206061136,Apartment,8.62144,,1.42076,1.10837,1.11497,,1.51925,,395.0,206061136
36,"1 / 253 DANDENONG ROAD, PRAHRAN",-37.8588593,145.0011499,2014,10,2.0,1.0,1,3181,206061136,Apartment,8.62144,,1.42076,1.10837,1.11497,,1.51925,,395.0,206061136
37,"1 / 28 QUEENS PARADE, GLEN IRIS",-37.85246,145.092056,2014,4,3.0,1.0,1,3146,207011150,Apartment,14.50249,0.82114,3.03496,,1.64125,,,4.71847,350.0,207011150
38,"1 / 28 THE AVENUE, BALACLAVA",-37.871422,144.994549,2014,1,2.0,1.0,1,3183,206051134,Apartment,9.0018,2.01471,2.16322,0.95837,0.64118,,0.9156,,340.0,206051134
39,"1 / 34 BISHOP STREET, KINGSVILLE",-37.81072,144.874925,2014,12,2.0,1.0,1,3012,213031350,Apartment,9.32832,2.08958,,,2.36014,,,,265.0,213031350
40,"1 / 35 LINACRE ROAD, HAMPTON",-37.942114,145.005694,2014,8,2.0,1.0,1,3188,208011172,Apartment,16.98922,0.6789,1.36302,1.76997,0.97182,1.45254,,,450.0,208011172
41,"1 / 36 ROSSHIRE ROAD, NEWPORT",-37.847614,144.864065,2014,3,2.0,1.0,1,3015,213021344,Apartment,13.9541,0.95429,0.5616599999999999,1.6108399999999998,2.59158,,2.88969,,330.0,213021344
42,"1 / 42 MIDDLE ROAD, MARIBYRNONG",-37.767308,144.890537,2014,9,2.0,1.0,1,3032,213031349,Apartment,9.17569,0.42455,0.22061,2.49627,,,,2.06172,300.0,213031349
43,"1 / 45 OAKLEIGH ROAD, CARNEGIE",-37.898623,145.04998,2014,2,1.0,1.0,1,3163,208021176,Apartment,16.733580000000003,1.2138,0.92719,,2.11659,,,,235.0,208021176
