,address,latitude_ori,longitude_ori,year,month,nbed,nbath,ncar,postcode,SA2_CODE,residence_type,dist_to_cbd_KM,min_distance_to_park,min_distance_to_prim,min_distance_to_second,min_distance_to_train,min_distance_to_hosp,min_distance_to_poli,min_distance_to_shop,weekly_rent,SA2_CODE_2016
44,"1 / 47 ULUPNA ROAD, ORMOND",-37.89988,145.043146,2014,4,1.0,1.0,1,3204,208021182,Apartment,16.10109,1.14697,1.85288,,0.7017,,1.45499,,220.0,208021182
45,"1 / 49 WILSON STREET, CHELTENHAM",-37.961111,145.059196,2014,2,2.0,1.0,1,3192,208031188,Apartment,26.99314,1.4691500000000002,0.70385,2.14445,,,1.00424,0.95757,360.0,208031188
46,"1 / 49 WILSON STREET, CHELTENHAM",-37.961111,145.059196,2014,3,2.0,1.0,1,3192,208031188,Apartment,26.99314,1.4691500000000002,0.70385,2.14445,,,1.00424,0.95757,360.0,208031188
47,"1 / 52 TRUGANINI ROAD, CARNEGIE",-37.890082,145.05392,2014,1,3.0,2.0,2,3163,208021176,House,15.94161,0.8250599999999999,0.17121,,1.00394,,,,475.0,208021176
48,"1 / 59 HOBART ROAD, MURRUMBEENA",-37.889344,145.069521,2014,8,1.0,1.0,1,3163,208021181,Apartment,15.78438,1.83678,0.3605899999999999,2.20742,0.32649,,0.53687,,250.0,208021181
49,"1 / 59 RIVERSDALE ROAD, HAWTHORN",-37.828247,145.031372,2014,3,2.0,1.0,1,3122,207011520,Apartment,7.47296,1.24739,0.44768,0.7252000000000001,1.38401,,0.98518,,390.0,207011151
50,"1 / 59 RIVERSDALE ROAD, HAWTHORN",-37.828247,145.031372,2014,4,2.0,1.0,1,3122,207011520,Apartment,7.47296,1.24739,0.44768,0.7252000000000001,1.38401,,0.98518,,390.0,207011151
51,"1 / 6 JOHN STREET, OAK PARK",-37.722339,144.914185,2014,5,2.0,1.0,1,3046,210031537,Apartment,12.24551,0.71862,0.97015,2.0956900000000003,1.29265,,,,330.0,210031239
52,"1 / 61 MCINTOSH STREET, AIRPORT WEST",-37.72135,144.885373,2014,8,3.0,2.0,1,3042,210011226,House,15.0284,1.22909,0.30357,1.62102,,,,1.79394,500.0,210011226
53,"1 / 87 BARRIES RD, BUSHFIELD",-38.32723,142.516579,2014,12,2.0,1.0,0,3281,217041479,Apartment,260.46094,5.7136700000000005,3.36439,5.82849,11.63235,7.889489999999999,,,130.0,217041479
54,"1 / 87 BRANDY CREEK ROAD, WARRAGUL",-38.145106,145.937604,2014,9,2.0,1.0,1,3820,205011079,Apartment,105.30555,2.31678,0.59424,3.66452,2.68445,3.77017,2.30024,,190.0,205011079
55,"1 ALMA STREET, NYAH WEST",-35.186278,143.353001,2014,4,2.0,1.0,1,3595,215031405,Apartment,369.87819,18.448400000000003,1.02063,,1.1841700000000002,56.16805,1.03871,,145.0,215031405
56,"1 AMBROSIA DRIVE, CONNEWARRE",-38.3040878,144.3139277,2014,4,4.0,2.0,2,3228,203031053,House,99.93431,2.06937,3.0625,1.72003,,,3.74315,,380.0,203031053
57,"1 ANCONA CLOSE, KEILOR LODGE",-37.698411,144.792815,2014,4,3.0,2.0,8,3038,213011340,House,23.41886,1.32742,3.04116,1.63946,2.98299,,,,380.0,213011340
58,"1 ARCOTS COURT, WATERWAYS",-38.015943,145.1293065,2014,10,3.0,2.0,2,3195,208031183,House,42.44836,2.47841,2.41739,,,,,,440.0,208031183
59,"1 ARCOTS COURT, WATERWAYS",-38.015943,145.1293065,2014,11,3.0,2.0,2,3195,208031183,House,42.44836,2.47841,2.41739,,,,,,460.0,208031183
60,"1 ARMADALE DRIVE, NARRE WARREN",-38.035506,145.308599,2014,2,3.0,1.0,2,3805,212021456,House,43.96049,0.25261,1.11437,4.682060000000001,1.64403,,,2.69024,340.0,212021456
61,"1 ASH COURT, RED CLIFFS",-34.307324,142.193099,2014,11,3.0,1.0,1,3496,215021399,House,527.6461899999999,2.36686,1.31633,1.61998,0.8301499999999999,0.7089099999999999,1.25674,,175.0,215021399
62,"1 ASH COURT, RED CLIFFS",-34.307324,142.193099,2014,12,3.0,1.0,1,3496,215021399,House,527.6461899999999,2.36686,1.31633,1.61998,0.8301499999999999,0.7089099999999999,1.25674,,175.0,215021399
63,"1 AVON COURT, BUNDOORA",-37.70581,145.055805,2014,12,3.0,1.0,1,3083,209011196,House,16.28041,0.99519,0.93857,0.88303,,,,1.88991,360.0,209011196
64,"1 BAILDOR COURT, CRANBOURNE",-38.121676,145.257406,2014,12,4.0,2.0,2,3977,212031300,House,52.33548,2.02944,2.85364,4.27619,4.63341,,3.57636,3.67393,320.0,212031300
65,"1 BANOOL COURT, FRANKSTON SOUTH",-38.162686,145.132275,2014,7,3.0,1.0,2,3199,214011373,House,55.74444,1.15015,1.72347,0.44511,,,,,330.0,214011373
66,"1 BARTON PLACE, EASTWOOD",-37.814218,147.629283,2014,11,3.0,2.0,2,3875,205021081,House,282.88763,3.63292,0.27001,3.40847,3.75368,4.121689999999999,4.09051,,330.0,205021081
67,"1 BEAUMONT DRIVE, BEECHWORTH",-36.350616,146.691136,2014,5,3.0,2.0,1,3747,204031068,House,275.59119,1.22349,0.5909099999999999,0.85768,1.66802,0.13029,0.98537,,280.0,204031068
68,"1 BEDFORD COURT, HOPPERS CROSSING",-37.883279,144.697716,2014,9,3.0,1.0,1,3029,213051362,House,28.72801,1.34704,1.00803,2.0026,,,,,280.0,213051362
69,"1 BEDFORD COURT, HOPPERS CROSSING",-37.883279,144.697716,2014,10,3.0,1.0,1,3029,213051362,House,28.72801,1.34704,1.00803,2.0026,,,,,280.0,213051362
70,"1 BEECH STREET, SURREY HILLS",-37.835865,145.107994,2014,2,2.0,1.0,1,3127,207031167,House,14.19097,,1.06194,,2.6055,,,,450.0,207031167
71,"1 BELLFIELD DRIVE, LYSTERFIELD",-37.915596,145.275431,2014,8,3.0,1.0,2,3156,211011255,House,39.22657,0.77974,0.6755800000000001,,,,,,380.0,211011255
72,"1 BEREA COURT, RINGWOOD",-37.800525,145.235433,2014,9,5.0,2.0,2,3134,211031266,House,28.74455,0.55851,1.04809,0.66811,2.38633,,2.2032,1.80011,500.0,211031266
73,"1 BETHELA STREET, CAMBERWELL",-37.846692,145.08925,2014,5,2.0,1.0,2,3124,207011149,Apartment,14.13584,1.4261,0.53923,3.75858,1.84877,,3.60485,,470.0,207011149
74,"1 BLUE GUM DRIVE, PAKENHAM SOUTH",-38.056136,145.493286,2014,3,3.0,1.0,1,3810,212011549,House,63.01391,,1.15408,,,,,,290.0,212011291
75,"1 BLUFF ROAD, MERRICKS BEACH",-38.399725,145.104893,2014,12,3.0,2.0,2,3926,214021379,House,88.02407000000001,0.4950299999999999,4.72151,14.27469,10.68642,,14.16807,,480.0,214021379
76,"1 BOISDALE STREET, SURREY HILLS",-37.83467,145.099151,2014,2,3.0,2.0,2,3127,207031167,House,13.33751,,1.17927,,2.30979,,,,445.0,207031167
77,"1 BOUVERIE STREET, CARLTON",-37.806097,144.96122,2014,4,2.0,1.0,1,3053,206041117,Apartment,1.46955,0.54598,1.1844400000000002,0.85576,,,1.6741199999999998,,460.0,206041117
78,"1 BOYD COURT, SUNBURY",-37.574229,144.712619,2014,4,3.0,1.0,1,3429,210041541,House,40.40413,3.09644,0.91065,2.15858,,,,,270.0,210041241
79,"1 BRACKNELL COURT, LARA",-38.015172,144.406619,2014,10,2.0,1.0,1,3212,203021043,House,60.263,1.57243,0.49809,1.7832,3.91393,,2.87759,,260.0,203021043
80,"1 BURNBANK STREET, LAKE WENDOUREE",-37.54913,143.846958,2014,2,3.0,1.0,1,3350,201011002,House,116.93905,1.7592,1.52302,2.19016,3.31418,1.83947,3.07832,,230.0,201011002
81,"1 BURSARIA STREET, JACKASS FLAT",-36.7101716,144.282297,2014,12,4.0,2.0,2,3556,202011019,House,158.81103,1.8313,3.48393,3.01512,4.46125,,3.72981,,325.0,202011019
82,"1 BURWOOD COURT, NARRE WARREN",-38.03496,145.306332,2014,2,3.0,2.0,2,3805,212021456,House,43.70575,0.34479,1.03976,4.42731,1.38928,,,2.43549,340.0,212021456
83,"1 BURWOOD COURT, NARRE WARREN",-38.03496,145.306332,2014,8,3.0,2.0,2,3805,212021456,House,43.70575,0.34479,1.03976,4.42731,1.38928,,,2.43549,340.0,212021456
84,"1 CAMERON STREET, CARISBROOK",-37.045327,143.82087,2014,2,3.0,1.0,2,3464,201031017,House,168.27839,3.59788,1.19116,,1.62771,24.78462,24.93177,,250.0,201031017
85,"1 CAPES COURT, MILL PARK",-37.660866,145.039093,2014,9,3.0,1.0,1,3082,209041220,House,20.65789,,2.21094,3.52802,,,,,300.0,209041220
86,"1 CATTON STREET, SEASPRAY",-38.371603,147.192913,2014,2,3.0,1.0,2,3851,205051100,House,240.83881,41.963,3.12838,,,,,,200.0,205051100
87,"1 CHANNEL ROAD, MOUNT EVELYN",-37.783902,145.373141,2014,1,3.0,2.0,2,3796,211051283,House,43.98129,0.6244400000000001,0.93661,2.27796,,,0.90759,,380.0,211051283
88,"1 CHARLES DRIVE, PEARCEDALE",-38.206711,145.235638,2014,7,3.0,1.0,2,3912,212031308,House,63.45152,1.3683800000000002,0.94744,,19.53329,,,,380.0,212031308
89,"1 CHARLES DRIVE, PEARCEDALE",-38.206711,145.235638,2014,11,3.0,1.0,2,3912,212031308,House,63.45152,1.3683800000000002,0.94744,,19.53329,,,,380.0,212031308
90,"1 CHIFLEY CIRCUIT, BURNSIDE HEIGHTS",-37.726732,144.761692,2014,4,4.0,3.0,2,3023,213041462,House,33.59978,,1.69242,,,,,,400.0,213041462
91,"1 CLIFTON STREET, CLIFTON HILL",-37.787337,145.00483,2014,10,2.0,1.0,0,3068,206071145,Apartment,6.13638,0.24595,1.81315,3.77209,1.16823,2.23287,,,590.0,206071145
92,"1 CLUB AVENUE, KINGSBURY",-37.715834,145.033348,2014,2,3.0,2.0,1,3083,209021205,House,14.67144,1.27549,0.36857,0.84726,2.30292,2.11572,,3.42773,350.0,209021205
93,"1 CLYDEN COURT, BURWOOD EAST",-37.85263,145.147255,2014,5,4.0,2.0,1,3151,207031166,House,19.20312,1.3598,1.0933499999999998,3.0009200000000003,1.29367,,,,550.0,207031166
94,"1 COLONIAL CLOSE, WHEELERS HILL",-37.904559,145.190823,2014,1,3.0,2.0,2,3150,212051327,House,26.61916,1.10157,0.34642,2.23622,,,,3.22754,420.0,212051327
95,"1 COLONIAL CLOSE, WHEELERS HILL",-37.904559,145.190823,2014,9,3.0,2.0,2,3150,212051327,House,26.61916,1.10157,0.34642,2.23622,,,,3.22754,420.0,212051327
96,"1 CURRAJONG STREET, OAKLEIGH EAST",-37.905808,145.118121,2014,9,3.0,2.0,3,3166,212051326,House,22.47574,3.74233,2.48494,0.50102,3.17748,4.01839,3.97031,,420.0,212051326
97,"1 DARE STREET, COBURG",-37.749962,144.96728,2014,9,3.0,3.0,2,3058,206011497,House,7.855600000000001,0.74219,0.62988,0.37787,,,,,330.0,206011108
98,"1 DENTON STREET, BRIGHTON EAST",-37.929992,145.026658,2014,6,4.0,2.0,2,3187,208011170,House,18.00028,1.26958,1.99368,1.6993900000000002,,,,,680.0,208011170
99,"1 FAKENHAM ROAD, ASHBURTON",-37.861666,145.082153,2014,7,3.0,2.0,2,3147,207011146,House,14.39816,0.6577200000000001,0.13613,,0.08183,,0.45807,,620.0,207011146
100,"1 FAKENHAM ROAD, ASHBURTON",-37.861666,145.082153,2014,8,3.0,2.0,2,3147,207011146,House,14.39816,0.6577200000000001,0.13613,,0.08183,,0.45807,,620.0,207011146
101,"1 FARADALE ROAD, TARADALE",-37.137915,144.345798,2014,7,3.0,1.0,0,3447,202021028,House,103.18763,18.16723,0.6186799999999999,26.82324,1.47364,41.81231,32.730560000000004,,290.0,202021028
102,"1 FARMILLO COURT, LYSTERFIELD",-37.915723,145.279342,2014,2,4.0,1.0,2,3156,211011255,House,39.59611,1.14928,0.88219,,,,,,390.0,211011255
103,"1 FERNY GROVE, KENNETT RIVER",-38.66146,143.858151,2014,4,2.0,1.0,1,3233,217031476,House,164.77903,7.16982,47.19547,28.04109,51.6587,24.15029,24.40663,,270.0,217031476
104,"1 FINNS ROAD, RAWSON",-37.9366315,146.3874676,2014,5,2.0,1.0,1,3825,205011077,House,174.99095,6.44409,6.479220000000001,78.61126,,,6.32604,,210.0,205011077
105,"1 FINNS ROAD, RAWSON",-37.9366315,146.3874676,2014,6,2.0,1.0,1,3825,205011077,House,174.99095,6.44409,6.479220000000001,78.61126,,,6.32604,,210.0,205011077
106,"1 FISHERMANS DRIVE, BLIND BIGHT",-38.211452,145.340042,2014,11,3.0,2.0,2,3980,212031308,House,70.2586,3.75707,5.64104,,14.7542,,,,280.0,212031308
107,"1 FLORIDA COURT, BURNSIDE HEIGHTS",-37.735711,144.750294,2014,4,3.0,2.0,3,3023,213041462,House,31.12178,,0.4153199999999999,,,,,,360.0,213041462
108,"1 FREEMAN STREET, YARRAVILLE",-37.815742,144.874553,2014,1,3.0,1.0,2,3013,213031352,House,11.24502,0.0016899999999999,0.68678,1.03962,2.7236700000000003,,2.53249,,425.0,213031352
109,"1 FREEMAN STREET, YARRAVILLE",-37.815742,144.874553,2014,2,3.0,1.0,2,3013,213031352,House,11.24502,0.0016899999999999,0.68678,1.03962,2.7236700000000003,,2.53249,,410.0,213031352
110,"1 GAYLE COURT, CLAYTON SOUTH",-37.957438,145.133572,2014,9,3.0,1.0,2,3169,212041310,House,28.87644,2.1666,2.5543400000000003,2.70697,3.12853,,,,320.0,212041310
111,"1 GAYLE COURT, CLAYTON SOUTH",-37.957438,145.133572,2014,11,3.0,1.0,2,3169,212041310,House,28.87644,2.1666,2.5543400000000003,2.70697,3.12853,,,,320.0,212041310
112,"1 GENINE AVENUE, HEATHERTON",-37.953095,145.084265,2014,3,3.0,2.0,2,3202,208031191,House,24.85925,0.28696,1.93935,2.63752,6.04671,0.57548,5.54773,,380.0,208031191
113,"1 GENINE AVENUE, HEATHERTON",-37.953095,145.084265,2014,4,3.0,2.0,2,3202,208031191,House,24.85925,0.28696,1.93935,2.63752,6.04671,0.57548,5.54773,,380.0,208031191
114,"1 GEORGE STREET, COHUNA",-35.804071,144.212889,2014,1,2.0,1.0,0,3568,215031401,House,263.08144,0.74399,0.63661,1.92375,0.97649,1.14442,1.38064,,150.0,215031401
115,"1 GLENMORE CRESCENT, BLACK ROCK",-37.97183,145.013619,2014,4,3.0,3.0,1,3193,208011173,House,20.24744,1.03444,0.8936900000000001,1.97819,2.88462,2.01198,0.56101,,820.0,208011173
116,"1 GOLCONDA CLOSE, HOPPERS CROSSING",-37.854082,144.711149,2014,12,3.0,2.0,2,3029,213051361,House,27.81258,1.08339,2.85179,4.67821,3.85063,,,,360.0,213051361
117,"1 GOOSEBERRY MEWS, BERWICK",-38.030918,145.346115,2014,5,4.0,2.0,2,3806,212021293,House,45.67247,0.81575,0.82357,1.64478,1.61983,,0.82641,0.56488,420.0,212021293
118,"1 GOOSEBERRY MEWS, BERWICK",-38.030918,145.346115,2014,6,4.0,2.0,2,3806,212021293,House,45.67247,0.81575,0.82357,1.64478,1.61983,,0.82641,0.56488,390.0,212021293
119,"1 GRACE STREET, RYE",-38.372496,144.826976,2014,6,3.0,2.0,3,3941,214021383,House,97.18035,4.7592,0.54371,,,,1.13634,,330.0,214021383
120,"1 GRACE STREET, RYE",-38.372496,144.826976,2014,7,3.0,2.0,3,3941,214021383,House,97.18035,4.7592,0.54371,,,,1.13634,,330.0,214021383
121,"1 GRACE STREET, RYE",-38.372496,144.826976,2014,11,3.0,2.0,3,3941,214021383,House,97.18035,4.7592,0.54371,,,,1.13634,,330.0,214021383
122,"1 GRIFFIN CRESCENT, PORT MELBOURNE",-37.834268,144.933978,2014,5,3.0,1.0,3,3207,206051130,House,5.26723,1.22053,0.11354,,0.47464,,0.94669,,600.0,206051130
123,"1 GUINEY STREET, TONGALA",-36.247551,144.959194,2014,5,3.0,1.0,2,3621,216011407,House,211.78813,8.588149999999999,0.6102799999999999,14.84893,1.26126,15.28173,1.21588,,185.0,216011407
124,"1 GUY PLACE, BACCHUS MARSH",-37.693268,144.415425,2014,7,3.0,2.0,1,3340,213041353,House,62.376,2.76576,4.10147,2.4015500000000003,2.75693,3.515,3.61471,,280.0,213041353
125,"1 HAMMENCE STREET, GLEN WAVERLEY",-37.871997,145.169335,2014,7,2.0,1.0,1,3150,212051321,House,26.04323,2.19621,0.5142,2.44047,,,3.08995,,360.0,212051321
126,"1 HARRIET STREET, SEDDON",-37.809453,144.889103,2014,8,3.0,1.0,6,3011,213031350,House,8.05959,0.40925,,,1.46895,,,,480.0,213031350
127,"1 HEATH COURT, SOMERS",-38.388475,145.173982,2014,11,4.0,2.0,2,3927,214021379,House,86.54194,0.6137699999999999,1.61715,11.14347,7.07651,,10.59788,,475.0,214021379
128,"1 HELENE STREET, ARDEER",-37.779225,144.807111,2014,3,3.0,1.0,1,3022,213011328,House,24.11069,0.30807,0.65587,,3.71474,2.6251,,,295.0,213011328
129,"1 HICKS CRESCENT, ECHUCA",-36.143058,144.742761,2014,3,3.0,2.0,2,3564,216011406,House,209.93192,1.78021,0.2148199999999999,1.77497,2.58058,1.1098,3.18629,,230.0,216011406
130,"1 HILLCREST ROAD, SHOREHAM",-38.407692,145.029675,2014,5,4.0,2.0,3,3916,214021378,House,92.98206,5.41821,7.61497,,,,,,700.0,214021378
131,"1 HILLCREST ROAD, SHOREHAM",-38.407692,145.029675,2014,6,4.0,2.0,3,3916,214021378,House,92.98206,5.41821,7.61497,,,,,,700.0,214021378
132,"1 HILLCREST ROAD, SHOREHAM",-38.407692,145.029675,2014,7,4.0,2.0,3,3916,214021378,House,92.98206,5.41821,7.61497,,,,,,700.0,214021378
133,"1 HOMEBUSH COURT, MILDURA",-34.193428,142.135766,2014,11,2.0,1.0,1,3500,215021470,Apartment,542.71719,,0.50257,1.71619,,,,,230.0,215021470
134,"1 HOYLAKE AVENUE, JAN JUC",-38.339625,144.309229,2014,9,2.0,2.0,2,3228,203031053,House,104.73945,1.35801,2.65659,3.13873,,,2.9033,,360.0,203031053
