facility,latitude,longitude,year,facility_type
WYNDHAM VALE RAILWAY STATION,-37.8408199970151,144.61472998133,2020,train_station
TARNEIT RAILWAY STATION,-37.8320699952869,144.694119980443,2020,train_station
WAURN PONDS RAILWAY STATION,-38.2155400197836,144.304999992993,2020,train_station
EPSOM RAILWAY STATION,-36.7065799994193,144.320700014256,2020,train_station
CAROLINE SPRINGS RAILWAY STATION,-37.7662199997834,144.73724998099,2020,train_station
SOUTHLAND RAILWAY STATION,-37.9587299891989,145.049069991878,2020,train_station
HENDERSYDE,-36.4695100208657,145.295549979164,2020,train_station
Hawkstowe Rail Station,-37.6221699994177,145.09714996831,2020,train_station
Mernda Rail Station,-37.6017000016083,145.101769959743,2020,train_station
MIDDLE GORGE RAIL STATION,-37.6443100011982,145.091959981793,2020,train_station
PARKVILLE RAIL STATION,-37.7999699980923,144.959699984747,2020,train_station
STATE LIBRARY RAIL STATION,-37.8086799983999,144.963409974157,2020,train_station
TOWN HALL RAIL STATION,-37.8167199967047,144.967139962636,2020,train_station
ANZAC RAIL STATION,-37.8328399961629,144.972379970974,2020,train_station
Cobblebank Rail Station,-37.7114399973707,144.602119988258,2020,train_station
