year,address,latitude,longitude,postcode,sa2_2021,sa2_2016,residence_type,nbed,nbath,ncar,min_distance_to_cbd,min_distance_to_park,min_distance_to_prim,min_distance_to_second,min_distance_to_train,min_distance_to_hosp,min_distance_to_poli,min_distance_to_shop,weekly_rent,gdp(USD Millioins),saving_rate(% of GDP),income_per_person,population_density,crime_cases
2018,"- GOUGHS BAY ROAD, GOUGHS BAY",-37.1628093,146.0892857,3723,204011057,204011057,House,3.0,2.0,2,223.34625,14.19398,16.43158,16.81052,30.94288,16.724880000000002,17.42122,9.12128,320.0,1842946,5.2381324284719,46771.977150287945,2.400519361490873,223
2018,". 'WILLOW COTTAGE' TARCOMBE RD, AVENEL",-36.9451175,145.2967456,3664,204011058,204011058,House,3.0,1.0,1,126.1111,18.377,9.08981,119.50377,10.60099,145.3025,28.86936,9.12128,250.0,1842946,5.2381324284719,53482.90762711864,3.234180638182801,38
2018,". 'WILLOW COTTAGE' TARCOMBE ROAD, AVENEL",-36.9496976,145.3090184,3664,204011058,204011058,House,3.0,1.0,1,127.42434,19.690240000000003,10.40304,119.50377,11.91423,145.3025,30.18259,9.12128,250.0,1842946,5.2381324284719,53482.90762711864,3.234180638182801,38
2018,". SHERBROOK LODGE ROAD, PORT CAMPBELL",-38.6176729,142.9985769,3269,217031475,217031475,House,3.0,1.0,0,229.0437,0.31195,32.25031,38.4537,17.06491,17.4788,0.0499099999999999,9.12128,500.0,1842946,5.2381324284719,44324.53666895134,4.019499224462663,51
2018,". U0027WILLOW COTTAGEU0027 TARCOMBE ROAD, AVENEL",-36.9451175,145.2967456,3664,204011058,204011058,House,3.0,1.0,1,126.1111,18.377,9.08981,119.50377,10.60099,145.3025,28.86936,9.12128,250.0,1842946,5.2381324284719,53482.90762711864,3.234180638182801,38
2018,".275 SOLDIERS SETTLERS ROAD, TALLANGATTA VALLEY",-36.2142709,147.3184912,3701,204031072,204031072,House,3.0,1.0,2,367.34544,12.32206,5.23339,15.68916,5.419,14.93634,14.76891,9.12128,275.0,1842946,5.2381324284719,47150.214521452144,0.9104949841802996,31
2018,"005/903 DANDENONG ROAD, MALVERN EAST",-37.876178,145.046128,3145,208041195,208041195,Apartment,1.0,1.0,0,13.86135,0.9325,0.9188,2.494,2.208,145.3025,60.92557,3.96501,290.0,1842946,5.2381324284719,98625.29911069338,3022.763157894737,2152
2018,"01/17 MACQUARIE STREET, PRAHRAN",-37.85054,144.992182,3181,206061136,206061136,Apartment,1.0,1.0,0,6.76545,55.90651,0.87659,0.25183,0.65366,145.3025,1.34208,9.12128,247.5,1842946,5.2381324284719,83931.950029982,7336.551724137931,3640
2018,"03 IMAGE WALK, COBURG NORTH",-37.726,144.96,3058,210031236,210031236,House,2.0,2.0,1,11.97424,0.15333,47.85064,1.11175,0.78725,145.3025,60.92557,9.12128,450.0,1842946,5.2381324284719,59755.7344235148,1751.428571428571,3707
2018,"03/17 MACQUARIE STREET, PRAHRAN",-37.85054,144.992182,3181,206061136,206061136,Apartment,1.0,1.0,0,6.76545,55.90651,0.87659,0.25183,0.65366,145.3025,1.34208,9.12128,265.0,1842946,5.2381324284719,83931.950029982,7336.551724137931,3640
2018,"04/1023 DANDENONG ROAD, MALVERN EAST",-37.881948,145.05148,3145,208041195,208041195,Apartment,1.0,1.0,0,14.60342,0.37517,0.99856,1.7344000000000002,2.20027,145.3025,60.92557,3.20541,290.0,1842946,5.2381324284719,98625.29911069338,3022.763157894737,2152
2018,"08/180 LENNOX STREET, RICHMOND",-37.8190024,144.9942573,3121,206071517,206071144,Apartment,2.0,1.0,1,3.72259,0.47444,0.5692,0.52339,1.12989,145.3025,60.92557,9.12128,525.0,1842946,5.2381324284719,85192.62959316117,4406.046511627907,4886
