address,nbed,nbath,ncar,postcode,SA2_CODE,residence_type,dist_to_cbd_KM,min_distance_to_park,min_distance_to_prim,min_distance_to_second,min_distance_to_train,min_distance_to_hosp,min_distance_to_poli,min_distance_to_shop,weekly_rent
"1 BARR STREET, TUNGAMAH",3.0,1.0,4,3728,216021412,House,241.3227,1.1781199999999998,0.41134,,0.96454,,0.95491,,240.0
"1 BAXTER STREET, ELTHAM",3.0,1.0,1,3095,209031209,House,21.92301,1.14296,2.14882,1.46623,2.90552,,3.40049,,350.0
"1 BEECH STREET, SURREY HILLS",2.0,1.0,1,3127,207031167,House,14.19097,,1.68036,,2.6055,,,,400.0
"1 BEEK STREET, KATAMATITE",3.0,1.0,1,3649,216021412,House,230.06825,0.03947,0.39674,,1.75902,,0.46176,,190.0
"1 BENDIGO-MALDON ROAD, LOCKWOOD SOUTH",3.0,1.0,2,3551,202021026,House,141.49052,49.224,0.42819,,8.99884,,,,290.0
"1 BETHELA STREET, CAMBERWELL",2.0,1.0,2,3124,207011149,Apartment,14.13584,1.4261,0.53923,3.75858,1.84877,,3.60485,,470.0
"1 BLUFF ROAD, CANNONS CREEK",5.0,3.0,2,3977,212031308,House,68.46949000000001,9.75458,9.15479,,14.8295,,,,380.0
"1 BLUFF ROAD, MERRICKS BEACH",3.0,2.0,2,3926,214021379,House,88.02411000000001,0.4950299999999999,9.61845,14.27473,10.68646,,14.16811,,445.0
"1 BONITO STREET, MOUNT ELIZA",3.0,2.0,1,3930,214021381,House,62.8049,3.63381,1.2814,1.93366,6.28887,,,,390.0
"1 BUTTERWORTH STREET, CASTLEMAINE",4.0,2.0,2,3450,202021027,House,129.60267,3.27163,0.8633500000000001,1.84387,1.3216,2.78247,1.67269,,350.0
"1 CARR STREET, BELMONT",3.0,1.0,1,3216,203021037,House,87.85616,0.65563,0.42192,1.21483,,,,,290.0
"1 CHICORY DRIVE, BACCHUS MARSH",4.0,2.0,2,3340,213041353,House,60.17951,2.42238,2.13118,2.79292,3.63566,2.0908,2.07999,,330.0
"1 CHIFLEY CIRCUIT, BURNSIDE HEIGHTS",4.0,3.0,2,3023,213041462,House,33.59978,,1.69242,,,,,,390.0
"1 CLAYTON COURT, BIG HILL",3.0,1.0,2,3555,203031049,House,125.32476,19.4001,13.59628,,,21.12245,12.95324,,270.0
"1 CLYDEN COURT, BURWOOD EAST",4.0,2.0,1,3151,207031166,House,19.20312,1.36267,1.0933499999999998,3.14202,1.29367,,,,520.0
"1 COBDEN-TERANG ROAD, TERANG",2.0,1.0,1,3264,217031474,House,220.07567,2.73796,3.52006,1.8961,3.72693,4.128430000000001,2.51225,,140.0
"1 COMMERCIAL ROAD, MOUNT EVELYN",3.0,1.0,2,3796,211051283,House,43.33064,1.86685,0.59286,3.05894,,,1.6191300000000002,,350.0
"1 COOLABAH STREET, MENTONE",3.0,1.0,1,3194,208031190,House,33.2067,0.96277,0.48501,,1.84941,,2.19968,0.82353,410.0
"1 CREWEN WALK, KEILOR DOWNS",4.0,2.0,2,3038,213011332,House,23.49069,0.82739,0.15878,0.2917,,,,,386.6666666666667
"1 CURRAJONG STREET, OAKLEIGH EAST",3.0,2.0,3,3166,212051326,House,22.47574,3.74233,2.48494,0.50102,3.17748,4.01839,3.97031,,420.0
"1 CURRAN COURT, AIRLY",3.0,1.0,2,3862,205021082,House,331.018,58.51483,14.87284,86.89641,74.78742999999999,86.79334,78.41985000000001,,220.0
"1 CURRAN COURT, WURRUK",3.0,1.0,2,3850,205051103,House,210.29858,5.05956,1.42586,4.15639,4.92478,,3.5215,,225.0
"1 DARE STREET, COBURG",3.0,3.0,2,3058,206011497,House,7.855600000000001,0.74219,0.62988,0.37787,,,,,340.0
"1 DATURA WALK, BUNDOORA",3.0,2.0,2,3083,209041216,House,20.21817,,2.70026,2.50818,,,,,345.0
"1 DEANS ROAD, TINAMBA",3.0,2.0,2,3859,205051101,House,215.36363,7.99066,8.04734,8.77526,2.6970500000000004,8.79716,7.60811,,295.0
"1 DELEPAN DRIVE, TYABB",3.0,1.0,2,3913,214021385,House,67.82771000000001,0.5483,0.92525,2.4657,1.05948,,,,330.0
"1 DENTON STREET, BRIGHTON EAST",4.0,2.0,2,3187,208011170,House,18.00028,1.26958,3.55512,1.6993900000000002,,,,,680.0
"1 EAST CAMP DR, COOMA",4.0,2.0,2,3616,216031419,House,191.18791,0.48654,4.49766,,11.73132,19.70617,20.0742,,420.0
"1 ELAROO PLACE, SAINT HELENA",4.0,2.0,4,3088,209011197,House,26.20575,0.95622,2.93358,6.0664,3.93182,,5.50217,,500.0
"1 EVANS CRESCENT, LAVERTON",3.0,1.0,1,3028,213051363,House,20.86209,0.60515,0.80579,,1.73739,,1.3716199999999998,,255.0
"1 FINK COURT, HOPPERS CROSSING",3.0,1.0,2,3029,213051362,House,31.68955,3.00319,2.78427,2.61139,,,,,310.0
"1 FRENCHAM STREET, GOLDEN GULLY",3.0,2.0,4,3555,202011022,House,147.29188,,1.88958,1.60124,2.1605,,,,390.0
