address,nbed,nbath,ncar,postcode,SA2_CODE,residence_type,dist_to_cbd_KM,min_distance_to_park,min_distance_to_prim,min_distance_to_second,min_distance_to_train,weekly_rent
"- GOUGHS BAY ROAD, GOUGHS BAY",3.0,2.0,2,3723,204011057,House,223.34625,14.19398,16.43158,16.81052,30.94288,320.0
". 'WILLOW COTTAGE' TARCOMBE RD, AVENEL",3.0,1.0,1,3664,204011058,House,126.1111,18.377,9.08981,,10.60099,250.0
". 'WILLOW COTTAGE' TARCOMBE ROAD, AVENEL",3.0,1.0,1,3664,204011058,House,127.42434,19.690240000000003,10.40304,,11.91423,250.0
". SHERBROOK LODGE ROAD, PORT CAMPBELL",3.0,1.0,0,3269,217031475,House,229.0437,0.31195,32.25031,38.4537,17.06491,500.0
". U0027WILLOW COTTAGEU0027 TARCOMBE ROAD, AVENEL",3.0,1.0,1,3664,204011058,House,126.1111,18.377,9.08981,,10.60099,250.0
".275 SOLDIERS SETTLERS ROAD, TALLANGATTA VALLEY",3.0,1.0,2,3701,204031072,House,367.34544,12.32206,5.23339,15.68916,5.419,275.0
"005/903 DANDENONG ROAD, MALVERN EAST",1.0,1.0,0,3145,208041195,Other,13.86135,0.9325,0.9188,2.494,2.208,290.0
"01/17 MACQUARIE STREET, PRAHRAN",1.0,1.0,0,3181,206061136,Other,6.76545,,0.87659,0.25183,0.65366,247.5
"03 IMAGE WALK, COBURG NORTH",2.0,2.0,1,3058,210031236,House,11.97424,0.15333,,1.11175,0.78725,450.0
"03/17 MACQUARIE STREET, PRAHRAN",1.0,1.0,0,3181,206061136,Other,6.76545,,0.87659,0.25183,0.65366,265.0
"04/1023 DANDENONG ROAD, MALVERN EAST",1.0,1.0,0,3145,208041195,Other,14.60342,0.37517,0.99856,1.7344000000000002,2.20027,290.0
"08/180 LENNOX STREET, RICHMOND",2.0,1.0,1,3121,206071517,Other,3.72259,0.47444,0.5692,0.52339,1.12989,525.0
"1 / 1 ALFRED STREET, BEAUMARIS",2.0,2.0,2,3193,208011168,Other,24.27638,1.75831,1.603,1.99934,,430.0
"1 / 136 APPIN STREET, WANGARATTA",2.0,1.0,1,3677,204021066,Other,241.42089,2.71909,0.21586,1.1865,3.89443,225.0
"1 / 17 MAROONA ROAD, GLEN HUNTLY",2.0,1.0,0,3163,208021176,Other,15.43714,1.33328,0.37476,,1.55646,370.0
"1 / 17 MYOORA ROAD, TOORAK",2.0,1.0,1,3142,206061138,Other,8.603969999999999,1.58965,1.4605,1.54005,1.3436,480.0
"1 / 170 THOMPSON ROAD, NORTH GEELONG",1.0,1.0,1,3215,203021047,Other,71.05316,0.16179,1.14389,0.76536,2.23007,230.0
"1 / 1702 BRIDGEWATER ROAD, CAPE BRIDGEWATER",2.0,1.0,1,3305,217011420,Apartment,376.46656,9.42001,16.04526,43.4003,42.15876,250.0
"1 / 174 MINERVA ROAD, MANIFOLD HEIGHTS",3.0,2.0,1,3218,203021040,House,77.19199,0.49919,0.86262,1.69782,,340.0
"1 / 19 LANGTREE AVENUE, WANGARATTA",2.0,1.0,1,3677,204021066,Other,240.59394,1.39637,0.6166,1.76606,2.6510700000000003,185.0
"1 / 1B SYDENHAM STREET, SEDDON",2.0,1.0,1,3011,213031350,Other,7.66631,0.80102,,,1.77099,552.5
"1 / 209 JASPER ROAD, BENTLEIGH",3.0,2.0,2,3204,208021174,Other,17.878790000000002,,0.8044,1.14372,0.83304,680.0
"1 / 216 KAMBROOK ROAD, CAULFIELD",2.0,2.0,1,3162,208021178,Other,13.70453,1.98497,0.8048200000000001,1.40117,,600.0
"1 / 23 LIVERPOOL ROAD, KILSYTH",2.0,1.0,1,3137,211051277,Other,35.55154,0.19473,0.43751,1.31452,,360.0
"1 / 24 BRISBANE STREET, MURRUMBEENA",1.0,1.0,1,3163,208021181,Other,15.21218,1.91128,0.21563,2.28193,0.5799,290.0
"1 / 27 SPRING ROAD, CAULFIELD SOUTH",3.0,2.0,2,3162,208021178,Other,14.868,1.12675,0.98503,0.98626,,650.0
"1 / 28 QUEENS PARADE, GLEN IRIS",3.0,1.0,1,3146,207011150,Apartment,14.50249,0.73573,3.03496,,1.64124,380.0
"1 / 35 DICKENS STREET, ELWOOD",2.0,1.0,1,3184,206051129,Other,8.299059999999999,1.65546,1.23737,0.0179,,480.0
"1 / 42 MIDDLE ROAD, MARIBYRNONG",2.0,1.0,1,3032,213031349,Other,9.17569,0.42455,0.22061,2.49627,,340.0
"1 / 46 STEINFELD STREET, GOLDEN POINT",1.0,1.0,0,3451,201011483,Apartment,114.19343,0.31964,0.42231,0.00765,,170.0
"1 / 47 CALDER STREET, MANIFOLD HEIGHTS",4.0,2.0,2,3218,203021040,Other,77.46788000000001,0.71839,1.08182,1.91702,,500.0
"1 / 49 WILSON STREET, CHELTENHAM",2.0,1.0,1,3192,208031188,Other,26.99314,1.4691500000000002,0.70385,2.14449,1.5766300000000002,475.0
"1 / 498 REYNOLDS ROAD, RESEARCH",3.0,2.0,3,3095,209031214,House,27.16504,8.941780000000001,0.8806900000000001,1.60731,,540.0
