address,nbed,nbath,ncar,postcode,SA2_CODE,residence_type,dist_to_cbd_KM,min_distance_to_park,min_distance_to_prim,min_distance_to_second,min_distance_to_train,weekly_rent
"- BROWN STREET, JAMIESON",3.0,1.0,0,3723,204011057,House,243.36261,5.207319999999999,0.30609,36.82688,50.959230000000005,180.0
"- CHANGUE ROAD, MERRIJIG",2.0,1.0,1,3723,204011057,House,234.17019,8.887709999999998,10.195709999999998,1.94679,41.76681,350.0
"- CHANRO COURT, BONNIE DOON",4.0,2.0,1,3720,204011057,House,187.25883,14.68874,3.1030100000000003,21.02612,3.56917,315.0
"- CHRISTENSEN ST, SAWMILL SETTLEMENT",3.0,2.0,0,3723,204011057,House,234.61766,8.07639,10.64318,0.67763,42.21428,380.0
"- DAWN CRESCENT, BONNIE DOON",2.0,1.0,0,3720,204011057,House,187.02556,16.70756,2.86975,23.04494,3.3359,270.0
"- LOCHIEL ROAD, BARWITE",4.0,3.0,0,3722,204011057,House,223.6503,30.681240000000003,18.09295,18.47189,31.24692,300.0
"- LOCKHART ROAD, BONNIE DOON",3.0,2.0,2,3720,204011057,House,184.95056,16.19992,0.79475,22.5373,1.2609,375.0
"- MAIN STREET, MAINDAMPLE",1.0,1.0,1,3722,204011057,House,192.30931,9.23523,8.15349,15.57261,0.49149,225.0
"- MCKEES LANE, MAINDAMPLE",2.0,1.0,3,3722,204011057,House,213.18791,20.21884,7.63055,8.0095,20.78452,325.0
"- MIDLAND HIGHWAY, BARJARG",2.0,1.0,0,3723,204011057,House,206.52392,19.92362,19.55182,3.20527,14.12054,160.0
"- OLD TOLMIE ROAD, TOLMIE",4.0,1.0,0,3723,204011057,House,221.49448,28.52542,15.93713,16.31607,29.0911,250.0
"- PHILIP STREET, BONNIE DOON",2.0,1.0,2,3720,204011057,House,184.57533,16.79855,0.1861999999999999,23.13593,1.07697,200.0
"- ROSELLA ST, SAWMILL SETTLEMENT",3.0,1.0,0,3723,204011057,House,235.62686,7.8901,11.65238,0.49134,43.22348,230.0
"- SUMMIT VIEW COURT, MERRIJIG",2.0,2.0,2,3723,204011057,House,233.9848,9.09502,10.01031,2.15409,41.581410000000005,450.0
"- SUMMIT VIEW COURT, SAWMILL SETTLEMENT",2.0,2.0,2,3723,204011057,House,233.9848,9.09502,10.01031,2.15409,41.581410000000005,450.0
"- VILLAGE WAY, MACS COVE",2.0,1.0,1,3723,204011057,House,225.95392,21.79929,17.19069,19.41818,33.55054,180.0
". 'WILLOW COTTAGE' TARCOMBE ROAD, AVENEL",3.0,1.0,1,3664,204011058,House,127.42434,19.690240000000003,10.40304,,11.91423,220.0
"0 LANCASTER DRIVE, MANGALORE",3.0,1.0,1,3663,204011058,House,114.83575,1.1967,9.27035,,2.69865,250.0
"00 REID DRIVE, KILMANY",3.0,1.0,0,3851,205051102,House,199.33825,0.26799,5.55206,,0.04142,320.0
"005/903 DANDENONG ROAD, MALVERN EAST",1.0,1.0,0,3145,208041195,Apartment,13.86135,0.9325,0.9188,2.494,2.208,265.0
"01/17 MACQUARIE STREET, PRAHRAN",1.0,1.0,0,3181,206061136,Apartment,6.76544,,0.87658,0.25182,0.65365,240.0
"07/17 MACQUARIE STREET, PRAHRAN",1.0,1.0,0,3181,206061136,Apartment,6.76544,,0.87658,0.25182,0.65365,250.0
"1 / 130 FERNTREE GULLY ROAD, OAKLEIGH EAST",3.0,1.0,2,3166,212051326,House,22.17563,4.41734,1.07723,0.97035,3.49935,450.0
"1 / 160 COMMERCIAL ROAD, KOROIT",2.0,2.0,1,3282,217041478,House,273.66991,0.94785,0.48899,25.75066,7.694949999999999,240.0
"1 / 19 LANGTREE AVENUE, WANGARATTA",2.0,1.0,1,3677,204021066,Apartment,240.59394,1.39637,0.6166,1.76606,2.6510700000000003,180.0
"1 / 191 ARTHUR STREET, FAIRFIELD",2.0,1.0,1,3078,206021110,Apartment,9.02868,1.11137,0.57113,,1.0250899999999998,340.0
"1 / 193 GRANGE RD, GLEN HUNTLY",3.0,2.0,1,3163,208021182,House,16.069290000000002,1.50593,2.3454,,0.86302,470.0
"1 / 209 JASPER ROAD, BENTLEIGH",3.0,2.0,2,3204,208021174,House,17.878790000000002,,0.8044,1.14372,0.83304,580.0
"1 / 22A FERNHILL ROAD NORTH, SANDRINGHAM",2.0,1.0,1,3191,208011173,Apartment,18.12344,1.49836,0.14402,1.27377,0.67059,380.0
"1 / 23 EMBANKMENT GROVE, CHELSEA",2.0,1.0,1,3196,208031186,Apartment,47.47045,2.18995,1.27242,2.97672,0.83874,270.0
"1 / 253 DANDENONG ROAD, PRAHRAN",2.0,1.0,1,3181,206061136,Apartment,8.62144,,1.42076,1.10837,1.11497,395.0
"1 / 28 QUEENS PARADE, GLEN IRIS",3.0,1.0,1,3146,207011150,Apartment,14.50249,0.82114,3.03496,,1.64125,350.0
"1 / 28 THE AVENUE, BALACLAVA",2.0,1.0,1,3183,206051134,Apartment,9.0018,2.01471,2.16322,0.95837,0.64118,340.0
"1 / 34 BISHOP STREET, KINGSVILLE",2.0,1.0,1,3012,213031350,Apartment,9.32832,2.08958,,,2.36014,265.0
"1 / 35 LINACRE ROAD, HAMPTON",2.0,1.0,1,3188,208011172,Apartment,16.98922,0.6789,1.36302,1.76997,0.97182,450.0
"1 / 36 ROSSHIRE ROAD, NEWPORT",2.0,1.0,1,3015,213021344,Apartment,13.9541,0.95429,0.5616599999999999,1.6108399999999998,2.59158,330.0
"1 / 42 MIDDLE ROAD, MARIBYRNONG",2.0,1.0,1,3032,213031349,Apartment,9.17569,0.42455,0.22061,2.49627,,300.0
"1 / 45 OAKLEIGH ROAD, CARNEGIE",1.0,1.0,1,3163,208021176,Apartment,16.733580000000003,1.2138,0.92719,,2.11659,235.0
"1 / 47 ULUPNA ROAD, ORMOND",1.0,1.0,1,3204,208021182,Apartment,16.10109,1.14697,1.85288,,0.7017,220.0
"1 / 49 WILSON STREET, CHELTENHAM",2.0,1.0,1,3192,208031188,Apartment,26.99314,1.4691500000000002,0.70385,2.14445,,360.0
"1 / 52 TRUGANINI ROAD, CARNEGIE",3.0,2.0,2,3163,208021176,House,15.94161,0.8250599999999999,0.17121,,1.00394,475.0
"1 / 59 HOBART ROAD, MURRUMBEENA",1.0,1.0,1,3163,208021181,Apartment,15.78438,1.83678,0.3605899999999999,2.20742,0.32649,250.0
"1 / 59 RIVERSDALE ROAD, HAWTHORN",2.0,1.0,1,3122,207011520,Apartment,7.47296,1.24739,0.44768,0.7252000000000001,1.38401,390.0
"1 / 6 JOHN STREET, OAK PARK",2.0,1.0,1,3046,210031537,Apartment,12.24551,0.71862,0.97015,2.0956900000000003,1.29265,330.0
"1 / 61 MCINTOSH STREET, AIRPORT WEST",3.0,2.0,1,3042,210011226,House,15.0284,1.22909,0.30357,1.62102,,500.0
