address,nbed,nbath,ncar,postcode,SA2_CODE,residence_type,dist_to_cbd_KM,min_distance_to_park,min_distance_to_prim,min_distance_to_second,min_distance_to_train,min_distance_to_hosp,min_distance_to_poli,min_distance_to_shop,weekly_rent
". 'WILLOW COTTAGE' TARCOMBE RD, AVENEL",3.0,1.0,1,3664,204011058,House,126.1111,18.377,9.08981,,10.60099,,28.86936,,260.0
". 'WILLOW COTTAGE' TARCOMBE ROAD, AVENEL",3.0,1.0,1,3664,204011058,House,127.42434,19.690240000000003,10.40304,,11.91423,,30.18259,,250.0
". SHERBROOK LODGE ROAD, PORT CAMPBELL",3.0,1.0,0,3269,217031475,House,229.0437,0.31185,32.24172,38.4537,17.06491,17.47931,0.0499099999999999,,800.0
".275 SOLDIERS SETTLERS ROAD, TALLANGATTA VALLEY",3.0,1.0,2,3701,204031072,House,367.34544,12.32206,5.23339,15.68916,5.419,14.93634,14.76891,,280.0
".4 MYRTLE STREET, CAMPBELLFIELD",4.0,2.0,1,3061,210051243,House,16.4898,1.6595,0.7179500000000001,4.91952,2.67503,,,4.85223,420.0
"0/108-128 LEICESTER STREET, CARLTON",1.0,1.0,0,3053,206041117,Apartment,1.4470999999999998,0.38556,1.16199,0.83331,0.63435,,1.65167,,445.0
"02/1 O'CONNELL STREET, NORTH MELBOURNE",1.0,1.0,0,3051,206071517,Apartment,5.34485,1.20604,2.07995,0.63771,1.82003,,,,350.0
"03/17 MACQUARIE STREET, PRAHRAN",1.0,1.0,0,3181,206061136,Apartment,6.76544,,0.87658,0.16912,0.65365,,1.34207,,250.0
"04/165 POWER STREET, HAWTHORN",1.0,1.0,1,3122,207011520,Apartment,6.86908,0.4500099999999999,0.60738,1.4419300000000002,1.66328,,1.60068,,350.0
"08/180 LENNOX STREET, RICHMOND",2.0,1.0,1,3121,206071517,House,3.72259,0.47444,0.5692,0.52339,1.12989,,,,495.0
"1 & 10/15-17 KENILWORTH STREET, RESERVOIR",3.0,2.0,2,3073,209021526,House,12.99771,1.40819,0.4285,2.7983200000000004,0.95413,,0.4443,,650.0
"1 / 1 ALFRED STREET, BEAUMARIS",2.0,2.0,2,3193,208011168,House,24.27638,1.75831,1.603,1.94455,,,2.64316,3.02537,515.0
