address,nbed,nbath,ncar,postcode,SA2_CODE,residence_type,dist_to_cbd_KM,min_distance_to_park,min_distance_to_prim,min_distance_to_second,min_distance_to_train,min_distance_to_hosp,min_distance_to_poli,min_distance_to_shop,weekly_rent
"0 ARARAT ST ARNAUD ROAD, LANDSBOROUGH",3.0,2.0,0,3384,201031013,House,221.35103,27.27885,1.1251,53.33689,33.06482,,1.38904,,250.0
"0 BUNGEELTAP ROAD, MOUNT WALLACE",3.0,1.0,0,3342,201021009,House,97.51215,13.99162,7.05658,,14.53921,14.17067,13.91022,,280.0
"0 EDENS ROAD, CALDERMEADE",3.0,2.0,2,3984,212011548,House,83.61616000000001,20.1063,0.4133,9.67345,5.40409,9.17815,4.99113,,350.0
"0 LITTLE FOREST ROAD, MOUNT EGERTON",4.0,3.0,0,3352,201021012,House,108.48143,21.50651,9.30998,,13.01933,,14.73853,,315.0
"00 REID DRIVE, KILMANY",3.0,1.0,0,3851,205051102,House,199.33823,0.26799,5.55205,,0.04142,,12.68739,,400.0
"0000 GOLBURN VALLEY HIGHWAY, KOONOOMOO",2.0,1.0,2,3644,216021413,House,256.5608,4.97895,9.78681,42.8195,10.13524,42.30447,41.17371,,230.0
"005/903 DANDENONG ROAD, MALVERN EAST",1.0,1.0,0,3145,208041195,Apartment,13.86135,0.9325,0.9188,2.494,2.208,,,3.96501,280.0
"1 & 2/43 WEST BRIDGE ROAD, GLENBURN",2.0,1.0,2,3717,204011062,House,79.7911,6.72827,6.54474,35.38086,31.58284,33.57395,34.25147,,250.0
"1 / 12 COONIL STREET, OAKLEIGH SOUTH",2.0,1.0,1,3167,212051326,Apartment,23.37291,0.48818,1.79196,2.12702,2.54442,5.49398,5.66079,,310.0
"1 / 130 FERNTREE GULLY ROAD, OAKLEIGH EAST",3.0,1.0,2,3166,212051326,House,22.17563,4.41734,1.07723,0.97035,3.49935,2.7983,3.26352,,500.0
"1 / 136 APPIN STREET, WANGARATTA",2.0,1.0,1,3677,204021066,Apartment,241.42089,2.71909,0.21586,1.1865,3.89443,2.2457800000000003,3.20293,,220.0
"1 / 142 MCKINNON ROAD, MCKINNON",2.0,1.0,1,3204,208021174,Apartment,16.96515,,1.75131,2.09064,0.08474,,0.7953,,410.0
"1 / 15 POPLAR GROVE, CARNEGIE",1.0,1.0,1,3163,208021176,Apartment,15.42169,2.00998,1.69753,,0.53452,,,,240.0
"1 / 160 COMMERCIAL ROAD, KOROIT",2.0,2.0,1,3282,217041478,House,273.66991,0.94785,0.48899,25.75066,7.694949999999999,1.15885,0.42051,,250.0
"1 / 170 THOMPSON ROAD, NORTH GEELONG",1.0,1.0,1,3215,203021047,Apartment,71.05316,0.16179,1.14389,0.76536,2.23007,,,,230.0
"1 / 19 LANGTREE AVENUE, WANGARATTA",2.0,1.0,1,3677,204021066,Apartment,240.59394,1.39637,0.6166,1.76606,2.6510700000000003,1.6600899999999998,1.95956,,180.0
"1 / 2 KIRBY, BIG HILL",2.0,1.0,1,3555,203031049,House,125.32476,4.95856,13.59628,,,21.12245,12.95324,,250.0
"1 / 22 EMMETT STREET, BIG HILL",3.0,2.0,1,3555,203031049,House,129.04881,5.10013,17.320330000000002,,,17.12797,16.4904,,310.0
"1 / 23 EMBANKMENT GROVE, CHELSEA",2.0,1.0,1,3196,208031186,Apartment,47.47045,2.18998,1.27245,2.97675,0.83877,,0.5917,,320.0
"1 / 24 PARK STREET, MOONEE PONDS",3.0,2.0,1,3039,206031116,House,7.71909,0.6386499999999999,0.50203,,1.01255,1.6702,0.81985,,750.0
"1 / 27 MACDOUGALL ROAD, BIG HILL",3.0,2.0,1,3555,203031049,House,125.32476,4.95856,13.59628,,,21.12245,12.95324,,310.0
"1 / 28 QUEENS PARADE, GLEN IRIS",3.0,1.0,1,3146,207011150,Apartment,14.50249,0.73573,3.03496,,1.64122,,,4.71847,350.0
"1 / 2A BOKHARA ROAD, CAULFIELD SOUTH",2.0,1.0,1,3162,208021178,Apartment,14.04251,0.97273,0.5618,1.53854,,2.03368,1.87445,,440.0
"1 / 35 PALLETT STREET, BIG HILL",3.0,2.0,2,3555,203031049,House,125.32476,4.95856,13.59628,,,21.12245,12.95324,,415.0
"1 / 40 NARETHA STREET, SWAN HILL",2.0,1.0,1,3585,215031404,Apartment,342.27706,0.31739,1.68072,0.94748,1.13329,1.37148,2.78032,,300.0
"1 / 44 PANTON STREET, BIG HILL",2.0,1.0,1,3555,203031049,House,125.32476,4.95856,13.59628,,,21.12245,12.95324,,180.0
"1 / 47 CALDER STREET, MANIFOLD HEIGHTS",4.0,2.0,2,3218,203021040,House,77.46789,0.71839,1.08182,1.91702,,,,,500.0
"1 / 48 PANTON STREET, BIG HILL",3.0,2.0,2,3555,203031049,House,125.32476,4.95856,13.59628,,,21.12245,12.95324,,340.0
"1 / 52 TRUGANINI ROAD, CARNEGIE",3.0,2.0,2,3163,208021176,House,15.94161,0.8250599999999999,0.17121,,1.00394,,,,550.0
"1 / 530 TOORAK ROAD, TOORAK",2.0,1.0,1,3142,206061138,Apartment,8.247069999999999,1.23275,1.1036,1.18314,1.12668,,,,470.0
"1 / 54 MAPLE STREET, BIG HILL",3.0,2.0,1,3555,203031049,House,125.32476,4.95856,13.59628,,,21.12245,12.95324,,320.0
"1 / 55 VINEY STREET, CLARINDA",3.0,1.0,3,3169,212041309,House,24.81708,1.27257,0.90161,,,,,,350.0
"1 / 59 HOBART ROAD, MURRUMBEENA",1.0,1.0,1,3163,208021181,Apartment,15.78438,1.83678,0.3605899999999999,2.20742,0.32649,,0.53687,,250.0
"1 / 59 RIVERSDALE ROAD, HAWTHORN",2.0,1.0,1,3122,207011520,Apartment,7.47296,0.47817,0.44768,0.7252799999999999,1.38401,,0.98518,,400.0
"1 / 61 MCINTOSH STREET, AIRPORT WEST",3.0,2.0,1,3042,210011226,House,15.0284,1.22909,0.30357,1.62118,,,,1.79394,485.0
"1 / 707 HUMFFRAY STREET SOUTH, BALLARAT",3.0,1.0,1,3350,201011483,House,115.53447,1.51944,0.8600399999999999,1.47855,,,,,270.0
"1 / 81 BELLAIRS AVENUE, YARRAVILLE",1.0,1.0,1,3013,213031352,Apartment,7.763619999999999,0.26782,0.93382,3.2630700000000004,0.4051499999999999,,0.47552,,285.0
"1 / 9 KINIRY STREET, BOORT",1.0,1.0,1,3537,202031033,Apartment,257.54681,0.55318,0.65618,0.56802,0.96737,0.61376,0.6698999999999999,,130.0
"1 / 9 LEWIS GROVE, MOUNT WAVERLEY",3.0,1.0,2,3149,212051324,Apartment,19.52426,1.14045,0.2333,6.80319,,6.32937,3.3876500000000003,7.73327,400.0
"1 / 9 VAN NESS AVENUE, MORNINGTON",3.0,1.0,2,3931,214021591,House,74.48013,0.43594,3.1331,3.57953,2.30947,,,,360.0
"1 ANCONA CLOSE, KEILOR LODGE",3.0,2.0,8,3038,213011340,House,23.41886,0.67061,3.04117,1.63947,2.983,,,,390.0
"1 ARALUEN COURT, PAYNESVILLE",3.0,3.0,2,3880,205021086,House,293.13122,1.48615,1.79814,,,,,,350.0
"1 ARCOTS COURT, WATERWAYS",3.0,2.0,2,3195,208031183,House,42.44836,2.47841,2.41739,,,,,,460.0
