address,latitude_ori,longitude_ori,year,month,nbed,nbath,ncar,postcode,SA2_CODE,residence_type,dist_to_cbd_KM,min_distance_to_park,min_distance_to_prim,min_distance_to_second,min_distance_to_train,min_distance_to_hosp,min_distance_to_poli,min_distance_to_shop,weekly_rent
"152 ANDERSON STREET, YARRAVILLE",-37.81527,144.88086,2019,10,2.0,2.0,2,3013,213031352,House,8.972430000000001,0.21994,0.5349700000000001,1.63586,1.27021,,1.07902,,440.0
"152-156 NICHOLSON STREET, ORBOST",-37.70541,148.455712,2019,9,1.0,1.0,0,3888,205021085,House,370.66853,0.48961,0.52963,1.15333,2.19381,1.71106,0.38504,,300.0
"152-156 NICHOLSON STREET, ORBOST",-37.70541,148.455712,2019,11,1.0,1.0,0,3888,205021085,House,370.66853,0.48961,0.52963,1.15333,2.19381,1.71106,0.38504,,300.0
"153 BOOLARRA SOUTH - MIRBOO NORTH ROAD, MIRBOO NORTH",-38.4117253,146.1659617,2019,10,2.0,1.0,2,3871,205031090,Apartment,155.81522,10.46528,2.52382,3.89148,27.61135,28.30528,1.82962,,250.0
"153 ERROL STREET, NORTH MELBOURNE",-37.801312,144.949654,2019,8,2.0,1.0,0,3051,206041506,House,2.11569,0.28725,0.5339299999999999,0.41779,2.13805,,,,430.0
"153 GILLESPIE ROAD, KINGS PARK",-37.733693,144.773261,2019,8,4.0,1.0,3,3021,213011333,House,26.188740000000003,0.3181,0.51037,0.53532,,,,,370.0
"153 GILLESPIE ROAD, KINGS PARK",-37.733693,144.773261,2019,9,4.0,1.0,3,3021,213011333,House,26.188740000000003,0.3181,0.51037,0.53532,,,,,360.0
"153 MAIN STREET, ELLIMINYT",-38.358906,143.582739,2019,3,3.0,1.0,4,3250,217031472,House,154.07517,1.93808,0.33346,1.23885,2.0014000000000003,2.10504,3.06321,,370.0
"153 MAIN STREET, ELLIMINYT",-38.358906,143.582739,2019,11,3.0,1.0,4,3250,217031472,House,154.07517,1.93808,0.33346,1.23885,2.0014000000000003,2.10504,3.06321,,380.0
"153 MCBRYDE STREET, FAWKNER",-37.704058,144.976849,2019,1,3.0,1.0,2,3060,210031237,House,14.29413,0.36112,1.1754,0.56544,2.56575,,,,400.0
"153 MCBRYDE STREET, FAWKNER",-37.704058,144.976849,2019,2,3.0,1.0,2,3060,210031237,House,14.29413,0.36112,1.1754,0.56544,2.56575,,,,440.0
"153 MCBRYDE STREET, FAWKNER",-37.704058,144.976849,2019,3,3.0,1.0,2,3060,210031237,House,14.29413,0.36112,1.1754,0.56544,2.56575,,,,440.0
"153 MOUNTAINVIEW BOULEVARD, CRANBOURNE NORTH",-38.0770316,145.3236864,2019,4,4.0,2.0,2,3977,212031559,House,50.61139,,1.29956,1.99702,,,,,440.0
"153 ORAMS ROAD, KATUNGA",-36.01420568,145.41457025,2019,7,4.0,1.0,2,3640,216021413,House,226.46811,5.0549,4.53847,11.80854,5.80605,12.11692,10.98616,,280.0
"153 SWANSTON ST, GEELONG",-38.16053001,144.36358001,2019,8,3.0,1.0,1,3220,203021039,House,80.98087,0.64015,0.75606,1.6764100000000002,0.73899,1.13625,2.61548,,410.0
"153 SWANSTON STREET, GEELONG",-38.160496,144.363472,2019,8,3.0,1.0,1,3220,203021039,House,80.97355,0.58124,0.6971499999999999,1.6690999999999998,0.68008,1.12894,2.60817,,410.0
"153 WELLINGTON STREET, KEW",-37.810794,145.045311,2019,9,3.0,2.0,1,3101,207011521,House,7.90524,0.16594,0.88017,0.5510900000000001,,1.18047,1.49019,,995.0
"154 CHAPEL STREET, ST KILDA",-37.870271,144.990281,2019,10,1.0,1.0,1,3182,206051134,Apartment,8.38941,1.18527,1.82742,0.81905,0.6083200000000001,,0.30321,,805.0
"154 CHAPEL STREET, ST KILDA",-37.870271,144.990281,2019,12,1.0,1.0,1,3182,206051134,Apartment,8.38941,1.18527,1.82742,0.81905,0.6083200000000001,,0.30321,,651.0
"154 CURRIES HILL ROAD, MUSK",-37.357561,144.2144,2019,6,2.0,1.0,2,3461,201021011,House,110.56686,9.36115,4.45282,7.76153,4.37758,7.94889,7.82551,,350.0
"154 DUKE STREET, CASTLEMAINE",-37.074943,144.239583,2019,10,4.0,1.0,3,3450,202021027,House,118.76433,4.81724,2.1015,2.76277,2.33083,4.4925500000000005,3.08355,,350.0
"154 LEWIS ROAD, LADYS PASS",-36.7999199,144.6795846,2019,2,3.0,2.0,2,3523,202021029,House,129.99022,12.03643,11.33067,,,16.41735,16.27242,,400.0
"154 PHILLIPS ROAD, CASTLE CREEK",-36.190588,146.833744,2019,1,4.0,3.0,0,3691,204031073,House,305.49703000000005,10.55789,11.90858,12.03214,,,,,750.0
"154 TRAMWAY PARADE, BEAUMARIS",-37.983203,145.04427,2019,5,4.0,2.0,2,3193,208011168,House,23.74966,0.6850700000000001,0.41719,1.52103,,,2.21964,1.37216,915.0
"155 FERGUSON STREET, WILLIAMSTOWN",-37.858395,144.89112,2019,1,3.0,2.0,2,3016,213021346,House,13.77569,0.37635,0.52381,0.5441900000000001,1.32111,0.90451,1.98608,,700.0
"155 GLADSTONE STREET, QUARRY HILL",-36.771593,144.276675,2019,1,3.0,1.0,2,3550,202011021,House,150.47888,0.4360799999999999,0.49605,2.6308,,,,,295.0
"155 JOHN LISTON DRIVE, NEWPORT",-37.846703,144.884634,2019,8,3.0,2.0,2,3015,213021344,House,12.10261,0.17118,0.8946900000000001,2.4158000000000004,0.49557,,0.4615,,620.0
"155 JOHN LISTON DRIVE, NEWPORT",-37.846703,144.884634,2019,11,3.0,2.0,2,3015,213021344,House,12.10261,0.17118,0.8946900000000001,2.4158000000000004,0.49557,,0.4615,,620.0
"155 QUEEN STREET, COLAC",-38.349234,143.590964,2019,10,3.0,1.0,1,3250,217031472,House,152.32603,1.34125,1.59035,0.26038,1.53373,1.91935,1.3140699999999998,,350.0
"155 STUD ROAD, WANTIRNA SOUTH",-37.855714,145.242658,2019,6,3.0,2.0,5,3152,211011260,House,32.79138,2.30357,2.14903,2.6975,,,,1.56898,450.0
"155 STUD ROAD, WANTIRNA SOUTH",-37.855714,145.242658,2019,7,3.0,2.0,5,3152,211011260,House,32.79138,2.30357,2.14903,2.6975,,,,1.56898,450.0
"155 SUTTON STREET, WARRAGUL",-38.152692,145.938038,2019,8,3.0,2.0,2,3820,205011079,House,104.73768,0.2166999999999999,0.99248,3.09665,2.35594,3.39641,1.73238,,335.0
"155 SUTTON STREET, WARRAGUL",-38.152692,145.938038,2019,9,3.0,2.0,2,3820,205011079,House,104.73768,0.2166999999999999,0.99248,3.09665,2.35594,3.39641,1.73238,,335.0
"155 SWALLOW STREET, SHEPPARTON",-36.387906,145.409813,2019,8,3.0,1.0,2,3630,216031594,House,181.56647,0.7474400000000001,0.54564,1.48001,0.81996,,1.84292,,290.0
"156 CASHMERE STREET, TRAVANCORE",-37.779406,144.935432,2019,12,3.0,1.0,3,3032,206031115,House,4.77231,0.84788,0.85964,1.01148,1.77734,,1.27453,,700.0
"156 DUNNE STREET, KINGSBURY",-37.713089,145.029058,2019,7,3.0,1.0,3,3083,209021205,House,14.38022,2.41966,0.72289,0.23348,2.5150900000000003,2.32788,,3.6399,400.0
"156 GORDON STREET, COBURG",-37.7430127,144.9495076,2019,3,3.0,2.0,2,3058,206011498,House,9.84336,0.6587999999999999,0.55089,1.42564,1.74449,,1.6028699999999998,,620.0
"156 GORDON STREET, COBURG",-37.7430127,144.9495076,2019,4,3.0,2.0,2,3058,206011498,House,9.84336,0.6587999999999999,0.55089,1.42564,1.74449,,1.6028699999999998,,625.0
"156 MCPHANS ROAD, MOLLONGGHIP",-37.470359,144.054578,2019,9,3.0,1.0,1,3352,201021012,House,106.17666,10.19365,7.77367,,10.78494,,15.74995,,355.0
"156 NINTH STREET, MILDURA",-34.184061,142.157881,2019,3,3.0,2.0,1,3500,215021469,House,543.79338,1.09653,0.78595,1.46301,0.65132,2.04824,0.7600399999999999,,390.0
"156 SWANSEA ROAD, MONTROSE",-37.7976312,145.3594833,2019,8,3.0,1.0,2,3765,211051280,House,41.015910000000005,0.8942599999999999,2.14987,,,,,,420.0
"1560 MOUNT DANDENONG TOURIST ROAD, OLINDA",-37.849779,145.361642,2019,1,3.0,1.0,1,3788,211051282,House,49.71727,2.05101,0.80236,,,,0.90091,,390.0
"156A PATTEN STREET, SALE",-38.1042434,147.0902699,2019,6,3.0,2.0,2,3850,205051103,House,216.14523,0.38876,0.36154,1.25156,3.47537,,3.33944,,370.0
"157 ALBERT ROAD, WARRAGUL",-38.161686,145.944661,2019,4,3.0,1.0,3,3820,205011079,House,106.9372,1.2544000000000002,1.6748599999999998,2.42694,1.6116,2.65208,1.26154,,325.0
"157 BAYNES STREET, DENNINGTON",-38.36025679,142.44754893,2019,3,5.0,2.0,0,3280,217041479,House,263.01741,0.65363,1.66483,2.8871,1.99749,4.3287,,,450.0
"157 DENDY STREET, BRIGHTON EAST",-37.921239,145.011493,2019,3,2.0,1.0,1,3187,208011170,Apartment,16.91078,0.40295,1.17924,0.90664,,,,,500.0
"157 HOYT STREET, LINDENOW",-37.801176,147.4399871,2019,1,3.0,2.0,2,3865,205021082,House,270.45922,2.47898,1.86713,113.65688,2.7832,139.45559,2.54551,,380.0
"157 TURRAMURRA DRIVE, ROWVILLE",-37.923012,145.234523,2019,2,4.0,2.0,4,3178,211011256,House,33.70829,1.0552,0.359,0.3620899999999999,,,,,565.0
"157 TURRAMURRA DRIVE, ROWVILLE",-37.923012,145.234523,2019,3,4.0,2.0,4,3178,211011256,House,33.70829,1.0552,0.359,0.3620899999999999,,,,,565.0
"157 TURRAMURRA DRIVE, ROWVILLE",-37.923012,145.234523,2019,8,4.0,2.0,4,3178,211011256,House,33.70829,1.0552,0.359,0.3620899999999999,,,,,580.0
"157 TURRAMURRA DRIVE, ROWVILLE",-37.923012,145.234523,2019,10,4.0,2.0,4,3178,211011256,House,33.70829,1.0552,0.359,0.3620899999999999,,,,,560.0
"157 TURRAMURRA DRIVE, ROWVILLE",-37.923012,145.234523,2019,12,4.0,2.0,4,3178,211011256,House,33.70829,1.0552,0.359,0.3620899999999999,,,,,540.0
"157 YORK ROAD, MONTROSE",-37.797472,145.364765,2019,8,3.0,1.0,2,3765,211051280,House,41.59577,1.47412,2.72973,,,,,,450.0
"157-159 RESERVE ROAD, MARSHALL",-38.206776,144.358297,2019,8,3.0,1.0,1,3216,203021485,House,89.05911,1.37396,,4.44352,,,,,380.0
"158 MORRIS STREET, SUNSHINE",-37.792253,144.828883,2019,7,3.0,1.0,1,3020,213011336,House,13.17824,0.4811499999999999,0.3776899999999999,0.60633,1.21284,,2.0864000000000003,,430.0
"158 MORRIS STREET, SUNSHINE",-37.792253,144.828883,2019,11,3.0,1.0,1,3020,213011336,House,13.17824,0.4811499999999999,0.3776899999999999,0.60633,1.21284,,2.0864000000000003,,430.0
"159 COULAHANS ROAD, LAANG",-38.381861,142.781999,2019,2,2.0,1.0,2,3265,217041477,House,233.26611,5.75126,5.75126,49.42841000000001,7.384609999999999,49.72292,40.30328,,290.0
"159 ELIZABETH STREET, EDENHOPE",-37.034637,141.284795,2019,1,3.0,1.0,2,3318,215011393,House,393.417,5.281,1.90712,1.81348,40.24156,0.7449,0.78911,,200.0
"159 EXFORD ROAD, MELTON SOUTH",-37.718054,144.571889,2019,2,3.0,1.0,4,3338,213041578,House,49.57531,,0.994,1.49493,1.85608,,,,330.0
"159 GORE STREET, FITZROY",-37.80421433,144.98196696,2019,5,4.0,1.0,0,3065,206071142,House,2.31582,1.12628,0.58408,1.3678,1.13905,1.5856199999999998,0.46704,,995.0
"159 GORE STREET, FITZROY",-37.80421433,144.98196696,2019,12,4.0,1.0,0,3065,206071142,House,2.31582,1.12628,0.58408,1.3678,1.13905,1.5856199999999998,0.46704,,1200.0
"159 HARRIS ST, CORRYONG",-36.19967089,147.89203208,2019,1,3.0,2.0,2,3707,204031072,House,433.32347,0.78816,0.96236,2.0972,13.25794,1.31465,1.22217,,260.0
"159 HARRIS ST, CORRYONG",-36.19967089,147.89203208,2019,2,3.0,2.0,2,3707,204031072,House,433.32347,0.78816,0.96236,2.0972,13.25794,1.31465,1.22217,,260.0
"159 HARRIS STREET, CORRYONG",-36.199671,147.892032,2019,1,3.0,2.0,2,3707,204031072,House,433.32347,0.78816,0.96236,2.0972,13.25794,1.31465,1.22217,,260.0
