address,latitude_ori,longitude_ori,year,month,nbed,nbath,ncar,postcode,SA2_CODE,residence_type,dist_to_cbd_KM,min_distance_to_park,min_distance_to_prim,min_distance_to_second,min_distance_to_train,min_distance_to_hosp,min_distance_to_poli,min_distance_to_shop,weekly_rent
". 'WILLOW COTTAGE' TARCOMBE RD, AVENEL",-36.9451175,145.2967456,2020,11,3.0,1.0,1,3664,204011058,House,126.1111,18.377,9.08981,,10.60099,,28.86936,,250.0
". 'WILLOW COTTAGE' TARCOMBE ROAD, AVENEL",-36.9496976,145.3090184,2020,11,3.0,1.0,1,3664,204011058,House,127.42434,19.690240000000003,10.40304,,11.91423,,30.18259,,250.0
". UNDER APPLICATION ., DOLLAR",-38.53884001,146.16754001,2020,4,3.0,2.0,0,3871,205031087,House,158.61377,6.05915,6.98571,19.96922,15.76803,20.72416,15.85114,,370.0
". UNDER APPLICATION ., FAIRBANK",-38.40972001,145.92736001,2020,5,3.0,2.0,2,3951,205031090,House,135.618,10.3244,10.17627,9.78421,6.724489999999999,10.80624,9.5112,,420.0
".275 SOLDIERS SETTLERS ROAD, TALLANGATTA VALLEY",-36.2142709,147.3184912,2020,1,3.0,1.0,2,3701,204031072,House,367.34544,12.32206,5.23339,15.68916,5.419,14.93642,14.76891,,280.0
".4 BURNETT STREET, YARRAGON",-38.204743,146.062346,2020,6,3.0,1.0,1,3823,205011078,House,117.01551,0.91479,0.60114,9.59293,0.6766,,0.57072,,300.0
".4 BURNETT STREET, YARRAGON",-38.204743,146.062346,2020,7,3.0,1.0,1,3823,205011078,House,117.01551,0.91479,0.60114,9.59293,0.6766,,0.57072,,300.0
"0 MANAGERS RESIDENCE, BOLINDA VALE, CLARKEFIELD",-37.48284001,144.7528001,2020,3,3.0,1.0,2,3430,210021235,House,50.62358,15.87879,0.88293,14.93019,0.8554400000000001,,15.97593,,330.0
"003/903 DANDENONG ROAD, MALVERN EAST",-37.876178,145.046128,2020,3,1.0,1.0,0,3145,208041195,Apartment,13.86135,0.9325,0.9188,2.494,2.208,,,3.96501,305.0
"005/903 DANDENONG ROAD, MALVERN EAST",-37.876178,145.046128,2020,6,1.0,1.0,0,3145,208041195,Apartment,13.86135,0.9325,0.9188,2.494,2.208,,,3.96501,270.0
"01/17 MACQUARIE STREET, PRAHRAN",-37.85054,144.992182,2020,9,1.0,1.0,0,3181,206061136,Apartment,6.76544,,0.87658,0.16912,0.65365,,1.34207,,260.0
"01/17 MACQUARIE STREET, PRAHRAN",-37.85054,144.992182,2020,10,1.0,1.0,0,3181,206061136,Apartment,6.76544,,0.87658,0.16912,0.65365,,1.34207,,260.0
"01/17 MACQUARIE STREET, PRAHRAN",-37.85054,144.992182,2020,11,1.0,1.0,0,3181,206061136,Apartment,6.76544,,0.87658,0.16912,0.65365,,1.34207,,260.0
"010/903 DANDENONG ROAD, MALVERN EAST",-37.876178,145.046128,2020,3,1.0,1.0,0,3145,208041195,Apartment,13.86135,0.9325,0.9188,2.494,2.208,,,3.96501,315.0
"010/903 DANDENONG ROAD, MALVERN EAST",-37.876178,145.046128,2020,5,1.0,1.0,0,3145,208041195,Apartment,13.86135,0.9325,0.9188,2.494,2.208,,,3.96501,315.0
"03 IMAGE WALK, COBURG NORTH",-37.726,144.96,2020,1,2.0,2.0,1,3058,210031236,House,11.97424,0.15333,,1.11175,0.78725,,,,440.0
"03 IMAGE WALK, COBURG NORTH",-37.726,144.96,2020,2,2.0,2.0,1,3058,210031236,House,11.97424,0.15333,,1.11175,0.78725,,,,450.0
"08/180 LENNOX STREET, RICHMOND",-37.8190024,144.9942573,2020,6,2.0,1.0,1,3121,206071517,House,3.72259,0.47444,0.5692,0.52339,1.12989,,,,450.0
"08/180 LENNOX STREET, RICHMOND",-37.8190024,144.9942573,2020,9,2.0,1.0,1,3121,206071517,Apartment,3.72259,0.47444,0.5692,0.52339,1.12989,,,,495.0
"09/14 SPRING STREET, BOX HILL",-37.815445,145.118278,2020,2,1.0,1.0,0,3128,207031163,Apartment,18.94234,0.95152,0.67191,1.34152,0.36757,0.1469099999999999,1.30602,1.37807,230.0
"1 / 1 ALFRED STREET, BEAUMARIS",-37.976425,145.049731,2020,2,2.0,2.0,2,3193,208011168,House,24.27638,1.75831,1.603,1.94455,,,2.64316,3.02537,500.0
"1 / 15 POPLAR GROVE, CARNEGIE",-37.886089,145.062922,2020,7,1.0,1.0,1,3163,208021176,Apartment,15.42169,2.00998,1.69753,,0.53452,,,,260.0
"1 / 174 MINERVA ROAD, MANIFOLD HEIGHTS",-38.143532,144.329529,2020,9,3.0,2.0,1,3218,203021040,House,77.19199,0.49919,0.86262,1.69782,,,,,360.0
"1 / 19 LANGTREE AVENUE, WANGARATTA",-36.352885,146.301282,2020,1,2.0,1.0,1,3677,204021066,House,240.59394,1.39637,0.6166,1.76606,2.6510700000000003,1.6600899999999998,1.95956,,190.0
"1 / 24 BRISBANE STREET, MURRUMBEENA",-37.885636,145.067958,2020,2,1.0,1.0,1,3163,208021181,Apartment,15.21218,1.91128,0.21562,2.28192,0.5799,,0.61137,,300.0
"1 / 24 BRISBANE STREET, MURRUMBEENA",-37.885636,145.067958,2020,5,1.0,1.0,1,3163,208021181,Apartment,15.21218,1.91128,0.21562,2.28192,0.5799,,0.61137,,290.0
