,address,latitude,longitude,nbed,nbath,ncar,historical_prices,type,historical_dates,postcode
0,"11 RAY COURT, DONALD",-36.37903,142.988959,3,1,1,$230 pw,House,January 2017,3480
0,"4 BLAIR STREET, DONALD",-36.3715035002,142.9850902002,3,1,3,$280 per week,Rental_residential,July 2022,3480
0,"4 BLAIR STREET, DONALD",-36.3715035002,142.9850902002,3,1,3,$280 per week,Rental_residential,July 2022,3480
0,"4 BLAIR STREET, DONALD",-36.3715035002,142.9850902002,3,1,3,$280,Rental_residential,July 2022,3480
0,"4 BLAIR STREET, DONALD",-36.3715035002,142.9850902002,3,1,3,$260 per week,Rental_residential,July 2021,3480
0,"4 BLAIR STREET, DONALD",-36.3715035002,142.9850902002,3,1,3,$260,Rental_residential,July 2021,3480
0,"4 BLAIR STREET, DONALD",-36.3715035002,142.9850902002,3,1,3,$220 per week,Rental_residential,December 2019,3480
0,"1 / 122 WOODS STREET, DONALD",-36.3679456002,142.9794956002,2,1,1,$250 per week,Unit/apmt,June 2022,3480
0,"1 / 122 WOODS STREET, DONALD",-36.3679456002,142.9794956002,2,1,1,$250 per week,Unit/apmt,June 2022,3480
0,"14 ELIZABETH STREET, DONALD",-36.3593102,142.9896139,3,1,2,$240 per week,House,April 2022,3480
0,"14 ELIZABETH STREET, DONALD",-36.3593102,142.9896139,3,1,2,$240 per week,House,April 2022,3480
0,"14 ELIZABETH STREET, DONALD",-36.3593102,142.9896139,3,1,2,$240,House,April 2022,3480
0,"14 ELIZABETH STREET, DONALD",-36.3593102,142.9896139,3,1,2,$215 per week,House,September 2021,3480
0,"14 ELIZABETH STREET, DONALD",-36.3593102,142.9896139,3,1,2,$215,House,September 2021,3480
0,"14 ELIZABETH STREET, DONALD",-36.3593102,142.9896139,3,1,2,$195,House,November 2019,3480
0,"14 ELIZABETH STREET, DONALD",-36.3593102,142.9896139,3,1,2,$195 pw,House,November 2019,3480
0,"14 ELIZABETH STREET, DONALD",-36.3593102,142.9896139,3,1,2,$195,House,March 2018,3480
0,"18 CAMPBELL STREET, DONALD",-36.372789,142.987615,2,1,1,$240 per week,Rental_residential,April 2022,3480
0,"18 CAMPBELL STREET, DONALD",-36.372789,142.987615,2,1,1,$240 per week,Rental_residential,April 2022,3480
0,"18 CAMPBELL STREET, DONALD",-36.372789,142.987615,2,1,1,$170 per week,Rental_residential,March 2019,3480
0,"18 CAMPBELL STREET, DONALD",-36.372789,142.987615,2,1,1,$170 per week,Rental_residential,February 2019,3480
0,"18 CAMPBELL STREET, DONALD",-36.372789,142.987615,2,1,1,$170 per week,Rental_residential,January 2019,3480
0,"18 CAMPBELL STREET, DONALD",-36.372789,142.987615,2,1,1,$170 per week,Rental_residential,December 2018,3480
0,"18 CAMPBELL STREET, DONALD",-36.372789,142.987615,2,1,1,$165,Rental_residential,January 2015,3480
0,"18 CAMPBELL STREET, DONALD",-36.372789,142.987615,2,1,1,$160 per week,Rental_residential,May 2013,3480
0,"3/9 CAMP STREET, DONALD",-36.370068,142.974725,2,1,2,$200 per week,Rental_residential,January 2022,3480
0,"3/9 CAMP STREET, DONALD",-36.370068,142.974725,2,1,2,$200 per week,Rental_residential,January 2022,3480
0,"3/9 CAMP STREET, DONALD",-36.370068,142.974725,2,1,2,$200 per week,Rental_residential,July 2021,3480
0,"3/9 CAMP STREET, DONALD",-36.370068,142.974725,2,1,2,$180 per week,Rental_residential,May 2020,3480
0,"3/9 CAMP STREET, DONALD",-36.370068,142.974725,2,1,2,$180 pw,Rental_residential,February 2018,3480
0,"3/9 CAMP STREET, DONALD",-36.370068,142.974725,2,1,2,$180,Rental_residential,February 2018,3480
0,"3/9 CAMP STREET, DONALD",-36.370068,142.974725,2,1,2,$180 pw,Rental_residential,August 2017,3480
0,"3/9 CAMP STREET, DONALD",-36.370068,142.974725,2,1,2,$180 pw,Rental_residential,March 2016,3480
0,"15 HAMMILL STREET, DONALD",-36.367793,142.982451,2,1,1,$240 per week,House,December 2021,3480
0,"15 HAMMILL STREET, DONALD",-36.367793,142.982451,2,1,1,$240 per week,House,December 2021,3480
0,"15 HAMMILL STREET, DONALD",-36.367793,142.982451,2,1,1,$240 per week,House,September 2021,3480
0,"15 HAMMILL STREET, DONALD",-36.367793,142.982451,2,1,1,$240,House,September 2021,3480
0,"203 WOODS STREET, DONALD",-36.377520,142.991954,5,1,2,$300 per week,House,September 2021,3480
0,"203 WOODS STREET, DONALD",-36.377520,142.991954,5,1,2,$300 per week,House,September 2021,3480
0,"203 WOODS STREET, DONALD",-36.377520,142.991954,5,1,2,$300 per week,House,August 2021,3480
0,"203 WOODS STREET, DONALD",-36.377520,142.991954,5,1,2,$300,House,August 2021,3480
0,"203 WOODS STREET, DONALD",-36.377520,142.991954,5,1,2,$210 pw,House,May 2017,3480
0,"203 WOODS STREET, DONALD",-36.377520,142.991954,5,1,2,$210 pw,House,April 2017,3480
0,"203 WOODS STREET, DONALD",-36.377520,142.991954,5,1,2,$190 pw,House,December 2014,3480
0,"203 WOODS STREET, DONALD",-36.377520,142.991954,5,1,2,$190 per week,House,June 2013,3480
0,"203 WOODS STREET, DONALD",-36.377520,142.991954,5,1,2,$190 per week,House,May 2013,3480
0,"203 WOODS STREET, DONALD",-36.377520,142.991954,5,1,2,$190 per week,House,March 2011,3480
0,"6 MEYER STREET, DONALD",-36.36847001,142.98466001,4,2,1,$260 per week,House,September 2021,3480
0,"6 MEYER STREET, DONALD",-36.36847001,142.98466001,4,2,1,$260 per week,House,September 2021,3480
0,"6 MEYER STREET, DONALD",-36.36847001,142.98466001,4,2,1,$260,House,September 2021,3480
0,"12 ALFRED STREET, DONALD",-36.374507,142.991607,3,1,1,$260 per week,House,July 2021,3480
0,"12 ALFRED STREET, DONALD",-36.374507,142.991607,3,1,1,$260 per week,House,July 2021,3480
0,"12 ALFRED STREET, DONALD",-36.374507,142.991607,3,1,1,$260,House,July 2021,3480
0,"12 ALFRED STREET, DONALD",-36.374507,142.991607,3,1,1,$260 per week,House,June 2021,3480
0,"12 ALFRED STREET, DONALD",-36.374507,142.991607,3,1,1,$225 per week,House,October 2019,3480
0,"12 ALFRED STREET, DONALD",-36.374507,142.991607,3,1,1,$195 per week,House,September 2018,3480
0,"12 ALFRED STREET, DONALD",-36.374507,142.991607,3,1,1,$195,House,September 2018,3480
0,"12 ALFRED STREET, DONALD",-36.374507,142.991607,3,1,1,$190 pw,House,February 2016,3480
