,SA2_MAINCODE_2016,SA2_5DIGITCODE_2016,SA2_NAME_2016,STATE_CODE_2016,SINGLE_NAME,VIC_NAME,MULTIPLE_NAME,VALID_NAME
181,208021182,21182,ORMOND GLEN HUNTLY,2,False,False,True,False
182,208021426,21426,BENTLEIGH EAST (NORTH),2,True,False,False,True
183,208021427,21427,BENTLEIGH EAST (SOUTH),2,True,False,False,True
184,208031183,21183,ASPENDALE GARDENS WATERWAYS,2,False,False,True,False
185,208031184,21184,BRAESIDE,2,True,False,False,True
186,208031185,21185,CARRUM PATTERSON LAKES,2,False,False,True,False
187,208031186,21186,CHELSEA BONBEACH,2,False,False,True,False
188,208031187,21187,CHELSEA HEIGHTS,2,True,False,False,True
189,208031188,21188,CHELTENHAM HIGHETT (EAST),2,False,False,True,False
190,208031189,21189,EDITHVALE ASPENDALE,2,False,False,True,False
191,208031190,21190,MENTONE,2,True,False,False,True
192,208031191,21191,MOORABBIN HEATHERTON,2,False,False,True,False
193,208031192,21192,MOORABBIN AIRPORT,2,True,False,False,True
194,208031193,21193,MORDIALLOC PARKDALE,2,False,False,True,False
195,208041194,21194,MALVERN GLEN IRIS,2,False,False,True,False
196,208041195,21195,MALVERN EAST,2,True,False,False,True
197,209011196,21196,BUNDOORA EAST,2,False,False,True,False
198,209011197,21197,GREENSBOROUGH,2,True,False,False,True
199,209011198,21198,HEIDELBERG ROSANNA,2,False,False,True,False
200,209011199,21199,HEIDELBERG WEST,2,True,False,False,True
201,209011200,21200,IVANHOE,2,True,False,False,True
202,209011201,21201,IVANHOE EAST EAGLEMONT,2,False,False,True,False
203,209011202,21202,MONTMORENCY BRIAR HILL,2,False,False,True,False
204,209011203,21203,VIEWBANK YALLAMBIE,2,False,False,True,False
205,209011204,21204,WATSONIA,2,True,False,False,True
206,209021205,21205,KINGSBURY,2,True,False,False,True
207,209021207,21207,RESERVOIR EAST,2,False,False,True,False
208,209021208,21208,RESERVOIR WEST,2,False,False,True,False
209,209021428,21428,PRESTON EAST,2,False,False,True,False
210,209021429,21429,PRESTON WEST,2,False,False,True,False
211,209031209,21209,ELTHAM,2,True,False,False,True
212,209031210,21210,HURSTBRIDGE,2,True,False,False,True
213,209031211,21211,KINGLAKE,2,True,False,False,True
214,209031212,21212,PANTON HILL ST ANDREWS,2,False,False,True,False
215,209031213,21213,PLENTY YARRAMBAT,2,False,False,True,False
216,209031214,21214,RESEARCH NORTH WARRANDYTE,2,False,False,True,False
217,209031215,21215,WATTLE GLEN DIAMOND CREEK,2,False,False,True,False
218,209041216,21216,BUNDOORA NORTH,2,False,False,True,False
219,209041217,21217,BUNDOORA WEST,2,False,False,True,False
220,209041219,21219,LALOR,2,True,False,False,True
221,209041220,21220,MILL PARK NORTH,2,False,False,True,False
222,209041221,21221,MILL PARK SOUTH,2,False,False,True,False
