,Unnamed: 0,bedrooms,bathrooms,carspaces,building_area,street_address,latitude,longitude,price,distance_to_city,weekly_rent
16,16,3.0,2.0,,,625/118 Franklin Street Melbourne VIC 3000,-37.8082052,144.9589035,$530,1.3005,530.0
17,17,3.0,2.0,,,3601/8 Sutherland Street Melbourne VIC 3000,-37.8112884,144.9610605,$720 per week,0.9093,720.0
18,18,2.0,2.0,,,1411/120 A Beckett St Melbourne VIC 3000,-37.8093086,144.9597389,$680,1.1574,680.0
19,19,2.0,2.0,,,1610/199 William Street Melbourne VIC 3000,-37.8145042,144.9576035,$600 per week,0.9021,600.0
20,20,2.0,2.0,,,3705/462 Elizabeth Street Melbourne VIC 3000,-37.807859,144.960611,$725 per week,1.2614,725.0
21,21,2.0,2.0,,,2009/639 Little Lonsdale Street Melbourne VIC 3000,-37.8141942,144.95216619999997,$650,1.3584,650.0
22,22,2.0,2.0,,,2803/318 Russell Street Melbourne VIC 3000,-37.8091709,144.966801,$720 per week,0.9915,720.0
23,23,2.0,2.0,,,907/270 King Street Melbourne VIC 3000,-37.813751,144.95503169999995,$500 per week,1.1423,500.0
24,24,2.0,2.0,,,2401/8 Franklin Street Melbourne VIC 3000,-37.8074591,144.96195590000005,$670 per week,1.2568,670.0
25,25,3.0,2.0,1.0,,3113/639 Lonsdale Street Melbourne VIC 3000,-37.8150689,144.9534096,$950.00,1.2251,950.0
