,bedrooms,bathrooms,carspaces,building_area,street_address,latitude,longitude,price,distance_to_city,postcode
0,2.0,2.0,1.0,,1407/601 Little Lonsdale Street Melbourne VIC 3000,-37.8137564,144.9537143,$750 per week,1.2481,3000
1,2.0,2.0,,,4507/318 Russell Street Melbourne VIC 3000,-37.8091709,144.966801,$650 per week,0.9915,3000
2,2.0,2.0,,,816/101 Therry St Melbourne VIC 3000,-37.8074149,144.9591227,New apartment No bond needed Pets welcome,1.366,3000
3,2.0,2.0,,,5101/464 Collins Street Melbourne VIC 3000,-37.8175602,144.9585916,$650,0.725,3000
4,2.0,2.0,1.0,,300/668 Bourke Street Melbourne VIC 3000,-37.8166152,144.95427890000002,$550.00,1.1139,3000
5,2.0,2.0,,,1605/318 Queen Street Melbourne VIC 3000,-37.811266700000004,144.9592612,$630 Per Week,1.0078,3000
6,2.0,2.0,1.0,,3902/220 Spencer Street Melbourne VIC 3000,-37.8157157,144.9529559,$650 per week,1.2464,3000
7,2.0,2.0,,,5206/318 Russell Melbourne VIC 3000,-37.8091709,144.966801,$750 per week,0.9915,3000
8,2.0,2.0,1.0,,3716/228 La Trobe Street Melbourne VIC 3000,-37.809751399999996,144.9626141,$800 per week,0.9976,3000
9,2.0,2.0,,55.0,2913/350 William Street Melbourne VIC 3000,-37.8112344,144.9564823,$500 per week,1.1854,3000
10,2.0,2.0,,,1211/260 Spencer Street Melbourne VIC 3000,-37.814564000000004,144.95228559999998,$700,1.3358,3000
11,2.0,2.0,1.0,,3208/120 A'Beckett Street Melbourne VIC 3000,-37.8093086,144.9597389,$650/week,1.1574,3000
12,2.0,2.0,,,1704/318 Queen Street Melbourne VIC 3000,-37.811266700000004,144.9592612,$775/week,1.0078,3000
13,2.0,2.0,,,3610/500 Elizabeth Street Melbourne VIC 3000,-37.807244299999994,144.9602814,$580 per week,1.3357,3000
14,2.0,2.0,,,2402/155 Franklin Street Melbourne VIC 3000,-37.808825899999995,144.95954880000002,$750 **SPACIOUS APARTMENT**,1.2118,3000
15,3.0,3.0,2.0,,5401/464 Collins Street Melbourne VIC 3000,-37.8175602,144.9585916,$2500 Per Week,0.725,3000
16,3.0,2.0,,,625/118 Franklin Street Melbourne VIC 3000,-37.8082052,144.9589035,$530,1.3005,3000
17,3.0,2.0,,,3601/8 Sutherland Street Melbourne VIC 3000,-37.811288399999995,144.9610605,$720 per week,0.9093,3000
18,2.0,2.0,,,1411/120 A Beckett St Melbourne VIC 3000,-37.8093086,144.9597389,$680,1.1574,3000
19,2.0,2.0,,,1610/199 William Street Melbourne VIC 3000,-37.8145042,144.9576035,$600 per week,0.9021,3000
20,2.0,2.0,,,3705/462 Elizabeth Street Melbourne VIC 3000,-37.807859,144.960611,$725 per week,1.2614,3000
21,2.0,2.0,,,2009/639 Little Lonsdale Street Melbourne VIC 3000,-37.8141942,144.95216619999997,$650,1.3584,3000
22,2.0,2.0,,,2803/318 Russell Street Melbourne VIC 3000,-37.8091709,144.966801,$720 per week,0.9915,3000
23,2.0,2.0,,,907/270 King Street Melbourne VIC 3000,-37.813751,144.95503169999998,$500 per week,1.1423,3000
24,2.0,2.0,,,2401/8 Franklin Street Melbourne VIC 3000,-37.8074591,144.96195590000002,$670 per week,1.2568,3000
25,3.0,2.0,1.0,,3113/639 Lonsdale Street Melbourne VIC 3000,-37.8150689,144.9534096,$950.00,1.2251,3000
26,2.0,2.0,2.0,,55/1 Albert Road Melbourne VIC 3000,-37.833957,144.972793,$950 Per Week,1.8442,3000
27,2.0,2.0,1.0,,1003/270 King Street Melbourne VIC 3000,-37.813751,144.95503169999998,$560.00 per week,1.1423,3000
28,2.0,2.0,,,2304/33 Mackenzie Street Melbourne VIC 3000,-37.80772140000001,144.96688500000002,$600 per week,1.1529,3000
29,2.0,2.0,1.0,,302/20 Queens Road Melbourne VIC 3000,-37.8406236,144.97522709999998,$650,2.6165,3000
30,2.0,2.0,1.0,,3604/568 Collins Street Melbourne VIC 3000,-37.8183759,144.95543610000001,$550.00 per week,1.0007,3000
31,2.0,2.0,1.0,,4808/639 Little Lonsdale Street Melbourne VIC 3000,-37.8141942,144.95216619999997,$700,1.3584,3000
32,2.0,2.0,,,260 Spencer St Melbourne VIC 3000,-37.814564000000004,144.95228559999998,$680,1.3358,3000
33,2.0,2.0,2.0,,102/8 Bligh Place Melbourne VIC 3000,-37.817252,144.96390300000002,$890.00 per week,0.2717,3000
34,2.0,2.0,1.0,,4804/568 Collins Street Melbourne VIC 3000,-37.8183759,144.95543610000001,$580 per weekly - Unfurnished,1.0007,3000
35,2.0,2.0,1.0,,205/20 Queens Rd Melbourne VIC 3000,-37.8406236,144.97522709999998,$750,2.6165,3000
36,2.0,2.0,,,3806/500 Elizabeth St Melbourne VIC 3000,-37.807244299999994,144.9602814,$650 weekly,1.3357,3000
37,2.0,2.0,,,5901/462 Elizabeth St Melbourne VIC 3000,-37.807859,144.960611,$650,1.2614,3000
38,2.0,2.0,1.0,,1310/7 Katherine Place Melbourne VIC 3000,-37.8201858,144.9564628,$550 per week,0.9396,3000
39,2.0,2.0,1.0,,803/108 Flinders Street Melbourne VIC 3000,-37.8161924,144.971196,$650 per week,0.4391,3000
40,4.0,2.0,,,206/639 Little Bourke Street Melbourne VIC 3000,-37.816100399999996,144.95356909999998,$650pw/$2998pcm,1.185,3000
41,3.0,2.0,2.0,,UNIT 2707/35 SPRING STREET Melbourne VIC 3000,-37.8141725,144.9740049,"$2,050",0.7677,3000
