,Unnamed: 0.1,address,latitude,longitude,nbed,nbath,ncar,price,type,historical_dates,postcode,year,month,suburb,weekly_rent,residence_type
0,0,"99 MAIN ROAD, CHEWTON",-37.0793433,144.2524547,2.0,1.0,1,$220_pw,House,April 2009,3451,2009,4,CHEWTON,220,House
1,1,"12 FRYERS ROAD, CHEWTON",-37.082726,144.256496,3.0,1.0,1,$230_pw,House,June 2009,3451,2009,6,CHEWTON,230,House
2,2,"6 BAKER STREET, CHEWTON",-37.081637,144.26061,2.0,1.0,0,$200_pw,House,April 2009,3451,2009,4,CHEWTON,200,House
3,3,"197 MAIN ROAD, CHEWTON",-37.0803515,144.2618795,1.0,1.0,0,$195_per_week,House,May 2009,3451,2009,5,CHEWTON,195,House
4,4,"17 WEST STREET, CHILDERS",-25.234541,152.275665,3.0,1.0,2,$240_pw,House,January 2009,3824,2009,1,CHILDERS,240,House
5,5,"25 WEST STREET, CHILDERS",-25.234406,152.274918,2.0,1.0,0,$240_pw,House,January 2009,3824,2009,1,CHILDERS,240,House
6,6,"7 ERNEST STREET, CHILDERS",-25.234804,152.281555,3.0,1.0,1,$280_pw,House,January 2009,3824,2009,1,CHILDERS,280,House
7,7,"2/20 NICKLESS STREET, CHILTERN",-36.154038,146.602977,2.0,1.0,2,$180_pw,Rental_residential,June 2009,3683,2009,6,CHILTERN,180,Other
8,8,"25 CLUBPOINT DRIVE, CHIRNSIDE PARK",-37.7526153,145.3270934,3.0,2.0,1,$365_pw,House,October 2009,3116,2009,10,PARK,365,House
9,9,"25 CLUBPOINT DRIVE, CHIRNSIDE PARK",-37.7526153,145.3270934,3.0,2.0,1,$355_pw,House,October 2009,3116,2009,10,PARK,355,House
10,10,"25 CLUBPOINT DRIVE, CHIRNSIDE PARK",-37.7526153,145.3270934,3.0,2.0,1,$365_pw,House,September 2009,3116,2009,9,PARK,365,House
11,11,"5 ALLY TERRACE, CHIRNSIDE PARK",-37.756717,145.294892,4.0,2.0,2,$450_pw,House,November 2009,3116,2009,11,PARK,450,House
12,12,"5 ALLY TERRACE, CHIRNSIDE PARK",-37.756717,145.294892,4.0,2.0,2,$450_pw,House,April 2009,3116,2009,4,PARK,450,House
13,13,"5 ALLY TERRACE, CHIRNSIDE PARK",-37.756717,145.294892,4.0,2.0,2,$450_pw,House,March 2009,3116,2009,3,PARK,450,House
14,14,"23 WESTERING ROAD, CHRISTMAS HILLS",-37.673706,145.275099,5.0,2.0,7,$1000_p.w.,House,March 2009,3775,2009,3,HILLS,1000,House
15,15,"23 WESTERING ROAD, CHRISTMAS HILLS",-37.673706,145.275099,5.0,2.0,7,$800_Weekly,House,March 2009,3775,2009,3,HILLS,800,House
16,16,"9 ARTHURS ROAD, CHUM CREEK",-37.611197,145.49368,2.0,1.0,7,$280_per_week,House,January 2009,3777,2009,1,CREEK,280,House
17,17,"19 CHUM CREEK ROAD, CHUM CREEK",-37.646878,145.49704,3.0,2.0,2,$320_per_week,House,February 2009,3777,2009,2,CREEK,320,House
18,18,"28 NUGENT COURT, CLARENDON",-37.713035,143.979763,5.0,3.0,4,$460_pw,Rental_residential,August 2009,3352,2009,8,CLARENDON,460,Other
19,19,"4 CASEY COURT, CLARINDA",-37.942898,145.109007,3.0,1.0,2,$320,House,December 2009,3169,2009,12,CLARINDA,320,House
20,20,"20 CRAWFORD ROAD, CLARINDA",-37.929396,145.101594,2.0,1.0,1,$290_Weekly,House,November 2009,3169,2009,11,CLARINDA,290,House
21,21,"1/31 BEVAN AVENUE, CLAYTON SOUTH",-37.934415,145.128568,3.0,1.0,1,$300_pw,House,December 2009,3169,2009,12,SOUTH,300,House
22,22,"1/31 BEVAN AVENUE, CLAYTON SOUTH",-37.934415,145.128568,3.0,1.0,1,$250_pw,House,September 2009,3169,2009,9,SOUTH,250,House
23,23,"30/2 GREENFIELD DRIVE, CLAYTON",-37.923181,145.128623,2.0,1.0,1,$360,Unit,March 2009,3168,2009,3,CLAYTON,360,Apartment
24,24,"10/2 MONASH GREEN DRIVE, CLAYTON",-37.918788,145.127626,2.0,1.0,1,$360,Unit,June 2009,3168,2009,6,CLAYTON,360,Apartment
25,25,"3/23 MADELEINE ROAD, CLAYTON",-37.916104,145.119279,3.0,2.0,1,$390,Unit,November 2009,3168,2009,11,CLAYTON,390,Apartment
26,26,"1953 DANDENONG ROAD, CLAYTON",-37.91327,145.126079,5.0,4.0,3,$350_Weekly,Townhouse,October 2009,3168,2009,10,CLAYTON,350,House
27,27,"41 MYRIONG STREET, CLAYTON",-37.915515,145.127295,3.0,1.0,1,$320_Weekly,House,August 2009,3168,2009,8,CLAYTON,320,House
28,28,"23 BRUSHBOX COURT, CLAYTON",-37.92356953,145.12906235,3.0,1.0,1,$430,Townhouse,April 2009,3168,2009,4,CLAYTON,430,House
29,29,"9 SHADY MEWS, CLAYTON",-37.922424,145.12782,2.0,1.0,2,$380,Rental_residential,December 2009,3168,2009,12,CLAYTON,380,Other
30,30,"6/1-3 ARNOTT STREET, CLAYTON",-37.916516,145.134721,3.0,1.0,1,$395_pw,none,February 2009,3168,2009,2,CLAYTON,395,Other
31,31,"3/1450 NORTH ROAD, CLAYTON",-37.914333,145.120368,2.0,1.0,1,$260_pw,Rental_residential,July 2009,3168,2009,7,CLAYTON,260,Other
32,32,"16 BRUSHBOX COURT, CLAYTON",-37.92314,145.129478,2.0,1.0,2,$365_per_week,Townhouse,October 2009,3168,2009,10,CLAYTON,365,House
33,33,"16 BRUSHBOX COURT, CLAYTON",-37.92314,145.129478,2.0,1.0,2,$380_per_week,Townhouse,October 2009,3168,2009,10,CLAYTON,380,House
34,34,"35 EDINBURGH STREET, CLAYTON",-37.91557,145.114394,3.0,2.0,1,$320_pw,Townhouse,April 2009,3168,2009,4,CLAYTON,320,House
35,35,"9/56-58 KANOOKA GROVE, CLAYTON",-37.921688,145.126396,3.0,1.0,1,$425,House,August 2009,3168,2009,8,CLAYTON,425,House
36,36,"16 THOMAS STREET, CLAYTON",-37.927189,145.120776,3.0,1.0,4,$300,House,August 2009,3168,2009,8,CLAYTON,300,House
