,Unnamed: 0.2,Unnamed: 0.1,address,latitude,longitude,nbed,nbath,ncar,price,type,historical_dates,postcode,year,month,suburb,weekly_rent,residence_type
0,0,0,"108 ADELAIDE STREET, CHEWTON",-37.093186,144.254132,2.0,1.0,2,$340_per_week,Residential Lease,November 2021,3451,2021,11,CHEWTON,340,Other
1,1,1,"41A ADELAIDE STREET, CHEWTON",-37.0859467,144.2535518,1.0,1.0,0,$1517,House,April 2021,3451,2021,4,CHEWTON,1517,House
2,2,2,"41A ADELAIDE STREET, CHEWTON",-37.0859467,144.2535518,1.0,1.0,0,$350_pw,House,April 2021,3451,2021,4,CHEWTON,350,House
3,3,3,"103 MAIN ROAD, CHEWTON",-37.079681,144.253064,3.0,1.0,0,$1647,House,February 2021,3451,2021,2,CHEWTON,1647,House
4,4,4,"103 MAIN ROAD, CHEWTON",-37.079681,144.253064,3.0,1.0,0,$380_pw,House,February 2021,3451,2021,2,CHEWTON,380,House
5,5,5,"31 EUREKA STREET, CHEWTON",-37.080654,144.244698,4.0,1.0,1,$375_per_week,House,February 2021,3451,2021,2,CHEWTON,375,House
6,6,6,"31 EUREKA STREET, CHEWTON",-37.080654,144.244698,4.0,1.0,1,$375_per_week,House,January 2021,3451,2021,1,CHEWTON,375,House
7,7,7,"40 EPSOM ROAD, CHILTERN",-36.1514543,146.6059089,3.0,1.0,0,$370_per_week,House,September 2021,3683,2021,9,CHILTERN,370,House
8,8,8,"3/1 OXFORD STREET, CHILTERN",-36.150694,146.606488,2.0,1.0,1,$320_pw,none,August 2021,3683,2021,8,CHILTERN,320,Other
9,9,9,"10 DICKSON COURT, CHILTERN",-36.1540274002,146.602254002,3.0,1.0,2,$350_per_week,House,April 2021,3683,2021,4,CHILTERN,350,House
10,10,10,"13 WILLS STREET, CHILTERN",-36.1542771,146.609481,3.0,1.0,4,$360,House,March 2021,3683,2021,3,CHILTERN,360,House
11,11,11,"3 MARTINS LANE, CHILTERN",-36.1514034,146.6082599,2.0,1.0,1,$300_per_week,Townhouse,November 2021,3683,2021,11,CHILTERN,300,House
12,12,12,"373 TOVEYS ROAD, CHILTERN",-36.241584,146.652354,2.0,1.0,0,$330_pw,House,September 2021,3683,2021,9,CHILTERN,330,House
13,13,13,"373 TOVEYS ROAD, CHILTERN",-36.241584,146.652354,2.0,1.0,0,$330_pw,House,August 2021,3683,2021,8,CHILTERN,330,House
14,14,14,"373 TOVEYS ROAD, CHILTERN",-36.241584,146.652354,2.0,1.0,0,$330_pw,House,July 2021,3683,2021,7,CHILTERN,330,House
