,address,latitude,longitude,nbed,nbath,ncar,price,type,historical_dates,postcode,year,month,suburb,weekly_rent,residence_type
5101,"5/66 DUNDAS STREET, THORNBURY",-37.753204,145.008312,1.0,1.0,1,$240_per_week,Rental_residential,May 2008,3071,2008,5,THORNBURY,240,Other
5102,"5/66 DUNDAS STREET, THORNBURY",-37.753204,145.008312,1.0,1.0,1,$270_pw,Rental_residential,May 2008,3071,2008,5,THORNBURY,270,Other
5103,"99 GOOCH STREET, THORNBURY",-37.758498,145.006945,4.0,1.0,2,$400_pw,House,June 2008,3071,2008,6,THORNBURY,400,House
5104,"32 COLLINS STREET, THORNBURY",-37.755171,145.003651,3.0,1.0,1,$420_pw,House,September 2008,3071,2008,9,THORNBURY,420,House
5105,"32 COLLINS STREET, THORNBURY",-37.755171,145.003651,3.0,1.0,1,$450_pw,House,September 2008,3071,2008,9,THORNBURY,450,House
5106,"8/59 HAROLD STREET, THORNBURY",-37.756446,144.995399,2.0,1.0,1,$250_-_$1084_pw,Rental_residential,August 2008,3071,2008,8,THORNBURY,1084,Other
5107,"8/59 HAROLD STREET, THORNBURY",-37.756446,144.995399,2.0,1.0,1,$250_pw,Rental_residential,June 2008,3071,2008,6,THORNBURY,250,Other
5108,"10/73 COLLINS STREET, THORNBURY",-37.755022,145.002316,2.0,1.0,1,$265,none,March 2008,3071,2008,3,THORNBURY,265,Other
5109,"6/50 NORMANBY AVENUE, THORNBURY",-37.758852,144.995425,1.0,1.0,1,$200_pw,none,April 2008,3071,2008,4,THORNBURY,200,Other
5110,"6/37 COMAS GROVE, THORNBURY",-37.753896,144.98489,1.0,1.0,1,$180_per_week,Rental_residential,April 2008,3071,2008,4,THORNBURY,180,Other
5111,"9/50 NORMANBY AVENUE, THORNBURY",-37.759536,144.999084,1.0,1.0,1,$190_pw,none,November 2008,3071,2008,11,THORNBURY,190,Other
5112,"2/44 DUNDAS STREET, THORNBURY",-37.752898,145.005687,2.0,1.0,1,$200_pw,none,March 2008,3071,2008,3,THORNBURY,200,Other
