,Unnamed: 0.2,Unnamed: 0.1,address,latitude,longitude,nbed,nbath,ncar,price,type,historical_dates,postcode,year,month,suburb,weekly_rent,residence_type
0,0,0,"31 EUREKA STREET, CHEWTON",-37.080654,144.244698,4.0,1.0,1,$375_per_week,House,May 2018,3451,2018,5,CHEWTON,375,House
1,1,1,"31 EUREKA STREET, CHEWTON",-37.080654,144.244698,4.0,1.0,1,$375,House,April 2018,3451,2018,4,CHEWTON,375,House
2,2,2,"208 MAIN ROAD, CHEWTON",-37.080111,144.261809,3.0,1.0,2,$340_pw,House,November 2018,3451,2018,11,CHEWTON,340,House
3,3,3,"18 SINNETT STREET, CHEWTON",-37.0846502,144.2685186,2.0,2.0,0,$350_per_week,House,August 2018,3451,2018,8,CHEWTON,350,House
4,4,4,"19 ALBERT STREET, CHEWTON",-37.092224,144.258533,3.0,1.0,0,$330_per_week,House,December 2018,3451,2018,12,CHEWTON,330,House
5,5,5,"19 ALBERT STREET, CHEWTON",-37.092224,144.258533,3.0,1.0,0,$330_per_week,House,September 2018,3451,2018,9,CHEWTON,330,House
6,6,6,"19 ALBERT STREET, CHEWTON",-37.092224,144.258533,3.0,1.0,0,$330_per_week,House,January 2018,3451,2018,1,CHEWTON,330,House
7,7,7,"12 FRYERS ROAD, CHEWTON",-37.082726,144.256496,3.0,1.0,1,$305,House,December 2018,3451,2018,12,CHEWTON,305,House
8,8,8,"239 MAIN ROAD, CHEWTON",-37.081393,144.266198,2.0,1.0,2,$375_pw,House,November 2018,3451,2018,11,CHEWTON,375,House
9,9,9,"52 FRYERS ROAD, CHEWTON",-37.087738,144.257555,3.0,1.0,2,$450,House,September 2018,3451,2018,9,CHEWTON,450,House
10,10,10,"101 MAIN ROAD, CHEWTON",-37.079631,144.252468,3.0,1.0,0,$295_per_week,House,September 2018,3451,2018,9,CHEWTON,295,House
11,11,11,"171 MAIN ROAD, CHEWTON",-37.081326,144.259245,3.0,1.0,8,$335,House,July 2018,3451,2018,7,CHEWTON,335,House
12,12,12,"171 MAIN ROAD, CHEWTON",-37.081326,144.259245,3.0,1.0,8,$335_pw,House,May 2018,3451,2018,5,CHEWTON,335,House
13,13,13,"175 MAIN ROAD, CHEWTON",-37.080913,144.259581,1.0,1.0,1,$195_pw,House,February 2018,3451,2018,2,CHEWTON,195,House
14,14,14,"2794 MCDONALDS TRACK, CHILDERS",-38.30491021,146.12198199,3.0,1.0,4,$280,Rental_residential,September 2018,3824,2018,9,CHILDERS,280,Other
15,15,15,"2/20 NICKLESS STREET, CHILTERN",-36.154038,146.602977,2.0,1.0,2,$220,Rental_residential,December 2018,3683,2018,12,CHILTERN,220,Other
16,16,16,"1 HIGH STREET, CHILTERN",-36.1505744,146.5991617,3.0,2.0,2,$290,House,December 2018,3683,2018,12,CHILTERN,290,House
17,17,17,"1 HIGH STREET, CHILTERN",-36.1505744,146.5991617,3.0,2.0,2,$290,House,November 2018,3683,2018,11,CHILTERN,290,House
18,18,18,"134 NORTH ROAD, CHILTERN",-36.1457233,146.6071478,3.0,2.0,1,$270,House,May 2018,3683,2018,5,CHILTERN,270,House
19,19,19,"65 MAIN STREET, CHILTERN",-36.149418,146.609623,3.0,2.0,2,$310_p.w.,House,November 2018,3683,2018,11,CHILTERN,310,House
20,20,20,"29-31 ALBERT ROAD, CHILTERN",-36.1499141,146.5995142,4.0,2.0,4,$450,none,December 2018,3683,2018,12,CHILTERN,450,Other
21,21,21,"101 CONNESS STREET, CHILTERN",-36.1508561,146.6150245,3.0,1.0,0,$280,House,December 2018,3683,2018,12,CHILTERN,280,House
22,22,22,"8 SKERRY STREET, CHILTERN",-36.151158,146.598197,3.0,2.0,2,$320_Weekly,House,October 2018,3683,2018,10,CHILTERN,320,House
23,23,23,"17 OXFORD STREET, CHILTERN",-36.1488301,146.6060818,2.0,1.0,1,$280_p.w.,House,October 2018,3683,2018,10,CHILTERN,280,House
24,24,24,"17 OXFORD STREET, CHILTERN",-36.1488301,146.6060818,2.0,1.0,1,$280_p.w.,House,August 2018,3683,2018,8,CHILTERN,280,House
25,25,25,"16 CONNESS STREET, CHILTERN",-36.1517478,146.6065113,2.0,1.0,2,$240_per_week,House,August 2018,3683,2018,8,CHILTERN,240,House
26,26,26,"2/6 SKERRY STREET, CHILTERN",-36.151343,146.598303,2.0,1.0,2,$180_Weekly,Townhouse,February 2018,3683,2018,2,CHILTERN,180,House
27,27,27,"2/6 SKERRY ST, CHILTERN",-36.1512744,146.5981724,2.0,1.0,1,$180_Weekly,Townhouse,February 2018,3683,2018,2,CHILTERN,180,House
28,28,28,"7 SCOTT STREET, CHILTERN",-36.153794,146.592627,2.0,1.0,4,$200_per_week,none,January 2018,3683,2018,1,CHILTERN,200,Other
29,29,29,"13 HUNTINGDALE DRIVE, CHIRNSIDE PARK",-37.755373,145.323258,3.0,2.0,1,$450_pw,House,May 2018,3116,2018,5,PARK,450,House
30,30,30,"1 KIMBERLEY DRIVE, CHIRNSIDE PARK",-37.75733143,145.31101741,2.0,1.0,1,$380_pw,none,April 2018,3116,2018,4,PARK,380,Other
31,31,31,"63 BELSAY CHASE, CHIRNSIDE PARK",-37.7585258,145.3095159,2.0,1.0,2,$400_pw,House,April 2018,3116,2018,4,PARK,400,House
32,32,32,"66 ROSEMAN ROAD, CHIRNSIDE PARK",-37.746928,145.33598,3.0,1.0,1,$370_pw,House,May 2018,3116,2018,5,PARK,370,House
33,33,33,"9 ALLY TERRACE, CHIRNSIDE PARK",-37.756061,145.295076,4.0,2.0,2,$550_per_week,House,March 2018,3116,2018,3,PARK,550,House
34,34,34,"27A HUNTINGDALE DRIVE, CHIRNSIDE PARK",-37.754248,145.3227,3.0,2.0,2,$460,House,May 2018,3116,2018,5,PARK,460,House
35,35,35,"14 ST ANDREWS COURT, CHIRNSIDE PARK",-37.75457,145.334348,2.0,2.0,2,$400,Townhouse,December 2018,3116,2018,12,PARK,400,House
36,36,36,"14 ST ANDREWS COURT, CHIRNSIDE PARK",-37.75457,145.334348,2.0,2.0,2,$400,Townhouse,November 2018,3116,2018,11,PARK,400,House
37,37,37,"28 VIEW POINT DRIVE, CHIRNSIDE PARK",-37.756876,145.314788,3.0,1.0,2,$390,House,August 2018,3116,2018,8,PARK,390,House
38,38,38,"28 VIEW POINT DRIVE, CHIRNSIDE PARK",-37.756876,145.314788,3.0,1.0,2,$400_pw,House,May 2018,3116,2018,5,PARK,400,House
39,39,39,"734 RIDGE ROAD, CHRISTMAS HILLS",-37.658364,145.317834,3.0,1.0,0,$380_per_week,none,January 2018,3775,2018,1,HILLS,380,Other
40,40,40,"CONTACT AGENT, CHRISTMAS HILLS",-37.653666,145.3050781,2.0,1.0,2,$390_per_week,House,May 2018,3775,2018,5,HILLS,390,House
41,41,41,"511-525 RIDGE ROAD, CHRISTMAS HILLS",-37.6593641,145.3008935,3.0,1.0,0,$390_per_week,none,May 2018,3775,2018,5,HILLS,390,Other
42,42,42,"733 CHUM CREEK ROAD, CHUM CREEK",-37.64491085,145.49757232,3.0,1.0,2,$380_per_week,none,December 2018,3777,2018,12,CREEK,380,Other
43,43,43,"585 HEALESVILLE-KINGLAKE ROAD, CHUM CREEK",-37.61377,145.4960994,4.0,2.0,4,$650,House,August 2018,3777,2018,8,CREEK,650,House
