,Unnamed: 0.1,address,latitude,longitude,nbed,nbath,ncar,price,type,historical_dates,postcode,year,month,suburb,weekly_rent,residence_type
0,0,"1/85 MAIN ROAD, CHEWTON",-37.088043,144.204874,1.0,1.0,1,$200_pw,House,July 2016,3451,2016,7,CHEWTON,200,House
1,1,"UNIT 2/85 MAIN ROAD, CHEWTON",-37.088043,144.204874,1.0,1.0,0,$200_per_week,House,October 2016,3451,2016,10,CHEWTON,200,House
2,2,"28 ARCHERS ROAD, CHEWTON",-37.0933124,144.258522,3.0,1.0,2,$400,House,December 2016,3451,2016,12,CHEWTON,400,House
3,3,"49 ADELAIDE STREET, CHEWTON",-37.086142,144.253413,3.0,2.0,2,$350_pw,House,February 2016,3451,2016,2,CHEWTON,350,House
4,4,"14 PITMAN STREET, CHEWTON",-37.083013,144.266589,4.0,1.0,1,$335_pw,House,February 2016,3451,2016,2,CHEWTON,335,House
5,5,"101 MAIN ROAD, CHEWTON",-37.079631,144.252468,3.0,1.0,0,$270,House,June 2016,3451,2016,6,CHEWTON,270,House
6,6,"16 STEELE STREET, CHEWTON",-37.0797293,144.248306,3.0,2.0,2,$330_pw,House,October 2016,3451,2016,10,CHEWTON,330,House
7,7,"195 MAIN ROAD, CHEWTON",-37.0803456,144.2619809,3.0,1.0,2,$330_pw,House,March 2016,3451,2016,3,CHEWTON,330,House
8,8,"114 GOLDEN POINT ROAD, CHEWTON",-37.071999,144.2744735,3.0,1.0,2,$250_pw,House,February 2016,3451,2016,2,CHEWTON,250,House
9,9,"114 FRYERS ROAD, CHEWTON",-37.094488,144.2554,2.0,1.0,3,$260_pw,House,May 2016,3451,2016,5,CHEWTON,260,House
10,10,"114 FRYERS ROAD, CHEWTON",-37.094488,144.2554,2.0,1.0,3,$260_pw,House,February 2016,3451,2016,2,CHEWTON,260,House
11,11,"6 BAKER STREET, CHEWTON",-37.081637,144.26061,2.0,1.0,0,$260_per_week,House,December 2016,3451,2016,12,CHEWTON,260,House
12,12,"6 BAKER STREET, CHEWTON",-37.081637,144.26061,2.0,1.0,0,$260_per_week,House,August 2016,3451,2016,8,CHEWTON,260,House
13,13,"3A EUREKA STREET, CHEWTON",-37.077977,144.246961,3.0,1.0,0,$270_pw,House,December 2016,3451,2016,12,CHEWTON,270,House
14,14,"57 ARCHERS ROAD, CHEWTON",-37.094426,144.259118,3.0,1.0,2,$400_per_week,House,November 2016,3451,2016,11,CHEWTON,400,House
15,15,"LOT/31 HOOPERS ROAD, CHEWTON",-37.0967347,144.2657472,2.0,1.0,2,$350_pw,House,June 2016,3451,2016,6,CHEWTON,350,House
16,16,"173 MAIN ROAD, CHEWTON",-37.080952,144.259378,2.0,1.0,0,$270_per_week,House,May 2016,3451,2016,5,CHEWTON,270,House
17,17,"732A PYRENEES HIGHWAY, CHEWTON",-37.08367,144.272154,2.0,1.0,1,$205_pw,House,April 2016,3451,2016,4,CHEWTON,205,House
18,18,"4 GEORGE STREET, CHEWTON",-37.082086,144.256513,3.0,1.0,2,$360_pw,House,April 2016,3451,2016,4,CHEWTON,360,House
19,19,"278 GOLDEN POINT ROAD, CHEWTON",-37.059297,144.274696,2.0,1.0,0,$375_pw,House,April 2016,3451,2016,4,CHEWTON,375,House
20,20,"197 MAIN ROAD, CHEWTON",-37.0803515,144.2618795,1.0,1.0,0,$250_pw,House,March 2016,3451,2016,3,CHEWTON,250,House
