,address,latitude,longitude,nbed,nbath,ncar,price,type,historical_dates,postcode,year,month,suburb,weekly_rent,residence_type
0,"31 EUREKA STREET, CHEWTON",-37.080654,144.244698,4.0,1.0,1,$375,House,July 2019,3451,2019,7,CHEWTON,375,House
1,"4 ALBERT STREET, CHEWTON",-37.0918145,144.258599,3.0,1.0,2,$350,House,April 2019,3451,2019,4,CHEWTON,350,House
2,"28 ARCHERS ROAD, CHEWTON",-37.0933124,144.258522,3.0,1.0,2,$375_per_week,House,October 2019,3451,2019,10,CHEWTON,375,House
3,"208 MAIN ROAD, CHEWTON",-37.080111,144.261809,3.0,1.0,2,$330,House,September 2019,3451,2019,9,CHEWTON,330,House
4,"22 PITMAN STREET, CHEWTON",-37.084464,144.2669094,2.0,1.0,2,$330,House,August 2019,3451,2019,8,CHEWTON,330,House
5,"18 SINNETT STREET, CHEWTON",-37.0846502,144.2685186,2.0,2.0,0,$350_per_week,House,August 2019,3451,2019,8,CHEWTON,350,House
6,"17 FRYERS ROAD, CHEWTON",-37.08371001,144.25612001,2.0,1.0,4,$300,House,August 2019,3451,2019,8,CHEWTON,300,House
7,"49 ADELAIDE STREET, CHEWTON",-37.086142,144.253413,3.0,2.0,2,$350_pw,House,May 2019,3451,2019,5,CHEWTON,350,House
8,"99 MAIN ROAD, CHEWTON",-37.0793433,144.2524547,2.0,1.0,1,$310,House,March 2019,3451,2019,3,CHEWTON,310,House
9,"99 MAIN ROAD, CHEWTON",-37.0793433,144.2524547,2.0,1.0,1,$310_pw,House,February 2019,3451,2019,2,CHEWTON,310,House
10,"14 PITMAN STREET, CHEWTON",-37.083013,144.266589,4.0,1.0,1,$335_pw,House,March 2019,3451,2019,3,CHEWTON,335,House
11,"2/20 NICKLESS STREET, CHILTERN",-36.154038,146.602977,2.0,1.0,2,$220_pw,Rental_residential,January 2019,3683,2019,1,CHILTERN,220,Other
12,"3 MARTINS LANE, CHILTERN",-36.1514034,146.6082599,2.0,1.0,1,$250_per_week,Townhouse,April 2019,3683,2019,4,CHILTERN,250,House
13,"10B CONNESS STREET, CHILTERN",-36.151004,146.605192,2.0,1.0,1,$235_pw,House,July 2019,3683,2019,7,CHILTERN,235,House
