,address,latitude,longitude,nbed,nbath,ncar,price,type,historical_dates,postcode,year,month,suburb,weekly_rent,residence_type
0,"12 FRYERS ROAD, CHEWTON",-37.082726,144.256496,3.0,1.0,1,$260_pw,House,July 2011,3451,2011,7,CHEWTON,260,House
1,"16 STEELE STREET, CHEWTON",-37.0797293,144.248306,3.0,2.0,2,$345_pw,House,May 2011,3451,2011,5,CHEWTON,345,House
2,"16 STEELE STREET, CHEWTON",-37.0797293,144.248306,3.0,2.0,2,$360_pw,House,April 2011,3451,2011,4,CHEWTON,360,House
3,"173 MAIN ROAD, CHEWTON",-37.080952,144.259378,2.0,1.0,0,$270_pw,House,August 2011,3451,2011,8,CHEWTON,270,House
4,"13 OLD WOODGATE ROAD, CHILDERS",-25.236463,152.27804,3.0,1.0,2,$250_pw,House,September 2011,3824,2011,9,CHILDERS,250,House
5,"9 PIZZEY STREET, CHILDERS",-25.233695,152.276337,3.0,1.0,1,$235_pw,none,June 2011,3824,2011,6,CHILDERS,235,Other
6,"78 MAIN STREET, CHILTERN",-36.147301,146.611603,2.0,1.0,2,$180,House,July 2011,3683,2011,7,CHILTERN,180,House
7,"2/56 ALBERT ROAD, CHILTERN",-36.14908,146.604709,2.0,1.0,1,$160_pw,House,July 2011,3683,2011,7,CHILTERN,160,House
8,"5 PARK STREET, CHILTERN",-36.149064,146.608326,3.0,1.0,2,$230,House,November 2011,3683,2011,11,CHILTERN,230,House
9,"4 GLENDALE DRIVE, CHIRNSIDE PARK",-37.751383,145.312411,4.0,2.0,2,$350_per_week,Rental_residential,June 2011,3116,2011,6,PARK,350,Other
10,"1/31 COUNTRY CLUB DRIVE, CHIRNSIDE PARK",-37.756332,145.325246,3.0,1.0,1,$320_pw,House,July 2011,3116,2011,7,PARK,320,House
11,"1/31 COUNTRY CLUB DRIVE, CHIRNSIDE PARK",-37.756332,145.325246,3.0,1.0,1,$320_pw,House,May 2011,3116,2011,5,PARK,320,House
12,"5 YARRARIDGE DRIVE, CHIRNSIDE PARK",-37.757684,145.305604,3.0,1.0,2,$350_pw,House,December 2011,3116,2011,12,PARK,350,House
13,"66 ROSEMAN ROAD, CHIRNSIDE PARK",-37.746928,145.33598,3.0,1.0,1,$300_pw,House,November 2011,3116,2011,11,PARK,300,House
14,"66 ROSEMAN ROAD, CHIRNSIDE PARK",-37.746928,145.33598,3.0,1.0,1,$300_pw,House,August 2011,3116,2011,8,PARK,300,House
15,"5 EDWARD ROAD, CHIRNSIDE PARK",-37.75641,145.316065,3.0,1.0,1,$295,House,February 2011,3116,2011,2,PARK,295,House
16,"56 MUIR ROAD, CHRISTMAS HILLS",-37.657453,145.338221,2.0,1.0,0,$340_per_week,Rental_residential,November 2011,3775,2011,11,HILLS,340,Other
17,"8 GUNDAROO DRIVE, CHURCHILL",-38.320903,146.422926,3.0,1.0,1,$175_pw,House,November 2011,3842,2011,11,CHURCHILL,175,House
18,"8 GUNDAROO DRIVE, CHURCHILL",-38.320903,146.422926,3.0,1.0,1,$190_pw,House,November 2011,3842,2011,11,CHURCHILL,190,House
19,"8 GUNDAROO DRIVE, CHURCHILL",-38.320903,146.422926,3.0,1.0,1,$190_pw,House,October 2011,3842,2011,10,CHURCHILL,190,House
20,"8 GUNDAROO DRIVE, CHURCHILL",-38.320903,146.422926,3.0,1.0,1,$190_pw,House,March 2011,3842,2011,3,CHURCHILL,190,House
21,"17 AUCHTERLONIE CRESCENT, CHURCHILL",-38.316505,146.414675,3.0,2.0,1,$260_per_week,House,December 2011,3842,2011,12,CHURCHILL,260,House
22,"5 AMAROO DRIVE, CHURCHILL",-38.323465,146.422057,3.0,1.0,1,$150_pw,none,September 2011,3842,2011,9,CHURCHILL,150,Other
23,"5 AMAROO DRIVE, CHURCHILL",-38.323465,146.422057,3.0,1.0,1,$200_pw,none,April 2011,3842,2011,4,CHURCHILL,200,Other
24,"31 DAVANZO AVENUE, CLARINDA",-37.944702,145.105229,3.0,1.0,2,$380,none,March 2011,3169,2011,3,CLARINDA,380,Other
25,"4 CASEY COURT, CLARINDA",-37.942898,145.109007,3.0,1.0,2,$360_per_week,House,August 2011,3169,2011,8,CLARINDA,360,House
26,"554 HEATHS LANE, CLARKEFIELD",-37.460714,144.804313,3.0,1.0,2,$250_pw,House,January 2011,3430,2011,1,CLARKEFIELD,250,House
27,"1556 LANCEFIELD ROAD - GARDENERS COTTAGE ., CLARKEFIELD",-37.4394236,144.6643482,3.0,1.0,1,$220_per_week,House,June 2011,3430,2011,6,CLARKEFIELD,220,House
28,"116 HEATHS LANE, CLARKEFIELD",-37.462611,144.727919,3.0,1.0,0,$230_per_week,House,January 2011,3430,2011,1,CLARKEFIELD,230,House
29,"2/64 WELLINGTON ROAD, CLAYTON NORTH",-37.91636,145.136891,2.0,1.0,1,$270_Weekly,none,December 2011,3168,2011,12,NORTH,270,Other
30,"650 BLACKBURN ROAD, CLAYTON NORTH",-37.9037544,145.1426657,3.0,1.0,2,$310_per_week,none,September 2011,3168,2011,9,NORTH,310,Other
31,"12 BOTANIC DRIVE, CLAYTON SOUTH",-37.939354,145.13641,3.0,2.0,2,$450,none,February 2011,3169,2011,2,SOUTH,450,Other
32,"3/44 OAKES AVENUE, CLAYTON SOUTH",-37.935969,145.133936,2.0,1.0,1,$250,House,September 2011,3169,2011,9,SOUTH,250,House
33,"3/44 OAKES AVENUE, CLAYTON SOUTH",-37.935969,145.133936,2.0,1.0,1,$270_p.w.,House,July 2011,3169,2011,7,SOUTH,270,House
34,"4/15 OAKES AVENUE, CLAYTON SOUTH",-37.935135,145.129653,3.0,2.0,1,$350,House,April 2011,3169,2011,4,SOUTH,350,House
35,"4/15 OAKES AVENUE, CLAYTON SOUTH",-37.935135,145.129653,3.0,2.0,1,$360_Weekly,House,April 2011,3169,2011,4,SOUTH,360,House
36,"4/15 OAKES AVENUE, CLAYTON SOUTH",-37.935135,145.129653,3.0,2.0,1,$360_p.w.,House,March 2011,3169,2011,3,SOUTH,360,House
37,"5/5 BURNS AVENUE, CLAYTON SOUTH",-37.9368135,145.1345036,2.0,1.0,1,$290_p.w.,Available Now,May 2011,3169,2011,5,SOUTH,290,Other
38,"UNIT 11/38 WORDSWORTH AVENUE, CLAYTON SOUTH",-37.939192,145.132069,2.0,1.0,1,$290_Weekly,Unit,June 2011,3169,2011,6,SOUTH,290,Apartment
39,"13 BROWNS ROAD, CLAYTON",-37.920978,145.127558,3.0,1.0,2,$420,House,August 2011,3168,2011,8,CLAYTON,420,House
40,"30/2 GREENFIELD DRIVE, CLAYTON",-37.923181,145.128623,2.0,1.0,1,$390,Unit,August 2011,3168,2011,8,CLAYTON,390,Apartment
41,"33 ALICE STREET, CLAYTON",-37.917622,145.115287,4.0,2.0,1,$400_per_week,House,December 2011,3168,2011,12,CLAYTON,400,House
42,"2/10 RENVER ROAD, CLAYTON",-37.918093,145.14382,3.0,2.0,1,$450,Unit,June 2011,3168,2011,6,CLAYTON,450,Apartment
43,"1/31 GLENBROOK AVENUE, CLAYTON",-37.909275,145.123752,3.0,1.0,2,$300,House,November 2011,3168,2011,11,CLAYTON,300,House
44,"1/31 GLENBROOK AVENUE, CLAYTON",-37.909275,145.123752,3.0,1.0,2,$300_per_week,House,October 2011,3168,2011,10,CLAYTON,300,House
45,"3/6 OLIVE STREET, CLAYTON",-37.930011,145.119843,2.0,1.0,2,$350_Weekly,Unit,November 2011,3168,2011,11,CLAYTON,350,Apartment
46,"7/86 WELLINGTON ROAD, CLAYTON",-37.916778,145.138939,3.0,1.0,1,$400,Townhouse,February 2011,3168,2011,2,CLAYTON,400,House
47,"1/2 WRIGHT STREET, CLAYTON",-37.921926,145.122381,2.0,1.0,1,$290,Unit,October 2011,3168,2011,10,CLAYTON,290,Apartment
48,"1/83 KIONGA STREET, CLAYTON",-37.929193,145.129986,5.0,2.0,1,$520,Townhouse,March 2011,3168,2011,3,CLAYTON,520,House
49,"1/83 KIONGA STREET, CLAYTON",-37.929193,145.129986,5.0,2.0,1,$500_p.w.,Townhouse,March 2011,3168,2011,3,CLAYTON,500,House
50,"3/17 FRANCIS STREET, CLAYTON",-37.924666,145.123304,2.0,1.0,1,$340_per_week,Unit,April 2011,3168,2011,4,CLAYTON,340,Apartment
51,"16 WELLINGTON ROAD, CLAYTON",-37.915481,145.130845,1.0,2.0,0,$550,House,March 2011,3168,2011,3,CLAYTON,550,House
52,"21 BRUSHBOX COURT, CLAYTON",-37.925488,145.119662,2.0,1.0,1,$399,House,October 2011,3168,2011,10,CLAYTON,399,House
53,"UNIT 1/16 BETTINA STREET, CLAYTON",-37.919161,145.136797,2.0,1.0,1,$325_Weekly,Unit,September 2011,3168,2011,9,CLAYTON,325,Apartment
54,"4/22 WRIGHT STREET, CLAYTON",-37.922062,145.124729,2.0,1.0,1,$290,House,October 2011,3168,2011,10,CLAYTON,290,House
55,"1/56 PANORAMA STREET, CLAYTON",-37.921779,145.129744,1.0,1.0,1,$350_per_week,Available Now,March 2011,3168,2011,3,CLAYTON,350,Other
56,"9/34 WELLINGTON ROAD, CLAYTON",-37.915995,145.133951,1.0,1.0,1,$240,none,December 2011,3168,2011,12,CLAYTON,240,Other
57,"27 THOMAS STREET, CLAYTON",-37.927453,145.120348,3.0,1.0,3,$340,none,March 2011,3168,2011,3,CLAYTON,340,Other
58,"27 THOMAS STREET, CLAYTON",-37.927453,145.120348,3.0,1.0,3,$340_per_week,none,February 2011,3168,2011,2,CLAYTON,340,Other
59,"23 MCBEAN STREET, CLAYTON",-37.923718,145.111716,2.0,1.0,2,$350_per_week,Townhouse,January 2011,3168,2011,1,CLAYTON,350,House
60,"1/70 EDINBURGH STREET, CLAYTON",-37.916705,145.117864,3.0,1.0,2,$370,House,November 2011,3168,2011,11,CLAYTON,370,House
61,"1/70 EDINBURGH STREET, CLAYTON",-37.916705,145.117864,3.0,1.0,2,$370,House,October 2011,3168,2011,10,CLAYTON,370,House
62,"18 COLIN ROAD, CLAYTON",-37.914961,145.112843,4.0,2.0,1,$490_Weekly,Rental_residential,November 2011,3168,2011,11,CLAYTON,490,Other
63,"18 COLIN ROAD, CLAYTON",-37.914961,145.112843,4.0,2.0,1,$490,Rental_residential,October 2011,3168,2011,10,CLAYTON,490,Other
64,"18 COLIN ROAD, CLAYTON",-37.914961,145.112843,4.0,2.0,1,$590_per_week,Rental_residential,August 2011,3168,2011,8,CLAYTON,590,Other
65,"3/1450 NORTH ROAD, CLAYTON",-37.914333,145.120368,2.0,1.0,1,$300_per_week,Rental_residential,November 2011,3168,2011,11,CLAYTON,300,Other
66,"9 BURTON AVENUE, CLAYTON",-37.926327,145.115883,4.0,3.0,1,$360_p.w.,Townhouse,February 2011,3168,2011,2,CLAYTON,360,House
67,"2/53 ALICE STREET, CLAYTON",-37.917891,145.117465,3.0,2.0,2,$405,Townhouse,February 2011,3168,2011,2,CLAYTON,405,House
68,"290 BELGRAVE--GEMBROOK ROAD, CLEMATIS",-37.930635,145.422785,2.0,1.0,1,$300_pw,none,October 2011,3782,2011,10,CLEMATIS,300,Other
69,"1 ALBERT ROAD, CLEMATIS",-37.929666,145.420997,3.0,2.0,2,$400_p.w.,none,July 2011,3782,2011,7,CLEMATIS,400,Other
70,"3 CLEARBROOK ROAD, CLEMATIS",-37.934977,145.420038,3.0,1.0,3,$380_per_week,House,April 2011,3782,2011,4,CLEMATIS,380,House
71,"3 CLEARBROOK ROAD, CLEMATIS",-37.934977,145.420038,3.0,1.0,3,$380_per_week,House,May 2011,3782,2011,5,CLEMATIS,380,House
72,"233 BELGRAVE GEMBROOK ROAD, CLEMATIS",-37.924075,145.419921,4.0,2.0,2,$650_per_week,House,February 2011,3782,2011,2,CLEMATIS,650,House
73,"233 BELGRAVE GEMBROOK ROAD, CLEMATIS",-37.924075,145.419921,4.0,2.0,2,$650_per_week,House,January 2011,3782,2011,1,CLEMATIS,650,House
74,"70 NOONE STREET, CLIFTON HILL",-37.793407,144.992413,2.0,1.0,0,$500_per_week,Rental_residential,November 2011,3068,2011,11,HILL,500,Other
75,"33 RUTLAND STREET, CLIFTON HILL",-37.793422,144.995945,2.0,1.0,0,$450_per_week,none,March 2011,3068,2011,3,HILL,450,Other
76,"32 NOONE STREET, CLIFTON HILL",-37.793155,144.990768,3.0,2.0,1,$749_pw,House,October 2011,3068,2011,10,HILL,749,House
77,"18/14 THE ESPLANADE, CLIFTON HILL",-37.788057,145.005844,1.0,1.0,1,$285,Rental_residential,November 2011,3068,2011,11,HILL,285,Other
78,"205 SPENSLEY STREET, CLIFTON HILL",-37.786573,145.004419,2.0,1.0,1,$550_pw,House,October 2011,3068,2011,10,HILL,550,House
79,"205 SPENSLEY STREET, CLIFTON HILL",-37.786573,145.004419,2.0,1.0,1,$550,House,September 2011,3068,2011,9,HILL,550,House
80,"2/142 SPENSLEY STREET, CLIFTON HILL",-37.7867712,145.0030182,1.0,1.0,1,$290_pw,Rental_residential,August 2011,3068,2011,8,HILL,290,Other
81,"48 NOONE STREET, CLIFTON HILL",-37.793359,144.991341,3.0,1.0,0,$485_per_week,Rental_residential,July 2011,3068,2011,7,HILL,485,Other
82,"3/109 SPENSLEY STREET, CLIFTON HILL",-37.788022,145.000043,2.0,1.0,1,$350_pw,none,September 2011,3068,2011,9,HILL,350,Other
83,"3/109 SPENSLEY STREET, CLIFTON HILL",-37.788022,145.000043,2.0,1.0,1,$350_per_week,none,May 2011,3068,2011,5,HILL,350,Other
84,"29 YAMBLA STREET, CLIFTON HILL",-37.791802,145.000849,3.0,1.0,0,$525_per_week,House,August 2011,3068,2011,8,HILL,525,House
85,"29 YAMBLA STREET, CLIFTON HILL",-37.791802,145.000849,3.0,1.0,0,$555_pw,House,July 2011,3068,2011,7,HILL,555,House
86,"29 YAMBLA STREET, CLIFTON HILL",-37.791802,145.000849,3.0,1.0,0,$555_pw,House,June 2011,3068,2011,6,HILL,555,House
87,"29 YAMBLA STREET, CLIFTON HILL",-37.791802,145.000849,3.0,1.0,0,$570_pw,House,May 2011,3068,2011,5,HILL,570,House
88,"29 YAMBLA STREET, CLIFTON HILL",-37.791802,145.000849,3.0,1.0,0,$570_pw,House,April 2011,3068,2011,4,HILL,570,House
89,"10/9 SOUTH TERRACE, CLIFTON HILL",-37.79235,144.99226,1.0,1.0,1,$280_p.w.,Flat,January 2011,3068,2011,1,HILL,280,Apartment
90,"3/28 EDMUND STREET, CLIFTON HILL",-37.787333,145.004462,2.0,2.0,1,$480_pw,Rental_residential,March 2011,3068,2011,3,HILL,480,Other
