Unnamed: 0,facility,latitude,longitude,year,facility_type,SA2_CODE
0,ELSIE DORRINGTON RESERVE,-38.2254499961592,145.039139978285,2014,park,214021592
1,HICKS RESERVE,-36.1309500059546,146.851109959367,2014,park,204031073
2,DAVID BISHOP RESERVE,-36.1151299676888,146.862130082419,2014,park,204031073
3,JACK PERRY RESERVE,-36.1396699248411,146.901439990251,2014,park,204031491
4,BERNIE COX PARK,-36.1480799794905,146.869839974369,2014,park,204031492
5,JOSEPH BROWN OVAL,-37.7177600040555,144.834449980337,2014,park,210011228
6,BRENNAN PARK,-38.1021799827508,147.063090002866,2014,park,205051103
7,MARKET RESERVE,-37.9659499874577,147.083330008125,2014,park,205051101
8,RECREATION HALL RESERVE,-37.809419990007,145.030610008412,2014,park,207011521
9,BILL BLACK PARK,-36.1222199750275,146.852820026099,2014,park,204031073
10,SLATER SQUARE,-38.154519997782,144.356259969378,2014,park,203021039
11,BRUCE PARK,-38.1622699986538,145.139059990686,2014,park,214011371
12,ERN MILES RESERVE,-36.3327500079074,145.048549980245,2014,park,216011407
13,COLAURA GARDENS,-36.4904400200347,145.339060011757,2014,park,216031419
14,WYNDHAM PARK,-37.9021599972124,144.656789978457,2014,park,213051368
15,ROGER FREE PARK,-37.5822099995711,144.721379971362,2014,park,210041540
16,FLINDERS GOLF COURSE,-38.4780299955396,145.022179980326,2014,park,214021378
17,BALYANG SANCTUARY,-38.1643000001745,144.330929995816,2014,park,203021046
18,ANZAC PARK,-37.8431499957007,147.070500014387,2014,park,205051101
19,VICTORIA PARK,-38.1084099844513,147.071690010608,2014,park,205051103
20,HUGHES PARK,-37.7669999993191,145.299139983542,2014,park,211031265
21,BABABI DJINANANG,-37.7022300048611,144.979819995862,2014,park,210031237
22,GILLBROOK RESERVE,-37.7751699993837,144.951579957846,2014,park,206011496
23,WALTER GALT RESERVE,-37.9913499932602,145.090639987039,2014,park,208031193
24,NORM JARDINE PAVILION,-38.1616499986382,145.138889990785,2014,park,214011371
