facility,latitude,longitude,year,facility_type
WESTERN HEIGHTS SECONDARY COLLEGE - VINES ROAD CAMPUS,-38.1228799967922,144.32896997953,2014,secondary_school
CHRISTADELPHIAN HERITAGE COLLEGE MELBOURNE,-37.8594699975061,145.322249969286,2014,secondary_school
HAILEYBURY COLLEGE - BRIGHTON CAMPUS,-37.9304499921358,145.006979991314,2014,secondary_school
HAILEYBURY GIRLS COLLEGE - BERWICK CAMPUS,-38.0435799965588,145.363909979502,2014,secondary_school
DE LA SALLE COLLEGE,-37.8576599934144,145.032189991875,2014,secondary_school
BROOKSIDE P-9 COLLEGE,-37.7463700016125,144.736539982236,2014,secondary_school
CORNISH COLLEGE,-38.0491799946282,145.1487699785,2014,secondary_school
BENDIGO SENIOR SECONDARY COLLEGE - NETSCHOOL CAMPUS,-36.7592700021182,144.280520007644,2014,secondary_school
ANTONINE COLLEGE - ST JOSEPH CAMPUS,-37.7411800035691,144.94273998906,2014,secondary_school
ST PETERS COLLEGE - ST PETERS COLLEGE WEST CAMPUS,-38.1083999984892,145.256869983996,2014,secondary_school
SACRED HEART COLLEGE,-36.0086599986268,146.009199932809,2014,secondary_school
MCCLELLAND SECONDARY COLLEGE - CAMP MAHAIKAH,-36.9244000102909,146.279299977895,2014,secondary_school
CHRISTIAN COLLEGE HIGHTON - MAIN CAMPUS,-38.1852300101292,144.313079984761,2014,secondary_school
CAREY BAPTIST GRAMMAR SCHOOL - KEW CAMPUS,-37.8147699872217,145.047820011842,2014,secondary_school
MELBOURNE GIRLS GRAMMAR - MERTON HALL CAMPUS,-37.8316799970061,144.984809969941,2014,secondary_school
GEELONG GRAMMAR SCHOOL - MAIN CAMPUS,-38.0687999950813,144.399079969893,2014,secondary_school
BALLARAT CLARENDON COLLEGE - MAIN CAMPUS,-37.5596400012631,143.833659980016,2014,secondary_school
FLINDERS CHRISTIAN COMMUNITY COLLEGE - CARRUM DOWNS CAMPUS,-38.1168799972685,145.180899967374,2014,secondary_school
FIRBANK GRAMMAR SCHOOL,-37.9584699919438,145.016239980636,2014,secondary_school
FIRBANK GRAMMAR SCHOOL,-37.9077799913324,144.997299999477,2014,secondary_school
SHEPPARTON CHRISTIAN COLLEGE LTD,-36.3538499925395,145.415979993751,2014,secondary_school
VICTORY LUTHERAN COLLEGE,-36.1159899645916,146.847620041656,2014,secondary_school
TOORAK COLLEGE,-38.1722499975698,145.093469974596,2014,secondary_school
MARYBOROUGH EDUCATION CENTRE - BALACLAVA ROAD CAMPUS,-37.0421499990099,143.722869977467,2014,secondary_school
BARBARA TOLSON CENTRE  MELBOURNE GIRLS GRAMMAR,-37.8308399970728,144.98585997085,2014,secondary_school
