"P08P/191 Powlett Street, East Melbourne",EAST MELBOURNE,3002,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,650,-37.8100929,144.986053
"11 Bennett Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,House,2.0,1.0,0,565,-37.8121262,145.00647
"10 Gellibrand Street, Williamstown",WILLIAMSTOWN,3016,Hobsons Bay City Council - Greater Area,House,3.0,1.0,0,530,-37.8656273,144.891022
"1/27 Venus St, Caulfield South",CAULFIELD SOUTH,3162,Glen Eira Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,430,-37.8943176,145.014359
"69 Speight Street, Newport",NEWPORT,3015,Hobsons Bay City Council - Greater Area,House,3.0,1.0,1,550,-37.8426,144.8747
"47A Turana Street, Doncaster",DONCASTER,3108,Manningham City - Greater Area,Townhouse,3.0,2.0,2,750,-37.7837753,145.132538
"1313/268 Flinders Street, Melbourne",MELBOURNE,3000,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,0,350,-37.8178139,144.965576
"9/70 Hawksburn Road, South Yarra",SOUTH YARRA,3141,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,375,-37.84093,145.002258
"7/126 Wellington Parade, East Melbourne",EAST MELBOURNE,3002,Melbourne City Council - Greater Area,ApartmentUnitFlat,3.0,2.0,1,180,-37.81621,144.985931
"5 Bemboka Avenue, Clayton South",CLAYTON SOUTH,3169,Kingston City Council - Greater Area,House,3.0,2.0,2,540,-37.93846,145.110672
"313/11 Flockhart Street, Abbotsford",ABBOTSFORD,3067,Yarra City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,0,425,-37.8099747,145.006927
"811/2 Joseph Road, Footscray",FOOTSCRAY,3011,Maribyrnong City Council - Greater Area,ApartmentUnitFlat,2.0,2.0,1,510,-37.80033,144.909653
"210/79-81 Asling Street, Brighton",BRIGHTON,3186,Bayside - Greater Area,ApartmentUnitFlat,2.0,1.0,1,525,-37.8974342,145.002731
"111/25 Truganini Road, Carnegie",CARNEGIE,3163,Glen Eira Council - Greater Area,ApartmentUnitFlat,2.0,2.0,1,450,-37.889164,145.054779
"402/1399 Dandenong Road, Malvern East",MALVERN EAST,3145,Stonnington - Greater Area,ApartmentUnitFlat,2.0,2.0,1,650,-37.8907166,145.08374
"107/795 Toorak Road, Hawthorn East",HAWTHORN EAST,3123,Boroondara City Council - Greater Area,ApartmentUnitFlat,2.0,2.0,1,HE ,-37.8452377,145.044662
"4/13 Lillimur Road, Ormond",ORMOND,3204,Glen Eira Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,550,-37.9024925,145.041046
"1309/2 Claremont Street, South Yarra",SOUTH YARRA,3141,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,370,-37.8387833,144.993729
"7 Hardwicke Street, North Melbourne",NORTH MELBOURNE,3051,Melbourne City Council - Greater Area,House,3.0,1.0,0,400,-37.79816,144.946915
"1/18 Aloomba Street, Chadstone",CHADSTONE,3148,Monash City - Greater Area,Townhouse,3.0,2.0,2,665,-37.87984,145.0983
"6 Headland Drive, Leopold",LEOPOLD,3224,Geelong & District - Greater Area,House,4.0,2.0,2,480,-38.2017822,144.457443
"5/12 Wyuna Rd, Caulfield North",CAULFIELD NORTH,3161,Glen Eira Council - Greater Area,Townhouse,2.0,1.0,1,440,-37.8756676,145.032867
"5/3 Stanley Ave, Cheltenham",CHELTENHAM,3192,Bayside - Greater Area,Townhouse,2.0,2.0,1,525,-37.9683266,145.056168
"7A Foden Street, Brunswick West",BRUNSWICK WEST,3055,Moreland City Council - Greater Area,House,4.0,3.0,2,"1,0",-37.77047,144.9479
"107A/94 Canning Street, Carlton",CARLTON,3053,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,400,-37.79685,144.973618
"108/24 Barkly Place, Carlton",CARLTON,3053,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,250,-37.8030472,144.961548
"Unit 101/170 Albert St, East Melbourne",EAST MELBOURNE,3002,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,460,-37.80962,144.985275
"2/21-23 Westgate Street, Pascoe Vale South",PASCOE VALE SOUTH,3044,Moreland City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,0,420,-37.73777,144.942062
"40 Church Street, Fitzroy North",FITZROY NORTH,3068,Moreland City Council - Greater Area,House,3.0,1.0,0,850,-37.78847,144.9784
"19/30 Esplanade, Brighton",BRIGHTON,3186,Bayside - Greater Area,Townhouse,3.0,2.0,2,120,-37.926178,144.98822
"301/79 River Street, South Yarra",SOUTH YARRA,3141,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,2.0,2,795,-37.8363342,144.997589
"2/67 Euston Road, Hughesdale",HUGHESDALE,3166,Monash City - Greater Area,Townhouse,2.0,1.0,2,500,-37.89479,145.0871
"1014/65 Dudley Street, West Melbourne",WEST MELBOURNE,3003,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,460,-37.8102226,144.9507
"4 Woodlands Avenue, Pascoe Vale South",PASCOE VALE SOUTH,3044,Moreland City Council - Greater Area,House,2.0,1.0,1,460,-37.7494965,144.945663
"2/11 Therese Avenue, Mount Waverley",MOUNT WAVERLEY,3149,Monash City - Greater Area,ApartmentUnitFlat,3.0,1.0,2,495,-37.8927536,145.116
"2A St Georges Cres, Ashburton",ASHBURTON,3147,Boroondara City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,2,380,-37.8711357,145.069244
"34 Victoria Street, Sandringham",SANDRINGHAM,3191,Bayside - Greater Area,House,3.0,2.0,2,"1,3",-37.9568443,145.0153
"2/30 Clarendon Avenue, Oakleigh South",OAKLEIGH SOUTH,3167,Kingston City Council - Greater Area,ApartmentUnitFlat,3.0,1.0,1,520,-37.91241,145.101929
"304/7 Evergreen Mews, Armadale",ARMADALE,3143,Stonnington - Greater Area,ApartmentUnitFlat,2.0,2.0,2,700,-37.851162,145.013382
"4 Lucerne Avenue, Mornington",MORNINGTON,3931,Mornington Peninsula & District - Greater Area,House,3.0,2.0,2,640,-38.22081,145.050049
"30 High Street, Mont Albert",MONT ALBERT,3127,Boroondara City Council - Greater Area,House,4.0,2.0,2,"1,2",-37.8167229,145.107651
"30 Woodside Street, Fitzroy North",FITZROY NORTH,3068,Moreland City Council - Greater Area,House,2.0,1.0,0,750,-37.78483,144.990021
"5/265 Clayton Road, Clayton",CLAYTON,3168,Monash City - Greater Area,ApartmentUnitFlat,2.0,1.0,2,400,-37.92025,145.1203
