,Insignificant External predictors,Insignificant Internal predictors
0,population_density,ncar
1,sa2_2021,residence_type
2,min_distance_to_cbd,nbed
3,min_distance_to_park,nbath
4,min_distance_to_train,
5,min_distance_to_hosp,
6,gdp,
7,saving_rate,
8,income_per_person,
9,crime_cases,
10,population_density,
